ortholog_1 gene-HOLleu_00014 AFI21291.1
ortholog_2483 gene-HOLleu_12746 AFI28520.1
ortholog_2484 gene-HOLleu_12747 AFI32995.1
ortholog_2485 gene-HOLleu_12753 AFI32207.1
ortholog_2486 gene-HOLleu_12754 AFI32553.1
ortholog_2487 gene-HOLleu_12756 AFI11320.1
ortholog_2488 gene-HOLleu_12760 AFI17490.1
ortholog_2489 gene-HOLleu_12762 AFI32292.1
ortholog_2490 gene-HOLleu_12764 AFI32623.2
ortholog_2491 gene-HOLleu_12767 AFI32468.1
ortholog_2492 gene-HOLleu_12768 AFI12525.1
ortholog_2493 gene-HOLleu_12769 AFI32496.1
ortholog_2494 gene-HOLleu_12770 AFI07333.1
ortholog_2495 gene-HOLleu_12771 AFI32411.1
ortholog_2496 gene-HOLleu_12773 AFI12249.1
ortholog_2497 gene-HOLleu_12774 AFI12218.1
ortholog_2498 gene-HOLleu_12775 AFI09117.1
ortholog_2499 gene-HOLleu_12778 AFI10326.1
ortholog_2500 gene-HOLleu_12780 AFI18257.1
ortholog_2501 gene-HOLleu_12781 AFI12385.1
ortholog_2502 gene-HOLleu_12782 AFI11824.1
ortholog_2503 gene-HOLleu_12784 AFI32950.1
ortholog_2504 gene-HOLleu_12785 AFI11527.1
ortholog_2505 gene-HOLleu_12786 AFI33268.1
ortholog_2506 gene-HOLleu_12787 AFI33000.1
ortholog_2507 gene-HOLleu_12789 AFI33281.1
ortholog_2508 gene-HOLleu_12790 AFI32851.1
ortholog_2509 gene-HOLleu_12792 AFI33414.1
ortholog_2510 gene-HOLleu_12793 AFI33089.2
ortholog_2511 gene-HOLleu_12794 AFI32181.1
ortholog_2512 gene-HOLleu_12798 AFI33064.4
ortholog_2513 gene-HOLleu_12816 AFI23713.1
ortholog_2514 gene-HOLleu_12829 AFI32502.1
ortholog_2515 gene-HOLleu_12831 AFI33091.1
ortholog_2516 gene-HOLleu_12832 AFI23307.1
ortholog_2517 gene-HOLleu_12837 AFI12600.2
ortholog_2518 gene-HOLleu_12840 AFI12829.1
ortholog_2519 gene-HOLleu_12841 AFI32538.1
ortholog_2520 gene-HOLleu_12842 AFI33374.1
ortholog_2521 gene-HOLleu_12845 AFI11363.1
ortholog_2522 gene-HOLleu_12847 AFI10970.1
ortholog_2523 gene-HOLleu_12859 AFI12521.1
ortholog_2524 gene-HOLleu_12862 AFI14247.1
ortholog_2525 gene-HOLleu_12863 AFI33680.1
ortholog_2526 gene-HOLleu_12870 AFI11519.1
ortholog_2527 gene-HOLleu_12871 AFI32622.1
ortholog_2528 gene-HOLleu_12872 AFI11942.1
ortholog_2529 gene-HOLleu_12873 AFI10928.1
ortholog_2530 gene-HOLleu_12876 AFI12622.1
ortholog_2531 gene-HOLleu_12877 AFI33255.1
ortholog_2532 gene-HOLleu_12880 AFI12587.14
ortholog_2533 gene-HOLleu_12884 AFI32322.1
ortholog_2534 gene-HOLleu_12888 AFI33466.1
ortholog_2535 gene-HOLleu_12889 AFI32891.2
ortholog_2536 gene-HOLleu_12891 AFI33062.1
ortholog_2537 gene-HOLleu_12899 AFI11075.1
ortholog_2538 gene-HOLleu_12901 AFI33028.1
ortholog_2539 gene-HOLleu_12902 AFI12715.1
ortholog_2540 gene-HOLleu_12906 AFI32387.1
ortholog_2541 gene-HOLleu_12908 AFI32117.4
ortholog_2542 gene-HOLleu_12910 AFI11110.1
ortholog_2543 gene-HOLleu_12911 AFI10919.1
ortholog_2544 gene-HOLleu_12912 AFI32634.1
ortholog_2545 gene-HOLleu_12918 AFI32896.1
ortholog_2546 gene-HOLleu_12919 AFI33096.1
ortholog_2547 gene-HOLleu_12920 AFI33167.1
ortholog_2548 gene-HOLleu_12923 AFI32232.1
ortholog_2549 gene-HOLleu_12924 AFI33006.1
ortholog_2550 gene-HOLleu_12926 AFI32376.2
ortholog_2551 gene-HOLleu_12929 AFI11600.1
ortholog_2552 gene-HOLleu_12930 AFI32333.1
ortholog_2553 gene-HOLleu_12932 AFI33493.1
ortholog_2554 gene-HOLleu_12933 AFI17579.1
ortholog_2555 gene-HOLleu_12934 AFI12293.1
ortholog_2556 gene-HOLleu_12935 AFI32212.1
ortholog_2557 gene-HOLleu_12937 AFI33153.1
ortholog_2558 gene-HOLleu_12938 AFI32342.1
ortholog_2559 gene-HOLleu_12940 AFI32946.3
ortholog_2560 gene-HOLleu_12943 AFI32670.1
ortholog_2561 gene-HOLleu_12944 AFI32258.1
ortholog_2562 gene-HOLleu_12947 AFI32432.1
ortholog_2563 gene-HOLleu_12948 AFI32830.1
ortholog_2564 gene-HOLleu_12950 AFI32970.1
ortholog_2565 gene-HOLleu_12951 AFI01311.1
ortholog_2566 gene-HOLleu_12956 AFI32583.1
ortholog_2567 gene-HOLleu_12964 AFI32412.1
ortholog_2568 gene-HOLleu_12965 AFI32662.1
ortholog_2569 gene-HOLleu_12966 AFI33517.1
ortholog_2570 gene-HOLleu_12967 AFI32422.1
ortholog_2571 gene-HOLleu_12968 AFI32548.1
ortholog_2572 gene-HOLleu_12969 AFI13038.1
ortholog_2573 gene-HOLleu_12973 AFI12815.1
ortholog_2574 gene-HOLleu_12975 AFI12566.1
ortholog_2575 gene-HOLleu_12980 AFI33056.1
ortholog_2576 gene-HOLleu_12992 AFI13579.1
ortholog_2577 gene-HOLleu_13002 AFI32378.1
ortholog_2578 gene-HOLleu_13004 AFI32977.1
ortholog_2579 gene-HOLleu_13006 AFI32545.1
ortholog_2580 gene-HOLleu_13007 AFI32226.3
ortholog_2581 gene-HOLleu_13009 AFI32373.1
ortholog_2582 gene-HOLleu_13025 AFI32123.1
ortholog_2583 gene-HOLleu_13033 AFI32237.2
ortholog_2584 gene-HOLleu_13034 AFI33098.1
ortholog_2585 gene-HOLleu_13037 AFI11994.1
ortholog_2586 gene-HOLleu_13038 AFI02261.1
ortholog_2587 gene-HOLleu_13040 AFI33252.1
ortholog_2588 gene-HOLleu_13043 AFI33315.1
ortholog_2589 gene-HOLleu_13045 AFI28694.1
ortholog_2590 gene-HOLleu_13046 AFI21777.1
ortholog_2591 gene-HOLleu_13055 AFI32869.1
ortholog_2592 gene-HOLleu_13056 AFI33514.1
ortholog_2593 gene-HOLleu_13066 AFI32681.1
ortholog_2594 gene-HOLleu_13067 AFI11947.1
ortholog_2595 gene-HOLleu_13069 AFI12349.1
ortholog_2596 gene-HOLleu_13071 AFI31016.1
ortholog_2597 gene-HOLleu_13072 AFI32351.1
ortholog_2598 gene-HOLleu_13075 AFI32137.3
ortholog_2599 gene-HOLleu_13076 AFI21679.1
ortholog_2600 gene-HOLleu_13082 AFI33200.1
ortholog_2601 gene-HOLleu_13083 AFI17920.2
ortholog_2602 gene-HOLleu_13090 AFI12307.1
ortholog_2603 gene-HOLleu_13091 AFI11648.1
ortholog_2604 gene-HOLleu_13092 AFI33387.1
ortholog_2605 gene-HOLleu_13093 AFI10900.1
ortholog_2606 gene-HOLleu_13096 AFI12088.1
ortholog_2607 gene-HOLleu_13097 AFI01658.1
ortholog_2608 gene-HOLleu_13100 AFI32765.1
ortholog_2609 gene-HOLleu_13101 AFI33179.1
ortholog_2610 gene-HOLleu_13103 AFI11456.1
ortholog_2611 gene-HOLleu_13107 AFI33116.1
ortholog_2612 gene-HOLleu_13108 AFI33111.1
ortholog_2613 gene-HOLleu_13109 AFI32976.1
ortholog_2614 gene-HOLleu_13110 AFI32826.1
ortholog_2615 gene-HOLleu_13115 AFI04815.2
ortholog_2616 gene-HOLleu_13128 AFI33198.1
ortholog_2617 gene-HOLleu_13129 AFI11764.2
ortholog_2618 gene-HOLleu_13130 AFI11354.1
ortholog_2619 gene-HOLleu_13132 AFI32929.5
ortholog_2620 gene-HOLleu_13138 AFI12490.1
ortholog_2621 gene-HOLleu_13140 AFI11574.1
ortholog_2622 gene-HOLleu_13141 AFI32920.1
ortholog_2623 gene-HOLleu_13143 AFI32082.1
ortholog_2624 gene-HOLleu_13144 AFI12869.1
ortholog_2625 gene-HOLleu_13149 AFI32641.1
ortholog_2626 gene-HOLleu_13150 AFI32191.1
ortholog_2627 gene-HOLleu_13168 AFI33488.1
ortholog_2628 gene-HOLleu_13169 AFI08229.1
ortholog_2629 gene-HOLleu_13174 AFI19461.1
ortholog_2630 gene-HOLleu_13176 AFI32887.1
ortholog_2631 gene-HOLleu_13179 AFI04885.1
ortholog_2632 gene-HOLleu_13191 AFI33233.1
ortholog_2633 gene-HOLleu_13196 AFI33282.1
ortholog_2634 gene-HOLleu_13198 AFI32475.1
ortholog_2635 gene-HOLleu_13200 AFI32592.1
ortholog_2636 gene-HOLleu_13211 AFI05043.1
ortholog_2637 gene-HOLleu_13222 AFI33411.1
ortholog_2638 gene-HOLleu_13223 AFI32477.1
ortholog_2639 gene-HOLleu_13224 AFI11029.1
ortholog_2640 gene-HOLleu_13226 AFI12766.1
ortholog_2641 gene-HOLleu_13225 AFI32857.2
ortholog_2642 gene-HOLleu_13228 AFI32119.1
ortholog_2643 gene-HOLleu_13229 AFI33087.1
ortholog_2644 gene-HOLleu_13231 AFI32498.1
ortholog_2645 gene-HOLleu_13232 AFI32354.1
ortholog_2646 gene-HOLleu_13233 AFI11580.1
ortholog_2647 gene-HOLleu_13244 AFI32833.1
ortholog_2648 gene-HOLleu_13250 AFI32731.1
ortholog_2649 gene-HOLleu_13255 AFI32904.1
ortholog_2650 gene-HOLleu_13257 AFI33521.1
ortholog_2651 gene-HOLleu_13259 AFI32577.2
ortholog_2652 gene-HOLleu_13262 AFI33293.1
ortholog_2653 gene-HOLleu_13265 AFI32184.2
ortholog_2654 gene-HOLleu_13267 AFI11227.1
ortholog_2655 gene-HOLleu_13271 AFI33300.1
ortholog_2656 gene-HOLleu_13273 AFI32597.1
ortholog_2657 gene-HOLleu_13278 AFI33484.1
ortholog_2658 gene-HOLleu_13280 AFI33069.1
ortholog_2659 gene-HOLleu_13286 AFI11311.1
ortholog_2660 gene-HOLleu_13289 AFI33404.1
ortholog_2661 gene-HOLleu_13291 AFI33141.1
ortholog_2662 gene-HOLleu_13294 AFI12134.1
ortholog_2663 gene-HOLleu_13296 AFI32521.1
ortholog_2664 gene-HOLleu_13297 AFI12044.1
ortholog_2665 gene-HOLleu_13298 AFI32187.1
ortholog_2666 gene-HOLleu_13307 AFI33373.1
ortholog_2667 gene-HOLleu_13308 AFI12221.1
ortholog_2668 gene-HOLleu_13310 AFI11432.1
ortholog_2669 gene-HOLleu_13313 AFI32820.1
ortholog_2670 gene-HOLleu_13314 AFI33497.1
ortholog_2671 gene-HOLleu_13315 AFI12611.1
ortholog_2672 gene-HOLleu_13316 AFI12264.2
ortholog_2673 gene-HOLleu_13318 AFI32122.1
ortholog_2674 gene-HOLleu_13320 AFI32360.1
ortholog_2675 gene-HOLleu_13321 AFI33271.1
ortholog_2676 gene-HOLleu_13322 AFI24604.1
ortholog_2677 gene-HOLleu_13324 AFI33199.1
ortholog_2678 gene-HOLleu_13326 AFI11813.1
ortholog_2679 gene-HOLleu_13328 AFI32127.3
ortholog_2680 gene-HOLleu_13331 AFI12862.1
ortholog_2681 gene-HOLleu_13334 AFI27731.1
ortholog_2682 gene-HOLleu_13336 AFI17917.1
ortholog_2683 gene-HOLleu_13343 AFI32889.1
ortholog_2684 gene-HOLleu_13344 AFI32516.1
ortholog_2685 gene-HOLleu_13349 AFI32368.1
ortholog_2686 gene-HOLleu_13353 AFI32574.1
ortholog_2687 gene-HOLleu_13354 AFI20688.1
ortholog_2688 gene-HOLleu_13355 AFI32377.4
ortholog_2689 gene-HOLleu_13356 AFI32349.3
ortholog_2690 gene-HOLleu_13366 AFI32162.1
ortholog_2691 gene-HOLleu_13368 AFI27456.1
ortholog_2692 gene-HOLleu_13371 AFI06539.1
ortholog_2693 gene-HOLleu_13387 AFI12911.1
ortholog_2694 gene-HOLleu_13388 AFI11076.1
ortholog_2695 gene-HOLleu_13390 AFI33512.1
ortholog_2696 gene-HOLleu_13391 AFI33169.1
ortholog_2697 gene-HOLleu_13393 AFI32687.2
ortholog_2698 gene-HOLleu_13396 AFI32971.1
ortholog_2699 gene-HOLleu_13404 AFI32947.1
ortholog_2700 gene-HOLleu_13406 AFI33273.2
ortholog_2701 gene-HOLleu_13414 AFI10446.1
ortholog_2702 gene-HOLleu_13420 AFI33079.1
ortholog_2703 gene-HOLleu_13421 AFI12280.1
ortholog_2704 gene-HOLleu_13424 AFI12292.1
ortholog_2705 gene-HOLleu_13429 AFI32169.1
ortholog_2706 gene-HOLleu_13435 AFI28608.1
ortholog_2707 gene-HOLleu_13436 AFI32827.1
ortholog_2708 gene-HOLleu_13441 AFI32751.1
ortholog_2709 gene-HOLleu_13448 AFI11468.1
ortholog_2710 gene-HOLleu_13449 AFI11666.1
ortholog_2711 gene-HOLleu_13451 AFI12743.1
ortholog_2712 gene-HOLleu_13452 AFI17884.1
ortholog_2713 gene-HOLleu_13453 AFI32788.1
ortholog_2714 gene-HOLleu_13463 AFI33143.1
ortholog_2715 gene-HOLleu_13466 AFI33110.1
ortholog_2716 gene-HOLleu_13467 AFI33307.1
ortholog_2717 gene-HOLleu_13469 AFI32118.1
ortholog_2718 gene-HOLleu_13470 AFI12668.1
ortholog_2719 gene-HOLleu_13472 AFI12463.2
ortholog_2720 gene-HOLleu_13473 AFI11959.1
ortholog_2721 gene-HOLleu_13476 AFI33474.1
ortholog_2722 gene-HOLleu_13477 AFI12864.1
ortholog_2723 gene-HOLleu_13480 AFI07796.6
ortholog_2724 gene-HOLleu_13489 AFI33498.1
ortholog_2725 gene-HOLleu_13490 AFI33477.1
ortholog_2726 gene-HOLleu_13492 AFI15730.1
ortholog_2727 gene-HOLleu_13494 AFI11130.1
ortholog_2728 gene-HOLleu_13497 AFI12776.1
ortholog_2729 gene-HOLleu_13499 AFI33462.1
ortholog_2730 gene-HOLleu_13500 AFI32280.1
ortholog_2731 gene-HOLleu_13501 AFI32446.1
ortholog_2732 gene-HOLleu_13507 AFI32793.1
ortholog_2733 gene-HOLleu_13508 AFI32366.1
ortholog_2734 gene-HOLleu_13509 AFI11097.1
ortholog_2735 gene-HOLleu_13513 AFI33435.2
ortholog_2736 gene-HOLleu_13515 AFI33289.1
ortholog_2737 gene-HOLleu_13516 AFI32271.2
ortholog_2738 gene-HOLleu_13518 AFI11771.1
ortholog_2739 gene-HOLleu_13519 AFI12367.1
ortholog_2740 gene-HOLleu_13522 AFI32561.1
ortholog_2741 gene-HOLleu_13529 AFI11278.1
ortholog_2742 gene-HOLleu_13531 AFI19771.1
ortholog_2743 gene-HOLleu_13536 AFI31497.1
ortholog_2744 gene-HOLleu_13537 AFI16786.1
ortholog_2745 gene-HOLleu_13539 AFI06933.1
ortholog_2746 gene-HOLleu_13542 AFI32983.1
ortholog_2747 gene-HOLleu_13543 AFI32734.1
ortholog_2748 gene-HOLleu_13544 AFI21746.1
ortholog_2749 gene-HOLleu_13545 AFI12215.2
ortholog_2750 gene-HOLleu_13553 AFI12896.1
ortholog_2751 gene-HOLleu_13555 AFI32797.1
ortholog_2752 gene-HOLleu_13557 AFI11511.1
ortholog_2753 gene-HOLleu_13559 AFI33418.1
ortholog_2754 gene-HOLleu_13562 AFI07893.1
ortholog_2755 gene-HOLleu_13565 AFI33265.1
ortholog_2756 gene-HOLleu_13570 AFI33128.1
ortholog_2757 gene-HOLleu_13571 AFI32552.1
ortholog_2758 gene-HOLleu_13573 AFI12728.1
ortholog_2759 gene-HOLleu_13574 AFI32406.1
ortholog_2760 gene-HOLleu_13576 AFI32621.1
ortholog_2761 gene-HOLleu_13579 AFI08128.1
ortholog_2762 gene-HOLleu_13580 AFI33397.1
ortholog_2763 gene-HOLleu_13582 AFI17928.1
ortholog_2764 gene-HOLleu_13583 AFI32264.1
ortholog_2765 gene-HOLleu_13588 AFI28237.1
ortholog_2766 gene-HOLleu_13600 AFI32490.1
ortholog_2767 gene-HOLleu_13602 AFI32213.1
ortholog_2768 gene-HOLleu_13623 AFI10399.1
ortholog_2769 gene-HOLleu_13642 AFI29150.1
ortholog_2770 gene-HOLleu_13644 AFI13518.2
ortholog_2771 gene-HOLleu_13688 AFI11938.2
ortholog_2772 gene-HOLleu_13691 AFI11057.1
ortholog_2773 gene-HOLleu_13696 AFI11147.1
ortholog_2774 gene-HOLleu_13724 AFI11866.1
ortholog_2775 gene-HOLleu_13725 AFI08384.2
ortholog_2776 gene-HOLleu_13738 AFI30400.1
ortholog_2777 gene-HOLleu_13739 AFI25012.1
ortholog_2778 gene-HOLleu_13740 AFI03965.1
ortholog_2779 gene-HOLleu_13742 AFI11259.1
ortholog_2780 gene-HOLleu_13743 AFI11754.1
ortholog_2781 gene-HOLleu_13745 AFI31753.1
ortholog_2782 gene-HOLleu_13747 AFI08450.1
ortholog_2783 gene-HOLleu_13771 AFI30621.1
ortholog_2784 gene-HOLleu_13772 AFI31786.1
ortholog_2785 gene-HOLleu_13775 AFI12581.1
ortholog_2786 gene-HOLleu_13776 AFI11489.1
ortholog_2787 gene-HOLleu_13781 AFI09654.1
ortholog_2788 gene-HOLleu_13782 AFI08883.1
ortholog_2789 gene-HOLleu_13783 AFI08741.1
ortholog_2790 gene-HOLleu_13790 AFI08414.1
ortholog_2791 gene-HOLleu_13796 AFI17955.1
ortholog_2792 gene-HOLleu_13806 AFI31972.1
ortholog_2793 gene-HOLleu_13807 AFI31367.2
ortholog_2794 gene-HOLleu_13819 AFI32895.1
ortholog_2795 gene-HOLleu_13836 AFI08601.1
ortholog_2796 gene-HOLleu_13843 AFI12276.1
ortholog_2797 gene-HOLleu_13845 AFI11030.1
ortholog_2798 gene-HOLleu_13865 AFI30381.1
ortholog_2799 gene-HOLleu_13876 AFI17145.1
ortholog_2800 gene-HOLleu_13885 AFI11379.1
ortholog_2801 gene-HOLleu_13886 AFI31403.1
ortholog_2802 gene-HOLleu_13889 AFI32503.1
ortholog_2803 gene-HOLleu_13890 AFI09112.6
ortholog_2804 gene-HOLleu_13892 AFI09276.1
ortholog_2805 gene-HOLleu_13907 AFI11748.1
ortholog_2806 gene-HOLleu_13909 AFI30424.1
ortholog_2807 gene-HOLleu_13913 AFI05997.1
ortholog_2808 gene-HOLleu_13926 AFI31727.1
ortholog_2809 gene-HOLleu_13927 AFI07402.1
ortholog_2810 gene-HOLleu_13928 AFI06626.1
ortholog_2811 gene-HOLleu_13931 AFI31347.1
ortholog_2812 gene-HOLleu_13937 AFI12646.1
ortholog_2813 gene-HOLleu_13943 AFI30247.2
ortholog_2814 gene-HOLleu_13951 AFI29370.1
ortholog_2815 gene-HOLleu_13952 AFI07966.1
ortholog_2816 gene-HOLleu_13957 AFI19496.2
ortholog_2817 gene-HOLleu_13959 AFI03508.1
ortholog_2818 gene-HOLleu_13971 AFI12396.1
ortholog_2819 gene-HOLleu_13977 AFI12118.1
ortholog_2820 gene-HOLleu_13980 AFI12858.1
ortholog_2821 gene-HOLleu_13981 AFI30945.1
ortholog_2822 gene-HOLleu_13982 AFI30203.1
ortholog_2823 gene-HOLleu_13984 AFI28254.1
ortholog_2824 gene-HOLleu_13986 AFI11160.1
ortholog_2825 gene-HOLleu_13991 AFI08544.1
ortholog_2826 gene-HOLleu_13993 AFI08617.1
ortholog_2827 gene-HOLleu_14001 AFI30252.1
ortholog_2828 gene-HOLleu_14007 AFI30389.1
ortholog_2829 gene-HOLleu_14008 AFI30211.1
ortholog_2830 gene-HOLleu_14015 AFI29704.1
ortholog_2831 gene-HOLleu_14016 AFI10613.1
ortholog_2832 gene-HOLleu_14018 AFI12049.1
ortholog_2833 gene-HOLleu_14021 AFI04597.1
ortholog_2834 gene-HOLleu_14040 AFI11155.1
ortholog_2835 gene-HOLleu_14041 AFI12120.1
ortholog_2836 gene-HOLleu_14042 AFI11660.1
ortholog_2837 gene-HOLleu_14043 AFI11438.1
ortholog_2838 gene-HOLleu_14045 AFI32097.1
ortholog_2839 gene-HOLleu_14048 AFI11690.1
ortholog_2840 gene-HOLleu_14049 AFI05617.2
ortholog_2841 gene-HOLleu_14050 AFI11145.1
ortholog_2842 gene-HOLleu_14051 AFI31860.1
ortholog_2843 gene-HOLleu_14054 AFI12880.1
ortholog_2844 gene-HOLleu_14074 AFI06441.1
ortholog_2845 gene-HOLleu_14076 AFI19592.1
ortholog_2846 gene-HOLleu_14091 AFI08545.1
ortholog_2847 gene-HOLleu_14092 AFI12705.1
ortholog_2848 gene-HOLleu_14095 AFI13032.1
ortholog_2849 gene-HOLleu_14096 AFI13042.1
ortholog_2850 gene-HOLleu_14098 AFI12767.1
ortholog_2851 gene-HOLleu_14102 AFI31705.1
ortholog_2852 gene-HOLleu_14105 AFI31726.1
ortholog_2853 gene-HOLleu_14106 AFI31730.1
ortholog_2854 gene-HOLleu_14107 AFI30191.1
ortholog_2855 gene-HOLleu_14108 AFI08279.1
ortholog_2856 gene-HOLleu_14123 AFI15098.1
ortholog_2857 gene-HOLleu_14130 AFI30390.1
ortholog_2858 gene-HOLleu_14131 AFI08552.1
ortholog_2859 gene-HOLleu_14132 AFI30509.1
ortholog_2860 gene-HOLleu_14134 AFI31751.1
ortholog_2861 gene-HOLleu_14135 AFI08528.3
ortholog_2862 gene-HOLleu_14141 AFI21352.1
ortholog_2863 gene-HOLleu_14148 AFI08870.1
ortholog_2864 gene-HOLleu_14149 AFI31365.1
ortholog_2865 gene-HOLleu_14150 AFI25399.1
ortholog_2866 gene-HOLleu_14151 AFI25574.1
ortholog_2867 gene-HOLleu_14152 AFI26125.2
ortholog_2868 gene-HOLleu_14162 AFI25130.1
ortholog_2869 gene-HOLleu_14163 AFI25863.1
ortholog_2870 gene-HOLleu_14171 AFI08874.1
ortholog_2871 gene-HOLleu_14176 AFI08603.1
ortholog_2872 gene-HOLleu_14186 AFI22402.1
ortholog_2873 gene-HOLleu_14187 AFI17767.1
ortholog_2874 gene-HOLleu_14188 AFI30941.1
ortholog_2875 gene-HOLleu_14190 AFI30380.1
ortholog_2876 gene-HOLleu_14199 AFI28536.1
ortholog_2877 gene-HOLleu_14204 AFI18206.1
ortholog_2878 gene-HOLleu_14208 AFI31401.1
ortholog_2879 gene-HOLleu_14221 AFI12219.1
ortholog_2880 gene-HOLleu_14224 AFI12445.1
ortholog_2881 gene-HOLleu_14242 AFI12125.1
ortholog_2882 gene-HOLleu_14243 AFI32586.1
ortholog_2883 gene-HOLleu_14248 AFI33545.1
ortholog_2884 gene-HOLleu_14249 AFI32800.1
ortholog_2885 gene-HOLleu_14252 AFI30879.1
ortholog_2886 gene-HOLleu_14253 AFI13263.1
ortholog_2887 gene-HOLleu_14254 AFI25514.1
ortholog_2888 gene-HOLleu_14255 AFI25694.1
ortholog_2889 gene-HOLleu_14256 AFI08346.1
ortholog_2890 gene-HOLleu_14257 AFI11967.1
ortholog_2891 gene-HOLleu_14262 AFI23428.1
ortholog_2892 gene-HOLleu_14266 AFI28810.1
ortholog_2893 gene-HOLleu_14289 AFI17291.1
ortholog_2894 gene-HOLleu_14293 AFI31552.1
ortholog_2895 gene-HOLleu_14304 AFI31320.1
ortholog_2896 gene-HOLleu_14306 AFI30324.1
ortholog_2897 gene-HOLleu_14309 AFI31254.1
ortholog_2898 gene-HOLleu_14310 AFI12517.1
ortholog_2899 gene-HOLleu_14314 AFI12034.1
ortholog_2900 gene-HOLleu_14316 AFI11722.1
ortholog_2901 gene-HOLleu_14320 AFI12842.1
ortholog_2902 gene-HOLleu_14330 AFI29879.1
ortholog_2903 gene-HOLleu_14333 AFI28176.1
ortholog_2904 gene-HOLleu_14339 AFI08515.1
ortholog_2905 gene-HOLleu_14340 AFI30837.1
ortholog_2906 gene-HOLleu_14341 AFI30510.1
ortholog_2907 gene-HOLleu_14357 AFI22396.1
ortholog_2908 gene-HOLleu_14359 AFI10923.1
ortholog_2909 gene-HOLleu_14360 AFI11174.1
ortholog_2910 gene-HOLleu_14375 AFI09106.2
ortholog_2911 gene-HOLleu_14379 AFI17094.1
ortholog_2912 gene-HOLleu_14380 AFI00245.1
ortholog_2913 gene-HOLleu_14386 AFI07421.1
ortholog_2914 gene-HOLleu_14387 AFI11715.1
ortholog_2915 gene-HOLleu_14392 AFI12483.2
ortholog_2916 gene-HOLleu_14395 AFI11805.1
ortholog_2917 gene-HOLleu_14396 AFI12713.1
ortholog_2918 gene-HOLleu_14398 AFI12183.1
ortholog_2919 gene-HOLleu_14436 AFI09097.2
ortholog_2920 gene-HOLleu_14437 AFI08335.3
ortholog_2921 gene-HOLleu_14440 AFI12408.1
ortholog_2922 gene-HOLleu_14442 AFI32837.1
ortholog_2923 gene-HOLleu_14445 AFI19305.1
ortholog_2924 gene-HOLleu_14446 AFI32993.1
ortholog_2925 gene-HOLleu_14447 AFI31056.1
ortholog_2926 gene-HOLleu_14451 AFI12985.1
ortholog_2927 gene-HOLleu_14456 AFI08461.4
ortholog_2928 gene-HOLleu_14457 AFI25384.2
ortholog_2929 gene-HOLleu_14466 AFI19509.1
ortholog_2930 gene-HOLleu_14468 AFI08247.3
ortholog_2931 gene-HOLleu_14479 AFI12029.1
ortholog_2932 gene-HOLleu_14489 AFI30131.2
ortholog_2933 gene-HOLleu_14490 AFI30337.1
ortholog_2934 gene-HOLleu_14491 AFI30999.2
ortholog_2935 gene-HOLleu_14492 AFI12570.1
ortholog_2936 gene-HOLleu_14493 AFI29986.1
ortholog_2937 gene-HOLleu_14498 AFI11583.1
ortholog_2938 gene-HOLleu_14499 AFI11900.1
ortholog_2939 gene-HOLleu_14500 AFI29815.2
ortholog_2940 gene-HOLleu_14502 AFI11214.1
ortholog_2941 gene-HOLleu_14503 AFI11047.1
ortholog_2942 gene-HOLleu_14507 AFI11439.1
ortholog_2943 gene-HOLleu_14509 AFI12621.1
ortholog_2944 gene-HOLleu_14510 AFI30973.1
ortholog_2945 gene-HOLleu_14514 AFI30181.1
ortholog_2946 gene-HOLleu_14515 AFI08637.1
ortholog_2947 gene-HOLleu_14523 AFI11578.1
ortholog_2948 gene-HOLleu_14547 AFI06691.2
ortholog_2949 gene-HOLleu_14549 AFI21799.1
ortholog_2950 gene-HOLleu_14552 AFI18148.3
ortholog_2951 gene-HOLleu_14568 AFI06204.1
ortholog_2952 gene-HOLleu_14569 AFI30375.1
ortholog_2953 gene-HOLleu_14573 AFI29692.1
ortholog_2954 gene-HOLleu_14575 AFI08410.1
ortholog_2955 gene-HOLleu_14576 AFI08632.1
ortholog_2956 gene-HOLleu_14580 AFI11698.1
ortholog_2957 gene-HOLleu_14581 AFI08655.1
ortholog_2958 gene-HOLleu_14583 AFI09023.1
ortholog_2959 gene-HOLleu_14586 AFI14486.2
ortholog_2960 gene-HOLleu_14587 AFI12444.1
ortholog_2961 gene-HOLleu_14589 AFI15164.1
ortholog_2962 gene-HOLleu_14590 AFI29878.1
ortholog_2963 gene-HOLleu_14597 AFI31443.1
ortholog_2964 gene-HOLleu_14600 AFI30055.1
ortholog_2965 gene-HOLleu_14602 AFI30806.3
ortholog_2966 gene-HOLleu_14603 AFI31673.2
ortholog_2967 gene-HOLleu_14604 AFI31650.1
ortholog_2968 gene-HOLleu_14605 AFI10948.1
ortholog_2969 gene-HOLleu_14606 AFI09122.1
ortholog_2970 gene-HOLleu_14608 AFI09190.1
ortholog_2971 gene-HOLleu_14609 AFI08641.1
ortholog_2972 gene-HOLleu_14610 AFI08659.1
ortholog_2973 gene-HOLleu_14613 AFI31463.1
ortholog_2974 gene-HOLleu_14617 AFI05197.1
ortholog_2975 gene-HOLleu_14620 AFI28187.1
ortholog_2976 gene-HOLleu_14621 AFI33354.1
ortholog_2977 gene-HOLleu_14628 AFI23888.1
ortholog_2978 gene-HOLleu_14629 AFI23198.1
ortholog_2979 gene-HOLleu_14636 AFI08394.1
ortholog_2980 gene-HOLleu_14651 AFI12540.1
ortholog_2981 gene-HOLleu_14657 AFI08792.1
