ortholog_1 SCH01409.1 BL15770
ortholog_1519 SCH05470.1 BL11325
ortholog_1520 SCH06261.1 BL06309
ortholog_1521 SCH05954.1 BL06214
ortholog_1522 SCH05887.1 BL06499
ortholog_1523 SCH06417.1 BL06310
ortholog_1524 SCH05393.1 BL12247
ortholog_1525 SCH05631.1 BL11431
ortholog_1526 SCH06302.1 BL08671
ortholog_1527 SCH05784.1 BL06119
ortholog_1528 SCH05777.1 BL24307
ortholog_1529 SCH05899.1 BL12143
ortholog_1530 SCH06306.1 BL03718
ortholog_1531 SCH06280.1 BL03717
ortholog_1532 SCH06208.1 BL24289
ortholog_1533 SCH06260.1 BL09806
ortholog_1534 SCH05452.1 BL06139
ortholog_1535 SCH05719.1 BL03680
ortholog_1536 SCH06415.1 BL05989
ortholog_1537 SCH05728.1 BL05879
ortholog_1538 SCH05912.1 BL01280
ortholog_1539 SCH05442.1 BL06079
ortholog_1540 SCH05364.1 BL06399
ortholog_1541 SCH05853.1 BL19212
ortholog_1542 SCH06397.1 BL06328
ortholog_1543 SCH05643.1 BL06428
ortholog_1544 SCH05575.1 BL06250
ortholog_1545 SCH05604.1 BL06488
ortholog_1546 SCH05363.1 BL12507
ortholog_1547 SCH05588.1 BL06185
ortholog_1548 SCH06185.1 BL18159
ortholog_1549 SCH05885.1 BL06306
ortholog_1550 SCH06204.1 BL06418
ortholog_1551 SCH06319.1 BL06177
ortholog_1552 SCH05810.1 BL06280
ortholog_1553 SCH06157.1 BL05988
ortholog_1554 SCH05880.1 BL24407
ortholog_1555 SCH05527.1 BL06070
ortholog_1556 SCH06378.1 BL17039
ortholog_1557 SCH06344.1 BL27842
ortholog_1558 SCH05730.1 BL06281
ortholog_1559 SCH05519.1 BL05888
ortholog_1560 SCH06228.1 BL05941
ortholog_1561 SCH06125.1 BL06013
ortholog_1562 SCH06126.1 BL11974
ortholog_1563 SCH05964.1 BL06210
ortholog_1564 SCH06098.1 BL06482
ortholog_1565 SCH06025.1 BL05987
ortholog_1566 SCH05758.1 BL06138
ortholog_1567 SCH05976.1 BL05984
ortholog_1568 SCH05598.1 BL24300
ortholog_1569 SCH06384.1 BL24295
ortholog_1570 SCH06352.1 BL06116
ortholog_1571 SCH05536.1 BL06415
ortholog_1572 SCH05783.1 BL14915
ortholog_1573 SCH05650.1 BL27214
ortholog_1574 SCH05960.1 BL06287
ortholog_1575 SCH06003.1 BL06133
ortholog_1576 SCH05883.1 BL06203
ortholog_1577 SCH05513.1 BL15033
ortholog_1578 SCH05526.1 BL06076
ortholog_1579 SCH05867.1 BL05864
ortholog_1580 SCH05548.1 BL05865
ortholog_1581 SCH05898.1 BL05866
ortholog_1582 SCH06101.1 BL06322
ortholog_1583 SCH06142.1 BL23021
ortholog_1584 SCH05962.1 BL05867
ortholog_1585 SCH05996.1 BL05933
ortholog_1586 SCH06288.1 BL26238
ortholog_1587 SCH06168.1 BL25793
ortholog_1588 SCH06036.1 BL05993
ortholog_1589 SCH05614.1 BL15488
ortholog_1590 SCH05771.1 BL15908
ortholog_1591 SCH06090.1 BL08658
ortholog_1592 SCH05865.1 BL24288
ortholog_1593 SCH05605.1 BL06389
ortholog_1594 SCH05779.1 BL06233
ortholog_1595 SCH05395.1 BL15194
ortholog_1596 SCH05752.1 BL06377
ortholog_1597 SCH05670.1 BL24399
ortholog_1598 SCH05390.1 BL18260
ortholog_1599 SCH06031.1 BL21272
ortholog_1600 SCH06314.1 BL06004
ortholog_1601 SCH06096.1 BL01687
ortholog_1602 SCH06182.1 BL20550
ortholog_1603 SCH06048.1 BL06447
ortholog_1604 SCH06074.1 BL24402
ortholog_1605 SCH05396.1 BL08699
ortholog_1606 SCH05871.1 BL06144
ortholog_1607 SCH06368.1 BL06172
ortholog_1608 SCH05839.1 BL03685
ortholog_1609 SCH05864.1 BL06016
ortholog_1610 SCH05585.1 BL24184
ortholog_1611 SCH06363.1 BL11909
ortholog_1612 SCH05749.1 BL06077
ortholog_1613 SCH05793.1 BL06337
ortholog_1614 SCH06365.1 BL02828
ortholog_1615 SCH05579.1 BL05896
ortholog_1616 SCH06130.1 BL24322
ortholog_1617 SCH05380.1 BL06027
ortholog_1618 SCH05417.1 BL24377
ortholog_1619 SCH05450.1 BL24320
ortholog_1620 SCH05766.1 BL24319
ortholog_1621 SCH05586.1 BL10849
ortholog_1622 SCH05909.1 BL06090
ortholog_1623 SCH06376.1 BL04263
ortholog_1624 SCH06029.1 BL14004
ortholog_1625 SCH05828.1 BL06069
ortholog_1626 SCH05471.1 BL06255
ortholog_1627 SCH05477.1 BL27738
ortholog_1628 SCH05502.1 BL15157
ortholog_1629 SCH05785.1 BL12496
ortholog_1630 SCH06375.1 BL12495
ortholog_1631 SCH06416.1 BL05884
ortholog_1632 SCH05944.1 BL17040
ortholog_1633 SCH05711.1 BL12542
ortholog_1634 SCH05411.1 BL12545
ortholog_1635 SCH05914.1 BL06375
ortholog_1636 SCH05710.1 BL03607
ortholog_1637 SCH05918.1 BL21346
ortholog_1638 SCH05612.1 BL12120
ortholog_1639 SCH05699.1 BL13105
ortholog_1640 SCH05632.1 BL08662
ortholog_1641 SCH05620.1 BL06473
ortholog_1642 SCH05658.1 BL06472
ortholog_1643 SCH05765.1 BL06227
ortholog_1644 SCH06402.1 BL12236
ortholog_1645 SCH06084.1 BL07064
ortholog_1646 SCH06077.1 BL03688
ortholog_1647 SCH06118.1 BL06151
ortholog_1648 SCH06081.1 BL06149
ortholog_1649 SCH06045.1 BL06148
ortholog_1650 SCH06373.1 BL06146
ortholog_1651 SCH06339.1 BL21974
ortholog_1652 SCH06414.1 BL06333
ortholog_1653 SCH05426.1 BL05901
ortholog_1654 SCH06369.1 BL06145
ortholog_1655 SCH05454.1 BL03720
ortholog_1656 SCH06295.1 BL06490
ortholog_1657 SCH05463.1 BL06491
ortholog_1658 SCH06203.1 BL02411
ortholog_1659 SCH05925.1 BL27375
ortholog_1660 SCH06237.1 BL23772
ortholog_1661 SCH05570.1 BL06200
ortholog_1662 SCH06051.1 BL06198
ortholog_1663 SCH06058.1 BL06199
ortholog_1664 SCH05504.1 BL06197
ortholog_1665 SCH05619.1 BL06196
ortholog_1666 SCH05720.1 BL06406
ortholog_1667 SCH05847.1 BL12508
ortholog_1668 SCH05439.1 BL15689
ortholog_1669 SCH05649.1 BL06220
ortholog_1670 SCH05409.1 BL05916
ortholog_1671 SCH05609.1 BL03657
ortholog_1672 SCH05616.1 BL06289
ortholog_1673 SCH06220.1 BL05878
ortholog_1674 SCH05716.1 BL22752
ortholog_1675 SCH05983.1 BL05863
ortholog_1676 SCH06163.1 BL16661
ortholog_1677 SCH05747.1 BL16939
ortholog_1678 SCH05986.1 BL06342
ortholog_1679 SCH05923.1 BL24387
ortholog_1680 SCH05489.1 BL25432
ortholog_1681 SCH05425.1 BL06096
ortholog_1682 SCH05745.1 BL22124
ortholog_1683 SCH05802.1 BL00810
ortholog_1684 SCH05689.1 BL05985
ortholog_1685 SCH06119.1 BL08650
ortholog_1686 SCH05675.1 BL03684
ortholog_1687 SCH05509.1 BL03332
ortholog_1688 SCH06305.1 BL15296
ortholog_1689 SCH06120.1 BL27596
ortholog_1690 SCH06174.1 BL08680
ortholog_1691 SCH06191.1 BL06489
ortholog_1692 SCH05845.1 BL06025
ortholog_1693 SCH05808.1 BL03662
ortholog_1694 SCH05902.1 BL03698
ortholog_1695 SCH05388.1 BL03679
ortholog_1696 SCH06147.1 BL08660
ortholog_1697 SCH06060.1 BL23108
ortholog_1698 SCH06320.1 BL06114
ortholog_1699 SCH06343.1 BL06115
ortholog_1700 SCH06307.1 BL07381
ortholog_1701 SCH06027.1 BL12232
ortholog_1702 SCH05725.1 BL12231
ortholog_1703 SCH06105.1 BL15584
ortholog_1704 SCH05840.1 BL04259
ortholog_1705 SCH06357.1 BL02653
ortholog_1706 SCH05673.1 BL03723
ortholog_1707 SCH05428.1 BL06007
ortholog_1708 SCH06189.1 BL19160
ortholog_1709 SCH05680.1 BL03682
ortholog_1710 SCH05932.1 BL03671
ortholog_1711 SCH05528.1 BL03663
ortholog_1712 SCH06250.1 BL05938
ortholog_1713 SCH06240.1 BL05937
ortholog_1714 SCH06097.1 BL03669
ortholog_1715 SCH05794.1 BL06156
ortholog_1716 SCH05903.1 BL03195
ortholog_1717 SCH06087.1 BL27794
ortholog_1718 SCH05638.1 BL03634
ortholog_1719 SCH06088.1 BL00912
ortholog_1720 SCH05465.1 BL06356
ortholog_1721 SCH06274.1 BL27563
ortholog_1722 SCH05920.1 BL05930
ortholog_1723 SCH05825.1 BL06038
ortholog_1724 SCH06078.1 BL06378
ortholog_1725 SCH06227.1 BL06237
ortholog_1726 SCH05569.1 BL06241
ortholog_1727 SCH06398.1 BL06325
ortholog_1728 SCH05365.1 BL06326
ortholog_1729 SCH06386.1 BL06318
ortholog_1730 SCH06422.1 BL06010
ortholog_1731 SCH05927.1 BL24826
ortholog_1732 SCH05984.1 BL06136
ortholog_1733 SCH05427.1 BL06131
ortholog_1734 SCH05492.1 BL06067
ortholog_1735 SCH06020.1 BL22722
ortholog_1736 SCH05540.1 BL25048
ortholog_1737 SCH05857.1 BL03710
ortholog_1738 SCH05769.1 BL03709
ortholog_1739 SCH05377.1 BL06228
ortholog_1740 SCH06337.1 BL06222
ortholog_1741 SCH05655.1 BL05519
ortholog_1742 SCH05573.1 BL03678
ortholog_1743 SCH05664.1 BL06047
ortholog_1744 SCH05629.1 BL06049
ortholog_1745 SCH05714.1 BL22474
ortholog_1746 SCH06223.1 BL15044
ortholog_1747 SCH05611.1 BL06366
ortholog_1748 SCH06127.1 BL06262
ortholog_1749 SCH05562.1 BL05979
ortholog_1750 SCH05523.1 BL11195
ortholog_1751 SCH05475.1 BL26286
ortholog_1752 SCH05713.1 BL06362
ortholog_1753 SCH05660.1 BL24420
ortholog_1754 SCH05423.1 BL14033
ortholog_1755 SCH05457.1 BL05101
ortholog_1756 SCH06285.1 BL06009
ortholog_1757 SCH05833.1 BL25072
ortholog_1758 SCH06332.1 BL03653
ortholog_1759 SCH05819.1 BL18041
ortholog_1760 SCH05656.1 BL05890
ortholog_1761 SCH06116.1 BL05926
ortholog_1762 SCH05534.1 BL24388
ortholog_1763 SCH06001.1 BL06404
ortholog_1764 SCH05626.1 BL21196
ortholog_1765 SCH06212.1 BL24318
ortholog_1766 SCH05451.1 BL06308
ortholog_1767 SCH05967.1 BL05872
ortholog_1768 SCH05663.1 BL24422
ortholog_1769 SCH05754.1 BL02676
ortholog_1770 SCH06107.1 BL06348
ortholog_1771 SCH05757.1 BL21345
ortholog_1772 SCH05533.1 BL06239
ortholog_1773 SCH05811.1 BL06235
ortholog_1774 SCH05994.1 BL24400
ortholog_1775 SCH05424.1 BL03757
ortholog_1776 SCH06292.1 BL06339
ortholog_1777 SCH06099.1 BL06340
ortholog_1778 SCH06039.1 BL05296
ortholog_1779 SCH06138.1 BL06392
ortholog_1780 SCH06063.1 BL06391
ortholog_1781 SCH05832.1 BL06390
ortholog_1782 SCH06108.1 BL24348
ortholog_1783 SCH05414.1 BL24349
ortholog_1784 SCH05627.1 BL06066
ortholog_1785 SCH06225.1 BL24361
ortholog_1786 SCH05773.1 BL06402
ortholog_1787 SCH05593.1 BL06093
ortholog_1788 SCH06057.1 BL05949
ortholog_1789 SCH06164.1 BL06376
ortholog_1790 SCH05671.1 BL21715
ortholog_1791 SCH05637.1 BL08485
ortholog_1792 SCH06410.1 BL06064
ortholog_1793 SCH05382.1 BL24372
ortholog_1794 SCH05464.1 BL25469
ortholog_1795 SCH05495.1 BL26179
ortholog_1796 SCH06426.1 BL06188
ortholog_1797 SCH06115.1 BL24302
ortholog_1798 SCH06404.1 BL06182
ortholog_1799 SCH06231.1 BL21921
ortholog_1800 SCH06177.1 BL06278
ortholog_1801 SCH05908.1 BL03697
ortholog_1802 SCH06255.1 BL03705
ortholog_1803 SCH05941.1 BL06105
ortholog_1804 SCH05942.1 BL24412
ortholog_1805 SCH06771.1 BL08604
ortholog_1806 SCH06634.1 BL14003
ortholog_1807 SCH07154.1 BL19037
ortholog_1808 SCH06884.1 BL12254
ortholog_1809 SCH06443.1 BL16199
ortholog_1810 SCH06818.1 BL26095
ortholog_1811 SCH07162.1 BL14495
ortholog_1812 SCH07227.1 BL04471
ortholog_1813 SCH06504.1 BL14060
ortholog_1814 SCH06449.1 BL14435
ortholog_1815 SCH06892.1 BL14259
ortholog_1816 SCH06689.1 BL14260
ortholog_1817 SCH06741.1 BL15510
ortholog_1818 SCH06710.1 BL14612
ortholog_1819 SCH06557.1 BL01409
ortholog_1820 SCH06576.1 BL04805
ortholog_1821 SCH07222.1 BL05591
ortholog_1822 SCH07074.1 BL14533
ortholog_1823 SCH06668.1 BL14366
ortholog_1824 SCH07262.1 BL04769
ortholog_1825 SCH06573.1 BL14615
ortholog_1826 SCH06891.1 BL14633
ortholog_1827 SCH07026.1 BL04743
ortholog_1828 SCH06890.1 BL14364
ortholog_1829 SCH07044.1 BL14558
ortholog_1830 SCH07069.1 BL04776
ortholog_1831 SCH06547.1 BL16639
ortholog_1832 SCH06926.1 BL15067
ortholog_1833 SCH06758.1 BL00714
ortholog_1834 SCH06972.1 BL14556
ortholog_1835 SCH06768.1 BL04813
ortholog_1836 SCH07088.1 BL17193
ortholog_1837 SCH06437.1 BL14014
ortholog_1838 SCH07115.1 BL14617
ortholog_1839 SCH07233.1 BL04468
ortholog_1840 SCH06617.1 BL14425
ortholog_1841 SCH06963.1 BL14262
ortholog_1842 SCH07085.1 BL14254
ortholog_1843 SCH06897.1 BL22400
ortholog_1844 SCH07216.1 BL13257
ortholog_1845 SCH06977.1 BL26676
ortholog_1846 SCH06816.1 BL10303
ortholog_1847 SCH06954.1 BL15310
ortholog_1848 SCH06960.1 BL14513
ortholog_1849 SCH06910.1 BL14240
ortholog_1850 SCH06530.1 BL14092
ortholog_1851 SCH06519.1 BL04879
ortholog_1852 SCH06464.1 BL17434
ortholog_1853 SCH06961.1 BL14249
ortholog_1854 SCH06989.1 BL04755
ortholog_1855 SCH07108.1 BL00478
ortholog_1856 SCH06830.1 BL26018
ortholog_1857 SCH07210.1 BL20476
ortholog_1858 SCH06679.1 BL18085
ortholog_1859 SCH07116.1 BL04890
ortholog_1860 SCH06523.1 BL04838
ortholog_1861 SCH07142.1 BL04900
ortholog_1862 SCH06680.1 BL15151
ortholog_1863 SCH06671.1 BL14341
ortholog_1864 SCH06789.1 BL08052
ortholog_1865 SCH06527.1 BL09927
ortholog_1866 SCH06772.1 BL23190
ortholog_1867 SCH07060.1 BL14302
ortholog_1868 SCH06812.1 BL04739
ortholog_1869 SCH06650.1 BL12064
ortholog_1870 SCH06615.1 BL04772
ortholog_1871 SCH06495.1 BL21153
ortholog_1872 SCH07279.1 BL21154
ortholog_1873 SCH07195.1 BL00375
ortholog_1874 SCH07030.1 BL24594
ortholog_1875 SCH06911.1 BL23895
ortholog_1876 SCH06944.1 BL14275
ortholog_1877 SCH06807.1 BL14475
ortholog_1878 SCH07274.1 BL13041
ortholog_1879 SCH06894.1 BL14318
ortholog_1880 SCH06775.1 BL21457
ortholog_1881 SCH06558.1 BL14440
ortholog_1882 SCH06774.1 BL14010
ortholog_1883 SCH06551.1 BL05927
ortholog_1884 SCH06513.1 BL04893
ortholog_1885 SCH06447.1 BL03966
ortholog_1886 SCH07272.1 BL14607
ortholog_1887 SCH07166.1 BL17794
ortholog_1888 SCH07263.1 BL17342
ortholog_1889 SCH07089.1 BL18822
ortholog_1890 SCH06835.1 BL04777
ortholog_1891 SCH06608.1 BL14539
ortholog_1892 SCH06827.1 BL13116
ortholog_1893 SCH06811.1 BL14535
ortholog_1894 SCH07017.1 BL14534
ortholog_1895 SCH06984.1 BL14095
ortholog_1896 SCH07150.1 BL04761
ortholog_1897 SCH07000.1 BL08816
ortholog_1898 SCH06952.1 BL21610
ortholog_1899 SCH06515.1 BL21611
ortholog_1900 SCH06861.1 BL00713
ortholog_1901 SCH07068.1 BL08974
ortholog_1902 SCH07237.1 BL04715
ortholog_1903 SCH06730.1 BL04873
ortholog_1904 SCH07082.1 BL14565
ortholog_1905 SCH06463.1 BL04804
ortholog_1906 SCH07092.1 BL14028
ortholog_1907 SCH06465.1 BL14626
ortholog_1908 SCH07158.1 BL14255
ortholog_1909 SCH06586.1 BL14261
ortholog_1910 SCH06629.1 BL14272
ortholog_1911 SCH06568.1 BL04712
ortholog_1912 SCH06759.1 BL14017
ortholog_1913 SCH06644.1 BL14543
ortholog_1914 SCH06700.1 BL01855
ortholog_1915 SCH06685.1 BL14443
ortholog_1916 SCH06492.1 BL14445
ortholog_1917 SCH06860.1 BL27044
ortholog_1918 SCH07160.1 BL17376
ortholog_1919 SCH07104.1 BL21176
ortholog_1920 SCH07151.1 BL19675
ortholog_1921 SCH06990.1 BL04719
ortholog_1922 SCH07018.1 BL08682
ortholog_1923 SCH07015.1 BL14561
ortholog_1924 SCH07175.1 BL13406
ortholog_1925 SCH06663.1 BL22249
ortholog_1926 SCH06500.1 BL14505
ortholog_1927 SCH06657.1 BL14378
ortholog_1928 SCH06624.1 BL14377
ortholog_1929 SCH06511.1 BL14013
ortholog_1930 SCH06778.1 BL14239
ortholog_1931 SCH07062.1 BL14050
ortholog_1932 SCH07031.1 BL04464
ortholog_1933 SCH07265.1 BL14461
ortholog_1934 SCH06569.1 BL03390
ortholog_1935 SCH06749.1 BL04716
ortholog_1936 SCH07218.1 BL14451
ortholog_1937 SCH06563.1 BL16668
ortholog_1938 SCH06533.1 BL17433
ortholog_1939 SCH06798.1 BL04454
ortholog_1940 SCH06744.1 BL07030
ortholog_1941 SCH06672.1 BL04881
ortholog_1942 SCH07027.1 BL09890
ortholog_1943 SCH06719.1 BL09146
ortholog_1944 SCH07010.1 BL11134
ortholog_1945 SCH07070.1 BL00171
ortholog_1946 SCH06697.1 BL03737
ortholog_1947 SCH06905.1 BL23296
ortholog_1948 SCH06696.1 BL12000
ortholog_1949 SCH06544.1 BL17412
ortholog_1950 SCH07040.1 BL09911
ortholog_1951 SCH07145.1 BL14424
ortholog_1952 SCH07177.1 BL14115
ortholog_1953 SCH06979.1 BL17426
ortholog_1954 SCH06580.1 BL04831
ortholog_1955 SCH06854.1 BL27935
ortholog_1956 SCH06913.1 BL14315
ortholog_1957 SCH06488.1 BL04892
ortholog_1958 SCH07139.1 BL04894
ortholog_1959 SCH07249.1 BL04895
ortholog_1960 SCH07224.1 BL04897
ortholog_1961 SCH07207.1 BL04898
ortholog_1962 SCH06653.1 BL14367
ortholog_1963 SCH06502.1 BL08940
ortholog_1964 SCH06947.1 BL14501
ortholog_1965 SCH06493.1 BL04744
ortholog_1966 SCH06642.1 BL14608
ortholog_1967 SCH06832.1 BL12065
ortholog_1968 SCH07045.1 BL12061
ortholog_1969 SCH07071.1 BL17385
ortholog_1970 SCH07106.1 BL17386
ortholog_1971 SCH06536.1 BL04775
ortholog_1972 SCH06747.1 BL17397
ortholog_1973 SCH06726.1 BL14299
ortholog_1974 SCH07059.1 BL14496
ortholog_1975 SCH06881.1 BL14320
ortholog_1976 SCH06761.1 BL23311
ortholog_1977 SCH07063.1 BL01782
ortholog_1978 SCH07032.1 BL14271
ortholog_1979 SCH06958.1 BL11485
ortholog_1980 SCH06927.1 BL14864
ortholog_1981 SCH07132.1 BL04718
ortholog_1982 SCH07180.1 BL14220
ortholog_1983 SCH06755.1 BL20662
ortholog_1984 SCH06780.1 BL14034
ortholog_1985 SCH07130.1 BL14474
ortholog_1986 SCH06594.1 BL17449
ortholog_1987 SCH06736.1 BL13996
ortholog_1988 SCH06705.1 BL17343
ortholog_1989 SCH07234.1 BL23828
ortholog_1990 SCH06930.1 BL04711
ortholog_1991 SCH06964.1 BL07999
ortholog_1992 SCH07039.1 BL04736
ortholog_1993 SCH06612.1 BL04735
ortholog_1994 SCH06784.1 BL14257
ortholog_1995 SCH06709.1 BL14620
ortholog_1996 SCH06922.1 BL14002
ortholog_1997 SCH06806.1 BL04463
ortholog_1998 SCH06804.1 BL14600
ortholog_1999 SCH06920.1 BL15336
ortholog_2000 SCH06516.1 BL20741
ortholog_2001 SCH06986.1 BL25996
ortholog_2002 SCH06589.1 BL09760
ortholog_2003 SCH06871.1 BL09802
ortholog_2004 SCH07236.1 BL20017
ortholog_2005 SCH07028.1 BL14571
ortholog_2006 SCH07208.1 BL14572
ortholog_2007 SCH07147.1 BL14392
ortholog_2008 SCH06467.1 BL17391
ortholog_2009 SCH07206.1 BL17390
ortholog_2010 SCH06592.1 BL14090
ortholog_2011 SCH06619.1 BL14091
ortholog_2012 SCH06598.1 BL14120
ortholog_2013 SCH06625.1 BL11624
ortholog_2014 SCH06849.1 BL17377
ortholog_2015 SCH06820.1 BL12851
ortholog_2016 SCH06969.1 BL03728
ortholog_2017 SCH06762.1 BL14355
ortholog_2018 SCH06945.1 BL21177
ortholog_2019 SCH06923.1 BL14300
ortholog_2020 SCH07159.1 BL28169
ortholog_2021 SCH06794.1 BL14251
ortholog_2022 SCH07126.1 BL04880
ortholog_2023 SCH06733.1 BL04855
ortholog_2024 SCH06695.1 BL14386
ortholog_2025 SCH07112.1 BL14384
ortholog_2026 SCH06889.1 BL14383
ortholog_2027 SCH06654.1 BL05391
ortholog_2028 SCH06842.1 BL13708
ortholog_2029 SCH06480.1 BL14030
ortholog_2030 SCH06610.1 BL25406
ortholog_2031 SCH06524.1 BL14463
ortholog_2032 SCH06501.1 BL14464
ortholog_2033 SCH07219.1 BL14330
ortholog_2034 SCH06469.1 BL17364
ortholog_2035 SCH06941.1 BL14625
ortholog_2036 SCH06720.1 BL14602
ortholog_2037 SCH07052.1 BL14603
ortholog_2038 SCH06718.1 BL22123
ortholog_2039 SCH06843.1 BL14611
ortholog_2040 SCH06490.1 BL14036
ortholog_2041 SCH06876.1 BL14373
ortholog_2042 SCH06856.1 BL06638
ortholog_2043 SCH06959.1 BL14477
ortholog_2044 SCH06956.1 BL17367
ortholog_2045 SCH07050.1 BL03058
ortholog_2046 SCH07257.1 BL14514
ortholog_2047 SCH06962.1 BL22264
ortholog_2048 SCH07051.1 BL13671
ortholog_2049 SCH06560.1 BL04083
ortholog_2050 SCH07109.1 BL22074
ortholog_2051 SCH06934.1 BL22369
ortholog_2052 SCH06587.1 BL09394
ortholog_2053 SCH06578.1 BL14589
ortholog_2054 SCH06575.1 BL14604
ortholog_2055 SCH07189.1 BL17618
ortholog_2056 SCH06499.1 BL00359
ortholog_2057 SCH06604.1 BL00346
ortholog_2058 SCH06915.1 BL26494
ortholog_2059 SCH06535.1 BL16696
ortholog_2060 SCH06838.1 BL17370
ortholog_2061 SCH07004.1 BL11874
ortholog_2062 SCH07119.1 BL17365
ortholog_2063 SCH06545.1 BL21148
ortholog_2064 SCH07240.1 BL14359
ortholog_2065 SCH07155.1 BL14087
ortholog_2066 SCH07192.1 BL04470
ortholog_2067 SCH06674.1 BL25733
ortholog_2068 SCH06750.1 BL14403
ortholog_2069 SCH06732.1 BL12063
ortholog_2070 SCH06581.1 BL14444
ortholog_2071 SCH06627.1 BL14401
ortholog_2072 SCH06704.1 BL14399
ortholog_2073 SCH06555.1 BL14593
ortholog_2074 SCH06538.1 BL07511
ortholog_2075 SCH06599.1 BL04832
ortholog_2076 SCH06626.1 BL08930
ortholog_2077 SCH06753.1 BL07299
ortholog_2078 SCH06546.1 BL09379
ortholog_2079 SCH06491.1 BL04465
ortholog_2080 SCH06613.1 BL18756
ortholog_2081 SCH06987.1 BL18979
ortholog_2082 SCH07171.1 BL14423
ortholog_2083 SCH06662.1 BL04708
ortholog_2084 SCH06475.1 BL02053
ortholog_2085 SCH06702.1 BL06845
ortholog_2086 SCH07289.1 BL05468
ortholog_2087 SCH07303.1 BL21605
ortholog_2088 SCH07304.1 BL11145
ortholog_2089 SCH08377.1 BL21091
ortholog_2090 SCH07632.1 BL10832
ortholog_2091 SCH07784.1 BL25991
ortholog_2092 SCH07454.1 BL25744
ortholog_2093 SCH07491.1 BL04436
ortholog_2094 SCH08392.1 BL26662
ortholog_2095 SCH08465.1 BL18194
ortholog_2096 SCH08434.1 BL25862
ortholog_2097 SCH08505.1 BL26171
ortholog_2098 SCH07967.1 BL13983
ortholog_2099 SCH08124.1 BL10788
ortholog_2100 SCH07693.1 BL26144
ortholog_2101 SCH08062.1 BL13851
ortholog_2102 SCH07439.1 BL26016
ortholog_2103 SCH08452.1 BL26000
ortholog_2104 SCH07908.1 BL26188
ortholog_2105 SCH08517.1 BL10790
ortholog_2106 SCH08023.1 BL10791
ortholog_2107 SCH07575.1 BL24670
ortholog_2108 SCH07386.1 BL16405
ortholog_2109 SCH08441.1 BL26024
ortholog_2110 SCH08509.1 BL26017
ortholog_2111 SCH08048.1 BL27120
ortholog_2112 SCH08096.1 BL21075
ortholog_2113 SCH07799.1 BL07994
ortholog_2114 SCH07710.1 BL07995
ortholog_2115 SCH07410.1 BL07996
ortholog_2116 SCH08122.1 BL22808
ortholog_2117 SCH08081.1 BL27449
ortholog_2118 SCH08503.1 BL16691
ortholog_2119 SCH07905.1 BL22796
ortholog_2120 SCH08284.1 BL16656
ortholog_2121 SCH08047.1 BL10764
ortholog_2122 SCH08011.1 BL21057
ortholog_2123 SCH07979.1 BL00915
ortholog_2124 SCH07468.1 BL01098
ortholog_2125 SCH07317.1 BL26672
ortholog_2126 SCH07943.1 BL22815
ortholog_2127 SCH08086.1 BL26065
ortholog_2128 SCH07571.1 BL26151
ortholog_2129 SCH07581.1 BL13906
ortholog_2130 SCH08138.1 BL26108
ortholog_2131 SCH07721.1 BL25811
ortholog_2132 SCH08168.1 BL25810
ortholog_2133 SCH08202.1 BL26107
ortholog_2134 SCH08477.1 BL13888
ortholog_2135 SCH08513.1 BL16640
ortholog_2136 SCH07344.1 BL25799
ortholog_2137 SCH07778.1 BL25738
ortholog_2138 SCH08274.1 BL26109
ortholog_2139 SCH08309.1 BL26129
ortholog_2140 SCH08352.1 BL25764
ortholog_2141 SCH07452.1 BL25889
ortholog_2142 SCH07769.1 BL10810
ortholog_2143 SCH07634.1 BL09225
ortholog_2144 SCH07456.1 BL22718
ortholog_2145 SCH07493.1 BL25956
ortholog_2146 SCH07560.1 BL26110
ortholog_2147 SCH08042.1 BL26231
ortholog_2148 SCH07977.1 BL21360
ortholog_2149 SCH08235.1 BL08647
ortholog_2150 SCH07912.1 BL26124
ortholog_2151 SCH07947.1 BL25859
ortholog_2152 SCH07995.1 BL26358
ortholog_2153 SCH07628.1 BL02301
ortholog_2154 SCH08415.1 BL26098
ortholog_2155 SCH07698.1 BL09317
ortholog_2156 SCH07473.1 BL26236
ortholog_2157 SCH07555.1 BL21084
ortholog_2158 SCH07830.1 BL10789
ortholog_2159 SCH08409.1 BL26200
ortholog_2160 SCH07532.1 BL25759
ortholog_2161 SCH07729.1 BL03898
ortholog_2162 SCH07482.1 BL22790
ortholog_2163 SCH08161.1 BL13903
ortholog_2164 SCH07348.1 BL13948
ortholog_2165 SCH07545.1 BL26051
ortholog_2166 SCH07514.1 BL26060
ortholog_2167 SCH07474.1 BL26230
ortholog_2168 SCH07433.1 BL25843
ortholog_2169 SCH08227.1 BL21086
ortholog_2170 SCH08328.1 BL10814
ortholog_2171 SCH07785.1 BL26665
ortholog_2172 SCH07651.1 BL25927
ortholog_2173 SCH08358.1 BL21019
ortholog_2174 SCH08371.1 BL26263
ortholog_2175 SCH08219.1 BL27455
ortholog_2176 SCH08137.1 BL10821
ortholog_2177 SCH07982.1 BL26032
ortholog_2178 SCH07854.1 BL25762
ortholog_2179 SCH07350.1 BL13884
ortholog_2180 SCH07751.1 BL10795
ortholog_2181 SCH08251.1 BL17892
ortholog_2182 SCH07680.1 BL25850
ortholog_2183 SCH08209.1 BL25961
