ortholog_1 MGL01089.1 g162422
ortholog_1953 MGL05293.1 g57585
ortholog_1954 MGL05335.1 g133034
ortholog_1955 MGL05232.1 g65616
ortholog_1956 MGL04730.1 g64601
ortholog_1957 MGL05867.1 g62923
ortholog_1958 MGL05229.1 g63758
ortholog_1959 MGL05605.1 g62222
ortholog_1960 MGL05538.1 g57378
ortholog_1961 MGL05506.1 g57373
ortholog_1962 MGL05472.1 g63538
ortholog_1963 MGL05437.1 g200340
ortholog_1964 MGL05400.1 g63638
ortholog_1965 MGL05068.1 g63637
ortholog_1966 MGL05453.1 g64833
ortholog_1967 MGL05291.1 g62627
ortholog_1968 MGL05583.1 g59860
ortholog_1969 MGL05247.1 g62616
ortholog_1970 MGL05205.1 g59123
ortholog_1971 MGL05169.1 g66022
ortholog_1972 MGL05345.1 g66021
ortholog_1973 MGL05085.1 g153938
ortholog_1974 MGL05198.1 g89436
ortholog_1975 MGL05283.1 g9600
ortholog_1976 MGL05431.1 g64327
ortholog_1977 MGL05467.1 g146958
ortholog_1978 MGL05626.1 g63191
ortholog_1979 MGL04711.1 g60470
ortholog_1980 MGL04758.1 g10428
ortholog_1981 MGL05835.1 g50981
ortholog_1982 MGL04768.1 g64240
ortholog_1983 MGL04806.1 g60902
ortholog_1984 MGL04846.1 g61491
ortholog_1985 MGL04886.1 g61068
ortholog_1986 MGL04928.1 g63750
ortholog_1987 MGL04970.1 g58442
ortholog_1988 MGL05008.1 g57182
ortholog_1989 MGL05046.1 g70586
ortholog_1990 MGL05081.1 g63321
ortholog_1991 MGL05419.1 g64894
ortholog_1992 MGL05593.1 g58003
ortholog_1993 MGL05225.1 g139300
ortholog_1994 MGL05850.1 g57994
ortholog_1995 MGL05504.1 g57983
ortholog_1996 MGL05397.1 g65489
ortholog_1997 MGL05288.1 g64594
ortholog_1998 MGL05245.1 g63675
ortholog_1999 MGL05122.1 g66262
ortholog_2000 MGL05658.1 g66264
ortholog_2001 MGL04975.1 g60909
ortholog_2002 MGL04933.1 g60920
ortholog_2003 MGL04725.1 g62610
ortholog_2004 MGL05864.1 g60173
ortholog_2005 MGL04749.1 g65688
ortholog_2006 MGL05273.1 g66743
ortholog_2007 MGL04957.1 g63145
ortholog_2008 MGL04997.1 g65756
ortholog_2009 MGL05295.1 g62594
ortholog_2010 MGL05336.1 g173253
ortholog_2011 MGL05403.1 g59844
ortholog_2012 MGL05476.1 g58769
ortholog_2013 MGL05316.1 g170621
ortholog_2014 MGL04772.1 g66144
ortholog_2015 MGL04811.1 g65435
ortholog_2016 MGL04977.1 g64807
ortholog_2017 MGL05676.1 g149438
ortholog_2018 MGL04898.1 g62030
ortholog_2019 MGL05177.1 g66056
ortholog_2020 MGL05216.1 g63990
ortholog_2021 MGL05302.1 g64416
ortholog_2022 MGL05585.1 g63807
ortholog_2023 MGL05342.1 g63815
ortholog_2024 MGL05821.1 g61252
ortholog_2025 MGL05779.1 g59417
ortholog_2026 MGL05743.1 g58514
ortholog_2027 MGL05707.1 g105302
ortholog_2028 MGL05806.1 g94341
ortholog_2029 MGL05092.1 g64886
ortholog_2030 MGL05067.1 g62165
ortholog_2031 MGL04942.1 g61042
ortholog_2032 MGL04799.1 g166651
ortholog_2033 MGL04875.1 g63426
ortholog_2034 MGL05715.1 g87469
ortholog_2035 MGL05524.1 g206756
ortholog_2036 MGL04778.1 g63747
ortholog_2037 MGL04856.1 g93504
ortholog_2038 MGL05083.1 g66249
ortholog_2039 MGL05752.1 g65131
ortholog_2040 MGL05035.1 g65130
ortholog_2041 MGL05289.1 g65126
ortholog_2042 MGL05333.1 g57577
ortholog_2043 MGL05362.1 g64811
ortholog_2044 MGL05435.1 g60769
ortholog_2045 MGL05228.1 g87622
ortholog_2046 MGL05253.1 g98102
ortholog_2047 MGL05870.1 g34736
ortholog_2048 MGL05801.1 g63844
ortholog_2049 MGL05635.1 g57879
ortholog_2050 MGL05599.1 g64357
ortholog_2051 MGL05568.1 g64360
ortholog_2052 MGL05308.1 g208389
ortholog_2053 MGL05344.1 g199140
ortholog_2054 MGL04950.1 g27052
ortholog_2055 MGL05603.1 g131833
ortholog_2056 MGL05212.1 g64617
ortholog_2057 MGL05255.1 g61735
ortholog_2058 MGL05298.1 g63358
ortholog_2059 MGL05444.1 g64631
ortholog_2060 MGL05512.1 g63877
ortholog_2061 MGL05673.1 g65557
ortholog_2062 MGL05704.1 g65636
ortholog_2063 MGL05740.1 g64512
ortholog_2064 MGL04935.1 g63078
ortholog_2065 MGL05825.1 g57547
ortholog_2066 MGL05052.1 g59743
ortholog_2067 MGL05084.1 g57758
ortholog_2068 MGL05124.1 g57767
ortholog_2069 MGL05168.1 g65492
ortholog_2070 MGL05384.1 g96723
ortholog_2071 MGL05111.1 g200177
ortholog_2072 MGL05819.1 g39229
ortholog_2073 MGL04795.1 g200174
ortholog_2074 MGL05363.1 g166366
ortholog_2075 MGL05399.1 g63629
ortholog_2076 MGL05436.1 g64128
ortholog_2077 MGL05604.1 g62270
ortholog_2078 MGL05641.1 g65186
ortholog_2079 MGL05670.1 g64537
ortholog_2080 MGL05699.1 g3016
ortholog_2081 MGL05734.1 g60940
ortholog_2082 MGL05807.1 g60532
ortholog_2083 MGL05542.1 g63780
ortholog_2084 MGL05706.1 g66185
ortholog_2085 MGL05742.1 g64055
ortholog_2086 MGL05814.1 g63947
ortholog_2087 MGL04858.1 g150972
ortholog_2088 MGL04897.1 g61401
ortholog_2089 MGL04943.1 g62938
ortholog_2090 MGL05224.1 g62935
ortholog_2091 MGL05176.1 g65189
ortholog_2092 MGL05215.1 g63396
ortholog_2093 MGL05257.1 g58359
ortholog_2094 MGL04825.1 g58361
ortholog_2095 MGL05301.1 g66045
ortholog_2096 MGL05341.1 g66047
ortholog_2097 MGL05372.1 g62443
ortholog_2098 MGL05410.1 g62446
ortholog_2099 MGL05018.1 g107545
ortholog_2100 MGL05058.1 g58714
ortholog_2101 MGL05133.1 g63773
ortholog_2102 MGL05174.1 g64212
ortholog_2103 MGL05256.1 g63599
ortholog_2104 MGL05339.1 g173754
ortholog_2105 MGL05188.1 g114858
ortholog_2106 MGL05777.1 g61371
ortholog_2107 MGL05842.1 g64720
ortholog_2108 MGL04736.1 g61879
ortholog_2109 MGL05451.1 g62068
ortholog_2110 MGL04832.1 g130843
ortholog_2111 MGL04985.1 g62915
ortholog_2112 MGL04709.1 g7476
ortholog_2113 MGL05640.1 g209058
ortholog_2114 MGL05647.1 g65168
ortholog_2115 MGL05633.1 g59773
ortholog_2116 MGL05664.1 g59767
ortholog_2117 MGL05732.1 g64219
ortholog_2118 MGL04927.1 g58685
ortholog_2119 MGL05351.1 g58402
ortholog_2120 MGL05680.1 g62420
ortholog_2121 MGL04708.1 g65965
ortholog_2122 MGL05136.1 g64229
ortholog_2123 MGL05026.1 g57931
ortholog_2124 MGL05383.1 g86941
ortholog_2125 MGL04946.1 g58490
ortholog_2126 MGL04901.1 g64366
ortholog_2127 MGL05368.1 g57707
ortholog_2128 MGL05553.1 g66067
ortholog_2129 MGL05254.1 g66065
ortholog_2130 MGL05211.1 g63734
ortholog_2131 MGL05173.1 g62294
ortholog_2132 MGL04855.1 g62169
ortholog_2133 MGL04816.1 g58757
ortholog_2134 MGL05592.1 g59823
ortholog_2135 MGL05872.1 g62050
ortholog_2136 MGL04918.1 g60579
ortholog_2137 MGL05703.1 g65561
ortholog_2138 MGL05672.1 g65175
ortholog_2139 MGL05644.1 g65140
ortholog_2140 MGL04790.1 g65141
ortholog_2141 MGL05608.1 g65422
ortholog_2142 MGL04757.1 g64026
ortholog_2143 MGL05541.1 g58962
ortholog_2144 MGL05511.1 g58968
ortholog_2145 MGL05443.1 g60088
ortholog_2146 MGL05406.1 g60094
ortholog_2147 MGL05065.1 g148878
ortholog_2148 MGL04838.1 g155713
ortholog_2149 MGL06604.1 g20400
ortholog_2150 MGL06061.1 g135144
ortholog_2151 MGL05967.1 g20396
ortholog_2152 MGL06789.1 g49803
ortholog_2153 MGL06278.1 g23117
ortholog_2154 MGL05927.1 g107455
ortholog_2155 MGL06804.1 g104102
ortholog_2156 MGL06750.1 g103079
ortholog_2157 MGL06717.1 g140412
ortholog_2158 MGL06412.1 g107806
ortholog_2159 MGL06444.1 g107804
ortholog_2160 MGL05943.1 g108334
ortholog_2161 MGL06354.1 g58634
ortholog_2162 MGL06326.1 g111024
ortholog_2163 MGL06015.1 g81781
ortholog_2164 MGL06773.1 g182228
ortholog_2165 MGL06059.1 g84163
ortholog_2166 MGL06408.1 g182224
ortholog_2167 MGL06474.1 g182824
ortholog_2168 MGL06110.1 g177944
ortholog_2169 MGL06073.1 g182345
ortholog_2170 MGL06042.1 g180330
ortholog_2171 MGL05995.1 g178791
ortholog_2172 MGL06805.1 g177164
ortholog_2173 MGL06775.1 g177162
ortholog_2174 MGL06090.1 g34152
ortholog_2175 MGL05942.1 g207697
ortholog_2176 MGL06455.1 g176719
ortholog_2177 MGL06200.1 g84456
ortholog_2178 MGL06294.1 g179737
ortholog_2179 MGL06464.1 g175734
ortholog_2180 MGL06541.1 g112631
ortholog_2181 MGL06344.1 g177145
ortholog_2182 MGL06521.1 g94979
ortholog_2183 MGL06558.1 g108404
ortholog_2184 MGL06590.1 g103686
ortholog_2185 MGL06618.1 g103434
ortholog_2186 MGL06825.1 g210673
ortholog_2187 MGL06016.1 g110263
ortholog_2188 MGL05994.1 g110262
ortholog_2189 MGL05956.1 g111820
ortholog_2190 MGL06388.1 g130098
ortholog_2191 MGL06356.1 g107731
ortholog_2192 MGL06295.1 g104034
ortholog_2193 MGL06265.1 g103342
ortholog_2194 MGL06236.1 g104030
ortholog_2195 MGL06201.1 g111816
ortholog_2196 MGL06172.1 g179695
ortholog_2197 MGL06134.1 g178776
ortholog_2198 MGL06086.1 g7018
ortholog_2199 MGL06576.1 g181698
ortholog_2200 MGL06824.1 g116724
ortholog_2201 MGL06183.1 g68614
ortholog_2202 MGL05914.1 g181523
ortholog_2203 MGL06338.1 g133060
ortholog_2204 MGL06624.1 g179742
ortholog_2205 MGL06216.1 g3086
ortholog_2206 MGL06115.1 g209748
ortholog_2207 MGL06639.1 g182200
ortholog_2208 MGL06499.1 g180566
ortholog_2209 MGL06293.1 g180273
ortholog_2210 MGL06385.1 g179563
ortholog_2211 MGL06421.1 g179951
ortholog_2212 MGL06463.1 g179520
ortholog_2213 MGL06520.1 g179127
ortholog_2214 MGL06557.1 g180661
ortholog_2215 MGL06392.1 g176674
ortholog_2216 MGL06048.1 g179204
ortholog_2217 MGL06719.1 g25419
ortholog_2218 MGL06562.1 g112369
ortholog_2219 MGL06594.1 g106708
ortholog_2220 MGL06661.1 g104606
ortholog_2221 MGL06523.1 g108170
ortholog_2222 MGL06466.1 g107506
ortholog_2223 MGL06184.1 g107036
ortholog_2224 MGL06423.1 g111055
ortholog_2225 MGL06296.1 g113035
ortholog_2226 MGL06076.1 g112908
ortholog_2227 MGL06018.1 g177209
ortholog_2228 MGL05996.1 g72678
ortholog_2229 MGL05958.1 g175890
ortholog_2230 MGL06253.1 g180831
ortholog_2231 MGL06465.1 g111576
ortholog_2232 MGL06378.1 g112231
ortholog_2233 MGL06414.1 g105436
ortholog_2234 MGL06605.1 g104718
ortholog_2235 MGL06510.1 g103423
ortholog_2236 MGL06674.1 g112359
ortholog_2237 MGL06765.1 g112446
ortholog_2238 MGL06792.1 g151867
ortholog_2239 MGL06828.1 g197217
ortholog_2240 MGL05947.1 g178752
ortholog_2241 MGL05987.1 g178747
ortholog_2242 MGL06011.1 g178757
ortholog_2243 MGL06035.1 g181199
ortholog_2244 MGL06066.1 g179178
ortholog_2245 MGL06313.1 g86453
ortholog_2246 MGL06348.1 g108508
ortholog_2247 MGL06379.1 g104045
ortholog_2248 MGL06608.1 g103227
ortholog_2249 MGL06646.1 g112783
ortholog_2250 MGL06056.1 g112791
ortholog_2251 MGL06850.1 g178145
ortholog_2252 MGL06707.1 g103354
ortholog_2253 MGL06675.1 g103297
ortholog_2254 MGL06380.1 g106544
ortholog_2255 MGL06289.1 g208501
ortholog_2256 MGL06255.1 g111038
ortholog_2257 MGL06227.1 g111025
ortholog_2258 MGL06673.1 g108199
ortholog_2259 MGL06160.1 g178795
ortholog_2260 MGL06312.1 g182531
ortholog_2261 MGL06103.1 g182542
ortholog_2262 MGL06036.1 g182444
ortholog_2263 MGL05890.1 g115127
ortholog_2264 MGL06766.1 g103925
ortholog_2265 MGL06794.1 g104477
ortholog_2266 MGL05891.1 g104488
ortholog_2267 MGL06432.1 g106712
ortholog_2268 MGL05923.1 g106715
ortholog_2269 MGL05988.1 g109932
ortholog_2270 MGL06761.1 g176309
ortholog_2271 MGL06161.1 g178465
ortholog_2272 MGL05926.1 g108536
ortholog_2273 MGL06405.1 g151732
ortholog_2274 MGL06771.1 g178512
ortholog_2275 MGL05897.1 g178525
ortholog_2276 MGL06407.1 g178496
ortholog_2277 MGL06041.1 g175607
ortholog_2278 MGL06097.1 g7466
ortholog_2279 MGL06167.1 g181350
ortholog_2280 MGL06233.1 g215574
ortholog_2281 MGL06262.1 g25771
ortholog_2282 MGL05912.1 g36731
ortholog_2283 MGL05941.1 g42828
ortholog_2284 MGL06519.1 g106310
ortholog_2285 MGL06616.1 g104694
ortholog_2286 MGL06654.1 g111485
ortholog_2287 MGL06715.1 g65799
ortholog_2288 MGL06820.1 g105660
ortholog_2289 MGL06772.1 g110537
ortholog_2290 MGL06070.1 g112737
ortholog_2291 MGL05991.1 g112926
ortholog_2292 MGL05952.1 g112354
ortholog_2293 MGL05894.1 g140956
ortholog_2294 MGL06798.1 g105701
ortholog_2295 MGL06768.1 g109105
ortholog_2296 MGL06745.1 g123733
ortholog_2297 MGL06653.1 g105515
ortholog_2298 MGL06836.1 g104239
ortholog_2299 MGL06071.1 g108247
ortholog_2300 MGL06132.1 g105310
ortholog_2301 MGL06166.1 g104099
ortholog_2302 MGL06197.1 g104107
ortholog_2303 MGL06324.1 g107028
ortholog_2304 MGL06353.1 g108714
ortholog_2305 MGL06196.1 g103751
ortholog_2306 MGL06231.1 g113043
ortholog_2307 MGL06259.1 g103758
ortholog_2308 MGL06291.1 g106318
ortholog_2309 MGL05981.1 g111060
ortholog_2310 MGL06516.1 g103806
ortholog_2311 MGL06588.1 g177974
ortholog_2312 MGL06613.1 g199199
ortholog_2313 MGL06799.1 g180987
ortholog_2314 MGL05953.1 g213648
ortholog_2315 MGL06827.1 g147389
ortholog_2316 MGL06222.1 g52775
ortholog_2317 MGL06123.1 g205822
ortholog_2318 MGL06260.1 g103824
ortholog_2319 MGL06323.1 g86950
ortholog_2320 MGL06352.1 g103816
ortholog_2321 MGL06383.1 g176182
ortholog_2322 MGL06517.1 g128277
ortholog_2323 MGL06185.1 g130855
ortholog_2324 MGL06651.1 g103938
ortholog_2325 MGL06461.1 g103629
ortholog_2326 MGL06250.1 g108264
ortholog_2327 MGL06418.1 g108258
ortholog_2328 MGL06351.1 g112403
ortholog_2329 MGL06321.1 g102425
ortholog_2330 MGL06372.1 g111357
ortholog_2331 MGL06258.1 g110146
ortholog_2332 MGL06230.1 g110149
ortholog_2333 MGL06106.1 g110243
ortholog_2334 MGL06130.1 g106657
ortholog_2335 MGL06163.1 g112398
ortholog_2336 MGL06195.1 g104121
ortholog_2337 MGL05951.1 g162229
ortholog_2338 MGL06686.1 g33253
ortholog_2339 MGL06752.1 g105322
ortholog_2340 MGL06843.1 g107660
ortholog_2341 MGL06151.1 g109956
ortholog_2342 MGL05959.1 g111978
ortholog_2343 MGL06077.1 g132035
ortholog_2344 MGL06173.1 g111356
ortholog_2345 MGL06203.1 g33277
ortholog_2346 MGL06238.1 g103572
ortholog_2347 MGL06063.1 g103581
ortholog_2348 MGL06267.1 g112357
ortholog_2349 MGL06475.1 g62438
ortholog_2350 MGL06424.1 g181304
ortholog_2351 MGL06447.1 g176507
ortholog_2352 MGL06497.1 g149890
ortholog_2353 MGL06560.1 g177357
ortholog_2354 MGL06268.1 g177133
ortholog_2355 MGL06204.1 g76413
ortholog_2356 MGL06311.1 g178709
ortholog_2357 MGL06852.1 g180264
ortholog_2358 MGL06046.1 g180137
ortholog_2359 MGL06667.1 g56241
ortholog_2360 MGL05929.1 g181964
ortholog_2361 MGL05903.1 g179375
ortholog_2362 MGL06844.1 g180106
ortholog_2363 MGL06777.1 g176663
ortholog_2364 MGL06753.1 g175986
ortholog_2365 MGL06687.1 g179819
ortholog_2366 MGL06007.1 g109765
ortholog_2367 MGL06358.1 g181773
ortholog_2368 MGL06425.1 g175919
ortholog_2369 MGL06096.1 g175925
ortholog_2370 MGL06593.1 g198119
ortholog_2371 MGL06538.1 g175843
ortholog_2372 MGL06622.1 g182074
ortholog_2373 MGL06544.1 g177955
ortholog_2374 MGL06754.1 g181358
ortholog_2375 MGL06369.1 g181368
ortholog_2376 MGL06047.1 g70049
ortholog_2377 MGL06138.1 g180351
ortholog_2378 MGL06205.1 g182414
ortholog_2379 MGL06822.1 g117865
ortholog_2380 MGL06815.1 g75875
ortholog_2381 MGL06359.1 g182292
ortholog_2382 MGL06391.1 g178598
ortholog_2383 MGL06632.1 g112411
ortholog_2384 MGL06744.1 g179379
ortholog_2385 MGL06573.1 g126936
ortholog_2386 MGL06290.1 g178734
ortholog_2387 MGL06320.1 g180625
ortholog_2388 MGL06039.1 g177714
ortholog_2389 MGL06508.1 g179703
ortholog_2390 MGL05990.1 g179300
ortholog_2391 MGL05950.1 g176424
ortholog_2392 MGL05924.1 g181298
ortholog_2393 MGL05893.1 g182297
ortholog_2394 MGL06832.1 g181732
ortholog_2395 MGL06767.1 g102829
ortholog_2396 MGL06743.1 g107458
ortholog_2397 MGL06709.1 g140670
ortholog_2398 MGL06783.1 g112255
ortholog_2399 MGL06513.1 g181403
ortholog_2400 MGL06489.1 g176746
ortholog_2401 MGL06460.1 g23982
ortholog_2402 MGL06319.1 g21611
ortholog_2403 MGL06406.1 g207357
ortholog_2404 MGL06229.1 g181836
ortholog_2405 MGL06536.1 g176268
ortholog_2406 MGL06162.1 g176276
ortholog_2407 MGL06105.1 g182078
ortholog_2408 MGL06038.1 g177128
ortholog_2409 MGL05945.1 g58835
ortholog_2410 MGL06795.1 g211916
ortholog_2411 MGL06648.1 g187459
ortholog_2412 MGL06638.1 g109926
ortholog_2413 MGL06512.1 g124330
ortholog_2414 MGL05978.1 g125131
ortholog_2415 MGL06133.1 g179182
ortholog_2416 MGL06199.1 g104688
ortholog_2417 MGL06526.1 g112508
ortholog_2418 MGL06846.1 g107425
ortholog_2419 MGL05999.1 g106719
ortholog_2420 MGL06092.1 g71774
ortholog_2421 MGL06049.1 g112740
ortholog_2422 MGL06139.1 g103253
ortholog_2423 MGL06175.1 g106571
ortholog_2424 MGL06241.1 g65509
ortholog_2425 MGL06763.1 g103905
ortholog_2426 MGL06543.1 g179452
ortholog_2427 MGL06393.1 g180304
ortholog_2428 MGL06468.1 g181559
ortholog_2429 MGL06855.1 g181562
ortholog_2430 MGL06764.1 g181556
ortholog_2431 MGL06595.1 g181431
ortholog_2432 MGL06662.1 g179255
ortholog_2433 MGL05962.1 g178421
ortholog_2434 MGL06000.1 g176548
ortholog_2435 MGL06081.1 g107970
ortholog_2436 MGL06117.1 g180460
ortholog_2437 MGL06145.1 g58594
ortholog_2438 MGL06176.1 g177096
ortholog_2439 MGL06154.1 g175900
ortholog_2440 MGL06269.1 g177963
ortholog_2441 MGL06729.1 g178781
ortholog_2442 MGL06333.1 g167499
ortholog_2443 MGL06361.1 g103325
ortholog_2444 MGL06500.1 g181035
ortholog_2445 MGL06528.1 g181020
ortholog_2446 MGL06663.1 g181583
ortholog_2447 MGL06689.1 g180379
ortholog_2448 MGL06810.1 g182103
ortholog_2449 MGL06023.1 g104019
ortholog_2450 MGL06051.1 g109843
ortholog_2451 MGL05917.1 g104899
ortholog_2452 MGL06334.1 g111361
ortholog_2453 MGL06695.1 g111377
ortholog_2454 MGL06362.1 g111379
ortholog_2455 MGL06470.1 g103750
ortholog_2456 MGL06501.1 g106181
ortholog_2457 MGL06529.1 g107756
ortholog_2458 MGL06597.1 g108451
ortholog_2459 MGL06627.1 g64320
ortholog_2460 MGL06664.1 g112396
ortholog_2461 MGL06690.1 g102685
ortholog_2462 MGL06722.1 g159399
ortholog_2463 MGL06779.1 g33436
ortholog_2464 MGL05935.1 g137902
ortholog_2465 MGL06002.1 g102508
ortholog_2466 MGL06024.1 g84032
ortholog_2467 MGL06082.1 g104217
ortholog_2468 MGL06004.1 g107049
ortholog_2469 MGL06730.1 g111042
ortholog_2470 MGL05937.1 g112180
ortholog_2471 MGL06816.1 g106268
ortholog_2472 MGL06848.1 g179432
ortholog_2473 MGL05907.1 g179303
ortholog_2474 MGL05916.1 g181857
ortholog_2475 MGL06119.1 g103945
ortholog_2476 MGL06084.1 g104077
ortholog_2477 MGL06179.1 g180841
ortholog_2478 MGL06246.1 g148146
ortholog_2479 MGL06304.1 g176722
ortholog_2480 MGL06365.1 g177617
ortholog_2481 MGL06396.1 g181645
ortholog_2482 MGL06430.1 g180475
ortholog_2483 MGL06453.1 g179867
ortholog_2484 MGL06504.1 g180869
ortholog_2485 MGL06665.1 g72822
ortholog_2486 MGL06126.1 g204387
ortholog_2487 MGL06759.1 g108525
ortholog_2488 MGL06812.1 g103539
ortholog_2489 MGL06757.1 g111040
ortholog_2490 MGL06143.1 g10617
ortholog_2491 MGL06398.1 g182265
ortholog_2492 MGL06089.1 g182268
ortholog_2493 MGL06762.1 g182279
ortholog_2494 MGL06210.1 g198725
ortholog_2495 MGL06273.1 g130307
ortholog_2496 MGL06819.1 g182502
ortholog_2497 MGL06395.1 g182504
ortholog_2498 MGL06472.1 g180746
ortholog_2499 MGL06503.1 g180441
ortholog_2500 MGL06567.1 g178459
ortholog_2501 MGL06220.1 g180124
ortholog_2502 MGL06723.1 g181657
ortholog_2503 MGL06758.1 g181417
ortholog_2504 MGL06083.1 g154454
ortholog_2505 MGL05965.1 g123215
ortholog_2506 MGL05936.1 g177422
ortholog_2507 MGL06178.1 g180865
ortholog_2508 MGL06485.1 g178161
ortholog_2509 MGL06284.1 g143279
ortholog_2510 MGL06363.1 g214391
ortholog_2511 MGL06847.1 g181352
ortholog_2512 MGL06786.1 g3917
ortholog_2513 MGL06530.1 g202667
ortholog_2514 MGL06787.1 g176657
ortholog_2515 MGL06873.1 g104229
ortholog_2516 MGL07327.1 g108530
ortholog_2517 MGL06983.1 g107944
ortholog_2518 MGL07696.1 g111466
ortholog_2519 MGL07658.1 g102595
ortholog_2520 MGL07597.1 g109612
ortholog_2521 MGL07530.1 g213777
ortholog_2522 MGL07433.1 g107102
ortholog_2523 MGL07381.1 g107116
ortholog_2524 MGL07399.1 g109912
ortholog_2525 MGL07302.1 g110333
ortholog_2526 MGL07277.1 g211156
ortholog_2527 MGL07128.1 g109689
ortholog_2528 MGL07027.1 g109686
ortholog_2529 MGL06999.1 g74709
ortholog_2530 MGL06942.1 g110514
ortholog_2531 MGL06902.1 g110509
ortholog_2532 MGL06872.1 g111310
ortholog_2533 MGL07043.1 g107904
ortholog_2534 MGL07657.1 g104585
ortholog_2535 MGL07621.1 g104579
ortholog_2536 MGL07596.1 g112778
ortholog_2537 MGL07460.1 g8875
ortholog_2538 MGL07432.1 g111318
ortholog_2539 MGL07367.1 g103991
ortholog_2540 MGL07710.1 g107296
ortholog_2541 MGL07276.1 g103998
ortholog_2542 MGL07241.1 g106640
ortholog_2543 MGL07220.1 g111869
ortholog_2544 MGL07193.1 g111872
ortholog_2545 MGL07127.1 g51003
ortholog_2546 MGL07093.1 g111710
ortholog_2547 MGL07058.1 g111720
ortholog_2548 MGL06967.1 g112686
ortholog_2549 MGL06941.1 g110799
ortholog_2550 MGL06901.1 g112534
ortholog_2551 MGL06871.1 g112517
ortholog_2552 MGL07836.1 g105984
ortholog_2553 MGL07812.1 g105985
ortholog_2554 MGL07147.1 g6731
ortholog_2555 MGL07620.1 g111299
ortholog_2556 MGL07595.1 g106427
ortholog_2557 MGL07559.1 g104498
ortholog_2558 MGL07528.1 g110197
ortholog_2559 MGL07494.1 g197166
ortholog_2560 MGL06954.1 g107657
ortholog_2561 MGL07397.1 g102317
ortholog_2562 MGL07338.1 g106019
ortholog_2563 MGL07206.1 g108877
ortholog_2564 MGL07192.1 g110891
ortholog_2565 MGL07025.1 g114167
ortholog_2566 MGL07255.1 g106048
ortholog_2567 MGL07772.1 g109614
ortholog_2568 MGL07835.1 g187280
ortholog_2569 MGL07811.1 g108840
ortholog_2570 MGL06975.1 g102442
ortholog_2571 MGL07755.1 g102482
ortholog_2572 MGL07728.1 g111683
ortholog_2573 MGL07694.1 g107120
ortholog_2574 MGL07583.1 g110155
ortholog_2575 MGL07527.1 g103192
ortholog_2576 MGL07299.1 g111655
ortholog_2577 MGL07275.1 g111653
ortholog_2578 MGL07218.1 g107612
ortholog_2579 MGL07159.1 g111120
ortholog_2580 MGL07092.1 g108151
ortholog_2581 MGL06918.1 g107914
ortholog_2582 MGL06966.1 g108480
ortholog_2583 MGL06939.1 g107333
ortholog_2584 MGL06900.1 g104495
ortholog_2585 MGL07075.1 g110671
ortholog_2586 MGL07383.1 g104533
ortholog_2587 MGL07693.1 g57785
ortholog_2588 MGL07655.1 g139791
ortholog_2589 MGL07557.1 g81338
ortholog_2590 MGL07308.1 g100607
ortholog_2591 MGL07493.1 g204649
ortholog_2592 MGL07430.1 g212950
ortholog_2593 MGL07572.1 g110054
ortholog_2594 MGL07365.1 g110052
ortholog_2595 MGL07330.1 g111660
ortholog_2596 MGL07293.1 g110829
ortholog_2597 MGL07265.1 g106137
ortholog_2598 MGL07150.1 g111557
ortholog_2599 MGL07117.1 g111562
ortholog_2600 MGL07086.1 g111567
ortholog_2601 MGL07373.1 g205922
ortholog_2602 MGL07676.1 g111749
ortholog_2603 MGL06935.1 g111457
ortholog_2604 MGL06895.1 g111458
ortholog_2605 MGL07077.1 g111147
ortholog_2606 MGL07831.1 g108400
ortholog_2607 MGL07806.1 g110576
ortholog_2608 MGL07782.1 g110611
ortholog_2609 MGL07750.1 g111454
ortholog_2610 MGL07719.1 g109830
ortholog_2611 MGL07352.1 g104745
ortholog_2612 MGL06862.1 g105688
ortholog_2613 MGL07796.1 g112661
ortholog_2614 MGL07538.1 g109700
ortholog_2615 MGL06958.1 g109692
ortholog_2616 MGL07183.1 g107580
ortholog_2617 MGL07050.1 g109065
ortholog_2618 MGL07019.1 g107220
ortholog_2619 MGL06989.1 g107210
ortholog_2620 MGL06960.1 g103405
ortholog_2621 MGL06931.1 g144042
ortholog_2622 MGL06892.1 g107214
ortholog_2623 MGL07119.1 g107215
ortholog_2624 MGL07152.1 g109631
ortholog_2625 MGL07211.1 g105177
ortholog_2626 MGL07580.1 g121429
ortholog_2627 MGL07233.1 g121425
ortholog_2628 MGL07267.1 g112065
ortholog_2629 MGL07487.1 g111758
ortholog_2630 MGL07748.1 g110458
ortholog_2631 MGL07722.1 g112092
ortholog_2632 MGL07649.1 g107556
ortholog_2633 MGL07615.1 g139097
ortholog_2634 MGL07048.1 g111223
ortholog_2635 MGL06987.1 g110503
ortholog_2636 MGL07718.1 g110508
ortholog_2637 MGL07684.1 g111471
ortholog_2638 MGL07518.1 g107423
ortholog_2639 MGL07080.1 g210984
ortholog_2640 MGL07351.1 g108553
ortholog_2641 MGL07045.1 g134068
ortholog_2642 MGL07116.1 g102996
ortholog_2643 MGL07085.1 g111643
ortholog_2644 MGL07477.1 g105654
ortholog_2645 MGL07669.1 g105652
ortholog_2646 MGL07258.1 g46328
ortholog_2647 MGL07181.1 g105672
ortholog_2648 MGL07209.1 g1169
ortholog_2649 MGL07793.1 g111082
ortholog_2650 MGL06919.1 g111080
ortholog_2651 MGL06861.1 g105691
