ortholog_1 SCH00647.1 g59284
ortholog_2037 SCH06586.1 g213626
ortholog_2038 SCH06629.1 g209322
ortholog_2039 SCH06568.1 g208556
ortholog_2040 SCH06759.1 g211569
ortholog_2041 SCH06644.1 g213811
ortholog_2042 SCH07008.1 g143282
ortholog_2043 SCH07230.1 g143279
ortholog_2044 SCH06685.1 g209791
ortholog_2045 SCH06492.1 g214205
ortholog_2046 SCH06860.1 g199470
ortholog_2047 SCH07151.1 g28501
ortholog_2048 SCH06990.1 g214768
ortholog_2049 SCH07018.1 g215110
ortholog_2050 SCH06596.1 g211413
ortholog_2051 SCH06906.1 g212494
ortholog_2052 SCH07015.1 g211502
ortholog_2053 SCH07175.1 g61378
ortholog_2054 SCH06663.1 g213727
ortholog_2055 SCH06500.1 g207727
ortholog_2056 SCH06657.1 g4265
ortholog_2057 SCH06624.1 g209567
ortholog_2058 SCH06511.1 g209727
ortholog_2059 SCH06778.1 g206911
ortholog_2060 SCH07062.1 g212475
ortholog_2061 SCH07031.1 g140670
ortholog_2062 SCH06569.1 g44176
ortholog_2063 SCH06887.1 g144000
ortholog_2064 SCH07218.1 g65317
ortholog_2065 SCH06533.1 g210561
ortholog_2066 SCH07187.1 g211962
ortholog_2067 SCH06798.1 g212160
ortholog_2068 SCH07176.1 g208507
ortholog_2069 SCH06622.1 g210164
ortholog_2070 SCH07027.1 g210165
ortholog_2071 SCH07095.1 g209946
ortholog_2072 SCH07010.1 g136881
ortholog_2073 SCH07054.1 g162066
ortholog_2074 SCH06656.1 g9705
ortholog_2075 SCH06585.1 g83123
ortholog_2076 SCH06829.1 g212040
ortholog_2077 SCH06456.1 g213671
ortholog_2078 SCH06477.1 g56152
ortholog_2079 SCH07070.1 g210891
ortholog_2080 SCH06697.1 g210159
ortholog_2081 SCH07153.1 g90353
ortholog_2082 SCH06544.1 g207596
ortholog_2083 SCH07145.1 g212170
ortholog_2084 SCH07177.1 g213389
ortholog_2085 SCH06917.1 g120820
ortholog_2086 SCH07231.1 g92176
ortholog_2087 SCH06979.1 g213922
ortholog_2088 SCH06580.1 g212164
ortholog_2089 SCH06913.1 g211607
ortholog_2090 SCH06488.1 g210826
ortholog_2091 SCH07020.1 g206773
ortholog_2092 SCH07143.1 g118705
ortholog_2093 SCH07249.1 g206775
ortholog_2094 SCH07207.1 g212620
ortholog_2095 SCH06874.1 g207795
ortholog_2096 SCH06621.1 g194879
ortholog_2097 SCH06653.1 g211548
ortholog_2098 SCH06502.1 g214350
ortholog_2099 SCH06526.1 g214355
ortholog_2100 SCH06508.1 g214311
ortholog_2101 SCH06493.1 g210964
ortholog_2102 SCH06953.1 g62598
ortholog_2103 SCH06832.1 g209894
ortholog_2104 SCH06886.1 g209895
ortholog_2105 SCH07071.1 g206644
ortholog_2106 SCH07106.1 g206649
ortholog_2107 SCH06536.1 g194898
ortholog_2108 SCH06722.1 g209586
ortholog_2109 SCH06747.1 g213360
ortholog_2110 SCH06726.1 g211957
ortholog_2111 SCH07059.1 g212269
ortholog_2112 SCH06701.1 g209628
ortholog_2113 SCH06881.1 g209626
ortholog_2114 SCH06761.1 g212038
ortholog_2115 SCH07063.1 g157329
ortholog_2116 SCH07235.1 g214842
ortholog_2117 SCH07132.1 g207402
ortholog_2118 SCH07180.1 g207905
ortholog_2119 SCH07275.1 g208328
ortholog_2120 SCH06755.1 g136003
ortholog_2121 SCH06780.1 g215487
ortholog_2122 SCH06728.1 g106358
ortholog_2123 SCH06451.1 g210934
ortholog_2124 SCH07130.1 g210938
ortholog_2125 SCH06594.1 g209237
ortholog_2126 SCH06623.1 g137557
ortholog_2127 SCH06736.1 g211749
ortholog_2128 SCH06930.1 g209309
ortholog_2129 SCH06904.1 g209307
ortholog_2130 SCH06882.1 g98840
ortholog_2131 SCH07271.1 g210004
ortholog_2132 SCH07039.1 g211280
ortholog_2133 SCH06612.1 g211305
ortholog_2134 SCH06784.1 g212530
ortholog_2135 SCH06709.1 g210864
ortholog_2136 SCH06996.1 g70134
ortholog_2137 SCH06922.1 g209812
ortholog_2138 SCH06806.1 g209816
ortholog_2139 SCH06804.1 g213431
ortholog_2140 SCH06920.1 g96078
ortholog_2141 SCH06764.1 g160667
ortholog_2142 SCH07236.1 g208207
ortholog_2143 SCH07028.1 g209144
ortholog_2144 SCH07208.1 g209147
ortholog_2145 SCH07147.1 g214042
ortholog_2146 SCH06467.1 g210777
ortholog_2147 SCH07206.1 g210775
ortholog_2148 SCH06592.1 g208036
ortholog_2149 SCH06619.1 g208029
ortholog_2150 SCH06598.1 g209293
ortholog_2151 SCH06625.1 g166306
ortholog_2152 SCH06916.1 g208632
ortholog_2153 SCH06849.1 g208634
ortholog_2154 SCH06820.1 g95423
ortholog_2155 SCH06801.1 g24570
ortholog_2156 SCH06969.1 g210970
ortholog_2157 SCH06762.1 g107578
ortholog_2158 SCH06945.1 g212264
ortholog_2159 SCH06923.1 g214332
ortholog_2160 SCH07159.1 g209361
ortholog_2161 SCH06509.1 g71683
ortholog_2162 SCH06794.1 g214186
ortholog_2163 SCH07103.1 g209462
ortholog_2164 SCH06733.1 g210652
ortholog_2165 SCH06695.1 g184728
ortholog_2166 SCH07112.1 g207321
ortholog_2167 SCH06889.1 g210396
ortholog_2168 SCH06799.1 g25592
ortholog_2169 SCH06654.1 g134515
ortholog_2170 SCH06450.1 g206727
ortholog_2171 SCH06842.1 g212345
ortholog_2172 SCH06480.1 g214723
ortholog_2173 SCH06524.1 g209315
ortholog_2174 SCH06501.1 g210037
ortholog_2175 SCH07219.1 g209531
ortholog_2176 SCH07118.1 g28238
ortholog_2177 SCH06841.1 g165995
ortholog_2178 SCH06720.1 g213808
ortholog_2179 SCH07052.1 g213569
ortholog_2180 SCH06831.1 g115237
ortholog_2181 SCH06843.1 g209644
ortholog_2182 SCH06490.1 g61385
ortholog_2183 SCH06819.1 g61384
ortholog_2184 SCH06876.1 g208099
ortholog_2185 SCH06856.1 g206846
ortholog_2186 SCH07127.1 g207244
ortholog_2187 SCH06956.1 g213729
ortholog_2188 SCH07049.1 g84832
ortholog_2189 SCH07246.1 g134693
ortholog_2190 SCH06525.1 g84834
ortholog_2191 SCH06460.1 g215023
ortholog_2192 SCH06962.1 g208418
ortholog_2193 SCH06645.1 g211738
ortholog_2194 SCH06560.1 g209884
ortholog_2195 SCH06712.1 g86129
ortholog_2196 SCH06934.1 g182639
ortholog_2197 SCH06746.1 g101012
ortholog_2198 SCH06587.1 g102216
ortholog_2199 SCH06578.1 g215021
ortholog_2200 SCH07253.1 g11284
ortholog_2201 SCH07057.1 g130274
ortholog_2202 SCH06575.1 g213567
ortholog_2203 SCH07189.1 g215443
ortholog_2204 SCH06604.1 g88775
ortholog_2205 SCH06915.1 g215241
ortholog_2206 SCH06535.1 g206786
ortholog_2207 SCH06838.1 g214004
ortholog_2208 SCH07119.1 g213990
ortholog_2209 SCH07232.1 g211401
ortholog_2210 SCH06545.1 g211394
ortholog_2211 SCH07055.1 g191531
ortholog_2212 SCH07240.1 g214713
ortholog_2213 SCH07042.1 g200826
ortholog_2214 SCH07155.1 g211521
ortholog_2215 SCH06732.1 g207764
ortholog_2216 SCH06581.1 g152024
ortholog_2217 SCH06627.1 g208100
ortholog_2218 SCH06704.1 g208110
ortholog_2219 SCH06555.1 g210887
ortholog_2220 SCH06538.1 g206924
ortholog_2221 SCH06531.1 g213870
ortholog_2222 SCH06626.1 g212347
ortholog_2223 SCH06753.1 g211692
ortholog_2224 SCH06491.1 g210813
ortholog_2225 SCH06793.1 g200218
ortholog_2226 SCH07005.1 g94919
ortholog_2227 SCH07171.1 g211312
ortholog_2228 SCH07168.1 g44461
ortholog_2229 SCH06662.1 g208594
ortholog_2230 SCH06512.1 g56915
ortholog_2231 SCH06475.1 g72508
ortholog_2232 SCH07197.1 g7018
ortholog_2233 SCH07090.1 g149582
ortholog_2234 SCH07284.1 g52800
ortholog_2235 SCH07289.1 g179240
ortholog_2236 SCH07303.1 g146956
ortholog_2237 SCH07304.1 g118878
ortholog_2238 SCH08229.1 g11658
ortholog_2239 SCH07859.1 g170879
ortholog_2240 SCH07459.1 g130286
ortholog_2241 SCH08102.1 g87617
ortholog_2242 SCH08377.1 g169344
ortholog_2243 SCH08483.1 g143731
ortholog_2244 SCH07671.1 g164880
ortholog_2245 SCH07469.1 g196265
ortholog_2246 SCH08191.1 g174183
ortholog_2247 SCH07784.1 g169338
ortholog_2248 SCH07454.1 g169642
ortholog_2249 SCH08434.1 g169850
ortholog_2250 SCH07646.1 g167567
ortholog_2251 SCH08505.1 g170732
ortholog_2252 SCH07967.1 g180605
ortholog_2253 SCH08124.1 g166245
ortholog_2254 SCH07693.1 g172812
ortholog_2255 SCH07439.1 g171220
ortholog_2256 SCH08452.1 g190402
ortholog_2257 SCH07908.1 g169041
ortholog_2258 SCH08517.1 g167322
ortholog_2259 SCH08023.1 g167319
ortholog_2260 SCH07837.1 g170575
ortholog_2261 SCH07386.1 g171908
ortholog_2262 SCH08441.1 g171900
ortholog_2263 SCH08509.1 g170648
ortholog_2264 SCH08511.1 g138256
ortholog_2265 SCH07827.1 g170901
ortholog_2266 SCH07926.1 g168640
ortholog_2267 SCH08384.1 g4841
ortholog_2268 SCH07799.1 g171196
ortholog_2269 SCH07710.1 g169305
ortholog_2270 SCH07410.1 g167906
ortholog_2271 SCH08122.1 g174166
ortholog_2272 SCH08040.1 g166465
ortholog_2273 SCH08081.1 g166463
ortholog_2274 SCH08503.1 g168093
ortholog_2275 SCH07905.1 g202425
ortholog_2276 SCH07777.1 g165727
ortholog_2277 SCH08047.1 g165733
ortholog_2278 SCH08011.1 g167720
ortholog_2279 SCH07936.1 g154834
ortholog_2280 SCH08491.1 g61746
ortholog_2281 SCH07468.1 g61747
ortholog_2282 SCH08308.1 g170445
ortholog_2283 SCH07943.1 g174244
ortholog_2284 SCH08086.1 g170192
ortholog_2285 SCH07380.1 g173689
ortholog_2286 SCH07571.1 g168918
ortholog_2287 SCH08138.1 g165841
ortholog_2288 SCH07526.1 g212396
ortholog_2289 SCH07721.1 g124618
ortholog_2290 SCH08168.1 g175487
ortholog_2291 SCH08477.1 g170593
ortholog_2292 SCH08513.1 g173967
ortholog_2293 SCH07344.1 g169792
ortholog_2294 SCH08274.1 g175365
ortholog_2295 SCH08309.1 g173980
ortholog_2296 SCH08352.1 g171692
ortholog_2297 SCH07452.1 g172742
ortholog_2298 SCH07769.1 g171100
ortholog_2299 SCH07634.1 g56331
ortholog_2300 SCH07456.1 g188570
ortholog_2301 SCH07493.1 g166802
ortholog_2302 SCH08042.1 g165395
ortholog_2303 SCH07904.1 g97298
ortholog_2304 SCH07912.1 g171820
ortholog_2305 SCH07947.1 g173609
ortholog_2306 SCH07995.1 g133996
ortholog_2307 SCH08415.1 g170973
ortholog_2308 SCH07698.1 g167687
ortholog_2309 SCH07473.1 g173208
ortholog_2310 SCH07830.1 g169890
ortholog_2311 SCH08409.1 g169597
ortholog_2312 SCH07532.1 g173277
ortholog_2313 SCH07415.1 g173273
ortholog_2314 SCH08198.1 g109907
ortholog_2315 SCH08161.1 g46348
ortholog_2316 SCH07348.1 g172249
ortholog_2317 SCH07670.1 g172280
ortholog_2318 SCH07545.1 g171521
ortholog_2319 SCH07514.1 g127042
ortholog_2320 SCH07474.1 g168881
ortholog_2321 SCH07433.1 g167549
ortholog_2322 SCH07395.1 g159152
ortholog_2323 SCH07972.1 g164392
ortholog_2324 SCH07406.1 g171795
ortholog_2325 SCH07651.1 g169403
ortholog_2326 SCH08358.1 g111310
ortholog_2327 SCH08461.1 g7471
ortholog_2328 SCH08371.1 g166076
ortholog_2329 SCH08137.1 g167177
ortholog_2330 SCH07982.1 g166721
ortholog_2331 SCH07779.1 g155278
ortholog_2332 SCH07854.1 g170398
ortholog_2333 SCH07350.1 g156588
ortholog_2334 SCH07607.1 g173189
ortholog_2335 SCH07751.1 g168968
ortholog_2336 SCH07346.1 g83045
ortholog_2337 SCH08251.1 g170495
ortholog_2338 SCH07680.1 g173288
ortholog_2339 SCH08209.1 g168624
ortholog_2340 SCH08171.1 g172659
ortholog_2341 SCH07420.1 g105917
ortholog_2342 SCH07548.1 g96827
ortholog_2343 SCH08008.1 g172185
ortholog_2344 SCH07817.1 g171416
ortholog_2345 SCH07619.1 g159302
ortholog_2346 SCH07645.1 g167183
ortholog_2347 SCH08065.1 g172737
ortholog_2348 SCH07458.1 g169314
ortholog_2349 SCH07622.1 g169417
ortholog_2350 SCH07748.1 g173910
ortholog_2351 SCH07480.1 g170186
ortholog_2352 SCH08454.1 g160682
ortholog_2353 SCH08507.1 g170332
ortholog_2354 SCH08046.1 g170326
ortholog_2355 SCH08094.1 g169541
ortholog_2356 SCH08130.1 g68166
ortholog_2357 SCH08402.1 g170838
ortholog_2358 SCH08150.1 g169423
ortholog_2359 SCH08010.1 g172192
ortholog_2360 SCH08299.1 g167854
ortholog_2361 SCH08291.1 g168468
ortholog_2362 SCH07370.1 g171185
ortholog_2363 SCH07326.1 g171469
ortholog_2364 SCH07401.1 g170305
ortholog_2365 SCH07407.1 g210797
ortholog_2366 SCH07689.1 g169289
ortholog_2367 SCH08027.1 g167246
ortholog_2368 SCH07840.1 g170028
ortholog_2369 SCH07510.1 g169357
ortholog_2370 SCH08134.1 g211799
ortholog_2371 SCH08239.1 g52349
ortholog_2372 SCH08022.1 g165638
ortholog_2373 SCH07876.1 g169483
ortholog_2374 SCH07965.1 g167219
ortholog_2375 SCH07487.1 g166431
ortholog_2376 SCH07356.1 g169130
ortholog_2377 SCH08515.1 g172111
ortholog_2378 SCH07561.1 g166504
ortholog_2379 SCH08169.1 g172424
ortholog_2380 SCH08362.1 g172652
ortholog_2381 SCH07872.1 g172245
ortholog_2382 SCH08250.1 g170034
ortholog_2383 SCH08207.1 g169536
ortholog_2384 SCH07835.1 g171331
ortholog_2385 SCH07374.1 g171631
ortholog_2386 SCH08071.1 g171636
ortholog_2387 SCH08456.1 g166488
ortholog_2388 SCH07533.1 g17402
ortholog_2389 SCH07647.1 g165876
ortholog_2390 SCH07913.1 g173037
ortholog_2391 SCH08113.1 g168618
ortholog_2392 SCH07574.1 g168619
ortholog_2393 SCH07788.1 g193455
ortholog_2394 SCH08236.1 g64349
ortholog_2395 SCH07590.1 g19177
ortholog_2396 SCH07935.1 g165725
ortholog_2397 SCH08401.1 g166599
ortholog_2398 SCH08165.1 g170903
ortholog_2399 SCH08205.1 g169105
ortholog_2400 SCH08127.1 g169870
ortholog_2401 SCH08080.1 g169884
ortholog_2402 SCH08039.1 g125342
ortholog_2403 SCH07580.1 g173709
ortholog_2404 SCH07850.1 g21825
ortholog_2405 SCH08479.1 g171735
ortholog_2406 SCH07490.1 g167500
ortholog_2407 SCH07643.1 g169007
ortholog_2408 SCH07691.1 g169016
ortholog_2409 SCH07734.1 g178754
ortholog_2410 SCH07955.1 g173806
ortholog_2411 SCH08006.1 g167212
ortholog_2412 SCH07720.1 g172213
ortholog_2413 SCH07741.1 g168316
ortholog_2414 SCH07757.1 g167299
ortholog_2415 SCH08178.1 g173541
ortholog_2416 SCH08218.1 g167555
ortholog_2417 SCH07354.1 g169877
ortholog_2418 SCH07998.1 g179585
ortholog_2419 SCH08443.1 g169422
ortholog_2420 SCH07364.1 g171614
ortholog_2421 SCH08490.1 g104755
ortholog_2422 SCH07418.1 g104759
ortholog_2423 SCH08416.1 g172911
ortholog_2424 SCH07792.1 g170296
ortholog_2425 SCH08484.1 g171112
ortholog_2426 SCH07983.1 g173534
ortholog_2427 SCH08201.1 g175184
ortholog_2428 SCH07440.1 g166012
ortholog_2429 SCH08147.1 g168327
ortholog_2430 SCH08312.1 g165530
ortholog_2431 SCH08480.1 g168019
ortholog_2432 SCH07509.1 g173203
ortholog_2433 SCH07661.1 g167203
ortholog_2434 SCH08189.1 g169623
ortholog_2435 SCH08430.1 g169299
ortholog_2436 SCH08462.1 g172935
ortholog_2437 SCH08123.1 g172713
ortholog_2438 SCH08435.1 g55464
ortholog_2439 SCH08466.1 g169998
ortholog_2440 SCH08504.1 g165734
ortholog_2441 SCH08253.1 g168188
ortholog_2442 SCH08224.1 g9922
ortholog_2443 SCH08499.1 g170238
ortholog_2444 SCH07940.1 g160205
ortholog_2445 SCH07737.1 g39220
ortholog_2446 SCH08263.1 g111183
ortholog_2447 SCH07891.1 g29625
ortholog_2448 SCH08303.1 g111186
ortholog_2449 SCH07589.1 g189090
ortholog_2450 SCH07883.1 g172536
ortholog_2451 SCH07849.1 g170342
ortholog_2452 SCH07809.1 g172921
ortholog_2453 SCH07637.1 g35021
ortholog_2454 SCH07695.1 g112036
ortholog_2455 SCH07441.1 g167235
ortholog_2456 SCH07910.1 g173228
ortholog_2457 SCH07472.1 g171823
ortholog_2458 SCH08045.1 g166270
ortholog_2459 SCH08091.1 g172558
ortholog_2460 SCH08355.1 g173146
ortholog_2461 SCH08103.1 g134956
ortholog_2462 SCH07323.1 g170584
ortholog_2463 SCH07826.1 g170790
ortholog_2464 SCH07318.1 g170778
ortholog_2465 SCH08492.1 g171211
ortholog_2466 SCH07359.1 g171209
ortholog_2467 SCH07760.1 g173924
ortholog_2468 SCH08007.1 g170138
ortholog_2469 SCH07712.1 g170153
ortholog_2470 SCH07682.1 g168819
ortholog_2471 SCH07723.1 g150601
ortholog_2472 SCH07513.1 g172444
ortholog_2473 SCH08052.1 g170765
ortholog_2474 SCH08013.1 g170769
ortholog_2475 SCH08231.1 g172524
ortholog_2476 SCH07864.1 g173857
ortholog_2477 SCH07746.1 g16929
ortholog_2478 SCH08217.1 g150129
ortholog_2479 SCH08259.1 g172036
ortholog_2480 SCH08445.1 g18678
ortholog_2481 SCH08268.1 g170878
ortholog_2482 SCH08364.1 g169550
ortholog_2483 SCH08005.1 g166189
ortholog_2484 SCH08041.1 g168192
ortholog_2485 SCH07443.1 g172969
ortholog_2486 SCH08176.1 g169803
ortholog_2487 SCH08501.1 g170567
ortholog_2488 SCH07422.1 g169385
ortholog_2489 SCH07836.1 g169485
ortholog_2490 SCH07855.1 g169377
ortholog_2491 SCH08061.1 g169381
ortholog_2492 SCH07605.1 g167508
ortholog_2493 SCH08073.1 g167526
ortholog_2494 SCH07718.1 g165524
ortholog_2495 SCH08424.1 g69515
ortholog_2496 SCH08098.1 g170759
ortholog_2497 SCH07984.1 g168194
ortholog_2498 SCH08458.1 g172168
ortholog_2499 SCH08339.1 g172764
ortholog_2500 SCH08068.1 g166725
ortholog_2501 SCH07562.1 g169627
ortholog_2502 SCH08436.1 g171190
ortholog_2503 SCH07309.1 g171734
ortholog_2504 SCH07557.1 g167874
ortholog_2505 SCH07608.1 g170966
ortholog_2506 SCH07686.1 g170991
ortholog_2507 SCH07766.1 g172723
ortholog_2508 SCH08044.1 g24356
ortholog_2509 SCH07800.1 g38855
ortholog_2510 SCH07625.1 g172023
ortholog_2511 SCH07758.1 g50710
ortholog_2512 SCH08166.1 g169349
ortholog_2513 SCH07461.1 g173089
ortholog_2514 SCH07529.1 g21226
ortholog_2515 SCH08457.1 g67740
ortholog_2516 SCH07997.1 g166350
ortholog_2517 SCH08277.1 g72006
ortholog_2518 SCH08442.1 g72016
ortholog_2519 SCH08242.1 g72013
ortholog_2520 SCH08478.1 g71036
ortholog_2521 SCH08399.1 g71030
ortholog_2522 SCH08476.1 g70650
ortholog_2523 SCH07669.1 g70659
ortholog_2524 SCH08523.1 g117314
ortholog_2525 SCH07559.1 g117819
ortholog_2526 SCH08468.1 g68561
ortholog_2527 SCH08455.1 g70058
ortholog_2528 SCH08423.1 g69922
ortholog_2529 SCH07862.1 g75938
ortholog_2530 SCH08016.1 g72368
ortholog_2531 SCH07907.1 g69738
ortholog_2532 SCH08351.1 g69730
ortholog_2533 SCH07931.1 g111118
ortholog_2534 SCH08272.1 g72881
ortholog_2535 SCH08210.1 g165497
ortholog_2536 SCH07920.1 g68104
ortholog_2537 SCH07430.1 g145306
ortholog_2538 SCH07829.1 g75386
ortholog_2539 SCH08183.1 g17222
ortholog_2540 SCH07875.1 g125527
ortholog_2541 SCH08368.1 g71958
ortholog_2542 SCH07683.1 g71774
ortholog_2543 SCH07515.1 g75557
ortholog_2544 SCH07516.1 g1537
ortholog_2545 SCH07770.1 g71228
ortholog_2546 SCH07568.1 g73960
ortholog_2547 SCH07909.1 g67788
ortholog_2548 SCH07957.1 g73681
ortholog_2549 SCH08330.1 g76086
ortholog_2550 SCH07319.1 g77102
ortholog_2551 SCH08493.1 g69458
ortholog_2552 SCH07365.1 g104365
ortholog_2553 SCH07915.1 g77380
ortholog_2554 SCH08327.1 g76317
ortholog_2555 SCH08072.1 g73247
ortholog_2556 SCH07970.1 g76347
ortholog_2557 SCH07823.1 g75397
ortholog_2558 SCH07678.1 g70748
ortholog_2559 SCH07816.1 g67741
ortholog_2560 SCH08054.1 g70741
ortholog_2561 SCH08015.1 g70743
ortholog_2562 SCH07730.1 g202581
ortholog_2563 SCH07804.1 g67710
ortholog_2564 SCH07444.1 g68782
ortholog_2565 SCH07688.1 g73995
ortholog_2566 SCH08070.1 g76066
ortholog_2567 SCH07517.1 g148560
ortholog_2568 SCH07477.1 g76574
ortholog_2569 SCH07620.1 g191268
ortholog_2570 SCH07945.1 g77107
ortholog_2571 SCH07470.1 g70219
ortholog_2572 SCH08074.1 g76413
ortholog_2573 SCH08215.1 g73205
ortholog_2574 SCH07595.1 g70142
ortholog_2575 SCH08495.1 g70185
ortholog_2576 SCH07488.1 g70181
ortholog_2577 SCH07376.1 g67695
ortholog_2578 SCH07341.1 g70192
ortholog_2579 SCH08470.1 g68004
ortholog_2580 SCH07950.1 g69908
ortholog_2581 SCH08437.1 g69903
ortholog_2582 SCH07552.1 g69902
ortholog_2583 SCH07383.1 g73780
ortholog_2584 SCH07642.1 g181506
ortholog_2585 SCH07547.1 g77211
ortholog_2586 SCH08475.1 g77165
ortholog_2587 SCH07853.1 g76204
ortholog_2588 SCH07704.1 g71140
ortholog_2589 SCH07484.1 g71222
ortholog_2590 SCH07544.1 g120824
ortholog_2591 SCH07332.1 g75500
ortholog_2592 SCH08447.1 g78171
ortholog_2593 SCH07654.1 g70199
ortholog_2594 SCH07639.1 g161508
ortholog_2595 SCH08059.1 g74731
ortholog_2596 SCH07382.1 g73039
ortholog_2597 SCH07878.1 g73034
ortholog_2598 SCH08295.1 g56003
ortholog_2599 SCH07486.1 g75486
ortholog_2600 SCH07582.1 g15736
ortholog_2601 SCH07845.1 g73817
ortholog_2602 SCH07871.1 g1484
ortholog_2603 SCH08411.1 g1451
ortholog_2604 SCH08300.1 g73246
ortholog_2605 SCH08376.1 g68773
ortholog_2606 SCH08069.1 g70436
ortholog_2607 SCH08030.1 g69025
ortholog_2608 SCH08314.1 g71122
ortholog_2609 SCH07996.1 g64833
ortholog_2610 SCH08026.1 g72582
ortholog_2611 SCH07566.1 g60582
ortholog_2612 SCH07814.1 g74367
ortholog_2613 SCH07743.1 g69457
ortholog_2614 SCH07436.1 g69451
ortholog_2615 SCH08310.1 g67866
ortholog_2616 SCH08353.1 g94826
ortholog_2617 SCH08519.1 g71141
ortholog_2618 SCH07597.1 g71939
ortholog_2619 SCH07706.1 g71764
ortholog_2620 SCH07659.1 g68481
ortholog_2621 SCH07494.1 g70319
ortholog_2622 SCH08365.1 g128954
ortholog_2623 SCH07523.1 g68858
ortholog_2624 SCH08301.1 g71929
ortholog_2625 SCH07394.1 g73997
ortholog_2626 SCH08097.1 g72852
ortholog_2627 SCH07951.1 g68978
ortholog_2628 SCH07985.1 g212317
ortholog_2629 SCH08228.1 g9025
ortholog_2630 SCH07694.1 g127641
ortholog_2631 SCH07866.1 g188226
ortholog_2632 SCH07579.1 g76579
ortholog_2633 SCH07336.1 g73086
ortholog_2634 SCH07426.1 g131601
ortholog_2635 SCH07715.1 g69648
ortholog_2636 SCH08344.1 g70331
ortholog_2637 SCH07727.1 g137873
ortholog_2638 SCH07492.1 g73979
ortholog_2639 SCH07818.1 g125767
ortholog_2640 SCH07839.1 g74930
ortholog_2641 SCH07429.1 g68129
ortholog_2642 SCH07543.1 g70615
ortholog_2643 SCH08288.1 g83051
ortholog_2644 SCH07392.1 g73245
ortholog_2645 SCH08385.1 g70855
ortholog_2646 SCH08347.1 g70854
ortholog_2647 SCH08361.1 g71073
ortholog_2648 SCH08140.1 g71078
ortholog_2649 SCH07968.1 g73951
ortholog_2650 SCH08146.1 g155113
ortholog_2651 SCH08540.1 g18361
ortholog_2652 SCH08560.1 g66675
ortholog_2653 SCH08556.1 g96015
ortholog_2654 SCH08567.1 g20371
ortholog_2655 SCH08566.1 g20369
ortholog_2656 SCH08635.1 g103816
ortholog_2657 SCH09194.1 g110147
ortholog_2658 SCH09150.1 g110146
ortholog_2659 SCH09232.1 g102530
ortholog_2660 SCH08666.1 g102508
ortholog_2661 SCH09144.1 g111040
ortholog_2662 SCH09229.1 g103759
ortholog_2663 SCH08956.1 g103762
ortholog_2664 SCH08929.1 g199788
ortholog_2665 SCH08766.1 g103629
ortholog_2666 SCH08774.1 g93454
ortholog_2667 SCH09390.1 g108508
ortholog_2668 SCH09306.1 g112357
ortholog_2669 SCH09254.1 g128788
ortholog_2670 SCH08974.1 g111377
ortholog_2671 SCH08604.1 g111361
ortholog_2672 SCH09363.1 g111816
ortholog_2673 SCH08644.1 g108721
ortholog_2674 SCH09236.1 g107431
ortholog_2675 SCH09159.1 g112886
ortholog_2676 SCH09344.1 g94979
ortholog_2677 SCH08874.1 g111042
ortholog_2678 SCH08715.1 g103423
ortholog_2679 SCH08927.1 g111820
ortholog_2680 SCH08665.1 g23800
ortholog_2681 SCH09213.1 g112402
ortholog_2682 SCH08765.1 g112255
ortholog_2683 SCH09300.1 g100321
ortholog_2684 SCH08618.1 g188824
ortholog_2685 SCH09346.1 g102685
ortholog_2686 SCH09265.1 g106729
ortholog_2687 SCH09287.1 g104606
ortholog_2688 SCH09396.1 g104598
ortholog_2689 SCH09114.1 g121569
ortholog_2690 SCH08583.1 g23782
ortholog_2691 SCH08928.1 g58177
ortholog_2692 SCH09106.1 g83873
ortholog_2693 SCH08858.1 g205746
ortholog_2694 SCH08603.1 g111060
ortholog_2695 SCH08682.1 g103806
ortholog_2696 SCH08662.1 g65509
ortholog_2697 SCH09247.1 g175813
ortholog_2698 SCH09333.1 g123733
ortholog_2699 SCH08953.1 g112396
ortholog_2700 SCH09222.1 g112786
ortholog_2701 SCH09077.1 g107545
ortholog_2702 SCH08581.1 g30175
ortholog_2703 SCH09037.1 g110262
ortholog_2704 SCH09257.1 g112740
ortholog_2705 SCH09281.1 g103539
ortholog_2706 SCH08777.1 g104899
ortholog_2707 SCH08592.1 g104114
ortholog_2708 SCH08626.1 g104121
ortholog_2709 SCH09135.1 g192898
ortholog_2710 SCH09366.1 g108258
ortholog_2711 SCH08636.1 g108268
ortholog_2712 SCH09275.1 g108205
ortholog_2713 SCH09325.1 g8175
ortholog_2714 SCH09053.1 g111028
ortholog_2715 SCH09081.1 g103342
ortholog_2716 SCH09266.1 g112616
ortholog_2717 SCH09320.1 g110240
ortholog_2718 SCH09294.1 g110238
ortholog_2719 SCH09131.1 g110263
ortholog_2720 SCH09170.1 g104217
ortholog_2721 SCH09071.1 g106318
ortholog_2722 SCH08975.1 g29834
ortholog_2723 SCH09392.1 g106111
ortholog_2724 SCH08996.1 g178071
ortholog_2725 SCH08932.1 g113035
ortholog_2726 SCH09175.1 g5665
ortholog_2727 SCH08731.1 g106539
ortholog_2728 SCH09304.1 g106571
ortholog_2729 SCH09125.1 g194694
ortholog_2730 SCH08598.1 g102829
ortholog_2731 SCH09203.1 g112369
ortholog_2732 SCH08879.1 g104488
ortholog_2733 SCH08750.1 g104473
ortholog_2734 SCH09382.1 g108536
ortholog_2735 SCH08605.1 g111024
