ortholog_1 MGL00634.1 SCH19313.1
ortholog_2730 MGL05960.1 SCH10388.1
ortholog_2731 MGL05929.1 SCH10680.1
ortholog_2732 MGL05903.1 SCH10666.1
ortholog_2733 MGL06844.1 SCH10373.1
ortholog_2734 MGL06777.1 SCH10155.1
ortholog_2735 MGL06753.1 SCH10392.1
ortholog_2736 MGL06621.1 SCH10184.1
ortholog_2737 MGL06659.1 SCH10163.1
ortholog_2738 MGL06687.1 SCH10570.1
ortholog_2739 MGL06329.1 SCH10463.1
ortholog_2740 MGL06358.1 SCH10204.1
ortholog_2741 MGL06390.1 SCH10420.1
ortholog_2742 MGL06425.1 SCH10279.1
ortholog_2743 MGL06636.1 SCH10296.1
ortholog_2744 MGL06096.1 SCH10332.1
ortholog_2745 MGL06538.1 SCH16905.1
ortholog_2746 MGL06622.1 SCH16758.1
ortholog_2747 MGL06544.1 SCH10571.1
ortholog_2748 MGL06404.1 SCH10128.1
ortholog_2749 MGL06754.1 SCH10595.1
ortholog_2750 MGL06369.1 SCH10369.1
ortholog_2751 MGL06114.1 SCH22388.1
ortholog_2752 MGL06138.1 SCH10183.1
ortholog_2753 MGL06822.1 SCH10682.1
ortholog_2754 MGL06298.1 SCH10371.1
ortholog_2755 MGL06359.1 SCH10504.1
ortholog_2756 MGL06391.1 SCH16575.1
ortholog_2757 MGL06426.1 SCH08789.1
ortholog_2758 MGL06449.1 SCH09351.1
ortholog_2759 MGL06632.1 SCH08686.1
ortholog_2760 MGL06744.1 SCH10234.1
ortholog_2761 MGL06573.1 SCH17102.1
ortholog_2762 MGL06214.1 SCH02455.1
ortholog_2763 MGL05910.1 SCH06589.1
ortholog_2764 MGL06257.1 SCH10614.1
ortholog_2765 MGL06290.1 SCH10457.1
ortholog_2766 MGL06320.1 SCH10304.1
ortholog_2767 MGL06039.1 SCH16961.1
ortholog_2768 MGL06508.1 SCH16993.1
ortholog_2769 MGL05990.1 SCH10506.1
ortholog_2770 MGL05924.1 SCH10515.1
ortholog_2771 MGL05893.1 SCH10467.1
ortholog_2772 MGL06832.1 SCH10447.1
ortholog_2773 MGL06796.1 SCH09308.1
ortholog_2774 MGL06482.1 SCH08942.1
ortholog_2775 MGL06767.1 SCH08598.1
ortholog_2776 MGL06218.1 SCH09083.1
ortholog_2777 MGL06709.1 SCH08762.1
ortholog_2778 MGL06783.1 SCH08765.1
ortholog_2779 MGL05915.1 SCH10106.1
ortholog_2780 MGL06513.1 SCH10374.1
ortholog_2781 MGL06489.1 SCH10092.1
ortholog_2782 MGL06460.1 SCH10498.1
ortholog_2783 MGL06506.1 SCH10461.1
ortholog_2784 MGL06406.1 SCH10390.1
ortholog_2785 MGL06229.1 SCH10536.1
ortholog_2786 MGL06536.1 SCH10476.1
ortholog_2787 MGL06162.1 SCH10491.1
ortholog_2788 MGL06129.1 SCH10505.1
ortholog_2789 MGL06105.1 SCH10528.1
ortholog_2790 MGL06068.1 SCH10492.1
ortholog_2791 MGL06038.1 SCH10191.1
ortholog_2792 MGL05945.1 SCH07213.1
ortholog_2793 MGL05989.1 SCH10974.1
ortholog_2794 MGL06795.1 SCH10572.1
ortholog_2795 MGL06742.1 SCH10575.1
ortholog_2796 MGL06648.1 SCH09315.1
ortholog_2797 MGL06638.1 SCH14547.1
ortholog_2798 MGL06133.1 SCH17164.1
ortholog_2799 MGL06199.1 SCH08844.1
ortholog_2800 MGL06526.1 SCH09204.1
ortholog_2801 MGL06091.1 SCH10333.1
ortholog_2802 MGL06846.1 SCH09236.1
ortholog_2803 MGL05999.1 SCH09237.1
ortholog_2804 MGL06092.1 SCH07683.1
ortholog_2805 MGL06049.1 SCH09257.1
ortholog_2806 MGL06139.1 SCH09314.1
ortholog_2807 MGL06175.1 SCH09304.1
ortholog_2808 MGL06207.1 SCH09285.1
ortholog_2809 MGL06763.1 SCH08890.1
ortholog_2810 MGL06339.1 SCH01028.1
ortholog_2811 MGL06393.1 SCH10523.1
ortholog_2812 MGL05920.1 SCH21741.1
ortholog_2813 MGL06450.1 SCH10583.1
ortholog_2814 MGL06855.1 SCH10637.1
ortholog_2815 MGL06764.1 SCH10663.1
ortholog_2816 MGL06563.1 SCH10439.1
ortholog_2817 MGL06595.1 SCH10509.1
ortholog_2818 MGL06534.1 SCH10474.1
ortholog_2819 MGL05904.1 SCH08660.1
ortholog_2820 MGL05962.1 SCH10480.1
ortholog_2821 MGL06000.1 SCH10269.1
ortholog_2822 MGL06081.1 SCH10113.1
ortholog_2823 MGL06117.1 SCH10635.1
ortholog_2824 MGL06176.1 SCH10346.1
ortholog_2825 MGL06154.1 SCH10186.1
ortholog_2826 MGL06269.1 SCH10268.1
ortholog_2827 MGL06333.1 SCH16755.1
ortholog_2828 MGL06361.1 SCH10999.1
ortholog_2829 MGL06500.1 SCH10580.1
ortholog_2830 MGL06528.1 SCH10598.1
ortholog_2831 MGL06564.1 SCH10411.1
ortholog_2832 MGL06596.1 SCH10495.1
ortholog_2833 MGL06663.1 SCH10182.1
ortholog_2834 MGL06689.1 SCH10239.1
ortholog_2835 MGL06778.1 SCH10445.1
ortholog_2836 MGL06810.1 SCH10171.1
ortholog_2837 MGL05934.1 SCH13276.1
ortholog_2838 MGL06051.1 SCH08582.1
ortholog_2839 MGL05917.1 SCH08777.1
ortholog_2840 MGL06334.1 SCH08604.1
ortholog_2841 MGL06695.1 SCH08974.1
ortholog_2842 MGL06427.1 SCH01758.1
ortholog_2843 MGL06470.1 SCH08987.1
ortholog_2844 MGL06501.1 SCH08763.1
ortholog_2845 MGL06529.1 SCH09364.1
ortholog_2846 MGL06597.1 SCH09118.1
ortholog_2847 MGL06664.1 SCH08953.1
ortholog_2848 MGL06690.1 SCH09346.1
ortholog_2849 MGL06722.1 SCH09298.1
ortholog_2850 MGL06756.1 SCH08770.1
ortholog_2851 MGL06779.1 SCH08759.1
ortholog_2852 MGL05906.1 SCH01557.1
ortholog_2853 MGL05935.1 SCH01626.1
ortholog_2854 MGL05964.1 SCH09370.1
ortholog_2855 MGL06002.1 SCH08852.1
ortholog_2856 MGL06024.1 SCH23653.1
ortholog_2857 MGL06082.1 SCH09170.1
ortholog_2858 MGL06085.1 SCH09375.1
ortholog_2859 MGL06055.1 SCH08811.1
ortholog_2860 MGL06027.1 SCH08960.1
ortholog_2861 MGL06004.1 SCH09130.1
ortholog_2862 MGL06730.1 SCH08874.1
ortholog_2863 MGL05937.1 SCH08661.1
ortholog_2864 MGL05908.1 SCH08814.1
ortholog_2865 MGL06848.1 SCH07108.1
ortholog_2866 MGL05907.1 SCH16729.1
ortholog_2867 MGL05916.1 SCH23782.1
ortholog_2868 MGL06054.1 SCH10195.1
ortholog_2869 MGL06119.1 SCH08629.1
ortholog_2870 MGL06084.1 SCH08828.1
ortholog_2871 MGL06144.1 SCH10289.1
ortholog_2872 MGL06179.1 SCH10510.1
ortholog_2873 MGL06246.1 SCH00373.1
ortholog_2874 MGL06274.1 SCH10148.1
ortholog_2875 MGL06304.1 SCH10453.1
ortholog_2876 MGL06430.1 SCH10429.1
ortholog_2877 MGL06122.1 SCH00822.1
ortholog_2878 MGL06568.1 SCH10566.1
ortholog_2879 MGL06629.1 SCH17190.1
ortholog_2880 MGL06665.1 SCH11819.1
ortholog_2881 MGL06281.1 SCH20254.1
ortholog_2882 MGL06759.1 SCH09169.1
ortholog_2883 MGL06812.1 SCH09281.1
ortholog_2884 MGL06757.1 SCH09144.1
ortholog_2885 MGL05973.1 SCH10109.1
ortholog_2886 MGL06089.1 SCH10569.1
ortholog_2887 MGL06762.1 SCH10618.1
ortholog_2888 MGL06245.1 SCH10192.1
ortholog_2889 MGL06273.1 SCH10240.1
ortholog_2890 MGL06364.1 SCH10444.1
ortholog_2891 MGL06819.1 SCH10665.1
ortholog_2892 MGL06395.1 SCH10434.1
ortholog_2893 MGL06286.1 SCH13235.1
ortholog_2894 MGL06472.1 SCH10330.1
ortholog_2895 MGL06503.1 SCH10401.1
ortholog_2896 MGL06531.1 SCH10603.1
ortholog_2897 MGL06567.1 SCH16641.1
ortholog_2898 MGL06220.1 SCH16717.1
ortholog_2899 MGL06723.1 SCH16857.1
ortholog_2900 MGL06053.1 SCH16616.1
ortholog_2901 MGL05965.1 SCH10133.1
ortholog_2902 MGL05936.1 SCH10305.1
ortholog_2903 MGL06178.1 SCH10263.1
ortholog_2904 MGL06485.1 SCH10112.1
ortholog_2905 MGL06284.1 SCH07230.1
ortholog_2906 MGL06539.1 SCH10551.1
ortholog_2907 MGL06847.1 SCH10674.1
ortholog_2908 MGL06502.1 SCH10449.1
ortholog_2909 MGL06530.1 SCH10430.1
ortholog_2910 MGL06566.1 SCH16612.1
ortholog_2911 MGL06787.1 SCH17204.1
ortholog_2912 MGL06903.1 SCH04133.1
ortholog_2913 MGL06873.1 SCH03686.1
ortholog_2914 MGL07839.1 SCH03746.1
ortholog_2915 MGL07438.1 SCH03543.1
ortholog_2916 MGL07757.1 SCH03602.1
ortholog_2917 MGL06983.1 SCH03497.1
ortholog_2918 MGL07696.1 SCH04158.1
ortholog_2919 MGL07658.1 SCH03550.1
ortholog_2920 MGL07597.1 SCH03718.1
ortholog_2921 MGL07433.1 SCH04183.1
ortholog_2922 MGL07353.1 SCH09146.1
ortholog_2923 MGL07381.1 SCH03665.1
ortholog_2924 MGL07399.1 SCH04226.1
ortholog_2925 MGL07302.1 SCH03614.1
ortholog_2926 MGL07277.1 SCH11635.1
ortholog_2927 MGL07128.1 SCH03702.1
ortholog_2928 MGL07027.1 SCH04249.1
ortholog_2929 MGL06968.1 SCH07465.1
ortholog_2930 MGL06999.1 SCH15047.1
ortholog_2931 MGL06942.1 SCH04025.1
ortholog_2932 MGL06902.1 SCH03398.1
ortholog_2933 MGL06872.1 SCH08358.1
ortholog_2934 MGL07756.1 SCH04271.1
ortholog_2935 MGL07043.1 SCH04102.1
ortholog_2936 MGL07621.1 SCH04143.1
ortholog_2937 MGL07596.1 SCH03565.1
ortholog_2938 MGL07175.1 SCH13561.1
ortholog_2939 MGL07529.1 SCH00437.1
ortholog_2940 MGL07460.1 SCH04118.1
ortholog_2941 MGL07432.1 SCH04201.1
ortholog_2942 MGL07398.1 SCH03937.1
ortholog_2943 MGL07710.1 SCH04187.1
ortholog_2944 MGL07301.1 SCH03845.1
ortholog_2945 MGL07276.1 SCH03877.1
ortholog_2946 MGL07241.1 SCH03724.1
ortholog_2947 MGL07220.1 SCH03471.1
ortholog_2948 MGL07193.1 SCH03960.1
ortholog_2949 MGL07161.1 SCH11792.1
ortholog_2950 MGL07127.1 SCH03913.1
ortholog_2951 MGL07058.1 SCH14483.1
ortholog_2952 MGL06998.1 SCH14472.1
ortholog_2953 MGL06967.1 SCH14432.1
ortholog_2954 MGL06941.1 SCH03918.1
ortholog_2955 MGL06901.1 SCH03523.1
ortholog_2956 MGL06871.1 SCH03804.1
ortholog_2957 MGL07836.1 SCH03839.1
ortholog_2958 MGL07812.1 SCH03712.1
ortholog_2959 MGL07147.1 SCH03383.1
ortholog_2960 MGL07729.1 SCH04137.1
ortholog_2961 MGL07695.1 SCH04261.1
ortholog_2962 MGL07595.1 SCH03584.1
ortholog_2963 MGL07559.1 SCH03502.1
ortholog_2964 MGL07528.1 SCH04004.1
ortholog_2965 MGL07494.1 SCH03818.1
ortholog_2966 MGL07459.1 SCH04069.1
ortholog_2967 MGL06954.1 SCH03748.1
ortholog_2968 MGL07074.1 SCH03866.1
ortholog_2969 MGL07105.1 SCH03597.1
ortholog_2970 MGL07431.1 SCH03876.1
ortholog_2971 MGL07397.1 SCH03931.1
ortholog_2972 MGL07366.1 SCH14276.1
ortholog_2973 MGL07338.1 SCH14310.1
ortholog_2974 MGL07206.1 SCH03769.1
ortholog_2975 MGL07219.1 SCH03884.1
ortholog_2976 MGL07192.1 SCH04029.1
ortholog_2977 MGL07255.1 SCH03742.1
ortholog_2978 MGL06940.1 SCH03809.1
ortholog_2979 MGL07772.1 SCH18516.1
ortholog_2980 MGL07835.1 SCH18553.1
ortholog_2981 MGL07811.1 SCH03704.1
ortholog_2982 MGL06975.1 SCH03594.1
ortholog_2983 MGL07728.1 SCH03961.1
ortholog_2984 MGL07694.1 SCH03632.1
ortholog_2985 MGL07583.1 SCH03701.1
ortholog_2986 MGL07619.1 SCH12662.1
ortholog_2987 MGL07594.1 SCH14130.1
ortholog_2988 MGL07527.1 SCH03903.1
ortholog_2989 MGL07299.1 SCH03942.1
ortholog_2990 MGL07275.1 SCH03745.1
ortholog_2991 MGL07240.1 SCH03697.1
ortholog_2992 MGL07218.1 SCH03666.1
ortholog_2993 MGL07159.1 SCH03447.1
ortholog_2994 MGL07126.1 SCH03437.1
ortholog_2995 MGL06887.1 SCH04056.1
ortholog_2996 MGL07092.1 SCH03633.1
ortholog_2997 MGL07057.1 SCH17256.1
ortholog_2998 MGL06918.1 SCH03438.1
ortholog_2999 MGL06966.1 SCH04139.1
ortholog_3000 MGL07821.1 SCH04252.1
ortholog_3001 MGL06939.1 SCH03394.1
ortholog_3002 MGL06900.1 SCH03649.1
ortholog_3003 MGL06870.1 SCH04105.1
ortholog_3004 MGL07075.1 SCH03574.1
ortholog_3005 MGL07784.1 SCH03664.1
ortholog_3006 MGL07383.1 SCH03949.1
ortholog_3007 MGL07693.1 SCH02692.1
ortholog_3008 MGL07618.1 SCH03982.1
ortholog_3009 MGL07557.1 SCH03826.1
ortholog_3010 MGL07526.1 SCH03854.1
ortholog_3011 MGL07493.1 SCH20185.1
ortholog_3012 MGL07572.1 SCH04036.1
ortholog_3013 MGL07365.1 SCH04020.1
ortholog_3014 MGL07330.1 SCH03474.1
ortholog_3015 MGL07293.1 SCH04262.1
ortholog_3016 MGL07265.1 SCH03760.1
ortholog_3017 MGL07182.1 SCH04213.1
ortholog_3018 MGL07150.1 SCH03967.1
ortholog_3019 MGL07117.1 SCH04233.1
ortholog_3020 MGL07086.1 SCH03948.1
ortholog_3021 MGL07167.1 SCH01061.1
ortholog_3022 MGL07373.1 SCH16454.1
ortholog_3023 MGL06935.1 SCH03639.1
ortholog_3024 MGL06895.1 SCH03897.1
ortholog_3025 MGL07831.1 SCH03730.1
ortholog_3026 MGL07806.1 SCH03622.1
ortholog_3027 MGL07542.1 SCH04023.1
ortholog_3028 MGL07750.1 SCH04132.1
ortholog_3029 MGL07689.1 SCH03905.1
ortholog_3030 MGL07719.1 SCH03778.1
ortholog_3031 MGL07671.1 SCH03467.1
ortholog_3032 MGL07352.1 SCH03508.1
ortholog_3033 MGL06862.1 SCH03505.1
ortholog_3034 MGL07796.1 SCH04130.1
ortholog_3035 MGL07538.1 SCH04159.1
ortholog_3036 MGL06958.1 SCH03409.1
ortholog_3037 MGL07183.1 SCH03848.1
ortholog_3038 MGL07050.1 SCH03725.1
ortholog_3039 MGL07019.1 SCH03492.1
ortholog_3040 MGL06989.1 SCH03902.1
ortholog_3041 MGL06960.1 SCH03488.1
ortholog_3042 MGL06931.1 SCH09527.1
ortholog_3043 MGL06892.1 SCH03874.1
ortholog_3044 MGL07119.1 SCH03711.1
ortholog_3045 MGL07152.1 SCH03831.1
ortholog_3046 MGL07211.1 SCH04161.1
ortholog_3047 MGL07580.1 SCH03965.1
ortholog_3048 MGL07233.1 SCH03945.1
ortholog_3049 MGL07713.1 SCH03838.1
ortholog_3050 MGL07267.1 SCH03423.1
ortholog_3051 MGL07487.1 SCH04131.1
ortholog_3052 MGL07748.1 SCH04188.1
ortholog_3053 MGL07722.1 SCH04175.1
ortholog_3054 MGL07649.1 SCH03940.1
ortholog_3055 MGL07615.1 SCH03653.1
ortholog_3056 MGL07590.1 SCH04099.1
ortholog_3057 MGL07048.1 SCH03532.1
ortholog_3058 MGL07017.1 SCH16694.1
ortholog_3059 MGL06987.1 SCH03710.1
ortholog_3060 MGL07762.1 SCH02327.1
ortholog_3061 MGL07512.1 SCH03727.1
ortholog_3062 MGL07827.1 SCH04266.1
ortholog_3063 MGL07718.1 SCH03560.1
ortholog_3064 MGL07684.1 SCH03558.1
ortholog_3065 MGL07547.1 SCH04035.1
ortholog_3066 MGL07518.1 SCH03792.1
ortholog_3067 MGL07351.1 SCH03844.1
ortholog_3068 MGL07116.1 SCH03484.1
ortholog_3069 MGL07537.1 SCH16536.1
ortholog_3070 MGL07085.1 SCH03478.1
ortholog_3071 MGL07669.1 SCH03506.1
ortholog_3072 MGL07181.1 SCH03595.1
ortholog_3073 MGL07209.1 SCH03431.1
ortholog_3074 MGL06919.1 SCH04009.1
ortholog_3075 MGL07629.1 SCH16096.1
ortholog_3076 MGL07156.1 SCH16798.1
ortholog_3077 MGL06937.1 SCH03472.1
ortholog_3078 MGL07237.1 SCH03708.1
ortholog_3079 MGL07272.1 SCH03569.1
ortholog_3080 MGL06922.1 SCH03439.1
ortholog_3081 MGL07034.1 SCH00202.1
ortholog_3082 MGL06947.1 SCH00762.1
ortholog_3083 MGL06916.1 SCH00894.1
ortholog_3084 MGL07335.1 SCH04024.1
ortholog_3085 MGL07363.1 SCH03859.1
ortholog_3086 MGL07107.1 SCH11007.1
ortholog_3087 MGL06909.1 SCH19596.1
ortholog_3088 MGL07506.1 SCH00166.1
ortholog_3089 MGL07501.1 SCH01118.1
ortholog_3090 MGL07525.1 SCH03815.1
ortholog_3091 MGL07792.1 SCH03721.1
ortholog_3092 MGL07380.1 SCH03461.1
ortholog_3093 MGL07691.1 SCH03871.1
ortholog_3094 MGL07726.1 SCH03962.1
ortholog_3095 MGL07752.1 SCH03646.1
ortholog_3096 MGL07808.1 SCH03397.1
ortholog_3097 MGL07833.1 SCH03541.1
ortholog_3098 MGL06868.1 SCH04051.1
ortholog_3099 MGL07024.1 SCH04370.1
ortholog_3100 MGL07124.1 SCH03623.1
ortholog_3101 MGL07157.1 SCH06669.1
ortholog_3102 MGL07417.1 SCH03867.1
ortholog_3103 MGL07273.1 SCH23618.1
ortholog_3104 MGL07457.1 SCH14444.1
ortholog_3105 MGL07634.1 SCH03974.1
ortholog_3106 MGL07727.1 SCH03674.1
ortholog_3107 MGL07692.1 SCH04254.1
ortholog_3108 MGL07606.1 SCH03863.1
ortholog_3109 MGL07346.1 SCH03837.1
ortholog_3110 MGL07254.1 SCH03529.1
ortholog_3111 MGL07556.1 SCH03404.1
ortholog_3112 MGL07064.1 SCH03518.1
ortholog_3113 MGL07680.1 SCH04040.1
ortholog_3114 MGL07185.1 SCH03939.1
ortholog_3115 MGL07120.1 SCH03469.1
ortholog_3116 MGL07088.1 SCH04013.1
ortholog_3117 MGL07574.1 SCH03955.1
ortholog_3118 MGL07509.1 SCH03980.1
ortholog_3119 MGL07250.1 SCH03785.1
ortholog_3120 MGL07286.1 SCH04145.1
ortholog_3121 MGL07322.1 SCH03723.1
ortholog_3122 MGL06990.1 SCH03904.1
ortholog_3123 MGL06932.1 SCH07420.1
ortholog_3124 MGL06893.1 SCH03750.1
ortholog_3125 MGL06864.1 SCH03608.1
ortholog_3126 MGL06992.1 SCH04172.1
ortholog_3127 MGL06963.1 SCH03825.1
ortholog_3128 MGL06934.1 SCH04006.1
ortholog_3129 MGL06894.1 SCH12198.1
ortholog_3130 MGL07044.1 SCH04264.1
ortholog_3131 MGL07688.1 SCH03495.1
ortholog_3132 MGL07651.1 SCH14647.1
ortholog_3133 MGL06955.1 SCH04089.1
ortholog_3134 MGL07522.1 SCH03451.1
ortholog_3135 MGL07489.1 SCH03515.1
ortholog_3136 MGL07423.1 SCH04103.1
ortholog_3137 MGL07550.1 SCH04196.1
ortholog_3138 MGL07247.1 SCH03738.1
ortholog_3139 MGL07767.1 SCH04202.1
ortholog_3140 MGL07723.1 SCH03856.1
ortholog_3141 MGL07749.1 SCH03578.1
ortholog_3142 MGL07780.1 SCH03547.1
ortholog_3143 MGL07830.1 SCH03580.1
ortholog_3144 MGL06962.1 SCH03991.1
ortholog_3145 MGL07582.1 SCH10426.1
ortholog_3146 MGL07020.1 SCH03640.1
ortholog_3147 MGL07052.1 SCH03663.1
ortholog_3148 MGL07005.1 SCH00349.1
ortholog_3149 MGL07121.1 SCH14398.1
ortholog_3150 MGL07436.1 SCH04481.1
ortholog_3151 MGL07424.1 SCH03678.1
ortholog_3152 MGL07393.1 SCH03670.1
ortholog_3153 MGL07296.1 SCH03609.1
ortholog_3154 MGL07269.1 SCH03747.1
ortholog_3155 MGL07053.1 SCH03816.1
ortholog_3156 MGL07154.1 SCH04235.1
ortholog_3157 MGL07186.1 SCH04258.1
ortholog_3158 MGL07270.1 SCH03503.1
ortholog_3159 MGL07334.1 SCH03988.1
ortholog_3160 MGL07362.1 SCH03698.1
ortholog_3161 MGL07425.1 SCH03473.1
ortholog_3162 MGL07523.1 SCH03971.1
ortholog_3163 MGL07685.1 SCH04091.1
ortholog_3164 MGL07648.1 SCH09489.1
ortholog_3165 MGL06915.1 SCH03788.1
ortholog_3166 MGL07519.1 SCH03507.1
ortholog_3167 MGL07021.1 SCH03744.1
ortholog_3168 MGL07848.1 SCH03667.1
ortholog_3169 MGL07765.1 SCH13696.1
ortholog_3170 MGL07187.1 SCH03610.1
ortholog_3171 MGL07214.1 SCH03774.1
ortholog_3172 MGL07251.1 SCH03446.1
ortholog_3173 MGL07297.1 SCH03475.1
ortholog_3174 MGL07395.1 SCH07701.1
ortholog_3175 MGL07455.1 SCH04166.1
ortholog_3176 MGL07611.1 SCH04081.1
ortholog_3177 MGL07326.1 SCH04003.1
ortholog_3178 MGL07485.1 SCH03612.1
ortholog_3179 MGL07520.1 SCH03468.1
ortholog_3180 MGL07740.1 SCH04179.1
ortholog_3181 MGL07549.1 SCH03683.1
ortholog_3182 MGL07589.1 SCH03410.1
ortholog_3183 MGL07779.1 SCH03820.1
ortholog_3184 MGL07828.1 SCH03524.1
ortholog_3185 MGL07470.1 SCH04087.1
ortholog_3186 MGL06930.1 SCH04168.1
ortholog_3187 MGL07210.1 SCH03841.1
ortholog_3188 MGL07184.1 SCH04232.1
ortholog_3189 MGL07118.1 SCH03732.1
ortholog_3190 MGL07307.1 SCH03759.1
ortholog_3191 MGL06988.1 SCH03504.1
ortholog_3192 MGL06959.1 SCH04147.1
ortholog_3193 MGL07018.1 SCH03648.1
ortholog_3194 MGL07049.1 SCH03562.1
ortholog_3195 MGL07087.1 SCH03814.1
ortholog_3196 MGL07474.1 SCH03954.1
ortholog_3197 MGL07232.1 SCH04184.1
ortholog_3198 MGL07820.1 SCH03035.1
ortholog_3199 MGL07294.1 SCH03728.1
ortholog_3200 MGL07721.1 SCH13927.1
ortholog_3201 MGL07747.1 SCH14185.1
ortholog_3202 MGL07337.1 SCH03443.1
ortholog_3203 MGL06920.1 SCH04001.1
ortholog_3204 MGL07274.1 SCH03668.1
ortholog_3205 MGL07604.1 SCH04019.1
ortholog_3206 MGL07217.1 SCH03520.1
ortholog_3207 MGL07190.1 SCH03644.1
ortholog_3208 MGL07158.1 SCH13038.1
ortholog_3209 MGL07125.1 SCH03777.1
ortholog_3210 MGL07444.1 SCH03654.1
ortholog_3211 MGL07318.1 SCH14377.1
ortholog_3212 MGL06869.1 SCH13987.1
ortholog_3213 MGL07834.1 SCH14626.1
ortholog_3214 MGL07136.1 SCH00470.1
ortholog_3215 MGL07450.1 SCH04141.1
ortholog_3216 MGL07717.1 SCH04177.1
ortholog_3217 MGL07141.1 SCH03719.1
ortholog_3218 MGL06986.1 SCH03417.1
ortholog_3219 MGL06883.1 SCH19869.1
ortholog_3220 MGL07084.1 SCH07231.1
ortholog_3221 MGL07264.1 SCH08933.1
ortholog_3222 MGL07329.1 SCH08948.1
ortholog_3223 MGL07773.1 SCH09079.1
ortholog_3224 MGL07517.1 SCH03682.1
ortholog_3225 MGL07586.1 SCH10009.1
ortholog_3226 MGL07389.1 SCH03907.1
ortholog_3227 MGL07007.1 SCH17482.1
ortholog_3228 MGL07788.1 SCH03932.1
ortholog_3229 MGL07758.1 SCH04169.1
ortholog_3230 MGL07291.1 SCH03970.1
ortholog_3231 MGL07482.1 SCH03972.1
ortholog_3232 MGL07515.1 SCH03751.1
ortholog_3233 MGL07613.1 SCH04192.1
ortholog_3234 MGL06927.1 SCH14164.1
ortholog_3235 MGL06889.1 SCH14120.1
ortholog_3236 MGL07824.1 SCH14144.1
ortholog_3237 MGL07798.1 SCH03805.1
ortholog_3238 MGL07777.1 SCH04255.1
ortholog_3239 MGL07743.1 SCH04059.1
ortholog_3240 MGL07714.1 SCH03943.1
ortholog_3241 MGL07410.1 SCH03926.1
ortholog_3242 MGL06953.1 SCH03436.1
ortholog_3243 MGL07356.1 SCH03577.1
ortholog_3244 MGL07312.1 SCH15349.1
ortholog_3245 MGL07068.1 SCH04032.1
ortholog_3246 MGL07164.1 SCH14365.1
ortholog_3247 MGL07170.1 SCH14245.1
ortholog_3248 MGL07244.1 SCH14049.1
ortholog_3249 MGL07371.1 SCH04260.1
ortholog_3250 MGL07435.1 SCH03786.1
ortholog_3251 MGL06970.1 SCH03650.1
ortholog_3252 MGL07009.1 SCH03570.1
ortholog_3253 MGL07198.1 SCH03687.1
ortholog_3254 MGL06907.1 SCH03923.1
ortholog_3255 MGL07625.1 SCH08862.1
ortholog_3256 MGL06877.1 SCH03604.1
ortholog_3257 MGL07842.1 SCH04129.1
ortholog_3258 MGL07733.1 SCH04043.1
ortholog_3259 MGL07698.1 SCH03486.1
ortholog_3260 MGL07661.1 SCH04160.1
ortholog_3261 MGL07585.1 SCH03548.1
ortholog_3262 MGL07130.1 SCH03420.1
ortholog_3263 MGL07095.1 SCH21699.1
ortholog_3264 MGL07742.1 SCH03496.1
ortholog_3265 MGL07163.1 SCH04234.1
ortholog_3266 MGL07194.1 SCH04114.1
ortholog_3267 MGL07243.1 SCH03658.1
ortholog_3268 MGL07280.1 SCH04167.1
ortholog_3269 MGL07305.1 SCH04028.1
ortholog_3270 MGL07565.1 SCH03554.1
ortholog_3271 MGL07599.1 SCH04055.1
ortholog_3272 MGL07697.1 SCH17419.1
ortholog_3273 MGL07732.1 SCH03898.1
ortholog_3274 MGL07196.1 SCH02777.1
ortholog_3275 MGL06973.1 SCH11674.1
ortholog_3276 MGL07316.1 SCH03952.1
ortholog_3277 MGL06906.1 SCH04227.1
ortholog_3278 MGL07456.1 SCH03896.1
ortholog_3279 MGL07427.1 SCH03754.1
ortholog_3280 MGL07003.1 SCH02191.1
ortholog_3281 MGL07113.1 SCH11304.1
ortholog_3282 MGL06956.1 SCH00389.1
ortholog_3283 MGL07228.1 SCH04244.1
ortholog_3284 MGL07573.1 SCH04015.1
ortholog_3285 MGL07357.1 SCH04042.1
ortholog_3286 MGL07388.1 SCH04065.1
ortholog_3287 MGL07061.1 SCH10961.1
ortholog_3288 MGL06985.1 SCH03700.1
ortholog_3289 MGL06957.1 SCH03466.1
ortholog_3290 MGL06929.1 SCH03878.1
ortholog_3291 MGL06890.1 SCH14067.1
ortholog_3292 MGL07205.1 SCH03691.1
ortholog_3293 MGL07539.1 SCH03935.1
ortholog_3294 MGL07510.1 SCH03407.1
ortholog_3295 MGL07744.1 SCH03733.1
ortholog_3296 MGL07690.1 SCH03885.1
ortholog_3297 MGL07653.1 SCH03787.1
ortholog_3298 MGL07616.1 SCH04257.1
ortholog_3299 MGL07554.1 SCH05560.1
ortholog_3300 MGL07055.1 SCH03651.1
ortholog_3301 MGL07022.1 SCH03969.1
ortholog_3302 MGL06964.1 SCH03685.1
ortholog_3303 MGL07279.1 SCH04236.1
ortholog_3304 MGL07162.1 SCH13880.1
ortholog_3305 MGL07409.1 SCH03890.1
ortholog_3306 MGL07641.1 SCH03928.1
ortholog_3307 MGL07799.1 SCH03915.1
ortholog_3308 MGL06910.1 SCH03799.1
ortholog_3309 MGL06984.1 SCH04000.1
ortholog_3310 MGL07046.1 SCH05034.1
ortholog_3311 MGL07082.1 SCH03647.1
