ortholog_1 MGL01089.1 BL00872
ortholog_2262 MGL06369.1 BL02226
ortholog_2263 MGL06114.1 BL26883
ortholog_2264 MGL06138.1 BL02313
ortholog_2265 MGL06240.1 BL05914
ortholog_2266 MGL06822.1 BL08783
ortholog_2267 MGL06815.1 BL06416
ortholog_2268 MGL06298.1 BL23251
ortholog_2269 MGL06391.1 BL02101
ortholog_2270 MGL06426.1 BL19604
ortholog_2271 MGL06449.1 BL21870
ortholog_2272 MGL06744.1 BL08786
ortholog_2273 MGL06573.1 BL14878
ortholog_2274 MGL06257.1 BL04574
ortholog_2275 MGL06290.1 BL04610
ortholog_2276 MGL06320.1 BL13780
ortholog_2277 MGL06069.1 BL02079
ortholog_2278 MGL06039.1 BL02076
ortholog_2279 MGL06508.1 BL02319
ortholog_2280 MGL05990.1 BL23062
ortholog_2281 MGL05950.1 BL18993
ortholog_2282 MGL05924.1 BL02222
ortholog_2283 MGL05893.1 BL02025
ortholog_2284 MGL06832.1 BL02040
ortholog_2285 MGL06767.1 BL16268
ortholog_2286 MGL06743.1 BL09736
ortholog_2287 MGL06709.1 BL04464
ortholog_2288 MGL06513.1 BL26639
ortholog_2289 MGL06489.1 BL12331
ortholog_2290 MGL06460.1 BL15093
ortholog_2291 MGL06319.1 BL02959
ortholog_2292 MGL06229.1 BL02050
ortholog_2293 MGL06536.1 BL02283
ortholog_2294 MGL06129.1 BL04586
ortholog_2295 MGL06068.1 BL02051
ortholog_2296 MGL06038.1 BL20653
ortholog_2297 MGL05949.1 BL23934
ortholog_2298 MGL06795.1 BL19100
ortholog_2299 MGL05968.1 BL12800
ortholog_2300 MGL06638.1 BL08454
ortholog_2301 MGL06512.1 BL00900
ortholog_2302 MGL06133.1 BL08455
ortholog_2303 MGL06199.1 BL09817
ortholog_2304 MGL06846.1 BL09706
ortholog_2305 MGL05999.1 BL25496
ortholog_2306 MGL06116.1 BL20472
ortholog_2307 MGL06092.1 BL06868
ortholog_2308 MGL06049.1 BL18678
ortholog_2309 MGL06139.1 BL17924
ortholog_2310 MGL06207.1 BL17927
ortholog_2311 MGL06241.1 BL05564
ortholog_2312 MGL06545.1 BL12905
ortholog_2313 MGL06393.1 BL08197
ortholog_2314 MGL06450.1 BL08201
ortholog_2315 MGL06468.1 BL02031
ortholog_2316 MGL06764.1 BL02030
ortholog_2317 MGL06595.1 BL02107
ortholog_2318 MGL05962.1 BL13251
ortholog_2319 MGL06000.1 BL02308
ortholog_2320 MGL06081.1 BL03530
ortholog_2321 MGL06022.1 BL02624
ortholog_2322 MGL06176.1 BL02071
ortholog_2323 MGL06154.1 BL00257
ortholog_2324 MGL06269.1 BL12336
ortholog_2325 MGL06729.1 BL23184
ortholog_2326 MGL06361.1 BL11542
ortholog_2327 MGL06394.1 BL17316
ortholog_2328 MGL06500.1 BL02033
ortholog_2329 MGL06528.1 BL02032
ortholog_2330 MGL06596.1 BL05982
ortholog_2331 MGL06626.1 BL02021
ortholog_2332 MGL06147.1 BL02146
ortholog_2333 MGL06689.1 BL27862
ortholog_2334 MGL06755.1 BL10603
ortholog_2335 MGL06411.1 BL10303
ortholog_2336 MGL05934.1 BL24297
ortholog_2337 MGL06051.1 BL11499
ortholog_2338 MGL05917.1 BL16261
ortholog_2339 MGL06301.1 BL21447
ortholog_2340 MGL06334.1 BL10063
ortholog_2341 MGL06695.1 BL09832
ortholog_2342 MGL06427.1 BL10056
ortholog_2343 MGL06501.1 BL09851
ortholog_2344 MGL06529.1 BL09854
ortholog_2345 MGL06597.1 BL09827
ortholog_2346 MGL06627.1 BL10419
ortholog_2347 MGL06664.1 BL09750
ortholog_2348 MGL06690.1 BL09748
ortholog_2349 MGL06722.1 BL00620
ortholog_2350 MGL06756.1 BL09835
ortholog_2351 MGL06779.1 BL25876
ortholog_2352 MGL06431.1 BL05654
ortholog_2353 MGL05935.1 BL05653
ortholog_2354 MGL05964.1 BL25462
ortholog_2355 MGL06002.1 BL11531
ortholog_2356 MGL06082.1 BL05047
ortholog_2357 MGL06085.1 BL18691
ortholog_2358 MGL06730.1 BL16941
ortholog_2359 MGL05937.1 BL11510
ortholog_2360 MGL06816.1 BL11672
ortholog_2361 MGL05908.1 BL11669
ortholog_2362 MGL06848.1 BL14968
ortholog_2363 MGL05916.1 BL08791
ortholog_2364 MGL06026.1 BL08792
ortholog_2365 MGL06119.1 BL05695
ortholog_2366 MGL06179.1 BL02320
ortholog_2367 MGL06246.1 BL23568
ortholog_2368 MGL06304.1 BL04632
ortholog_2369 MGL06336.1 BL02080
ortholog_2370 MGL06430.1 BL02064
ortholog_2371 MGL06453.1 BL02061
ortholog_2372 MGL06599.1 BL18309
ortholog_2373 MGL06629.1 BL19706
ortholog_2374 MGL06759.1 BL11514
ortholog_2375 MGL06812.1 BL23810
ortholog_2376 MGL06757.1 BL21028
ortholog_2377 MGL06089.1 BL02042
ortholog_2378 MGL06210.1 BL08787
ortholog_2379 MGL06245.1 BL08196
ortholog_2380 MGL06273.1 BL04595
ortholog_2381 MGL06303.1 BL02007
ortholog_2382 MGL06819.1 BL02005
ortholog_2383 MGL06503.1 BL02017
ortholog_2384 MGL06531.1 BL02016
ortholog_2385 MGL06567.1 BL02287
ortholog_2386 MGL06220.1 BL02323
ortholog_2387 MGL06758.1 BL02028
ortholog_2388 MGL06053.1 BL02023
ortholog_2389 MGL05965.1 BL13823
ortholog_2390 MGL06178.1 BL13830
ortholog_2391 MGL06485.1 BL02238
ortholog_2392 MGL06284.1 BL06779
ortholog_2393 MGL06363.1 BL19710
ortholog_2394 MGL06539.1 BL26745
ortholog_2395 MGL06244.1 BL00085
ortholog_2396 MGL06847.1 BL08793
ortholog_2397 MGL06502.1 BL02029
ortholog_2398 MGL06530.1 BL08778
ortholog_2399 MGL06566.1 BL02142
ortholog_2400 MGL06787.1 BL12069
ortholog_2401 MGL06903.1 BL01289
ortholog_2402 MGL06873.1 BL23512
ortholog_2403 MGL07839.1 BL21457
ortholog_2404 MGL07327.1 BL06531
ortholog_2405 MGL07757.1 BL13523
ortholog_2406 MGL06983.1 BL18804
ortholog_2407 MGL07696.1 BL20927
ortholog_2408 MGL07658.1 BL13526
ortholog_2409 MGL07597.1 BL21023
ortholog_2410 MGL07467.1 BL27106
ortholog_2411 MGL07433.1 BL13592
ortholog_2412 MGL07353.1 BL14582
ortholog_2413 MGL07399.1 BL26921
ortholog_2414 MGL07277.1 BL08413
ortholog_2415 MGL07128.1 BL13515
ortholog_2416 MGL07027.1 BL13509
ortholog_2417 MGL06968.1 BL13508
ortholog_2418 MGL06999.1 BL06308
ortholog_2419 MGL06942.1 BL23487
ortholog_2420 MGL06902.1 BL23486
ortholog_2421 MGL07043.1 BL16311
ortholog_2422 MGL07657.1 BL20835
ortholog_2423 MGL07596.1 BL20985
ortholog_2424 MGL07529.1 BL24888
ortholog_2425 MGL07398.1 BL01938
ortholog_2426 MGL07710.1 BL13555
ortholog_2427 MGL07276.1 BL13568
ortholog_2428 MGL07241.1 BL13502
ortholog_2429 MGL07220.1 BL20874
ortholog_2430 MGL07127.1 BL20878
ortholog_2431 MGL06967.1 BL23533
ortholog_2432 MGL06941.1 BL08379
ortholog_2433 MGL06901.1 BL06708
ortholog_2434 MGL06871.1 BL06707
ortholog_2435 MGL07836.1 BL06711
ortholog_2436 MGL07812.1 BL06706
ortholog_2437 MGL07147.1 BL08384
ortholog_2438 MGL07695.1 BL12779
ortholog_2439 MGL07620.1 BL23599
ortholog_2440 MGL07595.1 BL20997
ortholog_2441 MGL07559.1 BL20940
ortholog_2442 MGL07528.1 BL08405
ortholog_2443 MGL07459.1 BL23435
ortholog_2444 MGL07074.1 BL08376
ortholog_2445 MGL07397.1 BL08378
ortholog_2446 MGL07366.1 BL13467
ortholog_2447 MGL07338.1 BL16339
ortholog_2448 MGL07206.1 BL23594
ortholog_2449 MGL07396.1 BL10817
ortholog_2450 MGL06997.1 BL25016
ortholog_2451 MGL07255.1 BL23546
ortholog_2452 MGL06940.1 BL03343
ortholog_2453 MGL07772.1 BL23349
ortholog_2454 MGL07835.1 BL23468
ortholog_2455 MGL07811.1 BL23625
ortholog_2456 MGL07032.1 BL23484
ortholog_2457 MGL07728.1 BL23558
ortholog_2458 MGL07694.1 BL13593
ortholog_2459 MGL07583.1 BL13594
ortholog_2460 MGL07527.1 BL23415
ortholog_2461 MGL07299.1 BL16307
ortholog_2462 MGL07275.1 BL21015
ortholog_2463 MGL07218.1 BL23380
ortholog_2464 MGL07159.1 BL08829
ortholog_2465 MGL07092.1 BL23316
ortholog_2466 MGL07057.1 BL23458
ortholog_2467 MGL06918.1 BL20826
ortholog_2468 MGL06996.1 BL20827
ortholog_2469 MGL07821.1 BL16296
ortholog_2470 MGL06939.1 BL16297
ortholog_2471 MGL06900.1 BL20938
ortholog_2472 MGL07075.1 BL08409
ortholog_2473 MGL07784.1 BL08411
ortholog_2474 MGL07383.1 BL13717
ortholog_2475 MGL07693.1 BL02527
ortholog_2476 MGL07655.1 BL20710
ortholog_2477 MGL07618.1 BL23338
ortholog_2478 MGL07557.1 BL06560
ortholog_2479 MGL07526.1 BL06559
ortholog_2480 MGL07308.1 BL11208
ortholog_2481 MGL07493.1 BL13440
ortholog_2482 MGL07458.1 BL10325
ortholog_2483 MGL07572.1 BL23336
ortholog_2484 MGL07330.1 BL08369
ortholog_2485 MGL07102.1 BL11006
ortholog_2486 MGL07293.1 BL06693
ortholog_2487 MGL07265.1 BL06535
ortholog_2488 MGL07150.1 BL20946
ortholog_2489 MGL07117.1 BL20945
ortholog_2490 MGL07086.1 BL20944
ortholog_2491 MGL07774.1 BL19333
ortholog_2492 MGL07663.1 BL25209
ortholog_2493 MGL06935.1 BL16298
ortholog_2494 MGL06895.1 BL23363
ortholog_2495 MGL07077.1 BL00662
ortholog_2496 MGL07831.1 BL07957
ortholog_2497 MGL07806.1 BL20876
ortholog_2498 MGL07782.1 BL16325
ortholog_2499 MGL07689.1 BL16305
ortholog_2500 MGL07671.1 BL23437
ortholog_2501 MGL07352.1 BL13556
ortholog_2502 MGL06862.1 BL13452
ortholog_2503 MGL07796.1 BL13453
ortholog_2504 MGL07538.1 BL13588
ortholog_2505 MGL06958.1 BL13589
ortholog_2506 MGL07183.1 BL06579
ortholog_2507 MGL07050.1 BL13567
ortholog_2508 MGL07019.1 BL13562
ortholog_2509 MGL06989.1 BL13579
ortholog_2510 MGL06960.1 BL06637
ortholog_2511 MGL06931.1 BL16556
ortholog_2512 MGL06892.1 BL13573
ortholog_2513 MGL07119.1 BL13561
ortholog_2514 MGL07384.1 BL13353
ortholog_2515 MGL07152.1 BL23430
ortholog_2516 MGL07739.1 BL16062
ortholog_2517 MGL07211.1 BL16304
ortholog_2518 MGL07233.1 BL20991
ortholog_2519 MGL07713.1 BL20990
ortholog_2520 MGL07422.1 BL16326
ortholog_2521 MGL07748.1 BL21011
ortholog_2522 MGL07722.1 BL21012
ortholog_2523 MGL07649.1 BL07050
ortholog_2524 MGL07017.1 BL23563
ortholog_2525 MGL06987.1 BL23481
ortholog_2526 MGL07512.1 BL23479
ortholog_2527 MGL07827.1 BL23480
ortholog_2528 MGL07718.1 BL23478
ortholog_2529 MGL07684.1 BL23388
ortholog_2530 MGL07518.1 BL23567
ortholog_2531 MGL07080.1 BL23596
ortholog_2532 MGL07351.1 BL08396
ortholog_2533 MGL07116.1 BL23507
ortholog_2534 MGL07085.1 BL23491
ortholog_2535 MGL07669.1 BL23490
ortholog_2536 MGL07181.1 BL13451
ortholog_2537 MGL07209.1 BL23445
ortholog_2538 MGL06919.1 BL23448
ortholog_2539 MGL07764.1 BL02384
ortholog_2540 MGL07156.1 BL24460
ortholog_2541 MGL07807.1 BL20977
ortholog_2542 MGL07832.1 BL13994
ortholog_2543 MGL06937.1 BL13625
ortholog_2544 MGL07237.1 BL13624
ortholog_2545 MGL07168.1 BL13623
ortholog_2546 MGL06922.1 BL13619
ortholog_2547 MGL07814.1 BL14290
ortholog_2548 MGL07335.1 BL13618
ortholog_2549 MGL07816.1 BL13617
ortholog_2550 MGL06909.1 BL02250
ortholog_2551 MGL07525.1 BL13463
ortholog_2552 MGL07380.1 BL19083
ortholog_2553 MGL07691.1 BL13273
ortholog_2554 MGL07726.1 BL11384
ortholog_2555 MGL07752.1 BL06643
ortholog_2556 MGL07808.1 BL06563
ortholog_2557 MGL07833.1 BL06564
ortholog_2558 MGL06868.1 BL13574
ortholog_2559 MGL06898.1 BL06532
ortholog_2560 MGL07124.1 BL23601
ortholog_2561 MGL07417.1 BL20959
ortholog_2562 MGL07273.1 BL23374
ortholog_2563 MGL07457.1 BL19104
ortholog_2564 MGL07492.1 BL03123
ortholog_2565 MGL07692.1 BL09841
ortholog_2566 MGL07254.1 BL13488
ortholog_2567 MGL07064.1 BL19084
ortholog_2568 MGL07666.1 BL13703
ortholog_2569 MGL07120.1 BL23394
ortholog_2570 MGL07088.1 BL26142
ortholog_2571 MGL07574.1 BL00037
ortholog_2572 MGL06990.1 BL06709
ortholog_2573 MGL06961.1 BL08397
ortholog_2574 MGL06932.1 BL23598
ortholog_2575 MGL06893.1 BL20875
ortholog_2576 MGL06864.1 BL08360
ortholog_2577 MGL07804.1 BL16094
ortholog_2578 MGL07734.1 BL25125
ortholog_2579 MGL06963.1 BL26287
ortholog_2580 MGL06934.1 BL02381
ortholog_2581 MGL06894.1 BL23358
ortholog_2582 MGL07044.1 BL23360
ortholog_2583 MGL06979.1 BL15785
ortholog_2584 MGL07651.1 BL13462
ortholog_2585 MGL06955.1 BL00420
ortholog_2586 MGL07522.1 BL20956
ortholog_2587 MGL07453.1 BL14838
ortholog_2588 MGL07550.1 BL26026
ortholog_2589 MGL07737.1 BL06701
ortholog_2590 MGL07723.1 BL23449
ortholog_2591 MGL07749.1 BL23427
ortholog_2592 MGL07780.1 BL23429
ortholog_2593 MGL07805.1 BL00042
ortholog_2594 MGL06962.1 BL16337
ortholog_2595 MGL07020.1 BL13486
ortholog_2596 MGL07052.1 BL03137
ortholog_2597 MGL07424.1 BL13525
ortholog_2598 MGL07393.1 BL04760
ortholog_2599 MGL07361.1 BL23629
ortholog_2600 MGL07333.1 BL23367
ortholog_2601 MGL07296.1 BL13672
ortholog_2602 MGL07269.1 BL08836
ortholog_2603 MGL07053.1 BL23342
ortholog_2604 MGL07154.1 BL20937
ortholog_2605 MGL07186.1 BL07160
ortholog_2606 MGL07213.1 BL23350
ortholog_2607 MGL07270.1 BL03727
ortholog_2608 MGL07334.1 BL13445
ortholog_2609 MGL07425.1 BL20844
ortholog_2610 MGL07523.1 BL25519
ortholog_2611 MGL07685.1 BL23540
ortholog_2612 MGL07548.1 BL20906
ortholog_2613 MGL07519.1 BL20903
ortholog_2614 MGL07021.1 BL23462
ortholog_2615 MGL07090.1 BL13584
ortholog_2616 MGL07123.1 BL08430
ortholog_2617 MGL07155.1 BL27947
ortholog_2618 MGL07187.1 BL23467
ortholog_2619 MGL07214.1 BL06575
ortholog_2620 MGL07271.1 BL09059
ortholog_2621 MGL07297.1 BL07958
ortholog_2622 MGL07504.1 BL11725
ortholog_2623 MGL07326.1 BL05430
ortholog_2624 MGL07545.1 BL23306
ortholog_2625 MGL07740.1 BL23318
ortholog_2626 MGL07549.1 BL19105
ortholog_2627 MGL07589.1 BL13663
ortholog_2628 MGL07614.1 BL13517
ortholog_2629 MGL07746.1 BL16312
ortholog_2630 MGL07779.1 BL13512
ortholog_2631 MGL07828.1 BL13537
ortholog_2632 MGL06930.1 BL06585
ortholog_2633 MGL07210.1 BL06586
ortholog_2634 MGL07118.1 BL13583
ortholog_2635 MGL07307.1 BL23482
ortholog_2636 MGL06959.1 BL06688
ortholog_2637 MGL07018.1 BL26903
ortholog_2638 MGL07049.1 BL20792
ortholog_2639 MGL07087.1 BL20986
ortholog_2640 MGL07474.1 BL23378
ortholog_2641 MGL07820.1 BL23459
ortholog_2642 MGL07294.1 BL00030
ortholog_2643 MGL07360.1 BL25174
ortholog_2644 MGL07721.1 BL13491
ortholog_2645 MGL07747.1 BL06137
ortholog_2646 MGL06920.1 BL23581
ortholog_2647 MGL07440.1 BL00922
ortholog_2648 MGL07274.1 BL13520
ortholog_2649 MGL07604.1 BL09742
ortholog_2650 MGL07172.1 BL10087
ortholog_2651 MGL07190.1 BL13709
ortholog_2652 MGL07158.1 BL13710
ortholog_2653 MGL07125.1 BL23088
ortholog_2654 MGL06899.1 BL13550
ortholog_2655 MGL07834.1 BL13548
ortholog_2656 MGL07603.1 BL20153
ortholog_2657 MGL07136.1 BL17841
ortholog_2658 MGL07502.1 BL18490
ortholog_2659 MGL07141.1 BL17013
ortholog_2660 MGL07047.1 BL06583
ortholog_2661 MGL07084.1 BL21018
ortholog_2662 MGL07115.1 BL23418
ortholog_2663 MGL07773.1 BL09798
ortholog_2664 MGL07291.1 BL20793
ortholog_2665 MGL06927.1 BL13458
ortholog_2666 MGL06889.1 BL13457
ortholog_2667 MGL07824.1 BL13460
ortholog_2668 MGL07798.1 BL13712
ortholog_2669 MGL07777.1 BL13713
ortholog_2670 MGL07714.1 BL23312
ortholog_2671 MGL07645.1 BL05478
ortholog_2672 MGL07038.1 BL25474
ortholog_2673 MGL07170.1 BL23534
ortholog_2674 MGL07195.1 BL05703
ortholog_2675 MGL07244.1 BL23403
ortholog_2676 MGL07281.1 BL20843
ortholog_2677 MGL07371.1 BL08038
ortholog_2678 MGL07435.1 BL06545
ortholog_2679 MGL06970.1 BL23569
ortholog_2680 MGL07009.1 BL23570
ortholog_2681 MGL06907.1 BL23622
ortholog_2682 MGL07625.1 BL04816
ortholog_2683 MGL06877.1 BL16302
ortholog_2684 MGL07842.1 BL13456
ortholog_2685 MGL07733.1 BL08361
ortholog_2686 MGL07698.1 BL08389
ortholog_2687 MGL07661.1 BL18990
ortholog_2688 MGL07165.1 BL19319
ortholog_2689 MGL07149.1 BL08148
ortholog_2690 MGL07544.1 BL06687
ortholog_2691 MGL07130.1 BL23405
ortholog_2692 MGL07095.1 BL01707
ortholog_2693 MGL07742.1 BL23359
ortholog_2694 MGL07163.1 BL23439
ortholog_2695 MGL07194.1 BL27405
ortholog_2696 MGL07243.1 BL27717
ortholog_2697 MGL07280.1 BL19091
ortholog_2698 MGL07305.1 BL13675
ortholog_2699 MGL07142.1 BL05962
ortholog_2700 MGL06951.1 BL23310
ortholog_2701 MGL07498.1 BL13543
ortholog_2702 MGL07565.1 BL14441
ortholog_2703 MGL07599.1 BL23529
ortholog_2704 MGL07697.1 BL23519
ortholog_2705 MGL07732.1 BL21014
ortholog_2706 MGL07196.1 BL10034
ortholog_2707 MGL07316.1 BL23521
ortholog_2708 MGL06906.1 BL13530
ortholog_2709 MGL07601.1 BL27966
ortholog_2710 MGL07456.1 BL20823
ortholog_2711 MGL07427.1 BL13636
ortholog_2712 MGL07386.1 BL06459
ortholog_2713 MGL07600.1 BL04416
ortholog_2714 MGL07081.1 BL16294
ortholog_2715 MGL07113.1 BL01924
ortholog_2716 MGL06956.1 BL20803
ortholog_2717 MGL07228.1 BL25743
ortholog_2718 MGL07573.1 BL20970
ortholog_2719 MGL07357.1 BL20963
ortholog_2720 MGL07388.1 BL06436
ortholog_2721 MGL06985.1 BL13449
ortholog_2722 MGL06957.1 BL13447
ortholog_2723 MGL06929.1 BL13528
ortholog_2724 MGL06890.1 BL23476
ortholog_2725 MGL07205.1 BL23497
ortholog_2726 MGL07826.1 BL23477
ortholog_2727 MGL07744.1 BL23493
ortholog_2728 MGL07229.1 BL16090
ortholog_2729 MGL07690.1 BL15304
ortholog_2730 MGL07653.1 BL23341
ortholog_2731 MGL07616.1 BL20996
ortholog_2732 MGL07554.1 BL08412
ortholog_2733 MGL07055.1 BL23323
ortholog_2734 MGL07022.1 BL23324
ortholog_2735 MGL06964.1 BL23544
ortholog_2736 MGL07419.1 BL14945
ortholog_2737 MGL07566.1 BL26758
ortholog_2738 MGL07420.1 BL03546
ortholog_2739 MGL07279.1 BL23541
ortholog_2740 MGL07162.1 BL23543
ortholog_2741 MGL07641.1 BL25848
ortholog_2742 MGL07825.1 BL00050
ortholog_2743 MGL06928.1 BL00054
ortholog_2744 MGL06910.1 BL00053
ortholog_2745 MGL06984.1 BL00051
ortholog_2746 MGL07046.1 BL03446
ortholog_2747 MGL07309.1 BL10814
ortholog_2748 MGL07623.1 BL10815
ortholog_2749 MGL07447.1 BL23526
ortholog_2750 MGL07564.1 BL23528
ortholog_2751 MGL07497.1 BL23532
ortholog_2752 MGL06875.1 BL06043
ortholog_2753 MGL06905.1 BL20974
ortholog_2754 MGL07561.1 BL25631
ortholog_2755 MGL07607.1 BL23436
ortholog_2756 MGL07622.1 BL06614
ortholog_2757 MGL07598.1 BL23555
ortholog_2758 MGL07635.1 BL23556
ortholog_2759 MGL07462.1 BL19923
ortholog_2760 MGL07496.1 BL23322
ortholog_2761 MGL07531.1 BL23390
ortholog_2762 MGL06886.1 BL23391
ortholog_2763 MGL07400.1 BL23474
ortholog_2764 MGL07303.1 BL23511
ortholog_2765 MGL07242.1 BL24191
ortholog_2766 MGL07129.1 BL13701
ortholog_2767 MGL07221.1 BL23506
ortholog_2768 MGL07285.1 BL23513
ortholog_2769 MGL07059.1 BL23564
ortholog_2770 MGL07028.1 BL08752
ortholog_2771 MGL06952.1 BL27941
ortholog_2772 MGL08116.1 BL12237
ortholog_2773 MGL08234.1 BL24300
ortholog_2774 MGL07886.1 BL24377
ortholog_2775 MGL08292.1 BL03720
ortholog_2776 MGL08320.1 BL12231
ortholog_2777 MGL08345.1 BL12232
ortholog_2778 MGL08444.1 BL12235
ortholog_2779 MGL08469.1 BL06489
ortholog_2780 MGL08505.1 BL06490
ortholog_2781 MGL08618.1 BL00028
ortholog_2782 MGL07973.1 BL22548
ortholog_2783 MGL08591.1 BL24379
ortholog_2784 MGL07927.1 BL02828
ortholog_2785 MGL07891.1 BL22722
ortholog_2786 MGL07854.1 BL07251
ortholog_2787 MGL08774.1 BL15948
ortholog_2788 MGL08741.1 BL06280
ortholog_2789 MGL08708.1 BL25469
ortholog_2790 MGL07943.1 BL05871
ortholog_2791 MGL08388.1 BL05872
ortholog_2792 MGL08421.1 BL24420
ortholog_2793 MGL08522.1 BL23021
ortholog_2794 MGL08393.1 BL06210
ortholog_2795 MGL08820.1 BL06046
ortholog_2796 MGL08172.1 BL06443
ortholog_2797 MGL08528.1 BL06418
ortholog_2798 MGL07968.1 BL06254
ortholog_2799 MGL08131.1 BL06101
ortholog_2800 MGL08398.1 BL06096
ortholog_2801 MGL08218.1 BL06047
ortholog_2802 MGL08246.1 BL06049
ortholog_2803 MGL08279.1 BL06036
ortholog_2804 MGL08339.1 BL24393
ortholog_2805 MGL08389.1 BL02676
ortholog_2806 MGL08666.1 BL06177
ortholog_2807 MGL08724.1 BL06196
ortholog_2808 MGL08787.1 BL06197
ortholog_2809 MGL08821.1 BL06199
ortholog_2810 MGL07867.1 BL06198
ortholog_2811 MGL07905.1 BL06200
ortholog_2812 MGL07942.1 BL06203
ortholog_2813 MGL07856.1 BL05908
ortholog_2814 MGL07893.1 BL15488
ortholog_2815 MGL07996.1 BL14789
ortholog_2816 MGL08026.1 BL06133
ortholog_2817 MGL08223.1 BL07989
ortholog_2818 MGL08119.1 BL03697
ortholog_2819 MGL08151.1 BL06278
ortholog_2820 MGL08236.1 BL02886
ortholog_2821 MGL08347.1 BL06072
ortholog_2822 MGL08408.1 BL05949
ortholog_2823 MGL08472.1 BL06044
ortholog_2824 MGL08508.1 BL03671
ortholog_2825 MGL08536.1 BL03664
ortholog_2826 MGL08616.1 BL05985
ortholog_2827 MGL07860.1 BL27217
ortholog_2828 MGL08327.1 BL27842
ortholog_2829 MGL08051.1 BL24676
ortholog_2830 MGL08541.1 BL03684
ortholog_2831 MGL08596.1 BL06145
ortholog_2832 MGL08683.1 BL06306
ortholog_2833 MGL08715.1 BL06499
ortholog_2834 MGL08689.1 BL13340
ortholog_2835 MGL07904.1 BL27650
ortholog_2836 MGL08785.1 BL17456
ortholog_2837 MGL07913.1 BL03334
ortholog_2838 MGL08071.1 BL24388
ortholog_2839 MGL08262.1 BL05926
ortholog_2840 MGL08039.1 BL05890
ortholog_2841 MGL08706.1 BL05888
ortholog_2842 MGL08093.1 BL06406
ortholog_2843 MGL08000.1 BL06134
ortholog_2844 MGL08062.1 BL26466
ortholog_2845 MGL07933.1 BL06340
ortholog_2846 MGL08203.1 BL18226
ortholog_2847 MGL07861.1 BL03679
ortholog_2848 MGL08811.1 BL06332
ortholog_2849 MGL08781.1 BL08661
ortholog_2850 MGL08749.1 BL08660
ortholog_2851 MGL08713.1 BL06114
ortholog_2852 MGL08682.1 BL03678
ortholog_2853 MGL08513.1 BL12508
ortholog_2854 MGL08350.1 BL06004
ortholog_2855 MGL08326.1 BL08662
ortholog_2856 MGL08297.1 BL03652
ortholog_2857 MGL07932.1 BL00159
ortholog_2858 MGL07999.1 BL06366
ortholog_2859 MGL08029.1 BL06488
ortholog_2860 MGL08123.1 BL06487
ortholog_2861 MGL08092.1 BL04409
ortholog_2862 MGL08183.1 BL06356
ortholog_2863 MGL08212.1 BL11431
ortholog_2864 MGL08645.1 BL15157
ortholog_2865 MGL08780.1 BL02653
ortholog_2866 MGL08566.1 BL11325
ortholog_2867 MGL08512.1 BL03738
ortholog_2868 MGL08476.1 BL05983
ortholog_2869 MGL08211.1 BL05901
ortholog_2870 MGL08239.1 BL24244
ortholog_2871 MGL08269.1 BL14548
ortholog_2872 MGL08412.1 BL12143
ortholog_2873 MGL08719.1 BL05860
ortholog_2874 MGL08816.1 BL06181
ortholog_2875 MGL07864.1 BL06182
ortholog_2876 MGL08197.1 BL08674
ortholog_2877 MGL07938.1 BL07381
ortholog_2878 MGL07965.1 BL06289
ortholog_2879 MGL08005.1 BL06290
ortholog_2880 MGL08033.1 BL03685
ortholog_2881 MGL08066.1 BL08828
ortholog_2882 MGL08098.1 BL22221
ortholog_2883 MGL08082.1 BL06188
ortholog_2884 MGL08243.1 BL24302
ortholog_2885 MGL08330.1 BL06404
ortholog_2886 MGL08081.1 BL06255
ortholog_2887 MGL08699.1 BL06069
ortholog_2888 MGL08453.1 BL14004
ortholog_2889 MGL08483.1 BL05858
ortholog_2890 MGL08516.1 BL06227
ortholog_2891 MGL08480.1 BL03662
ortholog_2892 MGL08382.1 BL03661
ortholog_2893 MGL08352.1 BL03660
ortholog_2894 MGL08328.1 BL05946
ortholog_2895 MGL08300.1 BL06228
ortholog_2896 MGL08581.1 BL01458
ortholog_2897 MGL08125.1 BL06038
ortholog_2898 MGL08094.1 BL05930
ortholog_2899 MGL08001.1 BL24422
ortholog_2900 MGL08114.1 BL01206
ortholog_2901 MGL08449.1 BL24402
ortholog_2902 MGL08474.1 BL06322
ortholog_2903 MGL08564.1 BL24372
ortholog_2904 MGL08625.1 BL06064
ortholog_2905 MGL08656.1 BL08485
ortholog_2906 MGL08681.1 BL21715
ortholog_2907 MGL08710.1 BL06010
ortholog_2908 MGL08745.1 BL06319
ortholog_2909 MGL08778.1 BL06318
ortholog_2910 MGL08809.1 BL06326
ortholog_2911 MGL07890.1 BL06325
ortholog_2912 MGL07895.1 BL03680
ortholog_2913 MGL07955.1 BL22474
ortholog_2914 MGL08027.1 BL22124
ortholog_2915 MGL08511.1 BL06354
ortholog_2916 MGL08359.1 BL05877
ortholog_2917 MGL07917.1 BL05876
ortholog_2918 MGL08458.1 BL05995
ortholog_2919 MGL08579.1 BL05987
ortholog_2920 MGL08548.1 BL06238
ortholog_2921 MGL08604.1 BL06235
ortholog_2922 MGL07879.1 BL12145
ortholog_2923 MGL07920.1 BL06375
ortholog_2924 MGL07872.1 BL23012
ortholog_2925 MGL08790.1 BL12545
ortholog_2926 MGL08824.1 BL06232
