ortholog_1 gene-HOLleu_00018 PL21831
ortholog_1681 gene-HOLleu_09197 PL10422
ortholog_1682 gene-HOLleu_09199 PL09169
ortholog_1683 gene-HOLleu_09201 PL09504
ortholog_1684 gene-HOLleu_09202 PL09507
ortholog_1685 gene-HOLleu_09203 PL09399
ortholog_1686 gene-HOLleu_09204 PL09426
ortholog_1687 gene-HOLleu_09205 PL08122
ortholog_1688 gene-HOLleu_09207 PL09451
ortholog_1689 gene-HOLleu_09208 PL10686
ortholog_1690 gene-HOLleu_09209 PL09039
ortholog_1691 gene-HOLleu_09210 PL09505
ortholog_1692 gene-HOLleu_09216 PL10962
ortholog_1693 gene-HOLleu_09217 PL08457
ortholog_1694 gene-HOLleu_09221 PL09875
ortholog_1695 gene-HOLleu_09224 PL10667
ortholog_1696 gene-HOLleu_09225 PL08177
ortholog_1697 gene-HOLleu_09226 PL08962
ortholog_1698 gene-HOLleu_09228 PL08196
ortholog_1699 gene-HOLleu_09229 PL09120
ortholog_1700 gene-HOLleu_09232 PL10525
ortholog_1701 gene-HOLleu_09236 PL08292
ortholog_1702 gene-HOLleu_09237 PL20608
ortholog_1703 gene-HOLleu_09246 PL08293
ortholog_1704 gene-HOLleu_09247 PL09008
ortholog_1705 gene-HOLleu_09248 PL11211
ortholog_1706 gene-HOLleu_09249 PL09759
ortholog_1707 gene-HOLleu_09250 PL09630
ortholog_1708 gene-HOLleu_09253 PL09086
ortholog_1709 gene-HOLleu_09254 PL10727
ortholog_1710 gene-HOLleu_09277 PL08283
ortholog_1711 gene-HOLleu_09282 PL09502
ortholog_1712 gene-HOLleu_09285 PL09726
ortholog_1713 gene-HOLleu_09293 PL08311
ortholog_1714 gene-HOLleu_09302 PL18305
ortholog_1715 gene-HOLleu_09303 PL15440
ortholog_1716 gene-HOLleu_09315 PL10097
ortholog_1717 gene-HOLleu_09320 PL10151
ortholog_1718 gene-HOLleu_09384 PL15156
ortholog_1719 gene-HOLleu_09386 PL31095
ortholog_1720 gene-HOLleu_09387 PL13984
ortholog_1721 gene-HOLleu_09390 PL15316
ortholog_1722 gene-HOLleu_09398 PL14606
ortholog_1723 gene-HOLleu_09404 PL14231
ortholog_1724 gene-HOLleu_09405 PL14865
ortholog_1725 gene-HOLleu_09409 PL13884
ortholog_1726 gene-HOLleu_09410 PL14640
ortholog_1727 gene-HOLleu_09416 PL14913
ortholog_1728 gene-HOLleu_09418 PL14180
ortholog_1729 gene-HOLleu_09420 PL13887
ortholog_1730 gene-HOLleu_09422 PL13536
ortholog_1731 gene-HOLleu_09425 PL15095
ortholog_1732 gene-HOLleu_09427 PL14940
ortholog_1733 gene-HOLleu_09428 PL14815
ortholog_1734 gene-HOLleu_09429 PL14097
ortholog_1735 gene-HOLleu_09430 PL15052
ortholog_1736 gene-HOLleu_09436 PL14883
ortholog_1737 gene-HOLleu_09438 PL15294
ortholog_1738 gene-HOLleu_09446 PL13767
ortholog_1739 gene-HOLleu_09448 PL13445
ortholog_1740 gene-HOLleu_09449 PL14928
ortholog_1741 gene-HOLleu_09455 PL38254
ortholog_1742 gene-HOLleu_09456 PL13569
ortholog_1743 gene-HOLleu_09462 PL14944
ortholog_1744 gene-HOLleu_09463 PL14396
ortholog_1745 gene-HOLleu_09465 PL28914
ortholog_1746 gene-HOLleu_09466 PL15265
ortholog_1747 gene-HOLleu_09501 PL13779
ortholog_1748 gene-HOLleu_09502 PL13542
ortholog_1749 gene-HOLleu_09504 PL13985
ortholog_1750 gene-HOLleu_09507 PL13819
ortholog_1751 gene-HOLleu_09509 PL14793
ortholog_1752 gene-HOLleu_09511 PL14228
ortholog_1753 gene-HOLleu_09512 PL15036
ortholog_1754 gene-HOLleu_09514 PL13610
ortholog_1755 gene-HOLleu_09518 PL07312
ortholog_1756 gene-HOLleu_09539 PL14938
ortholog_1757 gene-HOLleu_09544 PL13459
ortholog_1758 gene-HOLleu_09549 PL15796
ortholog_1759 gene-HOLleu_09552 PL15237
ortholog_1760 gene-HOLleu_09560 PL13882
ortholog_1761 gene-HOLleu_09562 PL14027
ortholog_1762 gene-HOLleu_09566 PL15000
ortholog_1763 gene-HOLleu_09571 PL15186
ortholog_1764 gene-HOLleu_09572 PL13664
ortholog_1765 gene-HOLleu_09578 PL13740
ortholog_1766 gene-HOLleu_09579 PL15155
ortholog_1767 gene-HOLleu_09587 PL13791
ortholog_1768 gene-HOLleu_09588 PL13756
ortholog_1769 gene-HOLleu_09592 PL14140
ortholog_1770 gene-HOLleu_09593 PL14452
ortholog_1771 gene-HOLleu_09594 PL24977
ortholog_1772 gene-HOLleu_09599 PL14898
ortholog_1773 gene-HOLleu_09605 PL14487
ortholog_1774 gene-HOLleu_09606 PL14283
ortholog_1775 gene-HOLleu_09607 PL14212
ortholog_1776 gene-HOLleu_09610 PL14859
ortholog_1777 gene-HOLleu_09613 PL13690
ortholog_1778 gene-HOLleu_09617 PL13352
ortholog_1779 gene-HOLleu_09618 PL14309
ortholog_1780 gene-HOLleu_09619 PL13624
ortholog_1781 gene-HOLleu_09620 PL13784
ortholog_1782 gene-HOLleu_09621 PL14208
ortholog_1783 gene-HOLleu_09623 PL13489
ortholog_1784 gene-HOLleu_09637 PL19896
ortholog_1785 gene-HOLleu_09638 PL15220
ortholog_1786 gene-HOLleu_09639 PL14955
ortholog_1787 gene-HOLleu_09640 PL14077
ortholog_1788 gene-HOLleu_09641 PL14622
ortholog_1789 gene-HOLleu_09642 PL14566
ortholog_1790 gene-HOLleu_09647 PL14247
ortholog_1791 gene-HOLleu_09648 PL13811
ortholog_1792 gene-HOLleu_09649 PL01045
ortholog_1793 gene-HOLleu_09651 PL13560
ortholog_1794 gene-HOLleu_09652 PL14740
ortholog_1795 gene-HOLleu_09653 PL15077
ortholog_1796 gene-HOLleu_09657 PL14345
ortholog_1797 gene-HOLleu_09660 PL13458
ortholog_1798 gene-HOLleu_09661 PL14389
ortholog_1799 gene-HOLleu_09663 PL13680
ortholog_1800 gene-HOLleu_09664 PL14736
ortholog_1801 gene-HOLleu_09666 PL13599
ortholog_1802 gene-HOLleu_09667 PL14164
ortholog_1803 gene-HOLleu_09668 PL21333
ortholog_1804 gene-HOLleu_09669 PL14693
ortholog_1805 gene-HOLleu_09670 PL14155
ortholog_1806 gene-HOLleu_09672 PL15253
ortholog_1807 gene-HOLleu_09676 PL14547
ortholog_1808 gene-HOLleu_09678 PL13931
ortholog_1809 gene-HOLleu_09683 PL14425
ortholog_1810 gene-HOLleu_09684 PL15170
ortholog_1811 gene-HOLleu_09685 PL14850
ortholog_1812 gene-HOLleu_09686 PL13371
ortholog_1813 gene-HOLleu_09691 PL14311
ortholog_1814 gene-HOLleu_09692 PL15184
ortholog_1815 gene-HOLleu_09695 PL13594
ortholog_1816 gene-HOLleu_09697 PL15196
ortholog_1817 gene-HOLleu_09698 PL15106
ortholog_1818 gene-HOLleu_09699 PL15070
ortholog_1819 gene-HOLleu_09701 PL13650
ortholog_1820 gene-HOLleu_09702 PL14826
ortholog_1821 gene-HOLleu_09710 PL14590
ortholog_1822 gene-HOLleu_09717 PL15340
ortholog_1823 gene-HOLleu_09728 PL13910
ortholog_1824 gene-HOLleu_09739 PL13788
ortholog_1825 gene-HOLleu_09740 PL14656
ortholog_1826 gene-HOLleu_09742 PL14593
ortholog_1827 gene-HOLleu_09746 PL14259
ortholog_1828 gene-HOLleu_09749 PL14966
ortholog_1829 gene-HOLleu_09752 PL14375
ortholog_1830 gene-HOLleu_09757 PL23603
ortholog_1831 gene-HOLleu_09760 PL33093
ortholog_1832 gene-HOLleu_09761 PL17363
ortholog_1833 gene-HOLleu_09770 PL14017
ortholog_1834 gene-HOLleu_09771 PL15330
ortholog_1835 gene-HOLleu_09772 PL14024
ortholog_1836 gene-HOLleu_09774 PL15349
ortholog_1837 gene-HOLleu_09776 PL14581
ortholog_1838 gene-HOLleu_09779 PL14810
ortholog_1839 gene-HOLleu_09786 PL13938
ortholog_1840 gene-HOLleu_09789 PL14862
ortholog_1841 gene-HOLleu_09790 PL14120
ortholog_1842 gene-HOLleu_09791 PL14464
ortholog_1843 gene-HOLleu_09793 PL14510
ortholog_1844 gene-HOLleu_09803 PL14749
ortholog_1845 gene-HOLleu_09805 PL13543
ortholog_1846 gene-HOLleu_09806 PL13316
ortholog_1847 gene-HOLleu_09807 PL14075
ortholog_1848 gene-HOLleu_09821 PL14275
ortholog_1849 gene-HOLleu_09822 PL14521
ortholog_1850 gene-HOLleu_09823 PL13726
ortholog_1851 gene-HOLleu_09824 PL14524
ortholog_1852 gene-HOLleu_09826 PL13556
ortholog_1853 gene-HOLleu_09843 PL13660
ortholog_1854 gene-HOLleu_09845 PL14691
ortholog_1855 gene-HOLleu_09846 PL13326
ortholog_1856 gene-HOLleu_09847 PL14110
ortholog_1857 gene-HOLleu_09852 PL13504
ortholog_1858 gene-HOLleu_09855 PL14437
ortholog_1859 gene-HOLleu_09856 PL14018
ortholog_1860 gene-HOLleu_09857 PL14327
ortholog_1861 gene-HOLleu_09859 PL14265
ortholog_1862 gene-HOLleu_09860 PL15323
ortholog_1863 gene-HOLleu_09861 PL14276
ortholog_1864 gene-HOLleu_09862 PL15076
ortholog_1865 gene-HOLleu_09864 PL15147
ortholog_1866 gene-HOLleu_09865 PL13397
ortholog_1867 gene-HOLleu_09869 PL15122
ortholog_1868 gene-HOLleu_09877 PL15352
ortholog_1869 gene-HOLleu_09902 PL13886
ortholog_1870 gene-HOLleu_09920 PL08016
ortholog_1871 gene-HOLleu_09945 PL03711
ortholog_1872 gene-HOLleu_09946 PL14372
ortholog_1873 gene-HOLleu_09958 PL14346
ortholog_1874 gene-HOLleu_09960 PL15144
ortholog_1875 gene-HOLleu_09977 PL14511
ortholog_1876 gene-HOLleu_09980 PL13600
ortholog_1877 gene-HOLleu_09982 PL14013
ortholog_1878 gene-HOLleu_09985 PL14291
ortholog_1879 gene-HOLleu_09986 PL13607
ortholog_1880 gene-HOLleu_09991 PL14456
ortholog_1881 gene-HOLleu_09992 PL14674
ortholog_1882 gene-HOLleu_09998 PL07162
ortholog_1883 gene-HOLleu_10002 PL13993
ortholog_1884 gene-HOLleu_10005 PL13384
ortholog_1885 gene-HOLleu_10007 PL13331
ortholog_1886 gene-HOLleu_10008 PL14071
ortholog_1887 gene-HOLleu_10009 PL13357
ortholog_1888 gene-HOLleu_10010 PL14325
ortholog_1889 gene-HOLleu_10034 PL13422
ortholog_1890 gene-HOLleu_10035 PL15336
ortholog_1891 gene-HOLleu_10038 PL38079
ortholog_1892 gene-HOLleu_10039 PL13377
ortholog_1893 gene-HOLleu_10040 PL13327
ortholog_1894 gene-HOLleu_10041 PL14374
ortholog_1895 gene-HOLleu_10073 PL14542
ortholog_1896 gene-HOLleu_10074 PL14789
ortholog_1897 gene-HOLleu_10078 PL15046
ortholog_1898 gene-HOLleu_10079 PL21180
ortholog_1899 gene-HOLleu_10080 PL13965
ortholog_1900 gene-HOLleu_10081 PL14241
ortholog_1901 gene-HOLleu_10082 PL15320
ortholog_1902 gene-HOLleu_10083 PL37201
ortholog_1903 gene-HOLleu_10086 PL14842
ortholog_1904 gene-HOLleu_10089 PL13511
ortholog_1905 gene-HOLleu_10090 PL13442
ortholog_1906 gene-HOLleu_10099 PL20662
ortholog_1907 gene-HOLleu_10101 PL14407
ortholog_1908 gene-HOLleu_10102 PL13436
ortholog_1909 gene-HOLleu_10103 PL14307
ortholog_1910 gene-HOLleu_10109 PL14554
ortholog_1911 gene-HOLleu_10110 PL13692
ortholog_1912 gene-HOLleu_10113 PL14537
ortholog_1913 gene-HOLleu_10130 PL14658
ortholog_1914 gene-HOLleu_10131 PL15130
ortholog_1915 gene-HOLleu_10158 PL28669
ortholog_1916 gene-HOLleu_10162 PL13827
ortholog_1917 gene-HOLleu_10164 PL14798
ortholog_1918 gene-HOLleu_10165 PL14932
ortholog_1919 gene-HOLleu_10166 PL14587
ortholog_1920 gene-HOLleu_10167 PL13614
ortholog_1921 gene-HOLleu_10177 PL40440
ortholog_1922 gene-HOLleu_10182 PL13482
ortholog_1923 gene-HOLleu_10184 PL14314
ortholog_1924 gene-HOLleu_10185 PL14438
ortholog_1925 gene-HOLleu_10190 PL13695
ortholog_1926 gene-HOLleu_10195 PL36552
ortholog_1927 gene-HOLleu_10196 PL15205
ortholog_1928 gene-HOLleu_10209 PL31380
ortholog_1929 gene-HOLleu_10228 PL12671
ortholog_1930 gene-HOLleu_10232 PL06916
ortholog_1931 gene-HOLleu_10277 PL12359
ortholog_1932 gene-HOLleu_10289 PL16483
ortholog_1933 gene-HOLleu_10294 PL14544
ortholog_1934 gene-HOLleu_10296 PL13592
ortholog_1935 gene-HOLleu_10298 PL14967
ortholog_1936 gene-HOLleu_10299 PL06950
ortholog_1937 gene-HOLleu_10300 PL13324
ortholog_1938 gene-HOLleu_10301 PL14650
ortholog_1939 gene-HOLleu_10303 PL14246
ortholog_1940 gene-HOLleu_10309 PL21930
ortholog_1941 gene-HOLleu_10312 PL14934
ortholog_1942 gene-HOLleu_10313 PL13448
ortholog_1943 gene-HOLleu_10318 PL13169
ortholog_1944 gene-HOLleu_10325 PL14002
ortholog_1945 gene-HOLleu_10339 PL15234
ortholog_1946 gene-HOLleu_10349 PL15118
ortholog_1947 gene-HOLleu_10353 PL08032
ortholog_1948 gene-HOLleu_10356 PL14534
ortholog_1949 gene-HOLleu_10357 PL14627
ortholog_1950 gene-HOLleu_10358 PL15199
ortholog_1951 gene-HOLleu_10416 PL14069
ortholog_1952 gene-HOLleu_10425 PL14936
ortholog_1953 gene-HOLleu_10426 PL14943
ortholog_1954 gene-HOLleu_10427 PL14361
ortholog_1955 gene-HOLleu_10431 PL15146
ortholog_1956 gene-HOLleu_10432 PL14366
ortholog_1957 gene-HOLleu_10438 PL13370
ortholog_1958 gene-HOLleu_10439 PL15121
ortholog_1959 gene-HOLleu_10440 PL13967
ortholog_1960 gene-HOLleu_10441 PL14391
ortholog_1961 gene-HOLleu_10442 PL13632
ortholog_1962 gene-HOLleu_10444 PL08002
ortholog_1963 gene-HOLleu_10445 PL15124
ortholog_1964 gene-HOLleu_10446 PL05852
ortholog_1965 gene-HOLleu_10455 PL14983
ortholog_1966 gene-HOLleu_10457 PL14127
ortholog_1967 gene-HOLleu_10458 PL14526
ortholog_1968 gene-HOLleu_10460 PL13305
ortholog_1969 gene-HOLleu_10501 PL14563
ortholog_1970 gene-HOLleu_10502 PL14714
ortholog_1971 gene-HOLleu_10505 PL14493
ortholog_1972 gene-HOLleu_10510 PL13789
ortholog_1973 gene-HOLleu_10533 PL37684
ortholog_1974 gene-HOLleu_10542 PL41454
ortholog_1975 gene-HOLleu_10559 PL04204
ortholog_1976 gene-HOLleu_10563 PL21291
ortholog_1977 gene-HOLleu_10576 PL08609
ortholog_1978 gene-HOLleu_10619 PL13659
ortholog_1979 gene-HOLleu_10620 PL10514
ortholog_1980 gene-HOLleu_10633 PL13346
ortholog_1981 gene-HOLleu_10635 PL14875
ortholog_1982 gene-HOLleu_10636 PL14772
ortholog_1983 gene-HOLleu_10637 PL14251
ortholog_1984 gene-HOLleu_10638 PL14042
ortholog_1985 gene-HOLleu_10640 PL23300
ortholog_1986 gene-HOLleu_10643 PL02333
ortholog_1987 gene-HOLleu_10646 PL14019
ortholog_1988 gene-HOLleu_10647 PL21117
ortholog_1989 gene-HOLleu_10648 PL14481
ortholog_1990 gene-HOLleu_10650 PL14067
ortholog_1991 gene-HOLleu_10651 PL14871
ortholog_1992 gene-HOLleu_10659 PL15065
ortholog_1993 gene-HOLleu_10663 PL14423
ortholog_1994 gene-HOLleu_10665 PL13685
ortholog_1995 gene-HOLleu_10667 PL13410
ortholog_1996 gene-HOLleu_10695 PL18958
ortholog_1997 gene-HOLleu_10706 PL24955
ortholog_1998 gene-HOLleu_10725 PL04884
ortholog_1999 gene-HOLleu_10739 PL38701
ortholog_2000 gene-HOLleu_10749 PL13515
ortholog_2001 gene-HOLleu_10752 PL14924
ortholog_2002 gene-HOLleu_10760 PL15342
ortholog_2003 gene-HOLleu_10763 PL14717
ortholog_2004 gene-HOLleu_10764 PL15262
ortholog_2005 gene-HOLleu_10765 PL14745
ortholog_2006 gene-HOLleu_10766 PL14100
ortholog_2007 gene-HOLleu_10767 PL14125
ortholog_2008 gene-HOLleu_10768 PL13960
ortholog_2009 gene-HOLleu_10769 PL14558
ortholog_2010 gene-HOLleu_10775 PL13433
ortholog_2011 gene-HOLleu_10776 PL14277
ortholog_2012 gene-HOLleu_10777 PL13484
ortholog_2013 gene-HOLleu_10786 PL13325
ortholog_2014 gene-HOLleu_10787 PL14282
ortholog_2015 gene-HOLleu_10795 PL15208
ortholog_2016 gene-HOLleu_10800 PL15263
ortholog_2017 gene-HOLleu_10802 PL14405
ortholog_2018 gene-HOLleu_10819 PL13206
ortholog_2019 gene-HOLleu_10825 PL14413
ortholog_2020 gene-HOLleu_10849 PL15085
ortholog_2021 gene-HOLleu_10863 PL18955
ortholog_2022 gene-HOLleu_10864 PL32454
ortholog_2023 gene-HOLleu_10867 PL40469
ortholog_2024 gene-HOLleu_10874 PL04696
ortholog_2025 gene-HOLleu_10876 PL13530
ortholog_2026 gene-HOLleu_10878 PL14209
ortholog_2027 gene-HOLleu_10879 PL14726
ortholog_2028 gene-HOLleu_10880 PL14730
ortholog_2029 gene-HOLleu_10882 PL15209
ortholog_2030 gene-HOLleu_10898 PL13595
ortholog_2031 gene-HOLleu_10903 PL14094
ortholog_2032 gene-HOLleu_10904 PL14446
ortholog_2033 gene-HOLleu_10923 PL06760
ortholog_2034 gene-HOLleu_10925 PL14302
ortholog_2035 gene-HOLleu_10927 PL13424
ortholog_2036 gene-HOLleu_10930 PL13850
ortholog_2037 gene-HOLleu_10939 PL25756
ortholog_2038 gene-HOLleu_10964 PL10150
ortholog_2039 gene-HOLleu_10965 PL13581
ortholog_2040 gene-HOLleu_10976 PL39408
ortholog_2041 gene-HOLleu_10993 PL11937
ortholog_2042 gene-HOLleu_10994 PL13522
ortholog_2043 gene-HOLleu_10995 PL13636
ortholog_2044 gene-HOLleu_11009 PL15490
ortholog_2045 gene-HOLleu_11022 PL14804
ortholog_2046 gene-HOLleu_11023 PL15187
ortholog_2047 gene-HOLleu_11025 PL13576
ortholog_2048 gene-HOLleu_11026 PL15131
ortholog_2049 gene-HOLleu_11034 PL15308
ortholog_2050 gene-HOLleu_11035 PL15258
ortholog_2051 gene-HOLleu_11047 PL14822
ortholog_2052 gene-HOLleu_11050 PL13307
ortholog_2053 gene-HOLleu_11051 PL14053
ortholog_2054 gene-HOLleu_11053 PL13979
ortholog_2055 gene-HOLleu_11056 PL14141
ortholog_2056 gene-HOLleu_11057 PL14642
ortholog_2057 gene-HOLleu_11061 PL14889
ortholog_2058 gene-HOLleu_11070 PL13551
ortholog_2059 gene-HOLleu_11071 PL14035
ortholog_2060 gene-HOLleu_11072 PL13833
ortholog_2061 gene-HOLleu_11073 PL14087
ortholog_2062 gene-HOLleu_11074 PL13501
ortholog_2063 gene-HOLleu_11078 PL15167
ortholog_2064 gene-HOLleu_11079 PL13642
ortholog_2065 gene-HOLleu_11084 PL13909
ortholog_2066 gene-HOLleu_11091 PL13651
ortholog_2067 gene-HOLleu_11101 PL13958
ortholog_2068 gene-HOLleu_11102 PL13881
ortholog_2069 gene-HOLleu_11103 PL15180
ortholog_2070 gene-HOLleu_11105 PL14771
ortholog_2071 gene-HOLleu_11106 PL13964
ortholog_2072 gene-HOLleu_11107 PL14884
ortholog_2073 gene-HOLleu_11123 PL18486
ortholog_2074 gene-HOLleu_11140 PL31915
ortholog_2075 gene-HOLleu_11148 PL22772
ortholog_2076 gene-HOLleu_11169 PL13883
ortholog_2077 gene-HOLleu_11171 PL13800
ortholog_2078 gene-HOLleu_11173 PL14646
ortholog_2079 gene-HOLleu_11175 PL15213
ortholog_2080 gene-HOLleu_11176 PL14353
ortholog_2081 gene-HOLleu_11179 PL13724
ortholog_2082 gene-HOLleu_11180 PL14460
ortholog_2083 gene-HOLleu_11181 PL15198
ortholog_2084 gene-HOLleu_11183 PL14539
ortholog_2085 gene-HOLleu_11200 PL15043
ortholog_2086 gene-HOLleu_11202 PL13699
ortholog_2087 gene-HOLleu_11203 PL14781
ortholog_2088 gene-HOLleu_11204 PL14969
ortholog_2089 gene-HOLleu_11205 PL13770
ortholog_2090 gene-HOLleu_11206 PL14629
ortholog_2091 gene-HOLleu_11215 PL14535
ortholog_2092 gene-HOLleu_11220 PL14923
ortholog_2093 gene-HOLleu_11224 PL14965
ortholog_2094 gene-HOLleu_11226 PL13417
ortholog_2095 gene-HOLleu_11235 PL13764
ortholog_2096 gene-HOLleu_11240 PL41557
ortholog_2097 gene-HOLleu_11241 PL14779
ortholog_2098 gene-HOLleu_11242 PL13842
ortholog_2099 gene-HOLleu_11243 PL14866
ortholog_2100 gene-HOLleu_11250 PL14766
ortholog_2101 gene-HOLleu_11255 PL13369
ortholog_2102 gene-HOLleu_11264 PL14118
ortholog_2103 gene-HOLleu_11266 PL14546
ortholog_2104 gene-HOLleu_11269 PL05021
ortholog_2105 gene-HOLleu_11272 PL13702
ortholog_2106 gene-HOLleu_11273 PL15231
ortholog_2107 gene-HOLleu_11274 PL13989
ortholog_2108 gene-HOLleu_11278 PL14332
ortholog_2109 gene-HOLleu_11279 PL14235
ortholog_2110 gene-HOLleu_11281 PL13499
ortholog_2111 gene-HOLleu_11283 PL14933
ortholog_2112 gene-HOLleu_11285 PL14232
ortholog_2113 gene-HOLleu_11286 PL13864
ortholog_2114 gene-HOLleu_11294 PL36277
ortholog_2115 gene-HOLleu_11295 PL15110
ortholog_2116 gene-HOLleu_11303 PL13957
ortholog_2117 gene-HOLleu_11305 PL15173
ortholog_2118 gene-HOLleu_11307 PL14660
ortholog_2119 gene-HOLleu_11308 PL14157
ortholog_2120 gene-HOLleu_11310 PL13598
ortholog_2121 gene-HOLleu_11311 PL14598
ortholog_2122 gene-HOLleu_11314 PL13949
ortholog_2123 gene-HOLleu_11315 PL14564
ortholog_2124 gene-HOLleu_11324 PL13954
ortholog_2125 gene-HOLleu_11325 PL11954
ortholog_2126 gene-HOLleu_11327 PL03316
ortholog_2127 gene-HOLleu_11328 PL29754
ortholog_2128 gene-HOLleu_11330 PL14421
ortholog_2129 gene-HOLleu_11336 PL38895
ortholog_2130 gene-HOLleu_11341 PL14864
ortholog_2131 gene-HOLleu_11343 PL14706
ortholog_2132 gene-HOLleu_11345 PL22839
ortholog_2133 gene-HOLleu_11346 PL13460
ortholog_2134 gene-HOLleu_11347 PL14073
ortholog_2135 gene-HOLleu_11351 PL14777
ortholog_2136 gene-HOLleu_11353 PL13457
ortholog_2137 gene-HOLleu_11355 PL13497
ortholog_2138 gene-HOLleu_11382 PL15097
ortholog_2139 gene-HOLleu_11385 PL14131
ortholog_2140 gene-HOLleu_11386 PL14963
ortholog_2141 gene-HOLleu_11393 PL15201
ortholog_2142 gene-HOLleu_11394 PL15343
ortholog_2143 gene-HOLleu_11395 PL15348
ortholog_2144 gene-HOLleu_11396 PL30211
ortholog_2145 gene-HOLleu_11399 PL14893
ortholog_2146 gene-HOLleu_11400 PL13471
ortholog_2147 gene-HOLleu_11410 PL13419
ortholog_2148 gene-HOLleu_11417 PL18328
ortholog_2149 gene-HOLleu_11422 PL13790
ortholog_2150 gene-HOLleu_11423 PL15093
ortholog_2151 gene-HOLleu_11425 PL14624
ortholog_2152 gene-HOLleu_11432 PL15259
ortholog_2153 gene-HOLleu_11434 PL13831
ortholog_2154 gene-HOLleu_11435 PL14680
ortholog_2155 gene-HOLleu_11437 PL14638
ortholog_2156 gene-HOLleu_11439 PL14442
ortholog_2157 gene-HOLleu_11440 PL13421
ortholog_2158 gene-HOLleu_11442 PL14175
ortholog_2159 gene-HOLleu_11444 PL13718
ortholog_2160 gene-HOLleu_11445 PL13941
ortholog_2161 gene-HOLleu_11446 PL14797
ortholog_2162 gene-HOLleu_11452 PL13704
ortholog_2163 gene-HOLleu_11453 PL29277
ortholog_2164 gene-HOLleu_11464 PL00859
ortholog_2165 gene-HOLleu_11468 PL13579
ortholog_2166 gene-HOLleu_11472 PL13868
ortholog_2167 gene-HOLleu_11474 PL15163
ortholog_2168 gene-HOLleu_11479 PL14750
ortholog_2169 gene-HOLleu_11485 PL13394
ortholog_2170 gene-HOLleu_11491 PL15202
ortholog_2171 gene-HOLleu_11497 PL14146
ortholog_2172 gene-HOLleu_11501 PL13869
ortholog_2173 gene-HOLleu_11514 PL14970
ortholog_2174 gene-HOLleu_11517 PL14431
ortholog_2175 gene-HOLleu_11523 PL15120
ortholog_2176 gene-HOLleu_11537 PL13698
ortholog_2177 gene-HOLleu_11538 PL15053
ortholog_2178 gene-HOLleu_11543 PL13513
ortholog_2179 gene-HOLleu_11545 PL11747
ortholog_2180 gene-HOLleu_11548 PL13386
ortholog_2181 gene-HOLleu_11549 PL14755
ortholog_2182 gene-HOLleu_11568 PL14931
ortholog_2183 gene-HOLleu_11569 PL14723
ortholog_2184 gene-HOLleu_11570 PL14515
ortholog_2185 gene-HOLleu_11571 PL15175
ortholog_2186 gene-HOLleu_11572 PL13473
ortholog_2187 gene-HOLleu_11574 PL15310
ortholog_2188 gene-HOLleu_11576 PL14279
ortholog_2189 gene-HOLleu_11577 PL14274
ortholog_2190 gene-HOLleu_11580 PL14684
ortholog_2191 gene-HOLleu_11581 PL14949
ortholog_2192 gene-HOLleu_11585 PL14811
ortholog_2193 gene-HOLleu_11586 PL13961
ortholog_2194 gene-HOLleu_11589 PL13809
ortholog_2195 gene-HOLleu_11590 PL13619
ortholog_2196 gene-HOLleu_11594 PL15200
ortholog_2197 gene-HOLleu_11595 PL14363
ortholog_2198 gene-HOLleu_11597 PL14830
ortholog_2199 gene-HOLleu_11598 PL07540
ortholog_2200 gene-HOLleu_11600 PL13626
ortholog_2201 gene-HOLleu_11607 PL13340
ortholog_2202 gene-HOLleu_11609 PL05370
ortholog_2203 gene-HOLleu_11623 PL12751
ortholog_2204 gene-HOLleu_11625 PL13587
ortholog_2205 gene-HOLleu_11627 PL14613
ortholog_2206 gene-HOLleu_11632 PL15057
ortholog_2207 gene-HOLleu_11638 PL14090
ortholog_2208 gene-HOLleu_11639 PL14404
ortholog_2209 gene-HOLleu_11643 PL14687
ortholog_2210 gene-HOLleu_11646 PL13508
ortholog_2211 gene-HOLleu_11647 PL13776
ortholog_2212 gene-HOLleu_11649 PL13477
ortholog_2213 gene-HOLleu_11651 PL14330
ortholog_2214 gene-HOLleu_11657 PL14160
ortholog_2215 gene-HOLleu_11659 PL13524
ortholog_2216 gene-HOLleu_11662 PL13372
ortholog_2217 gene-HOLleu_11681 PL12970
ortholog_2218 gene-HOLleu_11682 PL14185
ortholog_2219 gene-HOLleu_11694 PL14443
ortholog_2220 gene-HOLleu_11705 PL04662
ortholog_2221 gene-HOLleu_11709 PL15162
ortholog_2222 gene-HOLleu_11725 PL32142
ortholog_2223 gene-HOLleu_11739 PL40498
ortholog_2224 gene-HOLleu_11742 PL31236
ortholog_2225 gene-HOLleu_11744 PL04122
ortholog_2226 gene-HOLleu_11752 PL40924
ortholog_2227 gene-HOLleu_11753 PL40068
ortholog_2228 gene-HOLleu_11762 PL31541
ortholog_2229 gene-HOLleu_11764 PL40929
ortholog_2230 gene-HOLleu_11765 PL40578
ortholog_2231 gene-HOLleu_11768 PL10681
ortholog_2232 gene-HOLleu_11773 PL31737
ortholog_2233 gene-HOLleu_11774 PL40652
ortholog_2234 gene-HOLleu_11775 PL31006
ortholog_2235 gene-HOLleu_11776 PL11616
ortholog_2236 gene-HOLleu_11778 PL31748
ortholog_2237 gene-HOLleu_11779 PL31534
ortholog_2238 gene-HOLleu_11787 PL20629
ortholog_2239 gene-HOLleu_11814 PL31744
