ortholog_1 gene-HOLleu_00001 BL04309_cuf3
ortholog_1581 gene-HOLleu_10090 BL82595_cuf2
ortholog_1582 gene-HOLleu_10101 BL24624_evm0
ortholog_1583 gene-HOLleu_10102 BL04150_cuf0
ortholog_1584 gene-HOLleu_10103 BL24360_cuf1
ortholog_1585 gene-HOLleu_10109 BL11737_evm1
ortholog_1586 gene-HOLleu_10110 BL23645_evm0
ortholog_1587 gene-HOLleu_10113 BL10870_evm0
ortholog_1588 gene-HOLleu_10130 BL17642_cuf27
ortholog_1589 gene-HOLleu_10158 BL66255_cuf0
ortholog_1590 gene-HOLleu_10162 BL21451_evm2
ortholog_1591 gene-HOLleu_10164 BL14476_cuf1
ortholog_1592 gene-HOLleu_10165 BL14470_evm0
ortholog_1593 gene-HOLleu_10166 BL96063_evm0
ortholog_1594 gene-HOLleu_10167 BL22686_evm1
ortholog_1595 gene-HOLleu_10182 BL08840_evm0
ortholog_1596 gene-HOLleu_10184 BL19893_cuf4
ortholog_1597 gene-HOLleu_10187 BL24482_cuf3
ortholog_1598 gene-HOLleu_10189 BL06910_cuf0
ortholog_1599 gene-HOLleu_10191 BL15433_evm1
ortholog_1600 gene-HOLleu_10196 BL01119_evm0
ortholog_1601 gene-HOLleu_10238 BL04253_evm0
ortholog_1602 gene-HOLleu_10255 BL11513_evm0
ortholog_1603 gene-HOLleu_10289 BL96986_cuf7
ortholog_1604 gene-HOLleu_10292 BL22728_evm0
ortholog_1605 gene-HOLleu_10294 BL04555_cuf1
ortholog_1606 gene-HOLleu_10296 BL17219_evm0
ortholog_1607 gene-HOLleu_10297 BL05981_cuf13
ortholog_1608 gene-HOLleu_10298 BL96827_cuf0
ortholog_1609 gene-HOLleu_10300 BL21851_evm4
ortholog_1610 gene-HOLleu_10303 BL19052_evm2
ortholog_1611 gene-HOLleu_10313 BL14475_cuf18
ortholog_1612 gene-HOLleu_10316 BL40839_cuf0
ortholog_1613 gene-HOLleu_10334 BL03468_cuf27
ortholog_1614 gene-HOLleu_10349 BL11928_evm10
ortholog_1615 gene-HOLleu_10352 BL73477_cuf3
ortholog_1616 gene-HOLleu_10356 BL20322_cuf11
ortholog_1617 gene-HOLleu_10357 BL18255_cuf6
ortholog_1618 gene-HOLleu_10358 BL24731_cuf5
ortholog_1619 gene-HOLleu_10409 BL26823_evm0
ortholog_1620 gene-HOLleu_10416 BL20174_evm0
ortholog_1621 gene-HOLleu_10425 BL06926_evm0
ortholog_1622 gene-HOLleu_10426 BL95425_evm0
ortholog_1623 gene-HOLleu_10427 BL23515_cuf4
ortholog_1624 gene-HOLleu_10431 BL24486_cuf3
ortholog_1625 gene-HOLleu_10432 BL96078_evm0
ortholog_1626 gene-HOLleu_10433 BL20697_evm11
ortholog_1627 gene-HOLleu_10434 BL20694_cuf1
ortholog_1628 gene-HOLleu_10440 BL04187_evm0
ortholog_1629 gene-HOLleu_10441 BL05319_evm4
ortholog_1630 gene-HOLleu_10444 BL03435_evm0
ortholog_1631 gene-HOLleu_10445 BL17190_cuf2
ortholog_1632 gene-HOLleu_10458 BL04997_cuf8
ortholog_1633 gene-HOLleu_10460 BL19781_evm0
ortholog_1634 gene-HOLleu_10501 BL11085_evm0
ortholog_1635 gene-HOLleu_10502 BL16471_evm2
ortholog_1636 gene-HOLleu_10505 BL11090_evm21
ortholog_1637 gene-HOLleu_10510 BL05425_cuf4
ortholog_1638 gene-HOLleu_10553 BL67370_cuf1
ortholog_1639 gene-HOLleu_10571 BL29473_evm0
ortholog_1640 gene-HOLleu_10599 BL82636_cuf0
ortholog_1641 gene-HOLleu_10635 BL11920_cuf7
ortholog_1642 gene-HOLleu_10637 BL00745_evm1
ortholog_1643 gene-HOLleu_10638 BL04925_evm3
ortholog_1644 gene-HOLleu_10640 BL17215_evm0
ortholog_1645 gene-HOLleu_10646 BL12134_evm0
ortholog_1646 gene-HOLleu_10648 BL14336_evm0
ortholog_1647 gene-HOLleu_10650 BL14965_evm0
ortholog_1648 gene-HOLleu_10651 BL10645_evm0
ortholog_1649 gene-HOLleu_10659 BL15944_cuf12
ortholog_1650 gene-HOLleu_10663 BL21049_cuf8
ortholog_1651 gene-HOLleu_10667 BL05279_evm0
ortholog_1652 gene-HOLleu_10692 BL27432_evm0
ortholog_1653 gene-HOLleu_10734 BL30394_evm0
ortholog_1654 gene-HOLleu_10745 BL10320_evm0
ortholog_1655 gene-HOLleu_10752 BL04578_evm0
ortholog_1656 gene-HOLleu_10753 BL11369_cuf3
ortholog_1657 gene-HOLleu_10759 BL09196_cuf6
ortholog_1658 gene-HOLleu_10760 BL22724_cuf3
ortholog_1659 gene-HOLleu_10764 BL00209_cuf1
ortholog_1660 gene-HOLleu_10765 BL03606_cuf3
ortholog_1661 gene-HOLleu_10766 BL25875_evm1
ortholog_1662 gene-HOLleu_10767 BL16436_evm0
ortholog_1663 gene-HOLleu_10768 BL23518_cuf0
ortholog_1664 gene-HOLleu_10769 BL15002_evm3
ortholog_1665 gene-HOLleu_10775 BL19364_evm0
ortholog_1666 gene-HOLleu_10776 BL30010_evm0
ortholog_1667 gene-HOLleu_10777 BL30468_evm0
ortholog_1668 gene-HOLleu_10778 BL00213_evm0
ortholog_1669 gene-HOLleu_10782 BL20127_cuf7
ortholog_1670 gene-HOLleu_10786 BL14728_cuf3
ortholog_1671 gene-HOLleu_10790 BL13546_evm0
ortholog_1672 gene-HOLleu_10795 BL04308_evm13
ortholog_1673 gene-HOLleu_10797 BL13585_evm0
ortholog_1674 gene-HOLleu_10800 BL01579_cuf6
ortholog_1675 gene-HOLleu_10802 BL19897_evm1
ortholog_1676 gene-HOLleu_10819 BL14018_evm0
ortholog_1677 gene-HOLleu_10865 BL11821_cuf0
ortholog_1678 gene-HOLleu_10874 BL23514_evm0
ortholog_1679 gene-HOLleu_10875 BL17223_evm0
ortholog_1680 gene-HOLleu_10876 BL20312_cuf4
ortholog_1681 gene-HOLleu_10878 BL06806_cuf2
ortholog_1682 gene-HOLleu_10879 BL05476_cuf2
ortholog_1683 gene-HOLleu_10880 BL19913_evm0
ortholog_1684 gene-HOLleu_10882 BL02162_cuf0
ortholog_1685 gene-HOLleu_10903 BL18234_evm0
ortholog_1686 gene-HOLleu_10904 BL08854_evm0
ortholog_1687 gene-HOLleu_10907 BL06843_evm0
ortholog_1688 gene-HOLleu_10909 BL21735_evm1
ortholog_1689 gene-HOLleu_10912 BL45971_cuf1
ortholog_1690 gene-HOLleu_10913 BL31279_evm0
ortholog_1691 gene-HOLleu_10925 BL21526_evm0
ortholog_1692 gene-HOLleu_10927 BL12264_cuf1
ortholog_1693 gene-HOLleu_10930 BL07881_cuf4
ortholog_1694 gene-HOLleu_10995 BL20412_evm0
ortholog_1695 gene-HOLleu_11022 BL00371_evm0
ortholog_1696 gene-HOLleu_11025 BL03581_evm4
ortholog_1697 gene-HOLleu_11026 BL18654_evm6
ortholog_1698 gene-HOLleu_11032 BL19408_cuf1
ortholog_1699 gene-HOLleu_11035 BL29825_evm0
ortholog_1700 gene-HOLleu_11047 BL04676_cuf3
ortholog_1701 gene-HOLleu_11050 BL11370_cuf5
ortholog_1702 gene-HOLleu_11051 BL07776_evm5
ortholog_1703 gene-HOLleu_11053 BL15954_evm0
ortholog_1704 gene-HOLleu_11056 BL15953_cuf12
ortholog_1705 gene-HOLleu_11057 BL22331_evm0
ortholog_1706 gene-HOLleu_11061 BL17897_evm3
ortholog_1707 gene-HOLleu_11068 BL09992_evm2
ortholog_1708 gene-HOLleu_11070 BL00530_evm4
ortholog_1709 gene-HOLleu_11071 BL20269_evm23
ortholog_1710 gene-HOLleu_11072 BL19095_evm0
ortholog_1711 gene-HOLleu_11073 BL12247_evm0
ortholog_1712 gene-HOLleu_11074 BL24856_evm0
ortholog_1713 gene-HOLleu_11078 BL10024_cuf4
ortholog_1714 gene-HOLleu_11084 BL24676_cuf0
ortholog_1715 gene-HOLleu_11085 BL12786_evm0
ortholog_1716 gene-HOLleu_11091 BL06381_evm0
ortholog_1717 gene-HOLleu_11101 BL06880_cuf5
ortholog_1718 gene-HOLleu_11102 BL96064_evm1
ortholog_1719 gene-HOLleu_11103 BL15631_evm6
ortholog_1720 gene-HOLleu_11105 BL17281_evm3
ortholog_1721 gene-HOLleu_11106 BL20575_evm8
ortholog_1722 gene-HOLleu_11107 BL15886_cuf4
ortholog_1723 gene-HOLleu_11156 BL20515_evm0
ortholog_1724 gene-HOLleu_11159 BL28181_evm0
ortholog_1725 gene-HOLleu_11169 BL23917_evm5
ortholog_1726 gene-HOLleu_11171 BL06691_evm0
ortholog_1727 gene-HOLleu_11173 BL18662_cuf8
ortholog_1728 gene-HOLleu_11175 BL16433_evm0
ortholog_1729 gene-HOLleu_11176 BL07910_evm0
ortholog_1730 gene-HOLleu_11179 BL01698_evm0
ortholog_1731 gene-HOLleu_11180 BL22088_evm0
ortholog_1732 gene-HOLleu_11187 BL19652_cuf0
ortholog_1733 gene-HOLleu_11199 BL17832_evm0
ortholog_1734 gene-HOLleu_11202 BL16950_evm0
ortholog_1735 gene-HOLleu_11203 BL22673_cuf1
ortholog_1736 gene-HOLleu_11204 BL13467_evm0
ortholog_1737 gene-HOLleu_11205 BL16197_evm0
ortholog_1738 gene-HOLleu_11210 BL01123_cuf1
ortholog_1739 gene-HOLleu_11215 BL12066_cuf22
ortholog_1740 gene-HOLleu_11220 BL06395_evm1
ortholog_1741 gene-HOLleu_11226 BL23789_evm0
ortholog_1742 gene-HOLleu_11235 BL13150_evm0
ortholog_1743 gene-HOLleu_11241 BL96085_evm3
ortholog_1744 gene-HOLleu_11242 BL00158_evm0
ortholog_1745 gene-HOLleu_11243 BL19890_cuf2
ortholog_1746 gene-HOLleu_11250 BL21414_evm0
ortholog_1747 gene-HOLleu_11255 BL07866_cuf6
ortholog_1748 gene-HOLleu_11259 BL16259_evm12
ortholog_1749 gene-HOLleu_11264 BL19849_evm0
ortholog_1750 gene-HOLleu_11266 BL00721_cuf5
ortholog_1751 gene-HOLleu_11269 BL04139_evm4
ortholog_1752 gene-HOLleu_11270 BL88341_cuf0
ortholog_1753 gene-HOLleu_11273 BL05324_evm2
ortholog_1754 gene-HOLleu_11274 BL96805_cuf10
ortholog_1755 gene-HOLleu_11278 BL00828_cuf5
ortholog_1756 gene-HOLleu_11279 BL20801_cuf3
ortholog_1757 gene-HOLleu_11281 BL00165_evm0
ortholog_1758 gene-HOLleu_11282 BL33136_cuf1
ortholog_1759 gene-HOLleu_11283 BL16552_evm0
ortholog_1760 gene-HOLleu_11294 BL96056_evm2
ortholog_1761 gene-HOLleu_11295 BL10866_cuf7
ortholog_1762 gene-HOLleu_11303 BL20413_evm42
ortholog_1763 gene-HOLleu_11305 BL21364_evm0
ortholog_1764 gene-HOLleu_11306 BL05090_evm0
ortholog_1765 gene-HOLleu_11307 BL97368_cuf3
ortholog_1766 gene-HOLleu_11308 BL96102_evm0
ortholog_1767 gene-HOLleu_11310 BL15634_cuf5
ortholog_1768 gene-HOLleu_11311 BL03675_cuf2
ortholog_1769 gene-HOLleu_11313 BL02554_cuf0
ortholog_1770 gene-HOLleu_11314 BL23164_evm5
ortholog_1771 gene-HOLleu_11315 BL14967_evm0
ortholog_1772 gene-HOLleu_11325 BL24421_cuf5
ortholog_1773 gene-HOLleu_11330 BL06077_evm0
ortholog_1774 gene-HOLleu_11341 BL05367_evm0
ortholog_1775 gene-HOLleu_11343 BL04479_cuf7
ortholog_1776 gene-HOLleu_11344 BL16119_evm0
ortholog_1777 gene-HOLleu_11345 BL10868_evm1
ortholog_1778 gene-HOLleu_11347 BL14922_evm0
ortholog_1779 gene-HOLleu_11351 BL02000_evm0
ortholog_1780 gene-HOLleu_11353 BL16558_evm0
ortholog_1781 gene-HOLleu_11355 BL00780_cuf5
ortholog_1782 gene-HOLleu_11361 BL24193_evm0
ortholog_1783 gene-HOLleu_11382 BL14469_cuf1
ortholog_1784 gene-HOLleu_11385 BL17220_evm2
ortholog_1785 gene-HOLleu_11386 BL21452_evm7
ortholog_1786 gene-HOLleu_11393 BL11023_cuf4
ortholog_1787 gene-HOLleu_11396 BL10692_evm1
ortholog_1788 gene-HOLleu_11399 BL01426_evm0
ortholog_1789 gene-HOLleu_11400 BL06945_cuf20
ortholog_1790 gene-HOLleu_11422 BL10638_cuf2
ortholog_1791 gene-HOLleu_11425 BL20713_evm0
ortholog_1792 gene-HOLleu_11432 BL15952_cuf33
ortholog_1793 gene-HOLleu_11434 BL03243_cuf0
ortholog_1794 gene-HOLleu_11437 BL09067_cuf7
ortholog_1795 gene-HOLleu_11439 BL07200_evm0
ortholog_1796 gene-HOLleu_11440 BL08992_evm0
ortholog_1797 gene-HOLleu_11442 BL06942_evm16
ortholog_1798 gene-HOLleu_11445 BL04120_evm12
ortholog_1799 gene-HOLleu_11446 BL95563_evm0
ortholog_1800 gene-HOLleu_11452 BL20698_cuf1
ortholog_1801 gene-HOLleu_11464 BL95414_evm1
ortholog_1802 gene-HOLleu_11468 BL21694_cuf3
ortholog_1803 gene-HOLleu_11472 BL15195_evm0
ortholog_1804 gene-HOLleu_11473 BL04115_evm0
ortholog_1805 gene-HOLleu_11474 BL09364_cuf0
ortholog_1806 gene-HOLleu_11485 BL24204_evm0
ortholog_1807 gene-HOLleu_11486 BL28879_evm0
ortholog_1808 gene-HOLleu_11491 BL04563_cuf8
ortholog_1809 gene-HOLleu_11497 BL02331_cuf0
ortholog_1810 gene-HOLleu_11501 BL08994_evm0
ortholog_1811 gene-HOLleu_11503 BL17641_evm12
ortholog_1812 gene-HOLleu_11508 BL23517_cuf5
ortholog_1813 gene-HOLleu_11509 BL09900_evm0
ortholog_1814 gene-HOLleu_11514 BL60783_cuf1
ortholog_1815 gene-HOLleu_11517 BL02222_evm0
ortholog_1816 gene-HOLleu_11524 BL31970_evm0
ortholog_1817 gene-HOLleu_11534 BL20623_evm0
ortholog_1818 gene-HOLleu_11537 BL21523_cuf4
ortholog_1819 gene-HOLleu_11538 BL00465_evm1
ortholog_1820 gene-HOLleu_11543 BL06886_cuf0
ortholog_1821 gene-HOLleu_11549 BL18376_cuf18
ortholog_1822 gene-HOLleu_11569 BL19588_cuf2
ortholog_1823 gene-HOLleu_11570 BL06384_cuf3
ortholog_1824 gene-HOLleu_11571 BL23661_evm12
ortholog_1825 gene-HOLleu_11572 BL27069_evm0
ortholog_1826 gene-HOLleu_11573 BL06221_evm0
ortholog_1827 gene-HOLleu_11574 BL08653_evm8
ortholog_1828 gene-HOLleu_11575 BL04556_cuf2
ortholog_1829 gene-HOLleu_11577 BL10028_evm0
ortholog_1830 gene-HOLleu_11580 BL07847_cuf2
ortholog_1831 gene-HOLleu_11581 BL96080_evm2
ortholog_1832 gene-HOLleu_11585 BL27173_evm0
ortholog_1833 gene-HOLleu_11586 BL03569_evm0
ortholog_1834 gene-HOLleu_11589 BL05368_evm4
ortholog_1835 gene-HOLleu_11590 BL23409_cuf1
ortholog_1836 gene-HOLleu_11592 BL00917_evm0
ortholog_1837 gene-HOLleu_11594 BL24186_evm0
ortholog_1838 gene-HOLleu_11595 BL01983_evm6
ortholog_1839 gene-HOLleu_11597 BL85375_cuf3
ortholog_1840 gene-HOLleu_11600 BL11306_evm0
ortholog_1841 gene-HOLleu_11607 BL15873_evm2
ortholog_1842 gene-HOLleu_11625 BL95872_evm1
ortholog_1843 gene-HOLleu_11627 BL11064_evm5
ortholog_1844 gene-HOLleu_11631 BL81275_cuf0
ortholog_1845 gene-HOLleu_11638 BL15093_cuf5
ortholog_1846 gene-HOLleu_11639 BL08360_evm0
ortholog_1847 gene-HOLleu_11642 BL77300_cuf0
ortholog_1848 gene-HOLleu_11643 BL01491_evm0
ortholog_1849 gene-HOLleu_11646 BL19433_evm0
ortholog_1850 gene-HOLleu_11647 BL16440_cuf4
ortholog_1851 gene-HOLleu_11649 BL21463_evm3
ortholog_1852 gene-HOLleu_11653 BL63591_cuf1
ortholog_1853 gene-HOLleu_11657 BL18378_cuf3
ortholog_1854 gene-HOLleu_11659 BL05321_evm5
ortholog_1855 gene-HOLleu_11662 BL96807_cuf4
ortholog_1856 gene-HOLleu_11681 BL24003_evm0
ortholog_1857 gene-HOLleu_11682 BL18603_cuf12
ortholog_1858 gene-HOLleu_11694 BL20699_evm0
ortholog_1859 gene-HOLleu_11695 BL10623_cuf1
ortholog_1860 gene-HOLleu_11709 BL04557_cuf6
ortholog_1861 gene-HOLleu_11712 BL17184_cuf9
ortholog_1862 gene-HOLleu_11739 BL14055_cuf7
ortholog_1863 gene-HOLleu_11740 BL05683_evm0
ortholog_1864 gene-HOLleu_11744 BL96671_cuf18
ortholog_1865 gene-HOLleu_11752 BL02446_cuf16
ortholog_1866 gene-HOLleu_11758 BL07565_evm0
ortholog_1867 gene-HOLleu_11762 BL04662_evm10
ortholog_1868 gene-HOLleu_11765 BL10710_cuf3
ortholog_1869 gene-HOLleu_11768 BL01083_evm0
ortholog_1870 gene-HOLleu_11773 BL01006_evm0
ortholog_1871 gene-HOLleu_11774 BL08505_cuf5
ortholog_1872 gene-HOLleu_11775 BL21708_cuf2
ortholog_1873 gene-HOLleu_11779 BL16870_evm8
ortholog_1874 gene-HOLleu_11782 BL21218_evm0
ortholog_1875 gene-HOLleu_11797 BL27769_evm0
ortholog_1876 gene-HOLleu_11813 BL67973_cuf0
ortholog_1877 gene-HOLleu_11814 BL18301_evm3
ortholog_1878 gene-HOLleu_11820 BL27580_evm0
ortholog_1879 gene-HOLleu_11828 BL13928_evm0
ortholog_1880 gene-HOLleu_11829 BL24764_cuf5
ortholog_1881 gene-HOLleu_11835 BL09737_evm0
ortholog_1882 gene-HOLleu_11836 BL17560_cuf3
ortholog_1883 gene-HOLleu_11840 BL07351_cuf1
ortholog_1884 gene-HOLleu_11865 BL19908_evm0
ortholog_1885 gene-HOLleu_11876 BL02859_evm1
ortholog_1886 gene-HOLleu_11888 BL16565_cuf2
ortholog_1887 gene-HOLleu_11892 BL12987_cuf5
ortholog_1888 gene-HOLleu_11895 BL13982_evm2
ortholog_1889 gene-HOLleu_11901 BL21713_evm8
ortholog_1890 gene-HOLleu_11905 BL23188_evm4
ortholog_1891 gene-HOLleu_11910 BL08278_evm4
ortholog_1892 gene-HOLleu_11911 BL14080_evm2
ortholog_1893 gene-HOLleu_11912 BL04852_cuf1
ortholog_1894 gene-HOLleu_11916 BL01903_evm1
ortholog_1895 gene-HOLleu_11917 BL23192_cuf6
ortholog_1896 gene-HOLleu_11919 BL01211_evm1
ortholog_1897 gene-HOLleu_11920 BL21008_evm0
ortholog_1898 gene-HOLleu_11922 BL16661_evm0
ortholog_1899 gene-HOLleu_11923 BL04501_evm4
ortholog_1900 gene-HOLleu_11924 BL30596_evm2
ortholog_1901 gene-HOLleu_11930 BL05961_evm0
ortholog_1902 gene-HOLleu_11931 BL01222_evm1
ortholog_1903 gene-HOLleu_11932 BL14681_cuf0
ortholog_1904 gene-HOLleu_11933 BL15588_cuf1
ortholog_1905 gene-HOLleu_11934 BL07377_evm2
ortholog_1906 gene-HOLleu_11935 BL07379_evm0
ortholog_1907 gene-HOLleu_11940 BL00649_evm0
ortholog_1908 gene-HOLleu_11941 BL11358_cuf5
ortholog_1909 gene-HOLleu_11944 BL11748_evm0
ortholog_1910 gene-HOLleu_11948 BL16701_evm5
ortholog_1911 gene-HOLleu_11950 BL95792_evm0
ortholog_1912 gene-HOLleu_11951 BL20971_cuf7
ortholog_1913 gene-HOLleu_11957 BL09637_evm0
ortholog_1914 gene-HOLleu_11958 BL31077_evm0
ortholog_1915 gene-HOLleu_11959 BL21540_evm0
ortholog_1916 gene-HOLleu_11963 BL05773_cuf1
ortholog_1917 gene-HOLleu_11967 BL17001_evm2
ortholog_1918 gene-HOLleu_11968 BL95115_evm0
ortholog_1919 gene-HOLleu_11971 BL11752_cuf4
ortholog_1920 gene-HOLleu_11974 BL08503_evm3
ortholog_1921 gene-HOLleu_11975 BL23261_cuf1
ortholog_1922 gene-HOLleu_11979 BL26482_evm0
ortholog_1923 gene-HOLleu_11992 BL75093_cuf1
ortholog_1924 gene-HOLleu_11995 BL11185_evm5
ortholog_1925 gene-HOLleu_12000 BL26825_evm0
ortholog_1926 gene-HOLleu_12003 BL23202_cuf1
ortholog_1927 gene-HOLleu_12006 BL20978_evm3
ortholog_1928 gene-HOLleu_12009 BL05455_evm0
ortholog_1929 gene-HOLleu_12018 BL12080_cuf6
ortholog_1930 gene-HOLleu_12023 BL13556_cuf4
ortholog_1931 gene-HOLleu_12030 BL13710_cuf4
ortholog_1932 gene-HOLleu_12033 BL02789_cuf14
ortholog_1933 gene-HOLleu_12035 BL16542_evm0
ortholog_1934 gene-HOLleu_12037 BL21355_cuf6
ortholog_1935 gene-HOLleu_12046 BL00894_evm0
ortholog_1936 gene-HOLleu_12062 BL02316_cuf1
ortholog_1937 gene-HOLleu_12069 BL19018_evm0
ortholog_1938 gene-HOLleu_12079 BL02445_cuf1
ortholog_1939 gene-HOLleu_12083 BL07373_cuf1
ortholog_1940 gene-HOLleu_12085 BL20096_cuf1
ortholog_1941 gene-HOLleu_12087 BL16562_evm0
ortholog_1942 gene-HOLleu_12086 BL07407_evm7
ortholog_1943 gene-HOLleu_12097 BL21589_evm0
ortholog_1944 gene-HOLleu_12107 BL21185_evm0
ortholog_1945 gene-HOLleu_12114 BL02788_cuf11
ortholog_1946 gene-HOLleu_12115 BL17624_cuf1
ortholog_1947 gene-HOLleu_12132 BL30963_evm0
ortholog_1948 gene-HOLleu_12135 BL54150_cuf0
ortholog_1949 gene-HOLleu_12139 BL09643_evm0
ortholog_1950 gene-HOLleu_12141 BL18443_evm1
ortholog_1951 gene-HOLleu_12143 BL24105_evm0
ortholog_1952 gene-HOLleu_12147 BL15974_evm1
ortholog_1953 gene-HOLleu_12152 BL13036_cuf14
ortholog_1954 gene-HOLleu_12154 BL19560_cuf5
ortholog_1955 gene-HOLleu_12155 BL03931_evm3
ortholog_1956 gene-HOLleu_12156 BL08506_cuf2
ortholog_1957 gene-HOLleu_12157 BL08509_cuf6
ortholog_1958 gene-HOLleu_12162 BL24013_evm0
ortholog_1959 gene-HOLleu_12166 BL17360_evm0
ortholog_1960 gene-HOLleu_12168 BL11355_cuf0
ortholog_1961 gene-HOLleu_12169 BL03157_evm0
ortholog_1962 gene-HOLleu_12170 BL05769_evm0
ortholog_1963 gene-HOLleu_12171 BL16449_evm0
ortholog_1964 gene-HOLleu_12174 BL00788_evm1
ortholog_1965 gene-HOLleu_12177 BL95093_evm0
ortholog_1966 gene-HOLleu_12178 BL24663_evm4
ortholog_1967 gene-HOLleu_12179 BL22819_evm0
ortholog_1968 gene-HOLleu_12180 BL13978_cuf1
ortholog_1969 gene-HOLleu_12182 BL02581_evm1
ortholog_1970 gene-HOLleu_12183 BL13531_cuf7
ortholog_1971 gene-HOLleu_12185 BL29552_evm0
ortholog_1972 gene-HOLleu_12186 BL07369_cuf1
ortholog_1973 gene-HOLleu_12192 BL13929_evm0
ortholog_1974 gene-HOLleu_12203 BL28307_evm0
ortholog_1975 gene-HOLleu_12204 BL19879_evm0
ortholog_1976 gene-HOLleu_12211 BL11048_evm8
ortholog_1977 gene-HOLleu_12217 BL17625_evm2
ortholog_1978 gene-HOLleu_12225 BL07013_evm5
ortholog_1979 gene-HOLleu_12228 BL97365_cuf5
ortholog_1980 gene-HOLleu_12229 BL11628_cuf2
ortholog_1981 gene-HOLleu_12230 BL19147_evm1
ortholog_1982 gene-HOLleu_12232 BL14639_evm0
ortholog_1983 gene-HOLleu_12233 BL10987_evm3
ortholog_1984 gene-HOLleu_12234 BL23469_cuf3
ortholog_1985 gene-HOLleu_12236 BL13605_cuf2
ortholog_1986 gene-HOLleu_12239 BL07045_cuf1
ortholog_1987 gene-HOLleu_12248 BL00713_evm0
ortholog_1988 gene-HOLleu_12252 BL29833_evm0
ortholog_1989 gene-HOLleu_12257 BL36139_cuf2
ortholog_1990 gene-HOLleu_12258 BL15025_evm4
ortholog_1991 gene-HOLleu_12264 BL17019_cuf8
ortholog_1992 gene-HOLleu_12282 BL11627_evm0
ortholog_1993 gene-HOLleu_12284 BL22816_evm1
ortholog_1994 gene-HOLleu_12285 BL11569_cuf2
ortholog_1995 gene-HOLleu_12286 BL00154_cuf1
ortholog_1996 gene-HOLleu_12287 BL23198_cuf3
ortholog_1997 gene-HOLleu_12289 BL21343_evm1
ortholog_1998 gene-HOLleu_12291 BL21715_evm10
ortholog_1999 gene-HOLleu_12293 BL08394_evm10
ortholog_2000 gene-HOLleu_12295 BL24296_evm6
ortholog_2001 gene-HOLleu_12297 BL19594_cuf1
ortholog_2002 gene-HOLleu_12301 BL12074_cuf0
ortholog_2003 gene-HOLleu_12302 BL17629_cuf5
ortholog_2004 gene-HOLleu_12303 BL09264_evm0
ortholog_2005 gene-HOLleu_12320 BL32079_evm0
ortholog_2006 gene-HOLleu_12345 BL20988_evm0
ortholog_2007 gene-HOLleu_12346 BL08863_cuf6
ortholog_2008 gene-HOLleu_12347 BL04287_evm0
ortholog_2009 gene-HOLleu_12351 BL09208_cuf1
ortholog_2010 gene-HOLleu_12353 BL15594_evm3
ortholog_2011 gene-HOLleu_12367 BL03253_cuf4
ortholog_2012 gene-HOLleu_12368 BL29061_evm0
ortholog_2013 gene-HOLleu_12372 BL06563_cuf2
ortholog_2014 gene-HOLleu_12374 BL97023_cuf2
ortholog_2015 gene-HOLleu_12381 BL23753_cuf2
ortholog_2016 gene-HOLleu_12386 BL13983_evm6
ortholog_2017 gene-HOLleu_12390 BL04505_evm0
ortholog_2018 gene-HOLleu_12391 BL00438_cuf3
ortholog_2019 gene-HOLleu_12392 BL22081_evm0
ortholog_2020 gene-HOLleu_12394 BL17539_evm1
ortholog_2021 gene-HOLleu_12407 BL12079_cuf2
ortholog_2022 gene-HOLleu_12409 BL18774_evm0
ortholog_2023 gene-HOLleu_12413 BL22102_evm0
ortholog_2024 gene-HOLleu_12417 BL22592_cuf1
ortholog_2025 gene-HOLleu_12418 BL09489_evm0
ortholog_2026 gene-HOLleu_12421 BL14249_evm9
ortholog_2027 gene-HOLleu_12423 BL02792_cuf4
ortholog_2028 gene-HOLleu_12430 BL22518_cuf0
ortholog_2029 gene-HOLleu_12432 BL20965_cuf5
ortholog_2030 gene-HOLleu_12433 BL20611_evm0
ortholog_2031 gene-HOLleu_12434 BL11236_evm10
ortholog_2032 gene-HOLleu_12435 BL23128_evm5
ortholog_2033 gene-HOLleu_12436 BL01625_cuf2
ortholog_2034 gene-HOLleu_12437 BL28141_evm0
ortholog_2035 gene-HOLleu_12438 BL00805_cuf0
ortholog_2036 gene-HOLleu_12440 BL22598_cuf1
ortholog_2037 gene-HOLleu_12451 BL13113_cuf3
ortholog_2038 gene-HOLleu_12454 BL04300_evm0
ortholog_2039 gene-HOLleu_12462 BL05772_evm0
ortholog_2040 gene-HOLleu_12466 BL15813_evm9
ortholog_2041 gene-HOLleu_12467 BL01017_cuf10
ortholog_2042 gene-HOLleu_12468 BL17628_evm5
ortholog_2043 gene-HOLleu_12472 BL01124_cuf3
ortholog_2044 gene-HOLleu_12473 BL14217_evm3
ortholog_2045 gene-HOLleu_12480 BL16812_evm0
ortholog_2046 gene-HOLleu_12484 BL17626_cuf10
ortholog_2047 gene-HOLleu_12485 BL30240_evm4
ortholog_2048 gene-HOLleu_12486 BL16997_cuf3
ortholog_2049 gene-HOLleu_12491 BL05196_evm0
ortholog_2050 gene-HOLleu_12494 BL16022_evm0
ortholog_2051 gene-HOLleu_12499 BL06330_evm0
ortholog_2052 gene-HOLleu_12501 BL15029_evm7
ortholog_2053 gene-HOLleu_12502 BL12722_evm1
ortholog_2054 gene-HOLleu_12506 BL09170_evm3
ortholog_2055 gene-HOLleu_12509 BL14534_evm0
