ortholog_1 g320 Em0018g373a
ortholog_1468 g64886 Em0018g155a
ortholog_1469 g64897 Em0018g151a
ortholog_1470 g64994 Em0018g265a
ortholog_1471 g65083 Em0015g66a
ortholog_1472 g65093 Em0018g1128a
ortholog_1473 g65102 Em0018g226a
ortholog_1474 g65110 Em0001g331a
ortholog_1475 g65115 Em0018g936a
ortholog_1476 g65126 Em0018g69a
ortholog_1477 g65130 Em0018g70a
ortholog_1478 g65165 Em0015g1010a
ortholog_1479 g65168 Em0018g561a
ortholog_1480 g65224 Em0018g53a
ortholog_1481 g65237 Em0018g57a
ortholog_1482 g65291 Em0018g126a
ortholog_1483 g65402 Em0009g1183a
ortholog_1484 g65422 Em0012g127a
ortholog_1485 g65463 Em0016g33a
ortholog_1486 g65489 Em0018g862a
ortholog_1487 g65495 Em0001g1158a
ortholog_1488 g65509 Em0005g1033a
ortholog_1489 g65539 Em0018g997a
ortholog_1490 g65557 Em0018g807a
ortholog_1491 g65561 Em0018g805a
ortholog_1492 g65568 Em0018g796a
ortholog_1493 g65570 Em0018g821a
ortholog_1494 g65571 Em0018g1124a
ortholog_1495 g65598 Em0010g404a
ortholog_1496 g65620 Em0018g1109a
ortholog_1497 g65625 Em0018g125a
ortholog_1498 g65636 Em0016g424a
ortholog_1499 g65641 Em0018g248a
ortholog_1500 g65679 Em0018g37a
ortholog_1501 g65704 Em0018g497a
ortholog_1502 g65711 Em1343g1a
ortholog_1503 g65718 Em0013g367a
ortholog_1504 g65751 Em0521g1a
ortholog_1505 g65914 Em0018g990a
ortholog_1506 g65918 Em0018g1183a
ortholog_1507 g66001 Em0018g81a
ortholog_1508 g66022 Em0018g1115a
ortholog_1509 g66045 Em0018g77a
ortholog_1510 g66051 Em0018g598a
ortholog_1511 g66065 Em0018g188a
ortholog_1512 g66077 Em0018g1176a
ortholog_1513 g66079 Em0018g1177a
ortholog_1514 g66084 Em0018g1191a
ortholog_1515 g66087 Em0018g1180a
ortholog_1516 g66144 Em0018g74a
ortholog_1517 g66152 Em0776g1a
ortholog_1518 g66185 Em0018g502a
ortholog_1519 g66222 Em0018g183a
ortholog_1520 g66247 Em0013g890a
ortholog_1521 g66254 Em0001g1124a
ortholog_1522 g66256 Em0005g1344a
ortholog_1523 g66263 Em0018g576a
ortholog_1524 g66362 Em0010g1024a
ortholog_1525 g66393 Em0018g1156a
ortholog_1526 g66421 Em0020g739a
ortholog_1527 g66655 Em0018g509a
ortholog_1528 g66730 Em0023g794a
ortholog_1529 g66742 Em0018g1129a
ortholog_1530 g66809 Em0021g139a
ortholog_1531 g66997 Em0004g1518a
ortholog_1532 g67533 Em0017g148a
ortholog_1533 g67641 Em0015g963a
ortholog_1534 g67675 Em0021g955a
ortholog_1535 g67682 Em0011g872a
ortholog_1536 g67687 Em0011g225a
ortholog_1537 g67710 Em0023g305a
ortholog_1538 g67740 Em0023g25a
ortholog_1539 g67741 Em0023g24a
ortholog_1540 g67745 Em0023g22a
ortholog_1541 g67788 Em0003g1423a
ortholog_1542 g67790 Em0003g1424a
ortholog_1543 g67797 Em0011g37a
ortholog_1544 g67801 Em0011g36a
ortholog_1545 g67810 Em0020g637a
ortholog_1546 g67835 Em0001g1690a
ortholog_1547 g67867 Em0020g228a
ortholog_1548 g67889 Em0011g313a
ortholog_1549 g67891 Em0011g1065a
ortholog_1550 g67895 Em0014g75a
ortholog_1551 g67946 Em0011g29a
ortholog_1552 g67996 Em0011g791a
ortholog_1553 g68013 Em0023g197a
ortholog_1554 g68033 Em0011g1051a
ortholog_1555 g68034 Em0011g1050a
ortholog_1556 g68044 Em0011g634a
ortholog_1557 g68082 Em0011g27a
ortholog_1558 g68091 Em0022g401a
ortholog_1559 g68104 Em0015g1291a
ortholog_1560 g68108 Em0023g83a
ortholog_1561 g68166 Em0021g592a
ortholog_1562 g68177 Em0011g794a
ortholog_1563 g68189 Em0011g796a
ortholog_1564 g68201 Em0011g463a
ortholog_1565 g68328 Em0011g42a
ortholog_1566 g68344 Em0014g680a
ortholog_1567 g68353 Em0002g45a
ortholog_1568 g68385 Em0011g293a
ortholog_1569 g68394 Em0167g2a
ortholog_1570 g68399 Em0011g157a
ortholog_1571 g68461 Em0435g3a
ortholog_1572 g68468 Em0011g492a
ortholog_1573 g68470 Em0435g1a
ortholog_1574 g68476 Em0011g494a
ortholog_1575 g68478 Em0001g86a
ortholog_1576 g68481 Em0023g123a
ortholog_1577 g68497 Em0019g98a
ortholog_1578 g68510 Em0023g61a
ortholog_1579 g68601 Em0005g858a
ortholog_1580 g68617 Em0011g13a
ortholog_1581 g68627 Em0010g710a
ortholog_1582 g68633 Em0010g709a
ortholog_1583 g68647 Em0015g935a
ortholog_1584 g68718 Em0023g92a
ortholog_1585 g68722 Em0023g66a
ortholog_1586 g68726 Em0011g580a
ortholog_1587 g68782 Em0019g358a
ortholog_1588 g68786 Em0010g697a
ortholog_1589 g68789 Em0011g726a
ortholog_1590 g68790 Em0011g144a
ortholog_1591 g68795 Em0011g361a
ortholog_1592 g68798 Em0011g148a
ortholog_1593 g68824 Em0011g17a
ortholog_1594 g68837 Em0011g18a
ortholog_1595 g68844 Em0011g149a
ortholog_1596 g68845 Em0015g908a
ortholog_1597 g68858 Em0023g152a
ortholog_1598 g68884 Em0011g52a
ortholog_1599 g68892 Em0011g195a
ortholog_1600 g68918 Em0008g687a
ortholog_1601 g68961 Em0562g1a
ortholog_1602 g68971 Em0011g119a
ortholog_1603 g68980 Em0005g1150a
ortholog_1604 g69025 Em0935g1a
ortholog_1605 g69052 Em0011g1179a
ortholog_1606 g69057 Em0011g834a
ortholog_1607 g69085 Em0011g831a
ortholog_1608 g69110 Em0011g976a
ortholog_1609 g69116 Em0011g1015a
ortholog_1610 g69118 Em0011g1014a
ortholog_1611 g69162 Em0022g431a
ortholog_1612 g69165 Em0016g302a
ortholog_1613 g69208 Em0004g149a
ortholog_1614 g69274 Em0023g88a
ortholog_1615 g69277 Em0011g295a
ortholog_1616 g69280 Em0011g296a
ortholog_1617 g69285 Em0003g1667a
ortholog_1618 g69341 Em0011g132a
ortholog_1619 g69417 Em0011g62a
ortholog_1620 g69427 Em0011g503a
ortholog_1621 g69431 Em0008g395a
ortholog_1622 g69457 Em0023g59a
ortholog_1623 g69458 Em0019g834a
ortholog_1624 g69469 Em0011g1185a
ortholog_1625 g69491 Em0011g59a
ortholog_1626 g69512 Em0010g175a
ortholog_1627 g69515 Em0011g418a
ortholog_1628 g69585 Em0011g117a
ortholog_1629 g69595 Em0009g188a
ortholog_1630 g69680 Em0011g7a
ortholog_1631 g69685 Em0011g388a
ortholog_1632 g69703 Em0016g953a
ortholog_1633 g69704 Em0011g6a
ortholog_1634 g69774 Em0011g1166a
ortholog_1635 g69779 Em0023g70a
ortholog_1636 g69783 Em0011g1165a
ortholog_1637 g69788 Em0011g63a
ortholog_1638 g69848 Em0008g1266a
ortholog_1639 g69853 Em0001g107a
ortholog_1640 g69902 Em0179g3a
ortholog_1641 g69903 Em0011g871a
ortholog_1642 g69908 Em0001g568a
ortholog_1643 g69933 Em0023g379a
ortholog_1644 g69964 Em0011g816a
ortholog_1645 g69983 Em0023g63a
ortholog_1646 g70051 Em0020g973a
ortholog_1647 g70053 Em0012g970a
ortholog_1648 g70056 Em0023g354a
ortholog_1649 g70117 Em0023g279a
ortholog_1650 g70141 Em0023g82a
ortholog_1651 g70142 Em0023g29a
ortholog_1652 g70192 Em0023g75a
ortholog_1653 g70199 Em0023g76a
ortholog_1654 g70215 Em0023g74a
ortholog_1655 g70225 Em0002g1023a
ortholog_1656 g70296 Em0759g1a
ortholog_1657 g70302 Em0023g87a
ortholog_1658 g70311 Em0017g344a
ortholog_1659 g70315 Em0011g35a
ortholog_1660 g70319 Em0020g918a
ortholog_1661 g70321 Em0179g10a
ortholog_1662 g70326 Em0179g19a
ortholog_1663 g70328 Em0023g52a
ortholog_1664 g70333 Em0023g94a
ortholog_1665 g70350 Em0023g459a
ortholog_1666 g70422 Em0002g630a
ortholog_1667 g70576 Em0011g241a
ortholog_1668 g70580 Em0011g239a
ortholog_1669 g70616 Em0002g270a
ortholog_1670 g70618 Em0002g409a
ortholog_1671 g70663 Em0023g195a
ortholog_1672 g70703 Em0019g264a
ortholog_1673 g70704 Em0019g274a
ortholog_1674 g70850 Em0011g65a
ortholog_1675 g70854 Em0021g221a
ortholog_1676 g70881 Em0011g140a
ortholog_1677 g70883 Em0655g2a
ortholog_1678 g70931 Em0011g11a
ortholog_1679 g70984 Em0010g807a
ortholog_1680 g71036 Em0023g339a
ortholog_1681 g71061 Em0023g78a
ortholog_1682 g71073 Em0023g337a
ortholog_1683 g71078 Em0023g227a
ortholog_1684 g71119 Em0005g400a
ortholog_1685 g71121 Em0023g30a
ortholog_1686 g71141 Em0021g36a
ortholog_1687 g71232 Em0023g58a
ortholog_1688 g71234 Em0024g142a
ortholog_1689 g71254 Em0020g641a
ortholog_1690 g71270 Em0011g1158a
ortholog_1691 g71274 Em0011g443a
ortholog_1692 g71324 Em0011g788a
ortholog_1693 g71327 Em0001g844a
ortholog_1694 g71331 Em0011g1194a
ortholog_1695 g71405 Em0011g1029a
ortholog_1696 g71452 Em0011g362a
ortholog_1697 g71478 Em0011g792a
ortholog_1698 g71523 Em0435g5a
ortholog_1699 g71526 Em0011g156a
ortholog_1700 g71534 Em0015g1157a
ortholog_1701 g71547 Em0013g289a
ortholog_1702 g71563 Em0011g183a
ortholog_1703 g71610 Em0011g533a
ortholog_1704 g71612 Em0011g536a
ortholog_1705 g71613 Em0011g513a
ortholog_1706 g71631 Em0005g1211a
ortholog_1707 g71652 Em0008g955a
ortholog_1708 g71656 Em0011g155a
ortholog_1709 g71660 Em0011g134a
ortholog_1710 g71663 Em0011g135a
ortholog_1711 g71726 Em0011g977a
ortholog_1712 g71736 Em0011g979a
ortholog_1713 g71764 Em0023g90a
ortholog_1714 g71774 Em0018g106a
ortholog_1715 g71780 Em0011g749a
ortholog_1716 g71803 Em0011g1062a
ortholog_1717 g71831 Em0011g1159a
ortholog_1718 g71836 Em0011g80a
ortholog_1719 g71871 Em0011g70a
ortholog_1720 g71872 Em0008g846a
ortholog_1721 g71882 Em0011g174a
ortholog_1722 g71884 Em0011g185a
ortholog_1723 g71896 Em0006g1436a
ortholog_1724 g71905 Em0011g58a
ortholog_1725 g71907 Em0011g1053a
ortholog_1726 g71921 Em0007g738a
ortholog_1727 g71929 Em0023g34a
ortholog_1728 g71939 Em0023g116a
ortholog_1729 g71943 Em0011g1184a
ortholog_1730 g71956 Em0017g386a
ortholog_1731 g71958 Em0023g42a
ortholog_1732 g72000 Em0011g118a
ortholog_1733 g72001 Em0014g555a
ortholog_1734 g72004 Em0010g418a
ortholog_1735 g72006 Em0004g1386a
ortholog_1736 g72016 Em0023g338a
ortholog_1737 g72021 Em0005g141a
ortholog_1738 g72120 Em0011g56a
ortholog_1739 g72121 Em0018g1141a
ortholog_1740 g72136 Em0023g125a
ortholog_1741 g72287 Em0006g714a
ortholog_1742 g72359 Em0012g695a
ortholog_1743 g72383 Em0008g1026a
ortholog_1744 g72408 Em0011g545a
ortholog_1745 g72430 Em0005g1522a
ortholog_1746 g72437 Em0013g538a
ortholog_1747 g72476 Em0011g823a
ortholog_1748 g72496 Em0011g250a
ortholog_1749 g72501 Em0004g1068a
ortholog_1750 g72503 Em0011g658a
ortholog_1751 g72524 Em0011g76a
ortholog_1752 g72526 Em0011g71a
ortholog_1753 g72530 Em0011g133a
ortholog_1754 g72535 Em0001g203a
ortholog_1755 g72536 Em0011g12a
ortholog_1756 g72582 Em0023g280a
ortholog_1757 g72584 Em0023g204a
ortholog_1758 g72636 Em0015g978a
ortholog_1759 g72669 Em0011g66a
ortholog_1760 g72671 Em0011g83a
ortholog_1761 g72677 Em0268g3a
ortholog_1762 g72678 Em0004g574a
ortholog_1763 g72679 Em0004g569a
ortholog_1764 g72680 Em0029g45a
ortholog_1765 g72684 Em0012g1078a
ortholog_1766 g72698 Em0022g667a
ortholog_1767 g72709 Em0023g267a
ortholog_1768 g72712 Em0016g225a
ortholog_1769 g72756 Em0011g25a
ortholog_1770 g72778 Em0011g82a
ortholog_1771 g72780 Em0011g142a
ortholog_1772 g72793 Em0001g1025a
ortholog_1773 g72811 Em0001g1138a
ortholog_1774 g72839 Em0021g876a
ortholog_1775 g72841 Em0011g28a
ortholog_1776 g72842 Em0012g1093a
ortholog_1777 g72844 Em0005g1628a
ortholog_1778 g72854 Em0021g520a
ortholog_1779 g72881 Em0023g370a
ortholog_1780 g72896 Em0011g10a
ortholog_1781 g72899 Em0011g67a
ortholog_1782 g72914 Em1364g1a
ortholog_1783 g72929 Em0011g827a
ortholog_1784 g72931 Em0011g417a
ortholog_1785 g72934 Em0010g844a
ortholog_1786 g72963 Em0011g69a
ortholog_1787 g73009 Em0011g1168a
ortholog_1788 g73024 Em0011g53a
ortholog_1789 g73034 Em0023g122a
ortholog_1790 g73064 Em0018g613a
ortholog_1791 g73066 Em0018g611a
ortholog_1792 g73079 Em0020g972a
ortholog_1793 g73082 Em0019g551a
ortholog_1794 g73114 Em0011g128a
ortholog_1795 g73135 Em0004g202a
ortholog_1796 g73169 Em0005g560a
ortholog_1797 g73185 Em0011g1024a
ortholog_1798 g73205 Em0019g827a
ortholog_1799 g73215 Em0011g779a
ortholog_1800 g73220 Em0021g831a
ortholog_1801 g73245 Em0009g1063a
ortholog_1802 g73246 Em0420g2a
ortholog_1803 g73248 Em0011g32a
ortholog_1804 g73261 Em0020g629a
ortholog_1805 g73264 Em0011g233a
ortholog_1806 g73279 Em0011g88a
ortholog_1807 g73301 Em0011g962a
ortholog_1808 g73390 Em0011g217a
ortholog_1809 g73392 Em0011g229a
ortholog_1810 g73397 Em0011g215a
ortholog_1811 g73426 Em0019g309a
ortholog_1812 g73432 Em0010g76a
ortholog_1813 g73667 Em0015g533a
ortholog_1814 g73771 Em0006g982a
ortholog_1815 g73795 Em0023g265a
ortholog_1816 g73815 Em0009g967a
ortholog_1817 g73833 Em0003g642a
ortholog_1818 g73841 Em0008g823a
ortholog_1819 g73870 Em0022g251a
ortholog_1820 g73873 Em0011g106a
ortholog_1821 g73886 Em0005g22a
ortholog_1822 g73951 Em0007g252a
ortholog_1823 g73966 Em0023g130a
ortholog_1824 g73979 Em0023g336a
ortholog_1825 g73995 Em0023g353a
ortholog_1826 g73997 Em0023g54a
ortholog_1827 g74002 Em0010g766a
ortholog_1828 g74016 Em0016g1178a
ortholog_1829 g74243 Em0023g307a
ortholog_1830 g74280 Em0019g48a
ortholog_1831 g74294 Em0011g1013a
ortholog_1832 g74301 Em0011g1023a
ortholog_1833 g74309 Em0023g371a
ortholog_1834 g74314 Em0007g1071a
ortholog_1835 g74323 Em0011g774a
ortholog_1836 g74341 Em0009g61a
ortholog_1837 g74368 Em0023g350a
ortholog_1838 g74419 Em0011g1162a
ortholog_1839 g74554 Em0013g251a
ortholog_1840 g74581 Em0011g141a
ortholog_1841 g74617 Em0023g157a
ortholog_1842 g74619 Em0008g1059a
ortholog_1843 g74622 Em0011g516a
ortholog_1844 g74642 Em0023g86a
ortholog_1845 g74651 Em0003g310a
ortholog_1846 g74653 Em0024g258a
ortholog_1847 g74658 Em0011g1026a
ortholog_1848 g74689 Em0011g852a
ortholog_1849 g74695 Em0011g72a
ortholog_1850 g74698 Em0011g277a
ortholog_1851 g74699 Em0011g365a
ortholog_1852 g74708 Em0011g546a
ortholog_1853 g74746 Em0021g586a
ortholog_1854 g74872 Em0004g1439a
ortholog_1855 g74874 Em0011g804a
ortholog_1856 g74879 Em0005g1603a
ortholog_1857 g74893 Em0011g1193a
ortholog_1858 g74909 Em0011g1167a
ortholog_1859 g74926 Em0023g352a
ortholog_1860 g74930 Em0010g903a
ortholog_1861 g74944 Em0011g645a
ortholog_1862 g75042 Em0006g469a
ortholog_1863 g75101 Em0011g235a
ortholog_1864 g75102 Em0011g236a
ortholog_1865 g75148 Em0011g789a
ortholog_1866 g75184 Em0009g400a
ortholog_1867 g75208 Em0011g243a
ortholog_1868 g75213 Em0005g1646a
ortholog_1869 g75216 Em0011g517a
ortholog_1870 g75222 Em0009g709a
ortholog_1871 g75283 Em0009g1118a
ortholog_1872 g75378 Em0013g74a
ortholog_1873 g75430 Em0023g97a
ortholog_1874 g75471 Em0008g787a
ortholog_1875 g75486 Em0023g113a
ortholog_1876 g75500 Em0023g39a
ortholog_1877 g75520 Em0020g58a
ortholog_1878 g75523 Em0020g57a
ortholog_1879 g75525 Em0005g548a
ortholog_1880 g75533 Em0011g324a
ortholog_1881 g75542 Em0034g10a
ortholog_1882 g75552 Em0011g49a
ortholog_1883 g75556 Em0011g511a
ortholog_1884 g75557 Em0009g54a
ortholog_1885 g75567 Em0011g506a
ortholog_1886 g75583 Em0023g291a
ortholog_1887 g75635 Em0011g1161a
ortholog_1888 g75651 Em0015g717a
ortholog_1889 g75668 Em0023g244a
ortholog_1890 g75740 Em0006g11a
ortholog_1891 g75755 Em0011g359a
ortholog_1892 g75761 Em0011g360a
ortholog_1893 g75806 Em0011g793a
ortholog_1894 g75808 Em0015g1277a
ortholog_1895 g75859 Em0011g150a
ortholog_1896 g75938 Em0023g85a
ortholog_1897 g75941 Em0786g3a
ortholog_1898 g75942 Em0395g10a
ortholog_1899 g75983 Em0010g721a
ortholog_1900 g76031 Em0011g325a
ortholog_1901 g76061 Em0011g483a
ortholog_1902 g76064 Em0011g14a
ortholog_1903 g76066 Em0023g124a
ortholog_1904 g76070 Em0015g1218a
ortholog_1905 g76096 Em0023g285a
ortholog_1906 g76104 Em0023g284a
ortholog_1907 g76112 Em0012g383a
ortholog_1908 g76204 Em0447g1a
ortholog_1909 g76210 Em0022g326a
ortholog_1910 g76227 Em0011g224a
ortholog_1911 g76317 Em0015g755a
ortholog_1912 g76320 Em0023g406a
ortholog_1913 g76342 Em0023g62a
ortholog_1914 g76346 Em0023g266a
ortholog_1915 g76396 Em0011g19a
ortholog_1916 g76400 Em0011g20a
ortholog_1917 g76410 Em0015g273a
ortholog_1918 g76416 Em0011g985a
ortholog_1919 g76452 Em0016g599a
ortholog_1920 g76454 Em0011g518a
ortholog_1921 g76463 Em0011g960a
ortholog_1922 g76491 Em0011g1183a
ortholog_1923 g76522 Em0013g986a
ortholog_1924 g76531 Em0011g784a
ortholog_1925 g76533 Em0011g785a
ortholog_1926 g76570 Em0011g30a
ortholog_1927 g76579 Em0020g106a
ortholog_1928 g76593 Em0006g1399a
ortholog_1929 g76783 Em0011g851a
ortholog_1930 g76794 Em0009g619a
ortholog_1931 g76804 Em0020g974a
ortholog_1932 g76830 Em0011g90a
ortholog_1933 g76833 Em0011g514a
ortholog_1934 g76838 Em0011g1012a
ortholog_1935 g76863 Em0016g218a
ortholog_1936 g77009 Em0016g554a
ortholog_1937 g77013 Em0016g557a
ortholog_1938 g77102 Em0023g33a
ortholog_1939 g77115 Em0023g308a
ortholog_1940 g77130 Em0005g140a
ortholog_1941 g77210 Em0179g6a
ortholog_1942 g77245 Em0657g2a
ortholog_1943 g77266 Em0011g850a
ortholog_1944 g77368 Em0011g488a
ortholog_1945 g77380 Em0006g877a
ortholog_1946 g77684 Em0024g452a
ortholog_1947 g77727 Em0599g4a
ortholog_1948 g77764 Em0021g994a
ortholog_1949 g77772 Em0011g673a
ortholog_1950 g77800 Em0023g60a
ortholog_1951 g77814 Em0023g228a
ortholog_1952 g77823 Em0022g284a
ortholog_1953 g77932 Em0021g834a
ortholog_1954 g77935 Em0011g790a
ortholog_1955 g77975 Em0011g858a
ortholog_1956 g78071 Em0027g73a
ortholog_1957 g78398 Em0005g1055a
ortholog_1958 g78999 Em0617g1a
ortholog_1959 g79339 Em0009g981a
ortholog_1960 g79349 Em0009g1288a
ortholog_1961 g79357 Em0005g1641a
ortholog_1962 g79360 Em0009g1307a
ortholog_1963 g79440 Em0011g874a
ortholog_1964 g79443 Em0011g959a
ortholog_1965 g79446 Em0011g876a
ortholog_1966 g79480 Em0016g527a
ortholog_1967 g79520 Em0022g506a
ortholog_1968 g79521 Em0017g343a
ortholog_1969 g79551 Em0009g1287a
ortholog_1970 g79944 Em0023g478a
ortholog_1971 g79985 Em0009g998a
ortholog_1972 g79989 Em0009g976a
ortholog_1973 g79990 Em0009g1218a
ortholog_1974 g80013 Em0001g1116a
ortholog_1975 g80029 Em0009g1177a
ortholog_1976 g80036 Em0015g663a
ortholog_1977 g80040 Em0009g1020a
ortholog_1978 g80042 Em0021g897a
ortholog_1979 g80075 Em0009g121a
ortholog_1980 g80188 Em0543g5a
ortholog_1981 g80211 Em0011g975a
ortholog_1982 g80354 Em0009g1166a
ortholog_1983 g80394 Em0009g1270a
ortholog_1984 g80423 Em0009g1243a
ortholog_1985 g80454 Em0023g493a
ortholog_1986 g80508 Em0009g1226a
ortholog_1987 g80714 Em0009g1170a
ortholog_1988 g80938 Em0016g429a
ortholog_1989 g80995 Em0007g1445a
ortholog_1990 g81103 Em0013g805a
ortholog_1991 g81106 Em0017g180a
ortholog_1992 g81141 Em0003g1225a
ortholog_1993 g81199 Em0019g772a
ortholog_1994 g81258 Em0016g317a
ortholog_1995 g81264 Em0016g319a
ortholog_1996 g81272 Em0016g346a
ortholog_1997 g81303 Em0009g1062a
ortholog_1998 g81338 Em0023g717a
ortholog_1999 g81387 Em0024g163a
ortholog_2000 g81572 Em0009g1245a
ortholog_2001 g81601 Em0009g923a
ortholog_2002 g81614 Em0009g592a
ortholog_2003 g81684 Em0009g240a
ortholog_2004 g81687 Em0009g256a
ortholog_2005 g81688 Em0240g5a
ortholog_2006 g81692 Em0127g1a
ortholog_2007 g81698 Em0127g3a
ortholog_2008 g81705 Em0008g1236a
ortholog_2009 g81774 Em0018g664a
ortholog_2010 g81781 Em0017g430a
ortholog_2011 g81991 Em0256g1a
ortholog_2012 g82030 Em0009g154a
ortholog_2013 g82031 Em0009g151a
ortholog_2014 g82071 Em0017g453a
ortholog_2015 g82087 Em0016g24a
ortholog_2016 g82096 Em0009g1154a
ortholog_2017 g82098 Em0009g115a
ortholog_2018 g82100 Em0009g117a
ortholog_2019 g82160 Em0009g1231a
ortholog_2020 g82294 Em0006g662a
ortholog_2021 g82297 Em0001g906a
ortholog_2022 g82320 Em0004g300a
ortholog_2023 g82331 Em0009g33a
ortholog_2024 g82333 Em0018g1076a
ortholog_2025 g82336 Em0009g35a
ortholog_2026 g82351 Em0009g1275a
ortholog_2027 g82436 Em0004g697a
ortholog_2028 g82445 Em0022g554a
ortholog_2029 g82450 Em0022g731a
ortholog_2030 g82461 Em0021g992a
ortholog_2031 g82520 Em0023g293a
ortholog_2032 g82567 Em0003g1090a
ortholog_2033 g82603 Em0009g1064a
ortholog_2034 g82625 Em0009g593a
ortholog_2035 g82631 Em0009g1297a
ortholog_2036 g82647 Em0009g643a
ortholog_2037 g82656 Em0019g719a
ortholog_2038 g82667 Em0009g1165a
ortholog_2039 g82698 Em0022g149a
ortholog_2040 g82729 Em0021g545a
ortholog_2041 g82741 Em0011g853a
ortholog_2042 g82768 Em0009g995a
ortholog_2043 g82784 Em0013g791a
ortholog_2044 g82817 Em0009g150a
ortholog_2045 g82906 Em0009g1027a
ortholog_2046 g82913 Em0009g1032a
ortholog_2047 g82958 Em0017g485a
ortholog_2048 g82960 Em0009g1304a
ortholog_2049 g82969 Em0009g974a
ortholog_2050 g82981 Em0003g1871a
ortholog_2051 g83038 Em0018g52a
ortholog_2052 g83074 Em0819g5a
ortholog_2053 g83104 Em0009g1200a
ortholog_2054 g83135 Em0009g975a
ortholog_2055 g83139 Em0009g997a
ortholog_2056 g83158 Em0021g354a
ortholog_2057 g83352 Em0009g1122a
ortholog_2058 g83373 Em0009g1003a
ortholog_2059 g83400 Em0009g1300a
ortholog_2060 g83441 Em0016g1107a
ortholog_2061 g83444 Em0016g913a
ortholog_2062 g83524 Em0015g763a
ortholog_2063 g83535 Em0009g1225a
ortholog_2064 g83584 Em0003g1217a
ortholog_2065 g83626 Em0013g472a
ortholog_2066 g83629 Em0009g938a
ortholog_2067 g83636 Em0004g1006a
ortholog_2068 g83654 Em0004g1049a
ortholog_2069 g83660 Em0005g1359a
ortholog_2070 g83700 Em0009g1156a
ortholog_2071 g83716 Em0018g380a
ortholog_2072 g83762 Em0002g387a
ortholog_2073 g83770 Em0009g609a
ortholog_2074 g83772 Em0016g399a
ortholog_2075 g83883 Em0009g980a
ortholog_2076 g83895 Em0009g1073a
ortholog_2077 g83924 Em0009g41a
ortholog_2078 g83937 Em0009g184a
ortholog_2079 g83974 Em0009g899a
ortholog_2080 g84023 Em0009g1132a
ortholog_2081 g84028 Em0009g1224a
ortholog_2082 g84029 Em0015g512a
ortholog_2083 g84038 Em0009g1223a
ortholog_2084 g84063 Em0009g1066a
ortholog_2085 g84065 Em0009g32a
ortholog_2086 g84081 Em0009g168a
ortholog_2087 g84163 Em0022g67a
ortholog_2088 g84164 Em0009g1196a
ortholog_2089 g84195 Em0009g152a
ortholog_2090 g84198 Em0001g505a
ortholog_2091 g84201 Em0013g846a
ortholog_2092 g84207 Em0002g1299a
ortholog_2093 g84221 Em0017g790a
ortholog_2094 g84236 Em0009g620a
ortholog_2095 g84244 Em0006g898a
ortholog_2096 g84310 Em0009g806a
ortholog_2097 g84376 Em0009g1074a
ortholog_2098 g84397 Em0009g1121a
ortholog_2099 g84409 Em0022g14a
ortholog_2100 g84442 Em0004g377a
ortholog_2101 g84450 Em0009g1259a
ortholog_2102 g84452 Em0020g599a
ortholog_2103 g84461 Em0023g84a
ortholog_2104 g84475 Em0001g3767a
ortholog_2105 g84494 Em0009g794a
ortholog_2106 g84500 Em0015g103a
ortholog_2107 g84505 Em0021g785a
ortholog_2108 g84631 Em0009g814a
ortholog_2109 g84658 Em0001g1430a
ortholog_2110 g84668 Em0016g586a
ortholog_2111 g84681 Em0009g278a
ortholog_2112 g84685 Em0006g1237a
ortholog_2113 g84689 Em0009g1173a
ortholog_2114 g84702 Em0009g1237a
ortholog_2115 g84710 Em0009g1238a
ortholog_2116 g84725 Em0009g1152a
ortholog_2117 g84764 Em0009g48a
ortholog_2118 g84788 Em0009g44a
ortholog_2119 g84799 Em0006g1218a
ortholog_2120 g84800 Em0009g606a
ortholog_2121 g84806 Em0018g945a
ortholog_2122 g84812 Em0016g1114a
ortholog_2123 g84828 Em0011g578a
ortholog_2124 g84918 Em0015g516a
ortholog_2125 g84922 Em1134g2a
ortholog_2126 g84926 Em0397g4a
ortholog_2127 g84955 Em0015g1090a
ortholog_2128 g85006 Em0009g1250a
ortholog_2129 g85009 Em0014g565a
ortholog_2130 g85015 Em0009g102a
ortholog_2131 g85026 Em0007g1463a
ortholog_2132 g85100 Em0014g564a
ortholog_2133 g85163 Em0016g742a
ortholog_2134 g85169 Em0009g1296a
ortholog_2135 g85184 Em0008g1217a
ortholog_2136 g85244 Em0009g969a
ortholog_2137 g85247 Em0009g994a
ortholog_2138 g85310 Em0009g988a
ortholog_2139 g85312 Em0013g552a
ortholog_2140 g85329 Em0009g1036a
ortholog_2141 g85370 Em0004g1184a
ortholog_2142 g85378 Em0009g1233a
ortholog_2143 g85379 Em0009g480a
ortholog_2144 g85660 Em0020g1105a
ortholog_2145 g85808 Em0009g680a
ortholog_2146 g85844 Em0001g84a
ortholog_2147 g85879 Em0009g1092a
ortholog_2148 g85884 Em0002g182a
ortholog_2149 g85903 Em0022g291a
ortholog_2150 g85917 Em0009g1111a
ortholog_2151 g85967 Em0023g182a
ortholog_2152 g86040 Em0013g126a
ortholog_2153 g86050 Em0009g1113a
ortholog_2154 g86051 Em0020g1080a
ortholog_2155 g86073 Em0009g591a
ortholog_2156 g86156 Em0018g1057a
ortholog_2157 g86164 Em0009g610a
ortholog_2158 g86191 Em0009g38a
