ortholog_1 gene-HOLleu_00002 Em0004g788a
ortholog_1278 gene-HOLleu_12141 Em0018g976a
ortholog_1279 gene-HOLleu_12143 Em0018g537a
ortholog_1280 gene-HOLleu_12147 Em0018g167a
ortholog_1281 gene-HOLleu_12152 Em0018g376a
ortholog_1282 gene-HOLleu_12156 Em0018g252a
ortholog_1283 gene-HOLleu_12157 Em0018g283a
ortholog_1284 gene-HOLleu_12166 Em0018g1125a
ortholog_1285 gene-HOLleu_12169 Em0018g1182a
ortholog_1286 gene-HOLleu_12170 Em0018g267a
ortholog_1287 gene-HOLleu_12171 Em0018g187a
ortholog_1288 gene-HOLleu_12174 Em0002g976a
ortholog_1289 gene-HOLleu_12177 Em0016g288a
ortholog_1290 gene-HOLleu_12178 Em0018g165a
ortholog_1291 gene-HOLleu_12179 Em0018g312a
ortholog_1292 gene-HOLleu_12180 Em0018g1043a
ortholog_1293 gene-HOLleu_12182 Em0018g183a
ortholog_1294 gene-HOLleu_12183 Em0538g3a
ortholog_1295 gene-HOLleu_12185 Em0014g22a
ortholog_1296 gene-HOLleu_12186 Em0018g998a
ortholog_1297 gene-HOLleu_12225 Em0018g41a
ortholog_1298 gene-HOLleu_12226 Em0018g614a
ortholog_1299 gene-HOLleu_12228 Em0018g1132a
ortholog_1300 gene-HOLleu_12233 Em0018g51a
ortholog_1301 gene-HOLleu_12234 Em0018g367a
ortholog_1302 gene-HOLleu_12239 Em0018g75a
ortholog_1303 gene-HOLleu_12246 Em0022g579a
ortholog_1304 gene-HOLleu_12252 Em0013g949a
ortholog_1305 gene-HOLleu_12259 Em0005g29a
ortholog_1306 gene-HOLleu_12264 Em0001g200a
ortholog_1307 gene-HOLleu_12265 Em0018g499a
ortholog_1308 gene-HOLleu_12282 Em0018g81a
ortholog_1309 gene-HOLleu_12285 Em0115g4a
ortholog_1310 gene-HOLleu_12286 Em0018g131a
ortholog_1311 gene-HOLleu_12287 Em0018g423a
ortholog_1312 gene-HOLleu_12289 Em0008g790a
ortholog_1313 gene-HOLleu_12292 Em0018g1121a
ortholog_1314 gene-HOLleu_12293 Em0018g1208a
ortholog_1315 gene-HOLleu_12297 Em0018g483a
ortholog_1316 gene-HOLleu_12301 Em0018g184a
ortholog_1317 gene-HOLleu_12302 Em0018g348a
ortholog_1318 gene-HOLleu_12305 Em0018g53a
ortholog_1319 gene-HOLleu_12345 Em0008g1231a
ortholog_1320 gene-HOLleu_12347 Em0018g510a
ortholog_1321 gene-HOLleu_12351 Em0008g104a
ortholog_1322 gene-HOLleu_12353 Em0018g226a
ortholog_1323 gene-HOLleu_12359 Em0018g1002a
ortholog_1324 gene-HOLleu_12372 Em0018g1054a
ortholog_1325 gene-HOLleu_12381 Em0018g1129a
ortholog_1326 gene-HOLleu_12386 Em0018g992a
ortholog_1327 gene-HOLleu_12390 Em0018g1076a
ortholog_1328 gene-HOLleu_12392 Em0004g549a
ortholog_1329 gene-HOLleu_12394 Em0011g862a
ortholog_1330 gene-HOLleu_12407 Em0018g1150a
ortholog_1331 gene-HOLleu_12417 Em0019g640a
ortholog_1332 gene-HOLleu_12423 Em0018g1155a
ortholog_1333 gene-HOLleu_12432 Em0001g1695a
ortholog_1334 gene-HOLleu_12435 Em0367g1a
ortholog_1335 gene-HOLleu_12440 Em0019g243a
ortholog_1336 gene-HOLleu_12456 Em0021g375a
ortholog_1337 gene-HOLleu_12457 Em0022g372a
ortholog_1338 gene-HOLleu_12467 Em0013g362a
ortholog_1339 gene-HOLleu_12468 Em0200g11a
ortholog_1340 gene-HOLleu_12472 Em0018g1006a
ortholog_1341 gene-HOLleu_12473 Em1343g1a
ortholog_1342 gene-HOLleu_12484 Em0018g223a
ortholog_1343 gene-HOLleu_12494 Em0001g123a
ortholog_1344 gene-HOLleu_12499 Em0015g462a
ortholog_1345 gene-HOLleu_12501 Em0018g1093a
ortholog_1346 gene-HOLleu_12519 Em0018g1193a
ortholog_1347 gene-HOLleu_12520 Em0021g305a
ortholog_1348 gene-HOLleu_12521 Em0018g1176a
ortholog_1349 gene-HOLleu_12534 Em0019g1039a
ortholog_1350 gene-HOLleu_12535 Em0018g314a
ortholog_1351 gene-HOLleu_12542 Em0018g40a
ortholog_1352 gene-HOLleu_12548 Em0018g515a
ortholog_1353 gene-HOLleu_12550 Em0001g896a
ortholog_1354 gene-HOLleu_12551 Em0003g268a
ortholog_1355 gene-HOLleu_12552 Em0016g424a
ortholog_1356 gene-HOLleu_12553 Em0018g807a
ortholog_1357 gene-HOLleu_12560 Em0020g126a
ortholog_1358 gene-HOLleu_12564 Em0018g1028a
ortholog_1359 gene-HOLleu_12565 Em0018g334a
ortholog_1360 gene-HOLleu_12568 Em0018g1152a
ortholog_1361 gene-HOLleu_12570 Em0018g77a
ortholog_1362 gene-HOLleu_12581 Em0018g1203a
ortholog_1363 gene-HOLleu_12586 Em0018g1095a
ortholog_1364 gene-HOLleu_12588 Em0018g186a
ortholog_1365 gene-HOLleu_12594 Em0018g809a
ortholog_1366 gene-HOLleu_12596 Em0023g770a
ortholog_1367 gene-HOLleu_12608 Em0052g11a
ortholog_1368 gene-HOLleu_12639 Em0018g574a
ortholog_1369 gene-HOLleu_12640 Em0018g34a
ortholog_1370 gene-HOLleu_12647 Em0419g3a
ortholog_1371 gene-HOLleu_12648 Em0018g143a
ortholog_1372 gene-HOLleu_12649 Em0018g128a
ortholog_1373 gene-HOLleu_12650 Em0015g648a
ortholog_1374 gene-HOLleu_12653 Em0018g489a
ortholog_1375 gene-HOLleu_12655 Em0018g1160a
ortholog_1376 gene-HOLleu_12656 Em0018g508a
ortholog_1377 gene-HOLleu_12659 Em0018g89a
ortholog_1378 gene-HOLleu_12660 Em0053g11a
ortholog_1379 gene-HOLleu_12663 Em0003g1360a
ortholog_1380 gene-HOLleu_12666 Em0018g791a
ortholog_1381 gene-HOLleu_12668 Em0018g825a
ortholog_1382 gene-HOLleu_12680 Em0018g1195a
ortholog_1383 gene-HOLleu_12685 Em0018g996a
ortholog_1384 gene-HOLleu_12691 Em0018g411a
ortholog_1385 gene-HOLleu_12694 Em0018g1162a
ortholog_1386 gene-HOLleu_12698 Em0001g600a
ortholog_1387 gene-HOLleu_12708 Em0018g984a
ortholog_1388 gene-HOLleu_12712 Em0018g994a
ortholog_1389 gene-HOLleu_12713 Em0018g350a
ortholog_1390 gene-HOLleu_12717 Em0005g1628a
ortholog_1391 gene-HOLleu_12729 Em0021g83a
ortholog_1392 gene-HOLleu_12735 Em0018g188a
ortholog_1393 gene-HOLleu_12741 Em0018g93a
ortholog_1394 gene-HOLleu_12746 Em0018g49a
ortholog_1395 gene-HOLleu_12747 Em0018g198a
ortholog_1396 gene-HOLleu_12753 Em0018g1116a
ortholog_1397 gene-HOLleu_12754 Em0005g369a
ortholog_1398 gene-HOLleu_12762 Em0018g598a
ortholog_1399 gene-HOLleu_12769 Em0419g10a
ortholog_1400 gene-HOLleu_12773 Em0018g974a
ortholog_1401 gene-HOLleu_12774 Em0018g973a
ortholog_1402 gene-HOLleu_12781 Em0001g1344a
ortholog_1403 gene-HOLleu_12782 Em0018g1200a
ortholog_1404 gene-HOLleu_12783 Em0018g1060a
ortholog_1405 gene-HOLleu_12784 Em0018g1061a
ortholog_1406 gene-HOLleu_12785 Em0018g497a
ortholog_1407 gene-HOLleu_12786 Em0018g506a
ortholog_1408 gene-HOLleu_12787 Em0008g1262a
ortholog_1409 gene-HOLleu_12793 Em0010g357a
ortholog_1410 gene-HOLleu_12837 Em0018g1055a
ortholog_1411 gene-HOLleu_12840 Em0018g784a
ortholog_1412 gene-HOLleu_12847 Em0018g1109a
ortholog_1413 gene-HOLleu_12859 Em1351g1a
ortholog_1414 gene-HOLleu_12870 Em0006g502a
ortholog_1415 gene-HOLleu_12871 Em0115g15a
ortholog_1416 gene-HOLleu_12876 Em0018g500a
ortholog_1417 gene-HOLleu_12877 Em0018g38a
ortholog_1418 gene-HOLleu_12880 Em0014g73a
ortholog_1419 gene-HOLleu_12889 Em0023g775a
ortholog_1420 gene-HOLleu_12891 Em0018g304a
ortholog_1421 gene-HOLleu_12906 Em0018g156a
ortholog_1422 gene-HOLleu_12908 Em0001g554a
ortholog_1423 gene-HOLleu_12910 Em0018g1110a
ortholog_1424 gene-HOLleu_12911 Em0018g932a
ortholog_1425 gene-HOLleu_12912 Em0019g546a
ortholog_1426 gene-HOLleu_12919 Em0018g424a
ortholog_1427 gene-HOLleu_12924 Em0018g1189a
ortholog_1428 gene-HOLleu_12926 Em0018g1191a
ortholog_1429 gene-HOLleu_12929 Em0011g787a
ortholog_1430 gene-HOLleu_12930 Em0018g69a
ortholog_1431 gene-HOLleu_12932 Em0018g67a
ortholog_1432 gene-HOLleu_12934 Em0018g164a
ortholog_1433 gene-HOLleu_12936 Em0012g837a
ortholog_1434 gene-HOLleu_12938 Em0018g1115a
ortholog_1435 gene-HOLleu_12943 Em0018g1164a
ortholog_1436 gene-HOLleu_12944 Em0018g1082a
ortholog_1437 gene-HOLleu_12948 Em0018g1117a
ortholog_1438 gene-HOLleu_12950 Em0018g378a
ortholog_1439 gene-HOLleu_12951 Em0005g1271a
ortholog_1440 gene-HOLleu_12956 Em0018g767a
ortholog_1441 gene-HOLleu_12964 Em0018g313a
ortholog_1442 gene-HOLleu_12966 Em0018g521a
ortholog_1443 gene-HOLleu_12967 Em0019g1202a
ortholog_1444 gene-HOLleu_12975 Em0018g821a
ortholog_1445 gene-HOLleu_12992 Em0010g386a
ortholog_1446 gene-HOLleu_13004 Em0015g1010a
ortholog_1447 gene-HOLleu_13006 Em0018g68a
ortholog_1448 gene-HOLleu_13007 Em0006g981a
ortholog_1449 gene-HOLleu_13034 Em0018g835a
ortholog_1450 gene-HOLleu_13038 Em0016g164a
ortholog_1451 gene-HOLleu_13045 Em0018g1034a
ortholog_1452 gene-HOLleu_13067 Em0011g810a
ortholog_1453 gene-HOLleu_13072 Em0018g151a
ortholog_1454 gene-HOLleu_13082 Em0018g264a
ortholog_1455 gene-HOLleu_13091 Em0018g98a
ortholog_1456 gene-HOLleu_13092 Em0005g146a
ortholog_1457 gene-HOLleu_13096 Em0018g315a
ortholog_1458 gene-HOLleu_13097 Em0018g287a
ortholog_1459 gene-HOLleu_13100 Em0018g294a
ortholog_1460 gene-HOLleu_13103 Em0018g138a
ortholog_1461 gene-HOLleu_13107 Em0018g1113a
ortholog_1462 gene-HOLleu_13110 Em0023g949a
ortholog_1463 gene-HOLleu_13119 Em0032g40a
ortholog_1464 gene-HOLleu_13129 Em0018g862a
ortholog_1465 gene-HOLleu_13130 Em0018g1087a
ortholog_1466 gene-HOLleu_13138 Em0018g339a
ortholog_1467 gene-HOLleu_13141 Em0015g66a
ortholog_1468 gene-HOLleu_13143 Em0018g255a
ortholog_1469 gene-HOLleu_13149 Em0018g1188a
ortholog_1470 gene-HOLleu_13168 Em0007g756a
ortholog_1471 gene-HOLleu_13191 Em0018g1156a
ortholog_1472 gene-HOLleu_13196 Em0023g794a
ortholog_1473 gene-HOLleu_13210 Em0017g591a
ortholog_1474 gene-HOLleu_13225 Em0018g237a
ortholog_1475 gene-HOLleu_13228 Em0018g934a
ortholog_1476 gene-HOLleu_13232 Em0018g834a
ortholog_1477 gene-HOLleu_13233 Em0018g185a
ortholog_1478 gene-HOLleu_13241 Em0019g906a
ortholog_1479 gene-HOLleu_13244 Em0728g2a
ortholog_1480 gene-HOLleu_13250 Em0018g1017a
ortholog_1481 gene-HOLleu_13255 Em0018g33a
ortholog_1482 gene-HOLleu_13257 Em0015g436a
ortholog_1483 gene-HOLleu_13258 Em0018g808a
ortholog_1484 gene-HOLleu_13259 Em0023g696a
ortholog_1485 gene-HOLleu_13262 Em0004g7a
ortholog_1486 gene-HOLleu_13267 Em0018g997a
ortholog_1487 gene-HOLleu_13269 Em0018g1023a
ortholog_1488 gene-HOLleu_13271 Em0018g1081a
ortholog_1489 gene-HOLleu_13285 Em0018g158a
ortholog_1490 gene-HOLleu_13289 Em0018g1194a
ortholog_1491 gene-HOLleu_13297 Em0018g155a
ortholog_1492 gene-HOLleu_13307 Em0020g119a
ortholog_1493 gene-HOLleu_13308 Em0018g1105a
ortholog_1494 gene-HOLleu_13310 Em0018g1128a
ortholog_1495 gene-HOLleu_13313 Em0013g26a
ortholog_1496 gene-HOLleu_13314 Em0018g70a
ortholog_1497 gene-HOLleu_13315 Em0337g9a
ortholog_1498 gene-HOLleu_13316 Em0018g1005a
ortholog_1499 gene-HOLleu_13318 Em0018g1199a
ortholog_1500 gene-HOLleu_13321 Em0016g1075a
ortholog_1501 gene-HOLleu_13322 Em0018g805a
ortholog_1502 gene-HOLleu_13324 Em0018g496a
ortholog_1503 gene-HOLleu_13328 Em0018g42a
ortholog_1504 gene-HOLleu_13331 Em0018g137a
ortholog_1505 gene-HOLleu_13334 Em0018g1186a
ortholog_1506 gene-HOLleu_13344 Em1338g1a
ortholog_1507 gene-HOLleu_13349 Em0018g685a
ortholog_1508 gene-HOLleu_13355 Em0012g1098a
ortholog_1509 gene-HOLleu_13356 Em0018g39a
ortholog_1510 gene-HOLleu_13385 Em0001g1010a
ortholog_1511 gene-HOLleu_13388 Em0001g82a
ortholog_1512 gene-HOLleu_13390 Em0018g299a
ortholog_1513 gene-HOLleu_13391 Em0018g117a
ortholog_1514 gene-HOLleu_13393 Em0018g345a
ortholog_1515 gene-HOLleu_13404 Em0018g859a
ortholog_1516 gene-HOLleu_13414 Em0012g362a
ortholog_1517 gene-HOLleu_13417 Em0019g712a
ortholog_1518 gene-HOLleu_13421 Em0001g234a
ortholog_1519 gene-HOLleu_13424 Em0018g1119a
ortholog_1520 gene-HOLleu_13432 Em0019g380a
ortholog_1521 gene-HOLleu_13447 Em0005g1115a
ortholog_1522 gene-HOLleu_13448 Em0018g1154a
ortholog_1523 gene-HOLleu_13451 Em0028g34a
ortholog_1524 gene-HOLleu_13453 Em0018g388a
ortholog_1525 gene-HOLleu_13469 Em0018g385a
ortholog_1526 gene-HOLleu_13472 Em0018g1197a
ortholog_1527 gene-HOLleu_13473 Em0018g1051a
ortholog_1528 gene-HOLleu_13477 Em0018g688a
ortholog_1529 gene-HOLleu_13489 Em0018g480a
ortholog_1530 gene-HOLleu_13499 Em0018g290a
ortholog_1531 gene-HOLleu_13500 Em0001g1158a
ortholog_1532 gene-HOLleu_13506 Em0018g1196a
ortholog_1533 gene-HOLleu_13513 Em0018g1052a
ortholog_1534 gene-HOLleu_13516 Em0006g1239a
ortholog_1535 gene-HOLleu_13522 Em0034g13a
ortholog_1536 gene-HOLleu_13523 Em0115g14a
ortholog_1537 gene-HOLleu_13529 Em0018g377a
ortholog_1538 gene-HOLleu_13542 Em0025g127a
ortholog_1539 gene-HOLleu_13544 Em0009g946a
ortholog_1540 gene-HOLleu_13547 Em0018g242a
ortholog_1541 gene-HOLleu_13554 Em0018g110a
ortholog_1542 gene-HOLleu_13557 Em0018g72a
ortholog_1543 gene-HOLleu_13562 Em0020g1000a
ortholog_1544 gene-HOLleu_13571 Em0018g1137a
ortholog_1545 gene-HOLleu_13573 Em0018g565a
ortholog_1546 gene-HOLleu_13576 Em0018g90a
ortholog_1547 gene-HOLleu_13583 Em0005g1182a
ortholog_1548 gene-HOLleu_13600 Em0018g37a
ortholog_1549 gene-HOLleu_13602 Em0019g288a
ortholog_1550 gene-HOLleu_13623 Em0006g1153a
ortholog_1551 gene-HOLleu_13642 Em0005g1680a
ortholog_1552 gene-HOLleu_13644 Em0023g152a
ortholog_1553 gene-HOLleu_13645 Em0020g556a
ortholog_1554 gene-HOLleu_13688 Em0011g60a
ortholog_1555 gene-HOLleu_13691 Em0020g974a
ortholog_1556 gene-HOLleu_13696 Em0722g2a
ortholog_1557 gene-HOLleu_13725 Em0023g70a
ortholog_1558 gene-HOLleu_13742 Em0011g417a
ortholog_1559 gene-HOLleu_13771 Em0011g90a
ortholog_1560 gene-HOLleu_13772 Em0011g59a
ortholog_1561 gene-HOLleu_13775 Em0011g850a
ortholog_1562 gene-HOLleu_13782 Em0011g1193a
ortholog_1563 gene-HOLleu_13783 Em0011g148a
ortholog_1564 gene-HOLleu_13790 Em0011g1015a
ortholog_1565 gene-HOLleu_13845 Em0022g446a
ortholog_1566 gene-HOLleu_13865 Em0011g7a
ortholog_1567 gene-HOLleu_13876 Em0011g658a
ortholog_1568 gene-HOLleu_13885 Em0009g762a
ortholog_1569 gene-HOLleu_13886 Em0011g1158a
ortholog_1570 gene-HOLleu_13888 Em0021g634a
ortholog_1571 gene-HOLleu_13889 Em0011g1014a
ortholog_1572 gene-HOLleu_13907 Em0011g815a
ortholog_1573 gene-HOLleu_13909 Em0011g1162a
ortholog_1574 gene-HOLleu_13910 Em0011g871a
ortholog_1575 gene-HOLleu_13927 Em0016g429a
ortholog_1576 gene-HOLleu_13937 Em0011g1062a
ortholog_1577 gene-HOLleu_13971 Em0011g823a
ortholog_1578 gene-HOLleu_13980 Em0011g62a
ortholog_1579 gene-HOLleu_13982 Em0009g790a
ortholog_1580 gene-HOLleu_13991 Em0011g17a
ortholog_1581 gene-HOLleu_13993 Em0701g3a
ortholog_1582 gene-HOLleu_14007 Em0011g1194a
ortholog_1583 gene-HOLleu_14015 Em0011g243a
ortholog_1584 gene-HOLleu_14019 Em0011g157a
ortholog_1585 gene-HOLleu_14041 Em0011g83a
ortholog_1586 gene-HOLleu_14048 Em0011g789a
ortholog_1587 gene-HOLleu_14050 Em0011g634a
ortholog_1588 gene-HOLleu_14064 Em0021g994a
ortholog_1589 gene-HOLleu_14065 Em0011g128a
ortholog_1590 gene-HOLleu_14095 Em0196g3a
ortholog_1591 gene-HOLleu_14096 Em0011g643a
ortholog_1592 gene-HOLleu_14098 Em0011g51a
ortholog_1593 gene-HOLleu_14106 Em0011g1161a
ortholog_1594 gene-HOLleu_14131 Em0020g626a
ortholog_1595 gene-HOLleu_14132 Em0010g844a
ortholog_1596 gene-HOLleu_14135 Em0011g225a
ortholog_1597 gene-HOLleu_14151 Em0006g1527a
ortholog_1598 gene-HOLleu_14162 Em0011g976a
ortholog_1599 gene-HOLleu_14163 Em0011g827a
ortholog_1600 gene-HOLleu_14173 Em0056g13a
ortholog_1601 gene-HOLleu_14176 Em0011g1165a
ortholog_1602 gene-HOLleu_14187 Em0011g774a
ortholog_1603 gene-HOLleu_14190 Em0012g1077a
ortholog_1604 gene-HOLleu_14204 Em0004g1068a
ortholog_1605 gene-HOLleu_14221 Em0010g44a
ortholog_1606 gene-HOLleu_14242 Em0011g20a
ortholog_1607 gene-HOLleu_14252 Em0011g985a
ortholog_1608 gene-HOLleu_14254 Em0019g48a
ortholog_1609 gene-HOLleu_14255 Em0011g242a
ortholog_1610 gene-HOLleu_14256 Em0011g580a
ortholog_1611 gene-HOLleu_14257 Em0011g52a
ortholog_1612 gene-HOLleu_14260 Em0005g1483a
ortholog_1613 gene-HOLleu_14289 Em0011g1024a
ortholog_1614 gene-HOLleu_14304 Em0158g3a
ortholog_1615 gene-HOLleu_14305 Em0011g360a
ortholog_1616 gene-HOLleu_14318 Em0019g98a
ortholog_1617 gene-HOLleu_14319 Em0001g2377a
ortholog_1618 gene-HOLleu_14320 Em0008g1260a
ortholog_1619 gene-HOLleu_14332 Em0010g781a
ortholog_1620 gene-HOLleu_14339 Em0020g973a
ortholog_1621 gene-HOLleu_14341 Em0011g1025a
ortholog_1622 gene-HOLleu_14360 Em0011g1183a
ortholog_1623 gene-HOLleu_14375 Em0128g9a
ortholog_1624 gene-HOLleu_14379 Em0011g133a
ortholog_1625 gene-HOLleu_14386 Em0008g681a
ortholog_1626 gene-HOLleu_14387 Em0011g174a
ortholog_1627 gene-HOLleu_14392 Em0011g185a
ortholog_1628 gene-HOLleu_14395 Em0011g183a
ortholog_1629 gene-HOLleu_14396 Em0011g156a
ortholog_1630 gene-HOLleu_14397 Em0011g71a
ortholog_1631 gene-HOLleu_14398 Em0011g76a
ortholog_1632 gene-HOLleu_14436 Em0007g738a
ortholog_1633 gene-HOLleu_14440 Em0011g736a
ortholog_1634 gene-HOLleu_14450 Em0019g983a
ortholog_1635 gene-HOLleu_14451 Em0011g858a
ortholog_1636 gene-HOLleu_14456 Em0011g18a
ortholog_1637 gene-HOLleu_14489 Em0011g63a
ortholog_1638 gene-HOLleu_14491 Em0011g64a
ortholog_1639 gene-HOLleu_14492 Em0002g45a
ortholog_1640 gene-HOLleu_14499 Em0011g53a
ortholog_1641 gene-HOLleu_14502 Em0011g155a
ortholog_1642 gene-HOLleu_14506 Em0011g140a
ortholog_1643 gene-HOLleu_14514 Em0011g49a
ortholog_1644 gene-HOLleu_14515 Em0011g361a
ortholog_1645 gene-HOLleu_14547 Em0009g998a
ortholog_1646 gene-HOLleu_14549 Em0009g976a
ortholog_1647 gene-HOLleu_14573 Em0011g962a
ortholog_1648 gene-HOLleu_14575 Em0023g379a
ortholog_1649 gene-HOLleu_14580 Em0011g1159a
ortholog_1650 gene-HOLleu_14581 Em0011g1026a
ortholog_1651 gene-HOLleu_14597 Em0011g132a
ortholog_1652 gene-HOLleu_14600 Em0011g1184a
ortholog_1653 gene-HOLleu_14602 Em0011g25a
ortholog_1654 gene-HOLleu_14603 Em0011g24a
ortholog_1655 gene-HOLleu_14604 Em0008g955a
ortholog_1656 gene-HOLleu_14605 Em0011g517a
ortholog_1657 gene-HOLleu_14608 Em0011g365a
ortholog_1658 gene-HOLleu_14609 Em0011g964a
ortholog_1659 gene-HOLleu_14613 Em0011g6a
ortholog_1660 gene-HOLleu_14626 Em0011g231a
ortholog_1661 gene-HOLleu_14636 Em0011g33a
ortholog_1662 gene-HOLleu_14659 Em0011g36a
ortholog_1663 gene-HOLleu_14660 Em0011g37a
ortholog_1664 gene-HOLleu_14662 Em0021g955a
ortholog_1665 gene-HOLleu_14679 Em0023g328a
ortholog_1666 gene-HOLleu_14680 Em0011g19a
ortholog_1667 gene-HOLleu_14692 Em0562g1a
ortholog_1668 gene-HOLleu_14693 Em0017g344a
ortholog_1669 gene-HOLleu_14696 Em0023g371a
ortholog_1670 gene-HOLleu_14698 Em0011g30a
ortholog_1671 gene-HOLleu_14709 Em0011g790a
ortholog_1672 gene-HOLleu_14724 Em0002g554a
ortholog_1673 gene-HOLleu_14727 Em0011g416a
ortholog_1674 gene-HOLleu_14729 Em0002g798a
ortholog_1675 gene-HOLleu_14730 Em0011g872a
ortholog_1676 gene-HOLleu_14735 Em0012g970a
ortholog_1677 gene-HOLleu_14745 Em0011g42a
ortholog_1678 gene-HOLleu_14771 Em0018g1169a
ortholog_1679 gene-HOLleu_14790 Em0011g69a
ortholog_1680 gene-HOLleu_14788 Em0021g876a
ortholog_1681 gene-HOLleu_14791 Em0011g65a
ortholog_1682 gene-HOLleu_14792 Em0011g72a
ortholog_1683 gene-HOLleu_14793 Em0016g157a
ortholog_1684 gene-HOLleu_14794 Em0011g313a
ortholog_1685 gene-HOLleu_14795 Em0008g1214a
ortholog_1686 gene-HOLleu_14797 Em0003g1651a
ortholog_1687 gene-HOLleu_14804 Em0011g511a
ortholog_1688 gene-HOLleu_14805 Em0011g546a
ortholog_1689 gene-HOLleu_14816 Em0021g891a
ortholog_1690 gene-HOLleu_14819 Em0011g27a
ortholog_1691 gene-HOLleu_14823 Em0011g488a
ortholog_1692 gene-HOLleu_14831 Em0011g70a
ortholog_1693 gene-HOLleu_14832 Em0011g80a
ortholog_1694 gene-HOLleu_14833 Em0011g1013a
ortholog_1695 gene-HOLleu_14834 Em0011g1023a
ortholog_1696 gene-HOLleu_14836 Em0011g522a
ortholog_1697 gene-HOLleu_14852 Em0011g232a
ortholog_1698 gene-HOLleu_14853 Em0011g536a
ortholog_1699 gene-HOLleu_14855 Em0017g213a
ortholog_1700 gene-HOLleu_14860 Em0011g516a
ortholog_1701 gene-HOLleu_14877 Em0003g525a
ortholog_1702 gene-HOLleu_14878 Em0011g66a
ortholog_1703 gene-HOLleu_14891 Em0011g117a
ortholog_1704 gene-HOLleu_14892 Em0013g1103a
ortholog_1705 gene-HOLleu_14894 Em0016g368a
ortholog_1706 gene-HOLleu_14904 Em0011g173a
ortholog_1707 gene-HOLleu_14921 Em0011g135a
ortholog_1708 gene-HOLleu_14929 Em0011g195a
ortholog_1709 gene-HOLleu_14938 Em0011g88a
ortholog_1710 gene-HOLleu_14944 Em0019g193a
ortholog_1711 gene-HOLleu_14947 Em0011g673a
ortholog_1712 gene-HOLleu_14948 Em0011g793a
ortholog_1713 gene-HOLleu_14951 Em0011g158a
ortholog_1714 gene-HOLleu_14961 Em0011g804a
ortholog_1715 gene-HOLleu_14968 Em0011g359a
ortholog_1716 gene-HOLleu_14977 Em0011g293a
ortholog_1717 gene-HOLleu_14981 Em0009g619a
ortholog_1718 gene-HOLleu_14983 Em0011g215a
ortholog_1719 gene-HOLleu_15016 Em0011g1196a
ortholog_1720 gene-HOLleu_15020 Em0011g245a
ortholog_1721 gene-HOLleu_15040 Em0011g28a
ortholog_1722 gene-HOLleu_15047 Em0017g220a
ortholog_1723 gene-HOLleu_15051 Em0011g150a
ortholog_1724 gene-HOLleu_15054 Em0011g1051a
ortholog_1725 gene-HOLleu_15093 Em0011g994a
ortholog_1726 gene-HOLleu_15096 Em0011g816a
ortholog_1727 gene-HOLleu_15102 Em0015g1233a
ortholog_1728 gene-HOLleu_15112 Em0011g144a
ortholog_1729 gene-HOLleu_15125 Em0011g1187a
ortholog_1730 gene-HOLleu_15126 Em0011g119a
ortholog_1731 gene-HOLleu_15128 Em0013g251a
ortholog_1732 gene-HOLleu_15129 Em0011g277a
ortholog_1733 gene-HOLleu_15133 Em0011g12a
ortholog_1734 gene-HOLleu_15136 Em0011g960a
ortholog_1735 gene-HOLleu_15139 Em0011g977a
ortholog_1736 gene-HOLleu_15141 Em0018g613a
ortholog_1737 gene-HOLleu_15142 Em0011g82a
ortholog_1738 gene-HOLleu_15155 Em0016g953a
ortholog_1739 gene-HOLleu_15165 Em0005g1521a
ortholog_1740 gene-HOLleu_15171 Em0776g1a
ortholog_1741 gene-HOLleu_15183 Em0003g1692a
ortholog_1742 gene-HOLleu_15197 Em0106g13a
ortholog_1743 gene-HOLleu_15198 Em0023g747a
ortholog_1744 gene-HOLleu_15199 Em0024g138a
ortholog_1745 gene-HOLleu_15206 Em0010g945a
ortholog_1746 gene-HOLleu_15216 Em0011g235a
ortholog_1747 gene-HOLleu_15218 Em0011g513a
ortholog_1748 gene-HOLleu_15239 Em0011g324a
ortholog_1749 gene-HOLleu_15268 Em0013g156a
ortholog_1750 gene-HOLleu_15269 Em0011g56a
ortholog_1751 gene-HOLleu_15271 Em0015g1277a
ortholog_1752 gene-HOLleu_15277 Em0010g847a
ortholog_1753 gene-HOLleu_15280 Em0196g8a
ortholog_1754 gene-HOLleu_15282 Em0011g514a
ortholog_1755 gene-HOLleu_15286 Em0002g630a
ortholog_1756 gene-HOLleu_15287 Em0011g851a
ortholog_1757 gene-HOLleu_15313 Em0011g10a
ortholog_1758 gene-HOLleu_15320 Em0011g149a
ortholog_1759 gene-HOLleu_15322 Em0005g73a
ortholog_1760 gene-HOLleu_15325 Em0002g268a
ortholog_1761 gene-HOLleu_15334 Em0011g147a
ortholog_1762 gene-HOLleu_15371 Em0018g1057a
ortholog_1763 gene-HOLleu_15376 Em0011g35a
ortholog_1764 gene-HOLleu_15381 Em0003g314a
ortholog_1765 gene-HOLleu_15383 Em0011g16a
ortholog_1766 gene-HOLleu_15393 Em0011g1190a
ortholog_1767 gene-HOLleu_15407 Em0011g545a
ortholog_1768 gene-HOLleu_15408 Em0030g23a
ortholog_1769 gene-HOLleu_15466 Em1364g1a
ortholog_1770 gene-HOLleu_15471 Em0011g499a
ortholog_1771 gene-HOLleu_15483 Em0011g521a
ortholog_1772 gene-HOLleu_15498 Em0012g926a
