ortholog_1 BL06853 Em0023g52a
ortholog_692 BL01718 Em0019g812a
ortholog_693 BL01724 Em0019g816a
ortholog_694 BL01725 Em0019g654a
ortholog_695 BL01726 Em0019g576a
ortholog_696 BL01734 Em0006g895a
ortholog_697 BL01738 Em0019g627a
ortholog_698 BL01739 Em0019g579a
ortholog_699 BL01740 Em0019g628a
ortholog_700 BL01741 Em0019g879a
ortholog_701 BL01743 Em0019g809a
ortholog_702 BL01745 Em0019g735a
ortholog_703 BL01747 Em0019g583a
ortholog_704 BL01748 Em0019g582a
ortholog_705 BL01750 Em0019g866a
ortholog_706 BL01753 Em0019g839a
ortholog_707 BL01761 Em0665g4a
ortholog_708 BL01766 Em0014g722a
ortholog_709 BL01768 Em0246g4a
ortholog_710 BL01771 Em0016g221a
ortholog_711 BL01773 Em0019g301a
ortholog_712 BL01774 Em0019g155a
ortholog_713 BL01776 Em0019g293a
ortholog_714 BL01779 Em0019g290a
ortholog_715 BL01780 Em0019g292a
ortholog_716 BL01781 Em0019g297a
ortholog_717 BL01782 Em0019g304a
ortholog_718 BL01789 Em0011g829a
ortholog_719 BL01790 Em0019g306a
ortholog_720 BL01796 Em0019g599a
ortholog_721 BL01798 Em0019g592a
ortholog_722 BL01799 Em0010g835a
ortholog_723 BL01805 Em0011g112a
ortholog_724 BL01806 Em1064g1a
ortholog_725 BL01810 Em0019g878a
ortholog_726 BL01817 Em0019g813a
ortholog_727 BL01822 Em0018g360a
ortholog_728 BL01824 Em0019g875a
ortholog_729 BL01826 Em0001g2265a
ortholog_730 BL01829 Em0019g823a
ortholog_731 BL01830 Em0019g822a
ortholog_732 BL01834 Em0019g669a
ortholog_733 BL01840 Em0019g757a
ortholog_734 BL01848 Em0019g656a
ortholog_735 BL01849 Em0006g500a
ortholog_736 BL01851 Em0019g684a
ortholog_737 BL01852 Em0019g685a
ortholog_738 BL01854 Em0022g939a
ortholog_739 BL01858 Em0019g302a
ortholog_740 BL01859 Em0144g5a
ortholog_741 BL01863 Em0019g557a
ortholog_742 BL01864 Em0019g559a
ortholog_743 BL01865 Em0023g26a
ortholog_744 BL01866 Em0020g173a
ortholog_745 BL01875 Em0023g509a
ortholog_746 BL01876 Em0008g45a
ortholog_747 BL01878 Em0004g944a
ortholog_748 BL01887 Em0023g943a
ortholog_749 BL01889 Em0019g222a
ortholog_750 BL01890 Em0010g29a
ortholog_751 BL01896 Em0013g549a
ortholog_752 BL01899 Em0014g669a
ortholog_753 BL01900 Em0005g1626a
ortholog_754 BL01901 Em0028g29a
ortholog_755 BL01909 Em0022g746a
ortholog_756 BL01911 Em0017g960a
ortholog_757 BL01912 Em0362g3a
ortholog_758 BL01913 Em0014g801a
ortholog_759 BL01916 Em0028g1a
ortholog_760 BL01921 Em0019g120a
ortholog_761 BL01927 Em0016g249a
ortholog_762 BL01928 Em0006g590a
ortholog_763 BL01935 Em0551g3a
ortholog_764 BL01937 Em0019g713a
ortholog_765 BL01938 Em0023g756a
ortholog_766 BL01940 Em0006g1245a
ortholog_767 BL01943 Em0006g1007a
ortholog_768 BL01944 Em0005g85a
ortholog_769 BL01945 Em0016g281a
ortholog_770 BL01947 Em0019g688a
ortholog_771 BL01953 Em0006g1244a
ortholog_772 BL01957 Em0023g153a
ortholog_773 BL01958 Em0001g3381a
ortholog_774 BL01959 Em0005g660a
ortholog_775 BL01960 Em0011g108a
ortholog_776 BL01961 Em0006g985a
ortholog_777 BL01962 Em0005g145a
ortholog_778 BL01964 Em0016g621a
ortholog_779 BL01967 Em0001g154a
ortholog_780 BL01968 Em0019g1220a
ortholog_781 BL01976 Em0017g82a
ortholog_782 BL01981 Em0019g332a
ortholog_783 BL01992 Em0019g649a
ortholog_784 BL01995 Em0019g836a
ortholog_785 BL02002 Em0001g503a
ortholog_786 BL02004 Em0016g263a
ortholog_787 BL02005 Em0012g11a
ortholog_788 BL02012 Em0012g725a
ortholog_789 BL02017 Em0009g53a
ortholog_790 BL02018 Em0004g683a
ortholog_791 BL02023 Em0022g338a
ortholog_792 BL02024 Em0023g233a
ortholog_793 BL02025 Em0012g975a
ortholog_794 BL02028 Em0012g1034a
ortholog_795 BL02031 Em0012g1035a
ortholog_796 BL02032 Em0021g879a
ortholog_797 BL02033 Em0012g708a
ortholog_798 BL02036 Em0574g2a
ortholog_799 BL02038 Em0002g670a
ortholog_800 BL02064 Em0012g856a
ortholog_801 BL02067 Em0017g177a
ortholog_802 BL02068 Em0006g1429a
ortholog_803 BL02071 Em0012g1079a
ortholog_804 BL02075 Em0005g1171a
ortholog_805 BL02101 Em0012g520a
ortholog_806 BL02103 Em0012g309a
ortholog_807 BL02107 Em0012g993a
ortholog_808 BL02112 Em0005g127a
ortholog_809 BL02123 Em0012g160a
ortholog_810 BL02128 Em0026g58a
ortholog_811 BL02133 Em0019g342a
ortholog_812 BL02140 Em0017g487a
ortholog_813 BL02157 Em0029g41a
ortholog_814 BL02160 Em0012g1052a
ortholog_815 BL02161 Em0009g1293a
ortholog_816 BL02169 Em0012g914a
ortholog_817 BL02178 Em0012g1087a
ortholog_818 BL02197 Em0012g1075a
ortholog_819 BL02199 Em0012g482a
ortholog_820 BL02206 Em0020g984a
ortholog_821 BL02208 Em0018g128a
ortholog_822 BL02210 Em0425g2a
ortholog_823 BL02220 Em0015g1203a
ortholog_824 BL02221 Em0574g1a
ortholog_825 BL02242 Em0010g195a
ortholog_826 BL02266 Em0021g772a
ortholog_827 BL02277 Em0008g669a
ortholog_828 BL02281 Em0012g485a
ortholog_829 BL02282 Em0018g287a
ortholog_830 BL02283 Em0001g1715a
ortholog_831 BL02308 Em0012g770a
ortholog_832 BL02319 Em0012g973a
ortholog_833 BL02320 Em0021g733a
ortholog_834 BL02323 Em0007g284a
ortholog_835 BL02324 Em0019g276a
ortholog_836 BL02385 Em0020g826a
ortholog_837 BL02388 Em0020g1099a
ortholog_838 BL02392 Em0018g298a
ortholog_839 BL02400 Em0013g893a
ortholog_840 BL02401 Em0020g86a
ortholog_841 BL02404 Em0016g547a
ortholog_842 BL02407 Em0013g313a
ortholog_843 BL02408 Em0019g871a
ortholog_844 BL02410 Em0020g1078a
ortholog_845 BL02411 Em0006g1560a
ortholog_846 BL02419 Em0020g1023a
ortholog_847 BL02424 Em0020g603a
ortholog_848 BL02426 Em0015g222a
ortholog_849 BL02427 Em0006g1367a
ortholog_850 BL02428 Em0001g581a
ortholog_851 BL02429 Em0005g1627a
ortholog_852 BL02439 Em0020g871a
ortholog_853 BL02441 Em0020g1079a
ortholog_854 BL02443 Em0020g1088a
ortholog_855 BL02449 Em0001g1304a
ortholog_856 BL02452 Em0003g440a
ortholog_857 BL02467 Em0015g178a
ortholog_858 BL02481 Em0018g215a
ortholog_859 BL02482 Em0007g1020a
ortholog_860 BL02492 Em0013g796a
ortholog_861 BL02495 Em0018g93a
ortholog_862 BL02504 Em0018g362a
ortholog_863 BL02506 Em0018g469a
ortholog_864 BL02509 Em0018g496a
ortholog_865 BL02523 Em0034g11a
ortholog_866 BL02524 Em0018g1193a
ortholog_867 BL02527 Em0018g364a
ortholog_868 BL02529 Em0018g151a
ortholog_869 BL02530 Em0018g334a
ortholog_870 BL02531 Em0018g267a
ortholog_871 BL02539 Em0022g423a
ortholog_872 BL02540 Em0022g422a
ortholog_873 BL02546 Em0016g600a
ortholog_874 BL02547 Em0022g232a
ortholog_875 BL02548 Em0022g551a
ortholog_876 BL02550 Em0015g1289a
ortholog_877 BL02555 Em0019g609a
ortholog_878 BL02558 Em0006g647a
ortholog_879 BL02563 Em0022g366a
ortholog_880 BL02564 Em0022g367a
ortholog_881 BL02567 g33014.t1
ortholog_882 BL02571 Em0022g157a
ortholog_883 BL02577 Em0022g370a
ortholog_884 BL02578 Em0008g824a
ortholog_885 BL02580 Em0022g742a
ortholog_886 BL02590 Em0022g414a
ortholog_887 BL02591 Em0022g402a
ortholog_888 BL02592 Em0017g88a
ortholog_889 BL02606 Em0015g62a
ortholog_890 BL02618 Em0022g88a
ortholog_891 BL02624 Em0009g97a
ortholog_892 BL02631 Em0010g731a
ortholog_893 BL02632 Em1329g1a
ortholog_894 BL02638 Em0003g1880a
ortholog_895 BL02653 Em0011g963a
ortholog_896 BL02654 Em0022g407a
ortholog_897 BL02660 Em0005g894a
ortholog_898 BL02663 Em0022g189a
ortholog_899 BL02664 Em0022g406a
ortholog_900 BL02665 Em0022g419a
ortholog_901 BL02666 Em0011g1027a
ortholog_902 BL02670 Em0022g79a
ortholog_903 BL02675 Em0022g693a
ortholog_904 BL02678 Em0022g293a
ortholog_905 BL02679 Em0022g285a
ortholog_906 BL02681 Em0022g465a
ortholog_907 BL02682 Em0022g441a
ortholog_908 BL02683 Em0022g940a
ortholog_909 BL02686 Em0022g62a
ortholog_910 BL02701 Em0004g1079a
ortholog_911 BL02704 Em0022g648a
ortholog_912 BL02705 Em0020g489a
ortholog_913 BL02707 Em0022g297a
ortholog_914 BL02710 Em0022g219a
ortholog_915 BL02712 Em0020g119a
ortholog_916 BL02724 Em0020g29a
ortholog_917 BL02736 Em0016g1090a
ortholog_918 BL02737 Em0015g250a
ortholog_919 BL02739 Em0022g647a
ortholog_920 BL02744 Em0022g350a
ortholog_921 BL02745 Em0018g428a
ortholog_922 BL02748 Em0006g908a
ortholog_923 BL02755 Em0015g488a
ortholog_924 BL02757 Em0022g278a
ortholog_925 BL02773 Em0019g1060a
ortholog_926 BL02774 Em0015g690a
ortholog_927 BL02788 Em0022g234a
ortholog_928 BL02792 Em0018g190a
ortholog_929 BL02794 Em0022g264a
ortholog_930 BL02795 Em0022g82a
ortholog_931 BL02801 Em0022g176a
ortholog_932 BL02802 Em0001g492a
ortholog_933 BL02814 Em0022g194a
ortholog_934 BL02815 Em0022g346a
ortholog_935 BL02816 Em0021g849a
ortholog_936 BL02819 Em0005g1501a
ortholog_937 BL02829 Em0022g605a
ortholog_938 BL02831 Em0016g911a
ortholog_939 BL02832 Em0022g938a
ortholog_940 BL02836 Em0020g656a
ortholog_941 BL02837 Em0015g814a
ortholog_942 BL02840 Em0023g566a
ortholog_943 BL02842 Em0019g1169a
ortholog_944 BL02844 Em0022g180a
ortholog_945 BL02853 Em0022g932a
ortholog_946 BL02854 Em0034g4a
ortholog_947 BL02855 Em0022g717a
ortholog_948 BL02856 Em1145g1a
ortholog_949 BL02859 Em0022g327a
ortholog_950 BL02863 Em0022g294a
ortholog_951 BL02870 Em0022g359a
ortholog_952 BL02873 Em0005g1023a
ortholog_953 BL02874 Em0013g734a
ortholog_954 BL02876 Em0003g1720a
ortholog_955 BL02878 Em0022g347a
ortholog_956 BL02879 Em0022g764a
ortholog_957 BL02883 Em0022g438a
ortholog_958 BL02886 Em0011g173a
ortholog_959 BL02887 Em0002g246a
ortholog_960 BL02890 Em0022g708a
ortholog_961 BL02891 Em0001g3187a
ortholog_962 BL02900 Em0022g307a
ortholog_963 BL02901 Em0001g723a
ortholog_964 BL02902 Em0022g348a
ortholog_965 BL02903 Em0012g620a
ortholog_966 BL02905 Em0002g1143a
ortholog_967 BL02907 Em0021g316a
ortholog_968 BL02912 Em0001g1073a
ortholog_969 BL02919 Em0002g501a
ortholog_970 BL02920 Em0016g399a
ortholog_971 BL02926 Em0008g789a
ortholog_972 BL02930 Em0021g290a
ortholog_973 BL02938 Em0022g493a
ortholog_974 BL02939 Em0022g699a
ortholog_975 BL02945 Em0022g318a
ortholog_976 BL02946 Em0001g2662a
ortholog_977 BL02954 Em0022g167a
ortholog_978 BL02955 Em0022g213a
ortholog_979 BL02958 Em0022g695a
ortholog_980 BL02961 Em0022g225a
ortholog_981 BL02962 Em0006g1151a
ortholog_982 BL02963 Em0022g517a
ortholog_983 BL02964 Em0022g257a
ortholog_984 BL02965 Em0022g258a
ortholog_985 BL02966 Em0007g214a
ortholog_986 BL02967 Em0022g217a
ortholog_987 BL02970 Em0022g272a
ortholog_988 BL02971 Em0460g6a
ortholog_989 BL02974 Em0013g831a
ortholog_990 BL02978 Em0015g638a
ortholog_991 BL02980 Em0022g703a
ortholog_992 BL02982 Em0003g655a
ortholog_993 BL02983 Em0014g740a
ortholog_994 BL02987 Em1006g1a
ortholog_995 BL02988 Em0020g1001a
ortholog_996 BL02995 Em0022g158a
ortholog_997 BL02996 Em0003g1673a
ortholog_998 BL02997 Em0004g68a
ortholog_999 BL02998 Em0022g512a
ortholog_1000 BL02999 Em0022g510a
ortholog_1001 BL03001 Em0001g3266a
ortholog_1002 BL03007 Em0447g3a
ortholog_1003 BL03009 Em0022g254a
ortholog_1004 BL03010 Em0020g63a
ortholog_1005 BL03011 Em0022g440a
ortholog_1006 BL03013 Em0026g49a
ortholog_1007 BL03014 Em0022g152a
ortholog_1008 BL03023 Em0005g1657a
ortholog_1009 BL03032 Em0001g2076a
ortholog_1010 BL03034 Em0022g246a
ortholog_1011 BL03036 Em0023g127a
ortholog_1012 BL03041 Em0011g419a
ortholog_1013 BL03042 Em0022g466a
ortholog_1014 BL03043 Em0023g764a
ortholog_1015 BL03044 Em0023g225a
ortholog_1016 BL03052 Em0022g131a
ortholog_1017 BL03055 Em0015g1024a
ortholog_1018 BL03062 Em0018g372a
ortholog_1019 BL03071 Em0022g691a
ortholog_1020 BL03072 Em0022g322a
ortholog_1021 BL03088 Em0011g987a
ortholog_1022 BL03094 Em0019g740a
ortholog_1023 BL03100 Em0022g418a
ortholog_1024 BL03102 Em0023g806a
ortholog_1025 BL03108 Em0022g409a
ortholog_1026 BL03109 Em0022g192a
ortholog_1027 BL03110 Em0022g191a
ortholog_1028 BL03113 Em0018g158a
ortholog_1029 BL03123 Em0023g715a
ortholog_1030 BL03128 Em0004g304a
ortholog_1031 BL03132 Em0019g538a
ortholog_1032 BL03144 Em0020g5a
ortholog_1033 BL03151 Em0016g148a
ortholog_1034 BL03155 Em0022g203a
ortholog_1035 BL03156 Em0016g774a
ortholog_1036 BL03160 Em0022g197a
ortholog_1037 BL03162 Em0015g57a
ortholog_1038 BL03170 Em0022g182a
ortholog_1039 BL03182 Em0022g433a
ortholog_1040 BL03183 Em0015g694a
ortholog_1041 BL03184 Em0022g520a
ortholog_1042 BL03186 Em0022g820a
ortholog_1043 BL03189 Em0022g557a
ortholog_1044 BL03192 Em0003g1249a
ortholog_1045 BL03193 Em0022g127a
ortholog_1046 BL03195 Em0011g132a
ortholog_1047 BL03198 Em0022g511a
ortholog_1048 BL03199 Em0022g60a
ortholog_1049 BL03200 Em0022g216a
ortholog_1050 BL03201 Em0022g215a
ortholog_1051 BL03221 Em0012g471a
ortholog_1052 BL03236 Em0009g98a
ortholog_1053 BL03247 Em0001g1089a
ortholog_1054 BL03248 Em0007g412a
ortholog_1055 BL03249 Em0018g52a
ortholog_1056 BL03254 Em0009g1224a
ortholog_1057 BL03255 Em0009g1313a
ortholog_1058 BL03260 Em0019g243a
ortholog_1059 BL03261 Em0003g1424a
ortholog_1060 BL03263 Em0009g1113a
ortholog_1061 BL03266 Em0009g480a
ortholog_1062 BL03270 Em0023g73a
ortholog_1063 BL03273 Em0019g117a
ortholog_1064 BL03278 Em0009g967a
ortholog_1065 BL03282 Em0014g30a
ortholog_1066 BL03287 Em0015g39a
ortholog_1067 BL03293 Em0023g339a
ortholog_1068 BL03298 Em0017g86a
ortholog_1069 BL03310 Em0179g10a
ortholog_1070 BL03313 Em0002g1003a
ortholog_1071 BL03316 Em0005g1128a
ortholog_1072 BL03339 Em0010g212a
ortholog_1073 BL03353 Em0006g1043a
ortholog_1074 BL03355 Em0007g17a
ortholog_1075 BL03356 Em0007g369a
ortholog_1076 BL03362 Em0010g71a
ortholog_1077 BL03369 Em0015g1004a
ortholog_1078 BL03376 Em0005g1613a
ortholog_1079 BL03377 Em0007g577a
ortholog_1080 BL03379 Em0020g284a
ortholog_1081 BL03383 Em0007g683a
ortholog_1082 BL03387 Em0024g320a
ortholog_1083 BL03389 Em0007g215a
ortholog_1084 BL03742 Em0005g1185a
ortholog_1085 BL03744 Em0005g947a
ortholog_1086 BL03748 Em0016g1054a
ortholog_1087 BL03751 Em0330g3a
ortholog_1088 BL03757 Em0001g3389a
ortholog_1089 BL03761 Em0004g158a
ortholog_1090 BL03775 Em0020g560a
ortholog_1091 BL03777 Em0001g471a
ortholog_1092 BL03778 Em0020g694a
ortholog_1093 BL03779 Em0015g1083a
ortholog_1094 BL03799 Em0005g1489a
ortholog_1095 BL03805 Em0005g1323a
ortholog_1096 BL03810 Em0005g1146a
ortholog_1097 BL03813 Em0003g718a
ortholog_1098 BL03821 Em0005g1557a
ortholog_1099 BL03822 Em0002g107a
ortholog_1100 BL03823 Em0005g1021a
ortholog_1101 BL03826 Em0006g981a
ortholog_1102 BL03829 Em0005g1280a
ortholog_1103 BL03834 Em0005g1670a
ortholog_1104 BL03836 Em0023g124a
ortholog_1105 BL03837 Em0005g1669a
ortholog_1106 BL03853 Em0005g1165a
ortholog_1107 BL03854 Em0005g1324a
ortholog_1108 BL03855 Em0005g1036a
ortholog_1109 BL03858 Em0005g1484a
ortholog_1110 BL03403 Em0012g127a
ortholog_1111 BL03405 Em0008g1231a
ortholog_1112 BL03410 Em0023g113a
ortholog_1113 BL03413 Em0022g284a
ortholog_1114 BL03418 Em0023g63a
ortholog_1115 BL03419 Em0023g62a
ortholog_1116 BL03445 Em0001g848a
ortholog_1117 BL03448 Em0714g2a
ortholog_1118 BL03452 Em0002g753a
ortholog_1119 BL03454 Em0009g1063a
ortholog_1120 BL03458 Em0015g1157a
ortholog_1121 BL03459 Em0013g289a
ortholog_1122 BL03462 Em0021g112a
ortholog_1123 BL03478 Em0015g1272a
ortholog_1124 BL03479 Em0023g83a
ortholog_1125 BL03484 Em0016g896a
ortholog_1126 BL03499 Em0009g1028a
ortholog_1127 BL03500 Em0009g1126a
ortholog_1128 BL03513 Em0009g1213a
ortholog_1129 BL03527 Em0009g996a
ortholog_1130 BL03528 Em0009g962a
ortholog_1131 BL03533 Em0012g41a
ortholog_1132 BL03539 Em0001g2899a
ortholog_1133 BL03564 Em0012g846a
ortholog_1134 BL03565 Em0011g797a
ortholog_1135 BL03575 Em0016g119a
ortholog_1136 BL03580 Em0018g790a
ortholog_1137 BL03583 Em0018g1017a
ortholog_1138 BL03585 Em0018g37a
ortholog_1139 BL03591 Em0018g349a
ortholog_1140 BL03599 Em0018g767a
ortholog_1141 BL03600 Em0018g345a
ortholog_1142 BL03602 Em0018g303a
ortholog_1143 BL03603 Em0018g304a
ortholog_1144 BL03605 Em0011g862a
ortholog_1145 BL03609 Em0020g1108a
ortholog_1146 BL03619 Em0018g494a
ortholog_1147 BL03620 Em0013g952a
ortholog_1148 BL03621 Em0018g291a
ortholog_1149 BL03623 Em0018g497a
ortholog_1150 BL03633 Em0005g1215a
ortholog_1151 BL03651 Em0011g6a
ortholog_1152 BL03653 Em0010g721a
ortholog_1153 BL03656 Em0016g953a
ortholog_1154 BL03660 Em0011g1196a
ortholog_1155 BL03669 Em0011g62a
ortholog_1156 BL03672 Em0002g1158a
ortholog_1157 BL03678 Em0002g630a
ortholog_1158 BL03680 Em0011g30a
ortholog_1159 BL03695 Em0021g994a
ortholog_1160 BL03697 Em0011g24a
ortholog_1161 BL03698 Em0011g852a
ortholog_1162 BL03705 Em0011g25a
ortholog_1163 BL03709 Em0011g658a
ortholog_1164 BL03710 Em0004g1068a
ortholog_1165 BL03711 Em0004g1625a
ortholog_1166 BL03717 Em0011g242a
ortholog_1167 BL03718 Em1386g1a
ortholog_1168 BL03737 Em0010g907a
ortholog_1169 BL03738 Em0023g379a
ortholog_1170 BL04137 Em0002g1014a
ortholog_1171 BL03895 Em0015g308a
ortholog_1172 BL03898 Em0015g325a
ortholog_1173 BL03905 Em0015g1033a
ortholog_1174 BL03915 Em0015g153a
ortholog_1175 BL03916 Em0015g173a
ortholog_1176 BL03920 Em0015g154a
ortholog_1177 BL03925 Em0012g514a
ortholog_1178 BL03930 Em0001g1828a
ortholog_1179 BL03939 Em0009g710a
ortholog_1180 BL03941 Em0015g563a
ortholog_1181 BL03943 Em0597g7a
ortholog_1182 BL03950 Em0015g1053a
ortholog_1183 BL03952 Em0015g304a
ortholog_1184 BL03953 Em0015g731a
ortholog_1185 BL03954 Em0015g903a
ortholog_1186 BL03955 Em0015g805a
ortholog_1187 BL03956 Em0015g481a
ortholog_1188 BL03981 Em0023g122a
ortholog_1189 BL03982 Em0019g503a
ortholog_1190 BL03983 Em0015g1034a
ortholog_1191 BL03991 Em0015g97a
ortholog_1192 BL03992 Em0015g33a
ortholog_1193 BL03994 Em0016g33a
ortholog_1194 BL03998 Em0015g252a
ortholog_1195 BL04003 Em0015g984a
ortholog_1196 BL04007 Em0015g768a
ortholog_1197 BL04012 Em0015g83a
ortholog_1198 BL04014 Em0014g581a
ortholog_1199 BL04016 Em0015g1229a
ortholog_1200 BL04018 Em0015g734a
ortholog_1201 BL04020 Em0002g1159a
ortholog_1202 BL04024 Em0015g37a
ortholog_1203 BL04025 Em0015g461a
ortholog_1204 BL04027 Em0015g778a
ortholog_1205 BL04028 Em0015g462a
ortholog_1206 BL04039 Em0018g120a
ortholog_1207 BL04045 Em0015g1264a
ortholog_1208 BL04046 Em0015g1262a
ortholog_1209 BL04050 Em0015g1260a
ortholog_1210 BL04065 Em0015g908a
ortholog_1211 BL04070 Em0015g31a
ortholog_1212 BL04074 Em0015g131a
ortholog_1213 BL04075 Em0015g303a
ortholog_1214 BL04081 Em0016g1122a
ortholog_1215 BL04084 Em0015g905a
ortholog_1216 BL04085 Em0015g886a
ortholog_1217 BL04089 Em0015g1085a
ortholog_1218 BL04090 Em0015g880a
ortholog_1219 BL04099 Em0012g111a
ortholog_1220 BL04104 Em0015g67a
ortholog_1221 BL04106 Em0023g313a
ortholog_1222 BL04109 Em0015g715a
ortholog_1223 BL04114 Em0015g79a
ortholog_1224 BL04115 Em0006g1081a
ortholog_1225 BL04117 Em0015g1158a
ortholog_1226 BL04119 Em0014g22a
ortholog_1227 BL04123 Em0012g673a
ortholog_1228 BL04124 Em0011g508a
ortholog_1229 BL04128 Em0015g1115a
ortholog_1230 BL04129 Em0015g169a
ortholog_1231 BL04130 Em0015g631a
ortholog_1232 BL04136 Em0015g111a
ortholog_1233 BL04146 Em0007g619a
ortholog_1234 BL04154 Em0007g250a
ortholog_1235 BL04155 Em0006g1139a
ortholog_1236 BL04167 Em0007g734a
ortholog_1237 BL04168 Em0003g313a
ortholog_1238 BL04171 Em0007g222a
ortholog_1239 BL04178 Em0004g1676a
ortholog_1240 BL04197 Em0017g578a
ortholog_1241 BL04455 Em0008g1106a
ortholog_1242 BL04456 Em0008g908a
ortholog_1243 BL04463 Em0008g1009a
ortholog_1244 BL04464 Em0011g1188a
ortholog_1245 BL04465 Em0008g576a
ortholog_1246 BL04470 Em0008g1182a
ortholog_1247 BL04471 Em0008g1059a
ortholog_1248 BL04214 Em0004g1595a
ortholog_1249 BL04225 Em0004g1583a
ortholog_1250 BL04232 Em0001g1398a
ortholog_1251 BL04233 Em0019g1006a
ortholog_1252 BL04234 Em0004g10a
ortholog_1253 BL04235 Em0017g17a
ortholog_1254 BL04237 Em0004g240a
ortholog_1255 BL04248 Em0007g958a
ortholog_1256 BL04251 Em0004g1003a
ortholog_1257 BL04263 Em0005g1521a
ortholog_1258 BL04273 Em0001g855a
ortholog_1259 BL04275 Em0004g994a
ortholog_1260 BL04277 Em0003g1481a
ortholog_1261 BL04278 Em0004g1678a
ortholog_1262 BL04279 Em0004g1002a
ortholog_1263 BL04282 Em0001g1102a
ortholog_1264 BL04283 Em0004g57a
ortholog_1265 BL04289 Em0004g65a
ortholog_1266 BL04300 Em0001g2994a
ortholog_1267 BL04304 Em0655g2a
ortholog_1268 BL04307 Em0018g789a
ortholog_1269 BL04308 Em0018g426a
ortholog_1270 BL04340 Em0004g136a
ortholog_1271 BL04341 Em0009g34a
ortholog_1272 BL04343 Em0004g1459a
ortholog_1273 BL04356 Em0011g1009a
ortholog_1274 BL04366 Em0004g205a
ortholog_1275 BL04367 Em0004g206a
ortholog_1276 BL04368 Em0004g209a
ortholog_1277 BL04369 Em0538g1a
ortholog_1278 BL04371 Em0008g1236a
ortholog_1279 BL04374 Em0404g4a
ortholog_1280 BL04384 Em0018g965a
ortholog_1281 BL04385 Em0004g204a
ortholog_1282 BL04386 Em0004g1736a
ortholog_1283 BL04390 Em0023g64a
ortholog_1284 BL04391 Em0005g898a
ortholog_1285 BL04393 Em0004g130a
ortholog_1286 BL04394 Em0019g605a
ortholog_1287 BL04399 Em0004g1559a
ortholog_1288 BL04404 Em0010g651a
ortholog_1289 BL04405 Em0004g22a
ortholog_1290 BL04412 Em0003g751a
ortholog_1291 BL04413 Em0016g1092a
ortholog_1292 BL04420 Em0015g474a
ortholog_1293 BL04430 Em0010g857a
ortholog_1294 BL04431 Em0002g184a
ortholog_1295 BL04439 Em0008g244a
ortholog_1296 BL04452 Em0013g280a
ortholog_1297 BL04917 Em0009g39a
ortholog_1298 BL04512 Em0144g9a
ortholog_1299 BL04514 Em0003g518a
ortholog_1300 BL04520 Em0022g250a
ortholog_1301 BL04522 Em0003g347a
ortholog_1302 BL04524 Em0008g1027a
ortholog_1303 BL04527 Em0003g328a
ortholog_1304 BL04529 Em0003g326a
ortholog_1305 BL04530 Em0003g188a
ortholog_1306 BL04531 Em0003g320a
ortholog_1307 BL04533 Em0003g327a
ortholog_1308 BL04562 Em0005g1014a
ortholog_1309 BL04564 Em0012g1051a
ortholog_1310 BL04572 Em0020g841a
ortholog_1311 BL04573 Em0012g1090a
ortholog_1312 BL04587 Em0013g1106a
ortholog_1313 BL04594 Em0015g298a
ortholog_1314 BL04595 Em0012g15a
ortholog_1315 BL04631 Em0012g854a
ortholog_1316 BL04632 Em0739g3a
ortholog_1317 BL04647 Em0006g916a
ortholog_1318 BL04669 Em0022g538a
ortholog_1319 BL04675 Em0008g1026a
ortholog_1320 BL04695 Em0024g62a
ortholog_1321 BL04708 Em0008g147a
ortholog_1322 BL04711 Em0008g1178a
ortholog_1323 BL04712 Em0657g4a
ortholog_1324 BL04713 Em0008g1243a
ortholog_1325 BL04715 Em0005g179a
ortholog_1326 BL04716 Em0008g1072a
ortholog_1327 BL04719 Em0021g418a
ortholog_1328 BL04721 Em0008g1194a
ortholog_1329 BL04725 Em0017g566a
ortholog_1330 BL04727 Em0015g771a
ortholog_1331 BL04736 Em0016g985a
ortholog_1332 BL04744 Em0008g1226a
ortholog_1333 BL04745 Em0008g1116a
ortholog_1334 BL04748 Em0018g71a
ortholog_1335 BL04752 Em0020g62a
ortholog_1336 BL04755 Em0008g944a
ortholog_1337 BL04760 Em0005g72a
ortholog_1338 BL04761 Em0008g277a
ortholog_1339 BL04763 Em0008g279a
ortholog_1340 BL04772 Em0008g1028a
ortholog_1341 BL04776 Em0008g1017a
ortholog_1342 BL04777 Em0008g974a
ortholog_1343 BL04798 Em0001g434a
ortholog_1344 BL04804 Em0131g7a
ortholog_1345 BL04812 Em0008g671a
ortholog_1346 BL04828 Em0015g172a
ortholog_1347 BL04831 Em0008g1227a
ortholog_1348 BL04836 Em0018g1015a
ortholog_1349 BL04838 Em0016g696a
ortholog_1350 BL04849 Em0009g436a
ortholog_1351 BL04864 Em0016g368a
ortholog_1352 BL04866 Em0020g1016a
ortholog_1353 BL04872 Em0008g506a
ortholog_1354 BL04873 Em0016g536a
ortholog_1355 BL04879 Em0008g1183a
ortholog_1356 BL04880 Em0008g1214a
ortholog_1357 BL04881 Em0023g687a
ortholog_1358 BL04890 Em0008g413a
ortholog_1359 BL04891 Em0019g1175a
ortholog_1360 BL04893 Em0008g364a
ortholog_1361 BL04894 Em0020g437a
ortholog_1362 BL05651 Em0013g384a
ortholog_1363 BL05669 Em0023g199a
ortholog_1364 BL05672 Em0444g3a
