ortholog_1 g164 BL24932_evm1
ortholog_2443 g67118 BL43666_cuf0
ortholog_2444 g67335 BL96225_cuf4
ortholog_2445 g67522 BL21160_evm0
ortholog_2446 g67533 BL20916_evm0
ortholog_2447 g67591 BL29523_evm0
ortholog_2448 g67635 BL05104_evm15
ortholog_2449 g67677 BL22137_evm4
ortholog_2450 g67682 BL03550_evm0
ortholog_2451 g67687 BL20011_evm0
ortholog_2452 g67695 BL15627_evm6
ortholog_2453 g67710 BL10943_evm2
ortholog_2454 g67740 BL04198_cuf3
ortholog_2455 g67741 BL22179_cuf1
ortholog_2456 g67745 BL95541_evm17
ortholog_2457 g67797 BL12877_evm4
ortholog_2458 g67801 BL10791_cuf3
ortholog_2459 g67835 BL11877_evm0
ortholog_2460 g67845 BL25753_evm0
ortholog_2461 g67867 BL10925_evm7
ortholog_2462 g67889 BL18744_cuf5
ortholog_2463 g67891 BL10342_cuf1
ortholog_2464 g67895 BL17187_cuf2
ortholog_2465 g67946 BL07038_cuf0
ortholog_2466 g67967 BL13277_cuf2
ortholog_2467 g67977 BL24771_evm0
ortholog_2468 g67996 BL01676_cuf5
ortholog_2469 g67999 BL09749_cuf3
ortholog_2470 g68000 BL37717_cuf0
ortholog_2471 g68007 BL04039_cuf0
ortholog_2472 g68013 BL18642_evm3
ortholog_2473 g68039 BL16496_evm0
ortholog_2474 g68044 BL19344_cuf5
ortholog_2475 g68091 BL06199_cuf6
ortholog_2476 g68093 BL16919_evm0
ortholog_2477 g68104 BL23759_cuf3
ortholog_2478 g68108 BL05688_evm3
ortholog_2479 g68109 BL02301_evm11
ortholog_2480 g68123 BL28985_evm0
ortholog_2481 g68131 BL23768_evm0
ortholog_2482 g68132 BL17148_cuf3
ortholog_2483 g68166 BL09261_cuf10
ortholog_2484 g68174 BL00632_cuf7
ortholog_2485 g68190 BL10728_evm1
ortholog_2486 g68196 BL01647_evm9
ortholog_2487 g68201 BL08973_evm14
ortholog_2488 g68305 BL22873_evm1
ortholog_2489 g68328 BL10329_cuf4
ortholog_2490 g68344 BL97095_cuf10
ortholog_2491 g68351 BL05147_cuf7
ortholog_2492 g68353 BL07724_evm22
ortholog_2493 g68360 BL08307_cuf9
ortholog_2494 g68385 BL18789_cuf1
ortholog_2495 g68394 BL16542_evm0
ortholog_2496 g68399 BL00375_evm0
ortholog_2497 g68435 BL06366_cuf0
ortholog_2498 g68441 BL24238_evm3
ortholog_2499 g68478 BL00690_evm0
ortholog_2500 g68481 BL01141_evm0
ortholog_2501 g68488 BL19804_evm0
ortholog_2502 g68490 BL17657_evm0
ortholog_2503 g68500 BL24081_evm0
ortholog_2504 g68510 BL19291_cuf3
ortholog_2505 g68561 BL02585_cuf2
ortholog_2506 g68568 BL28560_evm0
ortholog_2507 g68619 BL18792_evm0
ortholog_2508 g68627 BL22134_evm4
ortholog_2509 g68632 BL05072_evm0
ortholog_2510 g68643 BL96247_cuf1
ortholog_2511 g68644 BL96246_cuf0
ortholog_2512 g68699 BL96916_cuf7
ortholog_2513 g68705 BL19018_evm0
ortholog_2514 g68715 BL19080_cuf1
ortholog_2515 g68722 BL09354_cuf4
ortholog_2516 g68726 BL00631_evm2
ortholog_2517 g68773 BL01014_evm0
ortholog_2518 g68782 BL17109_evm7
ortholog_2519 g68786 BL16102_cuf3
ortholog_2520 g68794 BL07515_cuf2
ortholog_2521 g68795 BL02437_cuf2
ortholog_2522 g68798 BL12853_evm0
ortholog_2523 g68802 BL05132_cuf3
ortholog_2524 g68807 BL16511_evm1
ortholog_2525 g68808 BL08459_cuf1
ortholog_2526 g68810 BL02755_cuf1
ortholog_2527 g68824 BL11512_cuf3
ortholog_2528 g68827 BL05511_cuf9
ortholog_2529 g68844 BL16349_evm0
ortholog_2530 g68845 BL19417_evm1
ortholog_2531 g68858 BL23908_cuf1
ortholog_2532 g68884 BL12482_evm14
ortholog_2533 g68911 BL22072_evm0
ortholog_2534 g68918 BL24108_evm0
ortholog_2535 g68925 BL19487_evm0
ortholog_2536 g68938 BL29065_evm0
ortholog_2537 g68956 BL17601_cuf3
ortholog_2538 g68970 BL14536_evm4
ortholog_2539 g68977 BL24814_cuf0
ortholog_2540 g68982 BL04395_evm5
ortholog_2541 g69025 BL05336_cuf4
ortholog_2542 g69029 BL05654_cuf5
ortholog_2543 g69046 BL18974_cuf4
ortholog_2544 g69057 BL10102_evm3
ortholog_2545 g69066 BL19688_cuf2
ortholog_2546 g69085 BL20013_evm1
ortholog_2547 g69104 BL11062_cuf3
ortholog_2548 g69111 BL16916_evm71
ortholog_2549 g69116 BL04589_cuf8
ortholog_2550 g69118 BL02159_evm0
ortholog_2551 g69165 BL11150_evm0
ortholog_2552 g69208 BL23728_evm5
ortholog_2553 g69237 BL06562_cuf6
ortholog_2554 g69274 BL14946_evm7
ortholog_2555 g69277 BL22872_cuf7
ortholog_2556 g69284 BL16300_evm3
ortholog_2557 g69285 BL00585_evm0
ortholog_2558 g69294 BL89272_cuf2
ortholog_2559 g69296 BL25075_evm0
ortholog_2560 g69297 BL22775_evm2
ortholog_2561 g69341 BL17342_cuf2
ortholog_2562 g69352 BL13935_evm0
ortholog_2563 g69361 BL13822_cuf1
ortholog_2564 g69411 BL06344_cuf4
ortholog_2565 g69422 BL97090_cuf33
ortholog_2566 g69427 BL09922_evm0
ortholog_2567 g69429 BL11840_evm0
ortholog_2568 g69432 BL14780_cuf9
ortholog_2569 g69457 BL12328_evm0
ortholog_2570 g69458 BL24480_cuf2
ortholog_2571 g69469 BL11113_evm0
ortholog_2572 g69491 BL07206_evm7
ortholog_2573 g69512 BL00611_evm1
ortholog_2574 g69515 BL08256_evm5
ortholog_2575 g69530 BL13660_cuf9
ortholog_2576 g69538 BL41670_cuf0
ortholog_2577 g69550 BL03921_evm9
ortholog_2578 g69585 BL20010_evm0
ortholog_2579 g69597 BL13280_evm5
ortholog_2580 g69600 BL05076_evm0
ortholog_2581 g69685 BL10383_cuf7
ortholog_2582 g69702 BL18451_evm8
ortholog_2583 g69703 BL03877_cuf0
ortholog_2584 g69704 BL05119_cuf14
ortholog_2585 g69749 BL26822_evm0
ortholog_2586 g69772 BL21434_evm0
ortholog_2587 g69774 BL11146_cuf1
ortholog_2588 g69778 BL22991_evm0
ortholog_2589 g69779 BL19686_evm0
ortholog_2590 g69783 BL14523_evm2
ortholog_2591 g69788 BL21214_cuf2
ortholog_2592 g69800 BL07838_cuf17
ortholog_2593 g69841 BL39017_cuf0
ortholog_2594 g69848 BL00609_evm0
ortholog_2595 g69860 BL31219_evm0
ortholog_2596 g69864 BL19529_evm0
ortholog_2597 g69870 BL02647_evm0
ortholog_2598 g69872 BL05168_cuf1
ortholog_2599 g69879 BL11957_evm3
ortholog_2600 g69886 BL24898_evm0
ortholog_2601 g69892 BL02121_evm0
ortholog_2602 g69902 BL02123_evm0
ortholog_2603 g69903 BL04678_cuf2
ortholog_2604 g69908 BL18857_evm0
ortholog_2605 g69922 BL16094_cuf0
ortholog_2606 g69929 BL24221_evm3
ortholog_2607 g69941 BL07902_evm0
ortholog_2608 g69962 BL05112_cuf17
ortholog_2609 g69972 BL05067_cuf9
ortholog_2610 g69983 BL17149_evm6
ortholog_2611 g70004 BL95984_evm1
ortholog_2612 g70052 BL20836_evm8
ortholog_2613 g70053 BL05509_evm1
ortholog_2614 g70056 BL18855_evm0
ortholog_2615 g70117 BL12327_cuf3
ortholog_2616 g70129 BL07946_evm2
ortholog_2617 g70137 BL70178_cuf0
ortholog_2618 g70141 BL12915_evm0
ortholog_2619 g70142 BL05338_cuf2
ortholog_2620 g70185 BL11975_evm0
ortholog_2621 g70192 BL58561_cuf0
ortholog_2622 g70199 BL23026_evm10
ortholog_2623 g70208 BL05593_cuf1
ortholog_2624 g70215 BL18886_cuf3
ortholog_2625 g70296 BL24503_evm2
ortholog_2626 g70302 BL25433_evm1
ortholog_2627 g70304 BL15543_evm0
ortholog_2628 g70309 BL20838_cuf13
ortholog_2629 g70315 BL20841_cuf4
ortholog_2630 g70319 BL08021_evm0
ortholog_2631 g70328 BL95907_evm0
ortholog_2632 g70333 BL19145_cuf2
ortholog_2633 g70350 BL02869_cuf9
ortholog_2634 g70383 BL24020_evm0
ortholog_2635 g70398 BL20102_cuf3
ortholog_2636 g70401 BL01628_cuf0
ortholog_2637 g70418 BL13600_evm0
ortholog_2638 g70428 BL13223_evm0
ortholog_2639 g70437 BL15615_evm0
ortholog_2640 g70580 BL21257_evm0
ortholog_2641 g70598 BL07587_evm2
ortholog_2642 g70610 BL13705_evm0
ortholog_2643 g70615 BL17020_evm0
ortholog_2644 g70620 BL97411_cuf0
ortholog_2645 g70637 BL06581_cuf9
ortholog_2646 g70703 BL22045_evm3
ortholog_2647 g70741 BL14278_evm0
ortholog_2648 g70743 BL09050_cuf6
ortholog_2649 g70744 BL09053_cuf0
ortholog_2650 g70748 BL02433_evm0
ortholog_2651 g70780 BL41000_cuf0
ortholog_2652 g70823 BL97305_cuf3
ortholog_2653 g70839 BL02814_cuf0
ortholog_2654 g70848 BL22870_evm32
ortholog_2655 g70862 BL24212_cuf3
ortholog_2656 g70863 BL19692_cuf1
ortholog_2657 g70874 BL19639_cuf1
ortholog_2658 g70879 BL25785_evm0
ortholog_2659 g70931 BL01150_cuf23
ortholog_2660 g70941 BL10067_evm4
ortholog_2661 g70979 BL14407_evm0
ortholog_2662 g70984 BL95727_evm1
ortholog_2663 g71036 BL96783_cuf9
ortholog_2664 g71047 BL24142_evm0
ortholog_2665 g71061 BL22539_evm10
ortholog_2666 g71073 BL13311_evm1
ortholog_2667 g71076 BL18854_cuf1
ortholog_2668 g71085 BL19350_evm29
ortholog_2669 g71116 BL96322_cuf6
ortholog_2670 g71119 BL02579_cuf13
ortholog_2671 g71122 BL11894_evm1
ortholog_2672 g71138 BL17989_evm0
ortholog_2673 g71141 BL17922_evm1
ortholog_2674 g71149 BL11114_evm0
ortholog_2675 g71222 BL90078_cuf2
ortholog_2676 g71232 BL16452_evm5
ortholog_2677 g71234 BL96900_cuf4
ortholog_2678 g71254 BL07790_evm0
ortholog_2679 g71270 BL96545_cuf7
ortholog_2680 g71275 BL06935_cuf0
ortholog_2681 g71322 BL17679_evm7
ortholog_2682 g71327 BL03922_evm0
ortholog_2683 g71331 BL22649_evm0
ortholog_2684 g71332 BL22521_cuf0
ortholog_2685 g71398 BL07052_cuf16
ortholog_2686 g71400 BL24425_cuf3
ortholog_2687 g71410 BL00627_evm0
ortholog_2688 g71418 BL11118_evm0
ortholog_2689 g71452 BL22443_evm6
ortholog_2690 g71453 BL19898_evm1
ortholog_2691 g71459 BL07035_evm0
ortholog_2692 g71478 BL95023_evm1
ortholog_2693 g71492 BL18859_evm4
ortholog_2694 g71524 BL11297_evm0
ortholog_2695 g71526 BL14890_evm7
ortholog_2696 g71531 BL03064_cuf11
ortholog_2697 g71534 BL00111_cuf16
ortholog_2698 g71547 BL23032_evm4
ortholog_2699 g71562 BL20840_cuf2
ortholog_2700 g71599 BL06695_cuf4
ortholog_2701 g71611 BL87664_cuf1
ortholog_2702 g71613 BL54023_cuf1
ortholog_2703 g71631 BL17182_evm0
ortholog_2704 g71640 BL14525_evm5
ortholog_2705 g71646 BL09165_evm10
ortholog_2706 g71656 BL38606_cuf11
ortholog_2707 g71663 BL13276_evm5
ortholog_2708 g71737 BL14561_evm6
ortholog_2709 g71769 BL24736_evm0
ortholog_2710 g71774 BL15623_evm0
ortholog_2711 g71778 BL14092_evm5
ortholog_2712 g71792 BL19152_cuf18
ortholog_2713 g71810 BL05673_cuf21
ortholog_2714 g71819 BL25851_evm0
ortholog_2715 g71836 BL24074_evm0
ortholog_2716 g71871 BL03875_cuf0
ortholog_2717 g71874 BL12486_cuf5
ortholog_2718 g71878 BL20504_cuf2
ortholog_2719 g71882 BL11147_evm9
ortholog_2720 g71883 BL12852_evm3
ortholog_2721 g71884 BL03069_cuf7
ortholog_2722 g71907 BL24071_evm0
ortholog_2723 g71911 BL10762_evm0
ortholog_2724 g71913 BL00606_cuf2
ortholog_2725 g71918 BL04221_cuf15
ortholog_2726 g71928 BL26223_evm0
ortholog_2727 g71929 BL05130_evm3
ortholog_2728 g71934 BL31076_evm0
ortholog_2729 g71939 BL11974_evm3
ortholog_2730 g71944 BL11662_cuf6
ortholog_2731 g71956 BL02059_evm3
ortholog_2732 g71958 BL03928_cuf2
ortholog_2733 g71962 BL43180_cuf0
ortholog_2734 g71974 BL79298_cuf1
ortholog_2735 g72000 BL19979_evm4
ortholog_2736 g72004 BL07814_evm1
ortholog_2737 g72006 BL16230_evm0
ortholog_2738 g72016 BL00360_evm2
ortholog_2739 g72020 BL09568_cuf5
ortholog_2740 g72021 BL22542_cuf24
ortholog_2741 g72050 BL32820_cuf0
ortholog_2742 g72062 BL07762_evm1
ortholog_2743 g72116 BL18531_evm0
ortholog_2744 g72120 BL18972_evm6
ortholog_2745 g72123 BL13812_cuf2
ortholog_2746 g72136 BL23731_cuf4
ortholog_2747 g72218 BL04258_evm0
ortholog_2748 g72263 BL23252_cuf4
ortholog_2749 g72302 BL20864_evm4
ortholog_2750 g72375 BL22039_evm1
ortholog_2751 g72408 BL09925_cuf19
ortholog_2752 g72428 BL01861_evm0
ortholog_2753 g72430 BL02068_evm0
ortholog_2754 g72437 BL11281_cuf2
ortholog_2755 g72476 BL05120_evm1
ortholog_2756 g72481 BL15941_evm0
ortholog_2757 g72486 BL07084_cuf7
ortholog_2758 g72490 BL05116_cuf4
ortholog_2759 g72499 BL14562_evm0
ortholog_2760 g72503 BL20866_cuf9
ortholog_2761 g72508 BL16146_evm0
ortholog_2762 g72524 BL21290_evm0
ortholog_2763 g72526 BL18794_cuf3
ortholog_2764 g72527 BL17631_evm0
ortholog_2765 g72530 BL20384_cuf6
ortholog_2766 g72535 BL00091_evm0
ortholog_2767 g72545 BL16171_cuf1
ortholog_2768 g72582 BL16949_evm0
ortholog_2769 g72584 BL22654_cuf5
ortholog_2770 g72614 BL21584_cuf9
ortholog_2771 g72636 BL23991_evm0
ortholog_2772 g72669 BL22254_cuf0
ortholog_2773 g72671 BL95134_evm0
ortholog_2774 g72679 BL10306_cuf5
ortholog_2775 g72684 BL24018_cuf3
ortholog_2776 g72689 BL19294_evm14
ortholog_2777 g72698 BL03507_cuf5
ortholog_2778 g72709 BL19293_evm3
ortholog_2779 g72736 BL21259_evm0
ortholog_2780 g72742 BL47476_cuf0
ortholog_2781 g72753 BL03205_evm3
ortholog_2782 g72756 BL07227_evm1
ortholog_2783 g72774 BL14895_cuf5
ortholog_2784 g72775 BL13599_cuf3
ortholog_2785 g72778 BL09998_evm0
ortholog_2786 g72780 BL04474_evm3
ortholog_2787 g72839 BL21750_evm2
ortholog_2788 g72841 BL21256_cuf4
ortholog_2789 g72842 BL97000_cuf2
ortholog_2790 g72844 BL23801_cuf6
ortholog_2791 g72855 BL97002_cuf20
ortholog_2792 g72881 BL16976_cuf0
ortholog_2793 g72896 BL05513_evm0
ortholog_2794 g72900 BL82047_cuf0
ortholog_2795 g72916 BL20041_cuf0
ortholog_2796 g72918 BL00270_evm0
ortholog_2797 g72923 BL13614_cuf0
ortholog_2798 g72929 BL29184_evm0
ortholog_2799 g72931 BL14519_evm0
ortholog_2800 g72932 BL22847_cuf3
ortholog_2801 g72953 BL00449_cuf9
ortholog_2802 g72956 BL11895_evm4
ortholog_2803 g72957 BL17480_cuf3
ortholog_2804 g72963 BL13661_evm0
ortholog_2805 g72974 BL07209_evm0
ortholog_2806 g73009 BL14517_evm6
ortholog_2807 g73012 BL07950_cuf2
ortholog_2808 g73024 BL07949_cuf14
ortholog_2809 g73034 BL21513_cuf23
ortholog_2810 g73066 BL16915_evm0
ortholog_2811 g73074 BL15515_cuf0
ortholog_2812 g73082 BL21812_evm2
ortholog_2813 g73086 BL13517_evm0
ortholog_2814 g73120 BL10789_evm0
ortholog_2815 g73135 BL18163_evm0
ortholog_2816 g73137 BL30865_evm0
ortholog_2817 g73152 BL07211_cuf1
ortholog_2818 g73183 BL10753_evm1
ortholog_2819 g73187 BL14961_cuf8
ortholog_2820 g73209 BL20044_cuf1
ortholog_2821 g73215 BL13108_evm0
ortholog_2822 g73220 BL78796_cuf5
ortholog_2823 g73245 BL17183_evm0
ortholog_2824 g73246 BL11271_cuf1
ortholog_2825 g73247 BL18351_evm0
ortholog_2826 g73248 BL12484_evm0
ortholog_2827 g73253 BL20017_cuf2
ortholog_2828 g73263 BL06003_evm0
ortholog_2829 g73264 BL07514_cuf13
ortholog_2830 g73274 BL23712_evm0
ortholog_2831 g73279 BL01154_evm0
ortholog_2832 g73280 BL14513_cuf0
ortholog_2833 g73284 BL18686_evm0
ortholog_2834 g73301 BL06585_evm0
ortholog_2835 g73318 BL13625_cuf1
ortholog_2836 g73352 BL18312_cuf1
ortholog_2837 g73378 BL97087_cuf6
ortholog_2838 g73389 BL22073_cuf1
ortholog_2839 g73392 BL00589_cuf7
ortholog_2840 g73400 BL05470_cuf5
ortholog_2841 g73414 BL02183_cuf1
ortholog_2842 g73424 BL10407_cuf3
ortholog_2843 g73429 BL01165_cuf1
ortholog_2844 g73432 BL03036_evm0
ortholog_2845 g73454 BL01836_cuf4
ortholog_2846 g73456 BL03871_evm0
ortholog_2847 g73479 BL14847_evm1
ortholog_2848 g73531 BL97324_cuf8
ortholog_2849 g73655 BL88222_cuf0
ortholog_2850 g73667 BL28221_evm0
ortholog_2851 g73673 BL15674_cuf0
ortholog_2852 g73681 BL12661_evm3
ortholog_2853 g73752 BL05250_evm2
ortholog_2854 g73754 BL05791_cuf2
ortholog_2855 g73780 BL10898_cuf5
ortholog_2856 g73793 BL08137_evm15
ortholog_2857 g73795 BL13731_cuf0
ortholog_2858 g73802 BL20207_cuf2
ortholog_2859 g73850 BL08254_evm0
ortholog_2860 g73870 BL22141_evm0
ortholog_2861 g73873 BL21514_evm0
ortholog_2862 g73886 BL19402_evm0
ortholog_2863 g73945 BL21432_cuf4
ortholog_2864 g73951 BL23504_evm1
ortholog_2865 g73956 BL10531_cuf0
ortholog_2866 g73960 BL07735_evm0
ortholog_2867 g73976 BL04011_evm0
ortholog_2868 g73979 BL11335_evm0
ortholog_2869 g73991 BL03929_cuf3
ortholog_2870 g73995 BL16900_evm0
ortholog_2871 g73997 BL07569_evm1
ortholog_2872 g73999 BL07006_evm0
ortholog_2873 g74079 BL10628_evm15
ortholog_2874 g74083 BL16535_evm1
ortholog_2875 g74089 BL07818_evm0
ortholog_2876 g74093 BL15609_cuf1
ortholog_2877 g74114 BL00470_cuf0
ortholog_2878 g74154 BL16091_evm0
ortholog_2879 g74188 BL17821_cuf7
ortholog_2880 g74210 BL39663_cuf0
ortholog_2881 g74243 BL14163_cuf1
ortholog_2882 g74267 BL10706_cuf2
ortholog_2883 g74274 BL10955_cuf3
ortholog_2884 g74280 BL17801_evm1
ortholog_2885 g74289 BL16185_cuf16
ortholog_2886 g74293 BL21213_evm0
ortholog_2887 g74301 BL13767_evm13
ortholog_2888 g74305 BL22076_evm0
ortholog_2889 g74309 BL20859_evm0
ortholog_2890 g74314 BL18942_evm0
ortholog_2891 g74323 BL13662_cuf3
ortholog_2892 g74325 BL30582_evm0
ortholog_2893 g74328 BL24919_evm0
ortholog_2894 g74342 BL09404_cuf5
ortholog_2895 g74367 BL14094_cuf4
ortholog_2896 g74420 BL03040_cuf8
ortholog_2897 g74581 BL24019_evm0
ortholog_2898 g74583 BL22846_evm15
ortholog_2899 g74617 BL15650_cuf10
ortholog_2900 g74619 BL24338_cuf1
ortholog_2901 g74622 BL03573_cuf1
ortholog_2902 g74623 BL13226_cuf4
ortholog_2903 g74640 BL00083_cuf19
ortholog_2904 g74641 BL00966_cuf0
ortholog_2905 g74642 BL00755_cuf0
ortholog_2906 g74657 BL06011_evm11
ortholog_2907 g74686 BL01152_cuf18
ortholog_2908 g74698 BL02345_cuf0
ortholog_2909 g74700 BL00458_cuf3
ortholog_2910 g74703 BL04361_cuf0
ortholog_2911 g74707 BL00633_cuf3
ortholog_2912 g74708 BL09924_evm2
ortholog_2913 g74709 BL18830_evm0
ortholog_2914 g74717 BL97268_cuf1
ortholog_2915 g74723 BL19580_evm0
ortholog_2916 g74728 BL97272_cuf8
ortholog_2917 g74745 BL18219_evm0
ortholog_2918 g74747 BL03101_cuf3
ortholog_2919 g74792 BL11116_evm0
ortholog_2920 g74826 BL13422_evm1
ortholog_2921 g74872 BL11117_cuf12
ortholog_2922 g74879 BL13624_evm14
ortholog_2923 g74906 BL12887_evm0
ortholog_2924 g74909 BL17656_cuf0
ortholog_2925 g74911 BL62141_cuf0
ortholog_2926 g74926 BL00359_cuf2
ortholog_2927 g74930 BL13313_evm2
ortholog_2928 g74944 BL16093_cuf10
ortholog_2929 g74984 BL13373_cuf14
ortholog_2930 g74986 BL17474_evm0
ortholog_2931 g75042 BL16740_evm0
ortholog_2932 g75094 BL97103_cuf13
ortholog_2933 g75101 BL21757_evm7
ortholog_2934 g75123 BL23216_evm0
ortholog_2935 g75187 BL23219_cuf7
ortholog_2936 g75188 BL06994_evm6
ortholog_2937 g75204 BL22989_cuf9
ortholog_2938 g75208 BL22241_evm0
ortholog_2939 g75216 BL22990_cuf2
ortholog_2940 g75220 BL01153_evm4
ortholog_2941 g75293 BL95622_evm0
ortholog_2942 g75306 BL03096_evm0
ortholog_2943 g75325 BL96839_cuf2
ortholog_2944 g75397 BL13365_evm56
ortholog_2945 g75429 BL14427_evm0
ortholog_2946 g75430 BL19296_cuf5
ortholog_2947 g75448 BL18111_cuf0
ortholog_2948 g75470 BL03286_cuf0
ortholog_2949 g75472 BL13487_evm0
ortholog_2950 g75484 BL39145_cuf0
ortholog_2951 g75486 BL22408_evm0
ortholog_2952 g75499 BL77974_cuf2
ortholog_2953 g75500 BL20382_evm0
ortholog_2954 g75506 BL19817_evm0
ortholog_2955 g75521 BL97468_cuf3
ortholog_2956 g75523 BL17953_cuf6
ortholog_2957 g75533 BL09913_evm0
ortholog_2958 g75540 BL26124_evm0
ortholog_2959 g75552 BL18826_evm0
ortholog_2960 g75556 BL69148_cuf9
ortholog_2961 g75557 BL95052_evm1
ortholog_2962 g75564 BL09775_evm1
ortholog_2963 g75583 BL21115_evm0
ortholog_2964 g75588 BL13495_evm4
ortholog_2965 g75593 BL07042_cuf12
ortholog_2966 g75635 BL19159_cuf3
ortholog_2967 g75637 BL04386_cuf2
ortholog_2968 g75668 BL17428_evm10
ortholog_2969 g75740 BL10563_cuf6
ortholog_2970 g75746 BL03068_evm0
ortholog_2971 g75755 BL21905_cuf0
ortholog_2972 g75761 BL09683_cuf8
ortholog_2973 g75765 BL18791_evm3
ortholog_2974 g75806 BL14515_cuf0
ortholog_2975 g75808 BL08250_evm3
ortholog_2976 g75859 BL95015_evm1
ortholog_2977 g75930 BL22544_evm0
ortholog_2978 g75938 BL16098_cuf1
ortholog_2979 g75941 BL06778_evm0
ortholog_2980 g75942 BL32363_cuf0
ortholog_2981 g75972 BL32224_evm0
ortholog_2982 g75982 BL01870_cuf0
ortholog_2983 g75983 BL08320_cuf4
ortholog_2984 g76031 BL03208_cuf17
ortholog_2985 g76050 BL20193_evm1
ortholog_2986 g76063 BL13279_evm0
ortholog_2987 g76070 BL31545_evm0
ortholog_2988 g76096 BL19403_cuf3
ortholog_2989 g76112 BL19401_cuf1
ortholog_2990 g76130 BL21426_evm0
ortholog_2991 g76176 BL83391_cuf0
ortholog_2992 g76197 BL96298_cuf3
ortholog_2993 g76209 BL01131_evm3
ortholog_2994 g76243 BL22109_cuf9
ortholog_2995 g76248 BL22546_cuf9
ortholog_2996 g76317 BL15620_cuf4
ortholog_2997 g76321 BL08514_evm0
ortholog_2998 g76344 BL17152_cuf1
ortholog_2999 g76346 BL00361_evm2
ortholog_3000 g76348 BL19546_evm0
ortholog_3001 g76365 BL21195_cuf1
ortholog_3002 g76396 BL19194_evm0
ortholog_3003 g76398 BL09825_evm0
ortholog_3004 g76406 BL06009_cuf18
ortholog_3005 g76410 BL02554_cuf0
ortholog_3006 g76413 BL14518_evm0
ortholog_3007 g76452 BL11816_cuf6
ortholog_3008 g76454 BL23832_evm3
ortholog_3009 g76463 BL00608_evm0
ortholog_3010 g76474 BL15162_evm0
ortholog_3011 g76485 BL04216_evm0
ortholog_3012 g76515 BL05956_evm0
ortholog_3013 g76519 BL14044_cuf2
ortholog_3014 g76522 BL03514_cuf1
ortholog_3015 g76531 BL16857_evm0
ortholog_3016 g76534 BL16347_cuf6
ortholog_3017 g76546 BL15514_evm9
ortholog_3018 g76562 BL21252_evm8
ortholog_3019 g76571 BL13595_cuf2
ortholog_3020 g76574 BL10923_cuf5
ortholog_3021 g76579 BL24738_evm0
ortholog_3022 g76588 BL05143_cuf1
ortholog_3023 g76696 BL24148_cuf0
ortholog_3024 g76749 BL24016_evm2
ortholog_3025 g76783 BL06022_evm0
ortholog_3026 g76794 BL05996_evm4
ortholog_3027 g76802 BL10341_evm4
ortholog_3028 g76804 BL73418_cuf0
ortholog_3029 g76808 BL73417_cuf0
ortholog_3030 g76826 BL20665_evm0
ortholog_3031 g76830 BL01833_evm4
ortholog_3032 g76833 BL43122_cuf0
ortholog_3033 g76838 BL09923_evm0
ortholog_3034 g76842 BL01921_evm1
ortholog_3035 g76858 BL07947_evm4
ortholog_3036 g76861 BL03512_evm0
ortholog_3037 g76863 BL00362_evm0
ortholog_3038 g76876 BL11831_evm0
ortholog_3039 g77013 BL20865_evm0
ortholog_3040 g77033 BL06845_cuf1
ortholog_3041 g77094 BL15772_cuf0
ortholog_3042 g77101 BL28755_evm0
ortholog_3043 g77102 BL26417_evm0
ortholog_3044 g77107 BL02029_cuf8
ortholog_3045 g77130 BL23082_cuf5
ortholog_3046 g77165 BL08971_evm0
ortholog_3047 g77223 BL17605_evm0
ortholog_3048 g77243 BL29054_evm0
ortholog_3049 g77245 BL07205_evm0
ortholog_3050 g77266 BL24925_evm0
ortholog_3051 g77307 BL08022_evm0
ortholog_3052 g77346 BL00854_evm1
ortholog_3053 g77354 BL15426_cuf14
ortholog_3054 g77368 BL05469_evm0
ortholog_3055 g77512 BL14520_evm0
ortholog_3056 g77530 BL22144_evm0
ortholog_3057 g77727 BL08252_cuf2
ortholog_3058 g77764 BL19677_evm4
ortholog_3059 g77769 BL08706_cuf6
ortholog_3060 g77776 BL10703_evm0
ortholog_3061 g77800 BL00356_cuf20
ortholog_3062 g77814 BL16372_evm0
ortholog_3063 g77823 BL19738_evm0
ortholog_3064 g77922 BL95723_evm0
ortholog_3065 g77929 BL05702_evm0
ortholog_3066 g77935 BL21288_cuf1
ortholog_3067 g77950 BL14568_evm2
ortholog_3068 g77954 BL55838_cuf0
ortholog_3069 g77955 BL21011_evm0
ortholog_3070 g77970 BL01100_evm0
ortholog_3071 g78171 BL31678_evm0
ortholog_3072 g78290 BL24740_evm1
ortholog_3073 g78309 BL79410_cuf0
ortholog_3074 g78379 BL13878_cuf15
ortholog_3075 g78392 BL04371_evm0
ortholog_3076 g78398 BL47068_cuf0
ortholog_3077 g78717 BL22644_cuf1
ortholog_3078 g78999 BL02032_evm0
ortholog_3079 g79142 BL08283_evm0
ortholog_3080 g79339 BL97233_cuf6
ortholog_3081 g79349 BL16447_evm6
ortholog_3082 g79357 BL03257_cuf2
ortholog_3083 g79360 BL23349_cuf4
ortholog_3084 g79381 BL22935_evm25
ortholog_3085 g79418 BL12253_evm0
ortholog_3086 g79422 BL22041_evm3
ortholog_3087 g79435 BL12818_evm2
ortholog_3088 g79440 BL23280_evm12
ortholog_3089 g79443 BL10391_cuf3
ortholog_3090 g79480 BL03619_cuf2
ortholog_3091 g79486 BL06439_evm0
ortholog_3092 g79520 BL08412_cuf3
ortholog_3093 g79551 BL06991_evm0
