ortholog_1 gene-HOLleu_00014 BL21936
ortholog_1601 gene-HOLleu_10878 BL09175
ortholog_1602 gene-HOLleu_10879 BL24202
ortholog_1603 gene-HOLleu_10880 BL20041
ortholog_1604 gene-HOLleu_10882 BL03953
ortholog_1605 gene-HOLleu_10885 BL11924
ortholog_1606 gene-HOLleu_10903 BL18561
ortholog_1607 gene-HOLleu_10904 BL04012
ortholog_1608 gene-HOLleu_10912 BL16343
ortholog_1609 gene-HOLleu_10927 BL10009
ortholog_1610 gene-HOLleu_10930 BL13398
ortholog_1611 gene-HOLleu_10994 BL03916
ortholog_1612 gene-HOLleu_10995 BL19159
ortholog_1613 gene-HOLleu_11022 BL16081
ortholog_1614 gene-HOLleu_11023 BL19909
ortholog_1615 gene-HOLleu_11025 BL20495
ortholog_1616 gene-HOLleu_11026 BL09180
ortholog_1617 gene-HOLleu_11035 BL19881
ortholog_1618 gene-HOLleu_11047 BL20504
ortholog_1619 gene-HOLleu_11048 BL09171
ortholog_1620 gene-HOLleu_11050 BL20595
ortholog_1621 gene-HOLleu_11051 BL03905
ortholog_1622 gene-HOLleu_11053 BL20733
ortholog_1623 gene-HOLleu_11056 BL20734
ortholog_1624 gene-HOLleu_11057 BL19917
ortholog_1625 gene-HOLleu_11061 BL04109
ortholog_1626 gene-HOLleu_11068 BL08094
ortholog_1627 gene-HOLleu_11071 BL20936
ortholog_1628 gene-HOLleu_11072 BL20226
ortholog_1629 gene-HOLleu_11074 BL20456
ortholog_1630 gene-HOLleu_11078 BL19874
ortholog_1631 gene-HOLleu_11091 BL20015
ortholog_1632 gene-HOLleu_11102 BL03950
ortholog_1633 gene-HOLleu_11103 BL15321
ortholog_1634 gene-HOLleu_11105 BL03967
ortholog_1635 gene-HOLleu_11106 BL24245
ortholog_1636 gene-HOLleu_11107 BL20050
ortholog_1637 gene-HOLleu_11169 BL20088
ortholog_1638 gene-HOLleu_11171 BL06944
ortholog_1639 gene-HOLleu_11173 BL20409
ortholog_1640 gene-HOLleu_11175 BL20457
ortholog_1641 gene-HOLleu_11176 BL20387
ortholog_1642 gene-HOLleu_11179 BL20386
ortholog_1643 gene-HOLleu_11180 BL20389
ortholog_1644 gene-HOLleu_11203 BL24226
ortholog_1645 gene-HOLleu_11204 BL24223
ortholog_1646 gene-HOLleu_11205 BL24222
ortholog_1647 gene-HOLleu_11206 BL20083
ortholog_1648 gene-HOLleu_11207 BL26701
ortholog_1649 gene-HOLleu_11215 BL19168
ortholog_1650 gene-HOLleu_11220 BL04050
ortholog_1651 gene-HOLleu_11222 BL04051
ortholog_1652 gene-HOLleu_11224 BL19170
ortholog_1653 gene-HOLleu_11226 BL20402
ortholog_1654 gene-HOLleu_11234 BL20555
ortholog_1655 gene-HOLleu_11237 BL03902
ortholog_1656 gene-HOLleu_11241 BL20413
ortholog_1657 gene-HOLleu_11242 BL16894
ortholog_1658 gene-HOLleu_11243 BL20251
ortholog_1659 gene-HOLleu_11250 BL06803
ortholog_1660 gene-HOLleu_11259 BL20279
ortholog_1661 gene-HOLleu_11264 BL14899
ortholog_1662 gene-HOLleu_11266 BL13033
ortholog_1663 gene-HOLleu_11269 BL20347
ortholog_1664 gene-HOLleu_11270 BL17654
ortholog_1665 gene-HOLleu_11272 BL19135
ortholog_1666 gene-HOLleu_11273 BL20000
ortholog_1667 gene-HOLleu_11274 BL13384
ortholog_1668 gene-HOLleu_11278 BL22066
ortholog_1669 gene-HOLleu_11281 BL09185
ortholog_1670 gene-HOLleu_11282 BL20524
ortholog_1671 gene-HOLleu_11283 BL09984
ortholog_1672 gene-HOLleu_11285 BL19997
ortholog_1673 gene-HOLleu_11286 BL18560
ortholog_1674 gene-HOLleu_11294 BL03912
ortholog_1675 gene-HOLleu_11295 BL20564
ortholog_1676 gene-HOLleu_11303 BL19156
ortholog_1677 gene-HOLleu_11305 BL04056
ortholog_1678 gene-HOLleu_11307 BL19140
ortholog_1679 gene-HOLleu_11308 BL04084
ortholog_1680 gene-HOLleu_11311 BL21450
ortholog_1681 gene-HOLleu_11313 BL09202
ortholog_1682 gene-HOLleu_11314 BL03378
ortholog_1683 gene-HOLleu_11315 BL24207
ortholog_1684 gene-HOLleu_11324 BL03987
ortholog_1685 gene-HOLleu_11327 BL24342
ortholog_1686 gene-HOLleu_11330 BL15055
ortholog_1687 gene-HOLleu_11332 BL20177
ortholog_1688 gene-HOLleu_11340 BL10784
ortholog_1689 gene-HOLleu_11341 BL20080
ortholog_1690 gene-HOLleu_11343 BL20255
ortholog_1691 gene-HOLleu_11344 BL24249
ortholog_1692 gene-HOLleu_11345 BL24268
ortholog_1693 gene-HOLleu_11351 BL24250
ortholog_1694 gene-HOLleu_11353 BL09989
ortholog_1695 gene-HOLleu_11355 BL09990
ortholog_1696 gene-HOLleu_11361 BL11753
ortholog_1697 gene-HOLleu_11382 BL03939
ortholog_1698 gene-HOLleu_11385 BL03940
ortholog_1699 gene-HOLleu_11386 BL03991
ortholog_1700 gene-HOLleu_11393 BL20196
ortholog_1701 gene-HOLleu_11396 BL05768
ortholog_1702 gene-HOLleu_11399 BL04919
ortholog_1703 gene-HOLleu_11400 BL20201
ortholog_1704 gene-HOLleu_11422 BL04053
ortholog_1705 gene-HOLleu_11423 BL04054
ortholog_1706 gene-HOLleu_11425 BL09173
ortholog_1707 gene-HOLleu_11428 BL01355
ortholog_1708 gene-HOLleu_11432 BL09888
ortholog_1709 gene-HOLleu_11434 BL19537
ortholog_1710 gene-HOLleu_11440 BL19896
ortholog_1711 gene-HOLleu_11442 BL20283
ortholog_1712 gene-HOLleu_11444 BL25181
ortholog_1713 gene-HOLleu_11445 BL20257
ortholog_1714 gene-HOLleu_11446 BL20258
ortholog_1715 gene-HOLleu_11452 BL04016
ortholog_1716 gene-HOLleu_11453 BL13381
ortholog_1717 gene-HOLleu_11464 BL25615
ortholog_1718 gene-HOLleu_11468 BL04828
ortholog_1719 gene-HOLleu_11472 BL20021
ortholog_1720 gene-HOLleu_11473 BL20191
ortholog_1721 gene-HOLleu_11474 BL04071
ortholog_1722 gene-HOLleu_11479 BL03999
ortholog_1723 gene-HOLleu_11485 BL19110
ortholog_1724 gene-HOLleu_11501 BL19898
ortholog_1725 gene-HOLleu_11517 BL20560
ortholog_1726 gene-HOLleu_11537 BL11046
ortholog_1727 gene-HOLleu_11538 BL24280
ortholog_1728 gene-HOLleu_11549 BL20460
ortholog_1729 gene-HOLleu_11569 BL16183
ortholog_1730 gene-HOLleu_11570 BL09160
ortholog_1731 gene-HOLleu_11571 BL20246
ortholog_1732 gene-HOLleu_11572 BL20247
ortholog_1733 gene-HOLleu_11574 BL20026
ortholog_1734 gene-HOLleu_11575 BL19972
ortholog_1735 gene-HOLleu_11577 BL20404
ortholog_1736 gene-HOLleu_11580 BL09204
ortholog_1737 gene-HOLleu_11585 BL04085
ortholog_1738 gene-HOLleu_11586 BL20058
ortholog_1739 gene-HOLleu_11589 BL04136
ortholog_1740 gene-HOLleu_11590 BL04011
ortholog_1741 gene-HOLleu_11594 BL04010
ortholog_1742 gene-HOLleu_11595 BL03954
ortholog_1743 gene-HOLleu_11597 BL20089
ortholog_1744 gene-HOLleu_11600 BL04089
ortholog_1745 gene-HOLleu_11607 BL20051
ortholog_1746 gene-HOLleu_11609 BL19993
ortholog_1747 gene-HOLleu_11625 BL24266
ortholog_1748 gene-HOLleu_11627 BL20561
ortholog_1749 gene-HOLleu_11632 BL09166
ortholog_1750 gene-HOLleu_11638 BL23195
ortholog_1751 gene-HOLleu_11639 BL24846
ortholog_1752 gene-HOLleu_11642 BL20376
ortholog_1753 gene-HOLleu_11643 BL23340
ortholog_1754 gene-HOLleu_11646 BL20488
ortholog_1755 gene-HOLleu_11649 BL20074
ortholog_1756 gene-HOLleu_11657 BL20454
ortholog_1757 gene-HOLleu_11659 BL19995
ortholog_1758 gene-HOLleu_11662 BL20300
ortholog_1759 gene-HOLleu_11674 BL27415
ortholog_1760 gene-HOLleu_11681 BL02737
ortholog_1761 gene-HOLleu_11682 BL01721
ortholog_1762 gene-HOLleu_11694 BL04025
ortholog_1763 gene-HOLleu_11695 BL24284
ortholog_1764 gene-HOLleu_11709 BL19977
ortholog_1765 gene-HOLleu_11710 BL16235
ortholog_1766 gene-HOLleu_11739 BL05191
ortholog_1767 gene-HOLleu_11742 BL05536
ortholog_1768 gene-HOLleu_11744 BL05357
ortholog_1769 gene-HOLleu_11752 BL26392
ortholog_1770 gene-HOLleu_11760 BL15601
ortholog_1771 gene-HOLleu_11762 BL04982
ortholog_1772 gene-HOLleu_11765 BL03581
ortholog_1773 gene-HOLleu_11773 BL22011
ortholog_1774 gene-HOLleu_11774 BL05482
ortholog_1775 gene-HOLleu_11775 BL19691
ortholog_1776 gene-HOLleu_11779 BL12404
ortholog_1777 gene-HOLleu_11797 BL02467
ortholog_1778 gene-HOLleu_11813 BL03093
ortholog_1779 gene-HOLleu_11814 BL05422
ortholog_1780 gene-HOLleu_11828 BL12423
ortholog_1781 gene-HOLleu_11829 BL19912
ortholog_1782 gene-HOLleu_11835 BL22695
ortholog_1783 gene-HOLleu_11836 BL05346
ortholog_1784 gene-HOLleu_11865 BL09708
ortholog_1785 gene-HOLleu_11876 BL14007
ortholog_1786 gene-HOLleu_11878 BL12037
ortholog_1787 gene-HOLleu_11885 BL10340
ortholog_1788 gene-HOLleu_11888 BL19754
ortholog_1789 gene-HOLleu_11895 BL04981
ortholog_1790 gene-HOLleu_11899 BL11635
ortholog_1791 gene-HOLleu_11901 BL19678
ortholog_1792 gene-HOLleu_11905 BL19670
ortholog_1793 gene-HOLleu_11910 BL05091
ortholog_1794 gene-HOLleu_11911 BL10360
ortholog_1795 gene-HOLleu_11912 BL05562
ortholog_1796 gene-HOLleu_11916 BL10427
ortholog_1797 gene-HOLleu_11917 BL19677
ortholog_1798 gene-HOLleu_11919 BL05433
ortholog_1799 gene-HOLleu_11921 BL12437
ortholog_1800 gene-HOLleu_11922 BL12432
ortholog_1801 gene-HOLleu_11923 BL04945
ortholog_1802 gene-HOLleu_11924 BL03580
ortholog_1803 gene-HOLleu_11930 BL19698
ortholog_1804 gene-HOLleu_11931 BL05039
ortholog_1805 gene-HOLleu_11932 BL05005
ortholog_1806 gene-HOLleu_11933 BL05170
ortholog_1807 gene-HOLleu_11934 BL12428
ortholog_1808 gene-HOLleu_11935 BL12427
ortholog_1809 gene-HOLleu_11938 BL22425
ortholog_1810 gene-HOLleu_11940 BL12908
ortholog_1811 gene-HOLleu_11941 BL05542
ortholog_1812 gene-HOLleu_11948 BL19690
ortholog_1813 gene-HOLleu_11950 BL19686
ortholog_1814 gene-HOLleu_11951 BL02527
ortholog_1815 gene-HOLleu_11957 BL19689
ortholog_1816 gene-HOLleu_11958 BL00461
ortholog_1817 gene-HOLleu_11959 BL02504
ortholog_1818 gene-HOLleu_11967 BL05515
ortholog_1819 gene-HOLleu_11971 BL05502
ortholog_1820 gene-HOLleu_11974 BL12462
ortholog_1821 gene-HOLleu_11975 BL05226
ortholog_1822 gene-HOLleu_11979 BL05473
ortholog_1823 gene-HOLleu_11992 BL03602
ortholog_1824 gene-HOLleu_12000 BL19636
ortholog_1825 gene-HOLleu_12003 BL05087
ortholog_1826 gene-HOLleu_12006 BL12482
ortholog_1827 gene-HOLleu_12009 BL02512
ortholog_1828 gene-HOLleu_12010 BL13413
ortholog_1829 gene-HOLleu_12018 BL05256
ortholog_1830 gene-HOLleu_12023 BL13377
ortholog_1831 gene-HOLleu_12030 BL05196
ortholog_1832 gene-HOLleu_12033 BL05270
ortholog_1833 gene-HOLleu_12037 BL02954
ortholog_1834 gene-HOLleu_12042 BL05842
ortholog_1835 gene-HOLleu_12045 BL12430
ortholog_1836 gene-HOLleu_12062 BL05572
ortholog_1837 gene-HOLleu_12066 BL05258
ortholog_1838 gene-HOLleu_12069 BL01690
ortholog_1839 gene-HOLleu_12076 BL10096
ortholog_1840 gene-HOLleu_12079 BL05028
ortholog_1841 gene-HOLleu_12083 BL12867
ortholog_1842 gene-HOLleu_12085 BL10275
ortholog_1843 gene-HOLleu_12087 BL03591
ortholog_1844 gene-HOLleu_12086 BL19714
ortholog_1845 gene-HOLleu_12097 BL05112
ortholog_1846 gene-HOLleu_12114 BL05274
ortholog_1847 gene-HOLleu_12115 BL05147
ortholog_1848 gene-HOLleu_12139 BL19693
ortholog_1849 gene-HOLleu_12140 BL12915
ortholog_1850 gene-HOLleu_12141 BL05410
ortholog_1851 gene-HOLleu_12143 BL05064
ortholog_1852 gene-HOLleu_12147 BL05063
ortholog_1853 gene-HOLleu_12152 BL10418
ortholog_1854 gene-HOLleu_12154 BL05075
ortholog_1855 gene-HOLleu_12155 BL12050
ortholog_1856 gene-HOLleu_12156 BL05328
ortholog_1857 gene-HOLleu_12157 BL05329
ortholog_1858 gene-HOLleu_12162 BL10671
ortholog_1859 gene-HOLleu_12164 BL09420
ortholog_1860 gene-HOLleu_12166 BL05568
ortholog_1861 gene-HOLleu_12168 BL05493
ortholog_1862 gene-HOLleu_12169 BL19711
ortholog_1863 gene-HOLleu_12171 BL07154
ortholog_1864 gene-HOLleu_12177 BL05514
ortholog_1865 gene-HOLleu_12178 BL05466
ortholog_1866 gene-HOLleu_12179 BL05467
ortholog_1867 gene-HOLleu_12180 BL19709
ortholog_1868 gene-HOLleu_12181 BL03809
ortholog_1869 gene-HOLleu_12182 BL15847
ortholog_1870 gene-HOLleu_12183 BL19728
ortholog_1871 gene-HOLleu_12186 BL04947
ortholog_1872 gene-HOLleu_12203 BL05475
ortholog_1873 gene-HOLleu_12211 BL10385
ortholog_1874 gene-HOLleu_12217 BL05085
ortholog_1875 gene-HOLleu_12225 BL05511
ortholog_1876 gene-HOLleu_12226 BL04951
ortholog_1877 gene-HOLleu_12229 BL05026
ortholog_1878 gene-HOLleu_12230 BL19935
ortholog_1879 gene-HOLleu_12232 BL05025
ortholog_1880 gene-HOLleu_12233 BL05299
ortholog_1881 gene-HOLleu_12234 BL24609
ortholog_1882 gene-HOLleu_12239 BL05412
ortholog_1883 gene-HOLleu_12246 BL05573
ortholog_1884 gene-HOLleu_12248 BL05344
ortholog_1885 gene-HOLleu_12252 BL03620
ortholog_1886 gene-HOLleu_12264 BL05394
ortholog_1887 gene-HOLleu_12265 BL05104
ortholog_1888 gene-HOLleu_12282 BL05476
ortholog_1889 gene-HOLleu_12285 BL10276
ortholog_1890 gene-HOLleu_12286 BL10277
ortholog_1891 gene-HOLleu_12287 BL05105
ortholog_1892 gene-HOLleu_12291 BL19647
ortholog_1893 gene-HOLleu_12293 BL19648
ortholog_1894 gene-HOLleu_12295 BL02517
ortholog_1895 gene-HOLleu_12297 BL00089
ortholog_1896 gene-HOLleu_12298 BL05557
ortholog_1897 gene-HOLleu_12301 BL05254
ortholog_1898 gene-HOLleu_12302 BL05148
ortholog_1899 gene-HOLleu_12323 BL07732
ortholog_1900 gene-HOLleu_12345 BL05253
ortholog_1901 gene-HOLleu_12346 BL10312
ortholog_1902 gene-HOLleu_12347 BL10306
ortholog_1903 gene-HOLleu_12351 BL14506
ortholog_1904 gene-HOLleu_12353 BL05171
ortholog_1905 gene-HOLleu_12359 BL14504
ortholog_1906 gene-HOLleu_12372 BL07759
ortholog_1907 gene-HOLleu_12381 BL05387
ortholog_1908 gene-HOLleu_12386 BL19680
ortholog_1909 gene-HOLleu_12390 BL10379
ortholog_1910 gene-HOLleu_12392 BL06021
ortholog_1911 gene-HOLleu_12394 BL03605
ortholog_1912 gene-HOLleu_12400 BL07002
ortholog_1913 gene-HOLleu_12411 BL05336
ortholog_1914 gene-HOLleu_12417 BL05059
ortholog_1915 gene-HOLleu_12421 BL05388
ortholog_1916 gene-HOLleu_12423 BL05277
ortholog_1917 gene-HOLleu_12432 BL02494
ortholog_1918 gene-HOLleu_12433 BL05512
ortholog_1919 gene-HOLleu_12435 BL15347
ortholog_1920 gene-HOLleu_12436 BL21885
ortholog_1921 gene-HOLleu_12438 BL05474
ortholog_1922 gene-HOLleu_12440 BL05310
ortholog_1923 gene-HOLleu_12451 BL05614
ortholog_1924 gene-HOLleu_12454 BL05326
ortholog_1925 gene-HOLleu_12461 BL12463
ortholog_1926 gene-HOLleu_12462 BL02510
ortholog_1927 gene-HOLleu_12466 BL04952
ortholog_1928 gene-HOLleu_12468 BL05103
ortholog_1929 gene-HOLleu_12472 BL05114
ortholog_1930 gene-HOLleu_12473 BL05417
ortholog_1931 gene-HOLleu_12475 BL07297
ortholog_1932 gene-HOLleu_12480 BL05188
ortholog_1933 gene-HOLleu_12484 BL05086
ortholog_1934 gene-HOLleu_12486 BL05009
ortholog_1935 gene-HOLleu_12491 BL24653
ortholog_1936 gene-HOLleu_12492 BL08577
ortholog_1937 gene-HOLleu_12494 BL05123
ortholog_1938 gene-HOLleu_12499 BL05559
ortholog_1939 gene-HOLleu_12501 BL12034
ortholog_1940 gene-HOLleu_12502 BL06150
ortholog_1941 gene-HOLleu_12506 BL05371
ortholog_1942 gene-HOLleu_12509 BL10804
ortholog_1943 gene-HOLleu_12514 BL01021
ortholog_1944 gene-HOLleu_12519 BL02524
ortholog_1945 gene-HOLleu_12521 BL05318
ortholog_1946 gene-HOLleu_12535 BL05509
ortholog_1947 gene-HOLleu_12542 BL22650
ortholog_1948 gene-HOLleu_12546 BL12471
ortholog_1949 gene-HOLleu_12547 BL12469
ortholog_1950 gene-HOLleu_12548 BL12467
ortholog_1951 gene-HOLleu_12550 BL03273
ortholog_1952 gene-HOLleu_12551 BL05069
ortholog_1953 gene-HOLleu_12552 BL05068
ortholog_1954 gene-HOLleu_12553 BL05078
ortholog_1955 gene-HOLleu_12555 BL05308
ortholog_1956 gene-HOLleu_12560 BL04953
ortholog_1957 gene-HOLleu_12564 BL13595
ortholog_1958 gene-HOLleu_12565 BL02530
ortholog_1959 gene-HOLleu_12567 BL23897
ortholog_1960 gene-HOLleu_12570 BL25740
ortholog_1961 gene-HOLleu_12574 BL05520
ortholog_1962 gene-HOLleu_12580 BL26139
ortholog_1963 gene-HOLleu_12581 BL05567
ortholog_1964 gene-HOLleu_12582 BL05452
ortholog_1965 gene-HOLleu_12583 BL05360
ortholog_1966 gene-HOLleu_12586 BL19668
ortholog_1967 gene-HOLleu_12587 BL05451
ortholog_1968 gene-HOLleu_12594 BL05107
ortholog_1969 gene-HOLleu_12603 BL05117
ortholog_1970 gene-HOLleu_12608 BL05338
ortholog_1971 gene-HOLleu_12613 BL05137
ortholog_1972 gene-HOLleu_12614 BL12032
ortholog_1973 gene-HOLleu_12616 BL05495
ortholog_1974 gene-HOLleu_12622 BL05496
ortholog_1975 gene-HOLleu_12624 BL05497
ortholog_1976 gene-HOLleu_12629 BL05494
ortholog_1977 gene-HOLleu_12639 BL05053
ortholog_1978 gene-HOLleu_12640 BL15888
ortholog_1979 gene-HOLleu_12647 BL12051
ortholog_1980 gene-HOLleu_12648 BL14487
ortholog_1981 gene-HOLleu_12650 BL05404
ortholog_1982 gene-HOLleu_12653 BL03619
ortholog_1983 gene-HOLleu_12655 BL05066
ortholog_1984 gene-HOLleu_12656 BL05546
ortholog_1985 gene-HOLleu_12659 BL09534
ortholog_1986 gene-HOLleu_12660 BL12442
ortholog_1987 gene-HOLleu_12663 BL05263
ortholog_1988 gene-HOLleu_12668 BL05302
ortholog_1989 gene-HOLleu_12679 BL12457
ortholog_1990 gene-HOLleu_12680 BL18744
ortholog_1991 gene-HOLleu_12683 BL05165
ortholog_1992 gene-HOLleu_12685 BL05040
ortholog_1993 gene-HOLleu_12687 BL25216
ortholog_1994 gene-HOLleu_12688 BL19665
ortholog_1995 gene-HOLleu_12691 BL05128
ortholog_1996 gene-HOLleu_12692 BL12484
ortholog_1997 gene-HOLleu_12694 BL12033
ortholog_1998 gene-HOLleu_12696 BL16779
ortholog_1999 gene-HOLleu_12700 BL19635
ortholog_2000 gene-HOLleu_12704 BL15954
ortholog_2001 gene-HOLleu_12706 BL10305
ortholog_2002 gene-HOLleu_12708 BL11994
ortholog_2003 gene-HOLleu_12712 BL05041
ortholog_2004 gene-HOLleu_12713 BL15430
ortholog_2005 gene-HOLleu_12714 BL02515
ortholog_2006 gene-HOLleu_12717 BL09573
ortholog_2007 gene-HOLleu_12726 BL20407
ortholog_2008 gene-HOLleu_12728 BL19716
ortholog_2009 gene-HOLleu_12729 BL17794
ortholog_2010 gene-HOLleu_12731 BL05141
ortholog_2011 gene-HOLleu_12732 BL10416
ortholog_2012 gene-HOLleu_12734 BL10415
ortholog_2013 gene-HOLleu_12735 BL00088
ortholog_2014 gene-HOLleu_12736 BL05001
ortholog_2015 gene-HOLleu_12738 BL19756
ortholog_2016 gene-HOLleu_12741 BL02495
ortholog_2017 gene-HOLleu_12746 BL06595
ortholog_2018 gene-HOLleu_12747 BL10419
ortholog_2019 gene-HOLleu_12750 BL05373
ortholog_2020 gene-HOLleu_12754 BL02630
ortholog_2021 gene-HOLleu_12756 BL12870
ortholog_2022 gene-HOLleu_12760 BL05177
ortholog_2023 gene-HOLleu_12762 BL07514
ortholog_2024 gene-HOLleu_12764 BL17604
ortholog_2025 gene-HOLleu_12768 BL02525
ortholog_2026 gene-HOLleu_12769 BL17593
ortholog_2027 gene-HOLleu_12771 BL05405
ortholog_2028 gene-HOLleu_12773 BL05406
ortholog_2029 gene-HOLleu_12774 BL05409
ortholog_2030 gene-HOLleu_12782 BL04974
ortholog_2031 gene-HOLleu_12784 BL09574
ortholog_2032 gene-HOLleu_12785 BL03623
ortholog_2033 gene-HOLleu_12786 BL05490
ortholog_2034 gene-HOLleu_12787 BL05526
ortholog_2035 gene-HOLleu_12789 BL05400
ortholog_2036 gene-HOLleu_12790 BL00337
ortholog_2037 gene-HOLleu_12793 BL05382
ortholog_2038 gene-HOLleu_12794 BL05010
ortholog_2039 gene-HOLleu_12798 BL27277
ortholog_2040 gene-HOLleu_12802 BL03579
ortholog_2041 gene-HOLleu_12815 BL12779
ortholog_2042 gene-HOLleu_12816 BL01951
ortholog_2043 gene-HOLleu_12820 BL14596
ortholog_2044 gene-HOLleu_12829 BL00040
ortholog_2045 gene-HOLleu_12831 BL05251
ortholog_2046 gene-HOLleu_12837 BL12889
ortholog_2047 gene-HOLleu_12838 BL15604
ortholog_2048 gene-HOLleu_12839 BL09805
ortholog_2049 gene-HOLleu_12840 BL09547
ortholog_2050 gene-HOLleu_12841 BL05295
ortholog_2051 gene-HOLleu_12842 BL05491
ortholog_2052 gene-HOLleu_12847 BL09568
ortholog_2053 gene-HOLleu_12861 BL10374
ortholog_2054 gene-HOLleu_12863 BL21656
ortholog_2055 gene-HOLleu_12870 BL10330
ortholog_2056 gene-HOLleu_12871 BL05575
ortholog_2057 gene-HOLleu_12872 BL19783
ortholog_2058 gene-HOLleu_12876 BL05020
ortholog_2059 gene-HOLleu_12877 BL23747
ortholog_2060 gene-HOLleu_12880 BL05208
ortholog_2061 gene-HOLleu_12889 BL14724
ortholog_2062 gene-HOLleu_12891 BL03603
ortholog_2063 gene-HOLleu_12899 BL05190
ortholog_2064 gene-HOLleu_12902 BL05386
ortholog_2065 gene-HOLleu_12906 BL10359
ortholog_2066 gene-HOLleu_12908 BL25492
ortholog_2067 gene-HOLleu_12910 BL19727
ortholog_2068 gene-HOLleu_12911 BL10339
ortholog_2069 gene-HOLleu_12912 BL05500
ortholog_2070 gene-HOLleu_12918 BL04954
ortholog_2071 gene-HOLleu_12919 BL05395
ortholog_2072 gene-HOLleu_12920 BL05323
ortholog_2073 gene-HOLleu_12923 BL05322
ortholog_2074 gene-HOLleu_12924 BL05321
ortholog_2075 gene-HOLleu_12926 BL05320
ortholog_2076 gene-HOLleu_12929 BL12857
ortholog_2077 gene-HOLleu_12930 BL12884
ortholog_2078 gene-HOLleu_12932 BL12885
ortholog_2079 gene-HOLleu_12933 BL10314
ortholog_2080 gene-HOLleu_12934 BL06323
ortholog_2081 gene-HOLleu_12935 BL05566
ortholog_2082 gene-HOLleu_12937 BL12486
ortholog_2083 gene-HOLleu_12938 BL05145
ortholog_2084 gene-HOLleu_12943 BL12021
ortholog_2085 gene-HOLleu_12944 BL12022
ortholog_2086 gene-HOLleu_12948 BL08116
ortholog_2087 gene-HOLleu_12950 BL19683
ortholog_2088 gene-HOLleu_12951 BL10832
ortholog_2089 gene-HOLleu_12956 BL03599
ortholog_2090 gene-HOLleu_12959 BL07064
ortholog_2091 gene-HOLleu_12963 BL19771
ortholog_2092 gene-HOLleu_12964 BL19684
ortholog_2093 gene-HOLleu_12965 BL19685
ortholog_2094 gene-HOLleu_12966 BL12047
ortholog_2095 gene-HOLleu_12968 BL04993
ortholog_2096 gene-HOLleu_12973 BL05262
ortholog_2097 gene-HOLleu_12975 BL05260
ortholog_2098 gene-HOLleu_12980 BL05543
ortholog_2099 gene-HOLleu_12989 BL21448
ortholog_2100 gene-HOLleu_12992 BL05232
ortholog_2101 gene-HOLleu_13002 BL03564
ortholog_2102 gene-HOLleu_13004 BL12881
ortholog_2103 gene-HOLleu_13006 BL05250
ortholog_2104 gene-HOLleu_13007 BL03826
ortholog_2105 gene-HOLleu_13009 BL05358
ortholog_2106 gene-HOLleu_13033 BL10408
ortholog_2107 gene-HOLleu_13034 BL10407
ortholog_2108 gene-HOLleu_13037 BL10315
ortholog_2109 gene-HOLleu_13038 BL26875
ortholog_2110 gene-HOLleu_13040 BL24203
ortholog_2111 gene-HOLleu_13045 BL09776
ortholog_2112 gene-HOLleu_13048 BL12026
ortholog_2113 gene-HOLleu_13067 BL12868
ortholog_2114 gene-HOLleu_13069 BL02851
ortholog_2115 gene-HOLleu_13072 BL02529
ortholog_2116 gene-HOLleu_13075 BL19664
ortholog_2117 gene-HOLleu_13079 BL17695
ortholog_2118 gene-HOLleu_13082 BL05498
ortholog_2119 gene-HOLleu_13090 BL05193
ortholog_2120 gene-HOLleu_13091 BL05194
ortholog_2121 gene-HOLleu_13092 BL02288
ortholog_2122 gene-HOLleu_13096 BL05339
ortholog_2123 gene-HOLleu_13097 BL05181
ortholog_2124 gene-HOLleu_13100 BL27773
ortholog_2125 gene-HOLleu_13101 BL10298
ortholog_2126 gene-HOLleu_13103 BL10280
ortholog_2127 gene-HOLleu_13107 BL05380
ortholog_2128 gene-HOLleu_13110 BL12477
ortholog_2129 gene-HOLleu_13115 BL09035
ortholog_2130 gene-HOLleu_13127 BL05306
ortholog_2131 gene-HOLleu_13128 BL05076
ortholog_2132 gene-HOLleu_13129 BL05275
ortholog_2133 gene-HOLleu_13135 BL12878
ortholog_2134 gene-HOLleu_13138 BL05019
ortholog_2135 gene-HOLleu_13140 BL02526
ortholog_2136 gene-HOLleu_13141 BL10000
ortholog_2137 gene-HOLleu_13143 BL10389
ortholog_2138 gene-HOLleu_13144 BL10321
ortholog_2139 gene-HOLleu_13145 BL10320
ortholog_2140 gene-HOLleu_13149 BL19713
ortholog_2141 gene-HOLleu_13150 BL05305
ortholog_2142 gene-HOLleu_13159 BL13868
ortholog_2143 gene-HOLleu_13172 BL05551
ortholog_2144 gene-HOLleu_13176 BL04999
ortholog_2145 gene-HOLleu_13191 BL05292
ortholog_2146 gene-HOLleu_13193 BL18628
ortholog_2147 gene-HOLleu_13195 BL12876
ortholog_2148 gene-HOLleu_13196 BL12420
ortholog_2149 gene-HOLleu_13198 BL24516
ortholog_2150 gene-HOLleu_13214 BL13175
ortholog_2151 gene-HOLleu_13222 BL10284
ortholog_2152 gene-HOLleu_13223 BL10279
ortholog_2153 gene-HOLleu_13224 BL05505
ortholog_2154 gene-HOLleu_13226 BL00087
ortholog_2155 gene-HOLleu_13225 BL05359
ortholog_2156 gene-HOLleu_13228 BL19669
ortholog_2157 gene-HOLleu_13232 BL12888
ortholog_2158 gene-HOLleu_13233 BL12414
ortholog_2159 gene-HOLleu_13249 BL03583
