ortholog_1 g178 gene-HOLleu_44920
ortholog_1217 g32392 gene-HOLleu_34973
ortholog_1218 g32422 gene-HOLleu_35062
ortholog_1219 g32529 gene-HOLleu_35194
ortholog_1220 g32642 gene-HOLleu_34338
ortholog_1221 g32697 gene-HOLleu_35344
ortholog_1222 g32716 gene-HOLleu_34555
ortholog_1223 g32729 gene-HOLleu_34370
ortholog_1224 g32733 gene-HOLleu_34931
ortholog_1225 g32776 gene-HOLleu_14729
ortholog_1226 g32810 gene-HOLleu_24949
ortholog_1227 g32817 gene-HOLleu_27553
ortholog_1228 g32841 gene-HOLleu_35061
ortholog_1229 g32924 gene-HOLleu_35003
ortholog_1230 g32940 gene-HOLleu_37905
ortholog_1231 g32952 gene-HOLleu_34320
ortholog_1232 g32969 gene-HOLleu_08026
ortholog_1233 g32980 gene-HOLleu_35000
ortholog_1234 g32981 gene-HOLleu_34964
ortholog_1235 g32993 gene-HOLleu_34975
ortholog_1236 g32994 gene-HOLleu_34686
ortholog_1237 g33025 gene-HOLleu_20568
ortholog_1238 g33078 gene-HOLleu_35466
ortholog_1239 g33128 gene-HOLleu_39199
ortholog_1240 g33141 gene-HOLleu_34682
ortholog_1241 g33159 gene-HOLleu_35383
ortholog_1242 g33175 gene-HOLleu_27062
ortholog_1243 g33218 gene-HOLleu_25271
ortholog_1244 g33220 gene-HOLleu_24710
ortholog_1245 g33277 gene-HOLleu_25496
ortholog_1246 g33315 gene-HOLleu_34302
ortholog_1247 g33332 gene-HOLleu_34791
ortholog_1248 g33336 gene-HOLleu_34539
ortholog_1249 g33363 gene-HOLleu_31452
ortholog_1250 g33378 gene-HOLleu_34527
ortholog_1251 g33380 gene-HOLleu_22274
ortholog_1252 g33393 gene-HOLleu_34521
ortholog_1253 g33428 gene-HOLleu_25968
ortholog_1254 g33440 gene-HOLleu_34987
ortholog_1255 g33478 gene-HOLleu_35060
ortholog_1256 g33520 gene-HOLleu_16914
ortholog_1257 g33539 gene-HOLleu_34520
ortholog_1258 g33552 gene-HOLleu_13702
ortholog_1259 g33761 gene-HOLleu_35186
ortholog_1260 g33784 gene-HOLleu_35044
ortholog_1261 g33795 gene-HOLleu_34718
ortholog_1262 g33824 gene-HOLleu_04863
ortholog_1263 g33830 gene-HOLleu_34857
ortholog_1264 g33832 gene-HOLleu_34856
ortholog_1265 g33835 gene-HOLleu_34723
ortholog_1266 g34012 gene-HOLleu_34738
ortholog_1267 g34064 gene-HOLleu_34968
ortholog_1268 g34086 gene-HOLleu_19273
ortholog_1269 g34094 gene-HOLleu_03439
ortholog_1270 g34497 gene-HOLleu_21152
ortholog_1271 g34581 gene-HOLleu_42445
ortholog_1272 g34582 gene-HOLleu_42447
ortholog_1273 g34736 gene-HOLleu_11992
ortholog_1274 g34890 gene-HOLleu_06860
ortholog_1275 g34949 gene-HOLleu_27438
ortholog_1276 g34953 gene-HOLleu_39284
ortholog_1277 g35021 gene-HOLleu_27187
ortholog_1278 g35195 gene-HOLleu_14886
ortholog_1279 g35210 gene-HOLleu_44874
ortholog_1280 g35300 gene-HOLleu_04613
ortholog_1281 g35378 gene-HOLleu_04242
ortholog_1282 g35407 gene-HOLleu_28368
ortholog_1283 g35435 gene-HOLleu_43078
ortholog_1284 g35522 gene-HOLleu_28113
ortholog_1285 g35987 gene-HOLleu_28306
ortholog_1286 g36205 gene-HOLleu_01087
ortholog_1287 g36257 gene-HOLleu_43583
ortholog_1288 g36392 gene-HOLleu_21045
ortholog_1289 g36836 gene-HOLleu_43967
ortholog_1290 g36863 gene-HOLleu_01205
ortholog_1291 g36864 gene-HOLleu_02408
ortholog_1292 g37008 gene-HOLleu_21753
ortholog_1293 g37093 gene-HOLleu_08844
ortholog_1294 g37199 gene-HOLleu_27915
ortholog_1295 g37259 gene-HOLleu_40717
ortholog_1296 g37351 gene-HOLleu_29668
ortholog_1297 g37470 gene-HOLleu_19282
ortholog_1298 g37547 gene-HOLleu_19476
ortholog_1299 g37554 gene-HOLleu_19939
ortholog_1300 g37562 gene-HOLleu_04137
ortholog_1301 g37779 gene-HOLleu_07070
ortholog_1302 g37963 gene-HOLleu_43720
ortholog_1303 g38057 gene-HOLleu_12026
ortholog_1304 g38182 gene-HOLleu_15088
ortholog_1305 g38218 gene-HOLleu_33565
ortholog_1306 g38262 gene-HOLleu_20051
ortholog_1307 g38276 gene-HOLleu_20049
ortholog_1308 g38284 gene-HOLleu_19575
ortholog_1309 g38326 gene-HOLleu_20310
ortholog_1310 g38392 gene-HOLleu_20139
ortholog_1311 g38440 gene-HOLleu_19744
ortholog_1312 g38577 gene-HOLleu_11269
ortholog_1313 g38652 gene-HOLleu_20513
ortholog_1314 g38673 gene-HOLleu_19609
ortholog_1315 g38684 gene-HOLleu_19746
ortholog_1316 g38952 gene-HOLleu_19576
ortholog_1317 g38969 gene-HOLleu_19615
ortholog_1318 g39019 gene-HOLleu_19776
ortholog_1319 g39220 gene-HOLleu_23043
ortholog_1320 g39281 gene-HOLleu_20807
ortholog_1321 g39297 gene-HOLleu_19357
ortholog_1322 g39315 gene-HOLleu_20588
ortholog_1323 g39337 gene-HOLleu_20587
ortholog_1324 g39351 gene-HOLleu_20015
ortholog_1325 g39404 gene-HOLleu_20634
ortholog_1326 g39439 gene-HOLleu_19321
ortholog_1327 g39441 gene-HOLleu_45282
ortholog_1328 g39446 gene-HOLleu_19669
ortholog_1329 g39512 gene-HOLleu_19253
ortholog_1330 g39527 gene-HOLleu_19283
ortholog_1331 g39539 gene-HOLleu_23840
ortholog_1332 g39558 gene-HOLleu_20215
ortholog_1333 g39560 gene-HOLleu_19608
ortholog_1334 g39573 gene-HOLleu_20805
ortholog_1335 g39606 gene-HOLleu_20359
ortholog_1336 g39702 gene-HOLleu_19745
ortholog_1337 g39707 gene-HOLleu_19777
ortholog_1338 g39714 gene-HOLleu_19844
ortholog_1339 g39716 gene-HOLleu_20055
ortholog_1340 g39729 gene-HOLleu_19303
ortholog_1341 g39747 gene-HOLleu_19247
ortholog_1342 g39884 gene-HOLleu_20678
ortholog_1343 g39938 gene-HOLleu_19328
ortholog_1344 g40019 gene-HOLleu_35949
ortholog_1345 g40087 gene-HOLleu_42112
ortholog_1346 g40126 gene-HOLleu_10553
ortholog_1347 g40281 gene-HOLleu_44171
ortholog_1348 g40330 gene-HOLleu_20326
ortholog_1349 g40344 gene-HOLleu_20532
ortholog_1350 g40349 gene-HOLleu_20652
ortholog_1351 g40352 gene-HOLleu_28770
ortholog_1352 g40378 gene-HOLleu_15557
ortholog_1353 g40380 gene-HOLleu_20421
ortholog_1354 g40382 gene-HOLleu_19298
ortholog_1355 g40454 gene-HOLleu_15277
ortholog_1356 g40492 gene-HOLleu_20620
ortholog_1357 g40520 gene-HOLleu_28872
ortholog_1358 g40525 gene-HOLleu_29110
ortholog_1359 g40574 gene-HOLleu_43796
ortholog_1360 g40593 gene-HOLleu_03882
ortholog_1361 g40668 gene-HOLleu_19845
ortholog_1362 g40687 gene-HOLleu_37884
ortholog_1363 g40729 gene-HOLleu_01110
ortholog_1364 g40730 gene-HOLleu_08340
ortholog_1365 g40780 gene-HOLleu_41741
ortholog_1366 g40861 gene-HOLleu_20718
ortholog_1367 g40976 gene-HOLleu_09351
ortholog_1368 g41023 gene-HOLleu_00656
ortholog_1369 g41048 gene-HOLleu_44058
ortholog_1370 g41053 gene-HOLleu_34883
ortholog_1371 g41106 gene-HOLleu_20261
ortholog_1372 g41179 gene-HOLleu_20018
ortholog_1373 g41180 gene-HOLleu_20400
ortholog_1374 g41272 gene-HOLleu_22410
ortholog_1375 g41306 gene-HOLleu_01500
ortholog_1376 g41349 gene-HOLleu_10497
ortholog_1377 g41394 gene-HOLleu_39660
ortholog_1378 g41451 gene-HOLleu_20519
ortholog_1379 g41475 gene-HOLleu_29996
ortholog_1380 g41489 gene-HOLleu_00365
ortholog_1381 g41535 gene-HOLleu_43470
ortholog_1382 g41544 gene-HOLleu_43109
ortholog_1383 g41565 gene-HOLleu_20641
ortholog_1384 g41585 gene-HOLleu_19364
ortholog_1385 g41769 gene-HOLleu_19235
ortholog_1386 g41798 gene-HOLleu_19301
ortholog_1387 g41898 gene-HOLleu_32031
ortholog_1388 g41921 gene-HOLleu_20804
ortholog_1389 g41934 gene-HOLleu_20004
ortholog_1390 g41963 gene-HOLleu_10563
ortholog_1391 g41968 gene-HOLleu_11790
ortholog_1392 g41980 gene-HOLleu_34218
ortholog_1393 g42042 gene-HOLleu_00544
ortholog_1394 g42057 gene-HOLleu_02348
ortholog_1395 g42059 gene-HOLleu_03726
ortholog_1396 g42138 gene-HOLleu_19854
ortholog_1397 g42162 gene-HOLleu_22837
ortholog_1398 g42166 gene-HOLleu_22838
ortholog_1399 g42236 gene-HOLleu_20572
ortholog_1400 g42269 gene-HOLleu_41726
ortholog_1401 g42333 gene-HOLleu_44518
ortholog_1402 g42409 gene-HOLleu_41140
ortholog_1403 g42417 gene-HOLleu_10217
ortholog_1404 g42457 gene-HOLleu_02453
ortholog_1405 g42460 gene-HOLleu_31320
ortholog_1406 g42692 gene-HOLleu_20507
ortholog_1407 g42696 gene-HOLleu_30568
ortholog_1408 g42716 gene-HOLleu_32694
ortholog_1409 g42717 gene-HOLleu_03628
ortholog_1410 g42729 gene-HOLleu_20766
ortholog_1411 g42785 gene-HOLleu_20534
ortholog_1412 g42796 gene-HOLleu_19315
ortholog_1413 g42803 gene-HOLleu_25703
ortholog_1414 g42829 gene-HOLleu_19915
ortholog_1415 g42882 gene-HOLleu_20725
ortholog_1416 g42886 gene-HOLleu_19465
ortholog_1417 g42893 gene-HOLleu_21916
ortholog_1418 g43007 gene-HOLleu_19327
ortholog_1419 g43025 gene-HOLleu_19326
ortholog_1420 g43170 gene-HOLleu_14171
ortholog_1421 g43245 gene-HOLleu_20621
ortholog_1422 g43290 gene-HOLleu_19230
ortholog_1423 g43375 gene-HOLleu_20610
ortholog_1424 g43395 gene-HOLleu_08283
ortholog_1425 g43411 gene-HOLleu_20103
ortholog_1426 g43424 gene-HOLleu_01547
ortholog_1427 g43437 gene-HOLleu_19395
ortholog_1428 g43441 gene-HOLleu_17732
ortholog_1429 g43460 gene-HOLleu_10590
ortholog_1430 g43613 gene-HOLleu_20096
ortholog_1431 g43638 gene-HOLleu_27229
ortholog_1432 g43642 gene-HOLleu_36066
ortholog_1433 g43726 gene-HOLleu_44027
ortholog_1434 g43750 gene-HOLleu_01596
ortholog_1435 g43766 gene-HOLleu_07270
ortholog_1436 g43871 gene-HOLleu_30512
ortholog_1437 g43897 gene-HOLleu_19341
ortholog_1438 g43918 gene-HOLleu_20773
ortholog_1439 g44016 gene-HOLleu_19387
ortholog_1440 g44037 gene-HOLleu_19355
ortholog_1441 g44058 gene-HOLleu_19590
ortholog_1442 g44198 gene-HOLleu_36043
ortholog_1443 g44264 gene-HOLleu_19868
ortholog_1444 g44315 gene-HOLleu_19986
ortholog_1445 g44317 gene-HOLleu_19979
ortholog_1446 g44324 gene-HOLleu_19469
ortholog_1447 g44329 gene-HOLleu_23325
ortholog_1448 g44339 gene-HOLleu_19339
ortholog_1449 g44372 gene-HOLleu_20708
ortholog_1450 g44430 gene-HOLleu_40859
ortholog_1451 g44432 gene-HOLleu_09733
ortholog_1452 g44450 gene-HOLleu_19843
ortholog_1453 g44546 gene-HOLleu_20050
ortholog_1454 g44564 gene-HOLleu_20154
ortholog_1455 g44595 gene-HOLleu_19436
ortholog_1456 g44631 gene-HOLleu_00698
ortholog_1457 g44632 gene-HOLleu_24467
ortholog_1458 g44661 gene-HOLleu_19392
ortholog_1459 g44672 gene-HOLleu_43526
ortholog_1460 g44738 gene-HOLleu_11138
ortholog_1461 g44809 gene-HOLleu_04680
ortholog_1462 g44830 gene-HOLleu_18980
ortholog_1463 g44912 gene-HOLleu_20110
ortholog_1464 g45069 gene-HOLleu_04670
ortholog_1465 g45080 gene-HOLleu_28636
ortholog_1466 g45087 gene-HOLleu_06186
ortholog_1467 g45152 gene-HOLleu_35020
ortholog_1468 g45267 gene-HOLleu_19606
ortholog_1469 g45340 gene-HOLleu_20467
ortholog_1470 g45349 gene-HOLleu_16967
ortholog_1471 g45451 gene-HOLleu_19825
ortholog_1472 g45464 gene-HOLleu_20244
ortholog_1473 g45468 gene-HOLleu_20242
ortholog_1474 g45483 gene-HOLleu_20241
ortholog_1475 g45504 gene-HOLleu_20012
ortholog_1476 g45545 gene-HOLleu_19919
ortholog_1477 g45564 gene-HOLleu_19738
ortholog_1478 g45577 gene-HOLleu_17705
ortholog_1479 g45730 gene-HOLleu_31606
ortholog_1480 g45822 gene-HOLleu_19313
ortholog_1481 g45825 gene-HOLleu_29820
ortholog_1482 g45839 gene-HOLleu_22712
ortholog_1483 g45889 gene-HOLleu_27721
ortholog_1484 g45997 gene-HOLleu_43520
ortholog_1485 g46094 gene-HOLleu_43201
ortholog_1486 g46267 gene-HOLleu_29359
ortholog_1487 g46383 gene-HOLleu_31799
ortholog_1488 g46433 gene-HOLleu_17760
ortholog_1489 g46480 gene-HOLleu_19772
ortholog_1490 g46548 gene-HOLleu_07222
ortholog_1491 g46552 gene-HOLleu_22076
ortholog_1492 g46568 gene-HOLleu_30612
ortholog_1493 g46569 gene-HOLleu_30846
ortholog_1494 g46714 gene-HOLleu_28424
ortholog_1495 g46769 gene-HOLleu_14250
ortholog_1496 g46790 gene-HOLleu_28081
ortholog_1497 g46860 gene-HOLleu_07045
ortholog_1498 g47014 gene-HOLleu_32346
ortholog_1499 g47054 gene-HOLleu_34802
ortholog_1500 g47060 gene-HOLleu_21099
ortholog_1501 g47119 gene-HOLleu_44521
ortholog_1502 g47265 gene-HOLleu_22294
ortholog_1503 g47383 gene-HOLleu_42857
ortholog_1504 g47388 gene-HOLleu_41644
ortholog_1505 g47516 gene-HOLleu_43461
ortholog_1506 g47518 gene-HOLleu_40854
ortholog_1507 g47519 gene-HOLleu_40853
ortholog_1508 g47574 gene-HOLleu_31319
ortholog_1509 g47617 gene-HOLleu_37231
ortholog_1510 g47642 gene-HOLleu_38904
ortholog_1511 g47732 gene-HOLleu_21100
ortholog_1512 g47807 gene-HOLleu_22358
ortholog_1513 g47882 gene-HOLleu_44476
ortholog_1514 g47883 gene-HOLleu_06985
ortholog_1515 g47912 gene-HOLleu_11785
ortholog_1516 g47945 gene-HOLleu_11725
ortholog_1517 g47966 gene-HOLleu_36978
ortholog_1518 g48020 gene-HOLleu_10820
ortholog_1519 g48034 gene-HOLleu_24890
ortholog_1520 g48067 gene-HOLleu_01543
ortholog_1521 g48111 gene-HOLleu_25882
ortholog_1522 g48167 gene-HOLleu_22649
ortholog_1523 g48210 gene-HOLleu_18689
ortholog_1524 g48244 gene-HOLleu_22119
ortholog_1525 g48245 gene-HOLleu_22122
ortholog_1526 g48459 gene-HOLleu_22677
ortholog_1527 g48484 gene-HOLleu_03754
ortholog_1528 g48505 gene-HOLleu_21031
ortholog_1529 g48523 gene-HOLleu_19264
ortholog_1530 g48612 gene-HOLleu_40408
ortholog_1531 g48709 gene-HOLleu_14894
ortholog_1532 g48758 gene-HOLleu_21312
ortholog_1533 g48769 gene-HOLleu_33879
ortholog_1534 g48858 gene-HOLleu_21438
ortholog_1535 g48883 gene-HOLleu_00850
ortholog_1536 g48887 gene-HOLleu_03411
ortholog_1537 g48945 gene-HOLleu_32776
ortholog_1538 g48999 gene-HOLleu_25317
ortholog_1539 g49000 gene-HOLleu_00488
ortholog_1540 g49027 gene-HOLleu_29289
ortholog_1541 g49059 gene-HOLleu_21493
ortholog_1542 g49111 gene-HOLleu_21630
ortholog_1543 g49112 gene-HOLleu_41967
ortholog_1544 g49122 gene-HOLleu_05499
ortholog_1545 g49123 gene-HOLleu_22652
ortholog_1546 g49149 gene-HOLleu_43363
ortholog_1547 g49154 gene-HOLleu_44326
ortholog_1548 g49156 gene-HOLleu_44067
ortholog_1549 g49194 gene-HOLleu_22749
ortholog_1550 g49195 gene-HOLleu_42082
ortholog_1551 g49380 gene-HOLleu_05403
ortholog_1552 g49486 gene-HOLleu_06482
ortholog_1553 g49489 gene-HOLleu_21093
ortholog_1554 g49494 gene-HOLleu_35478
ortholog_1555 g49566 gene-HOLleu_27347
ortholog_1556 g49662 gene-HOLleu_21893
ortholog_1557 g49669 gene-HOLleu_21440
ortholog_1558 g49722 gene-HOLleu_21385
ortholog_1559 g49826 gene-HOLleu_21881
ortholog_1560 g49844 gene-HOLleu_22565
ortholog_1561 g49853 gene-HOLleu_21745
ortholog_1562 g49938 gene-HOLleu_21523
ortholog_1563 g50003 gene-HOLleu_22678
ortholog_1564 g50089 gene-HOLleu_22421
ortholog_1565 g50105 gene-HOLleu_21217
ortholog_1566 g50141 gene-HOLleu_10868
ortholog_1567 g50214 gene-HOLleu_06346
ortholog_1568 g50218 gene-HOLleu_22561
ortholog_1569 g50285 gene-HOLleu_22523
ortholog_1570 g50293 gene-HOLleu_21567
ortholog_1571 g50319 gene-HOLleu_43652
ortholog_1572 g50321 gene-HOLleu_16089
ortholog_1573 g50382 gene-HOLleu_28855
ortholog_1574 g50483 gene-HOLleu_22676
ortholog_1575 g50486 gene-HOLleu_22497
ortholog_1576 g50495 gene-HOLleu_33893
ortholog_1577 g50502 gene-HOLleu_34602
ortholog_1578 g50558 gene-HOLleu_21437
ortholog_1579 g50561 gene-HOLleu_22401
ortholog_1580 g50631 gene-HOLleu_26948
ortholog_1581 g50684 gene-HOLleu_03893
ortholog_1582 g50690 gene-HOLleu_39212
ortholog_1583 g50691 gene-HOLleu_04358
ortholog_1584 g50724 gene-HOLleu_21824
ortholog_1585 g50863 gene-HOLleu_20305
ortholog_1586 g50895 gene-HOLleu_21521
ortholog_1587 g50901 gene-HOLleu_22357
ortholog_1588 g50966 gene-HOLleu_07507
ortholog_1589 g51003 gene-HOLleu_32099
ortholog_1590 g51031 gene-HOLleu_03339
ortholog_1591 g51036 gene-HOLleu_12780
ortholog_1592 g51115 gene-HOLleu_37087
ortholog_1593 g51121 gene-HOLleu_16346
ortholog_1594 g51155 gene-HOLleu_28422
ortholog_1595 g51178 gene-HOLleu_22466
ortholog_1596 g51183 gene-HOLleu_32619
ortholog_1597 g51238 gene-HOLleu_13108
ortholog_1598 g51295 gene-HOLleu_18518
ortholog_1599 g51324 gene-HOLleu_07434
ortholog_1600 g51518 gene-HOLleu_21731
ortholog_1601 g51569 gene-HOLleu_21936
ortholog_1602 g51613 gene-HOLleu_29150
ortholog_1603 g51622 gene-HOLleu_22704
ortholog_1604 g51646 gene-HOLleu_21786
ortholog_1605 g51659 gene-HOLleu_18352
ortholog_1606 g51737 gene-HOLleu_22161
ortholog_1607 g51738 gene-HOLleu_22395
ortholog_1608 g51740 gene-HOLleu_22314
ortholog_1609 g51904 gene-HOLleu_02210
ortholog_1610 g51911 gene-HOLleu_30106
ortholog_1611 g51912 gene-HOLleu_18574
ortholog_1612 g51913 gene-HOLleu_30023
ortholog_1613 g51929 gene-HOLleu_22286
ortholog_1614 g51939 gene-HOLleu_21730
ortholog_1615 g51942 gene-HOLleu_21729
ortholog_1616 g51956 gene-HOLleu_18001
ortholog_1617 g51976 gene-HOLleu_12000
ortholog_1618 g52056 gene-HOLleu_24930
ortholog_1619 g52088 gene-HOLleu_21825
ortholog_1620 g52093 gene-HOLleu_24927
ortholog_1621 g52183 gene-HOLleu_21080
ortholog_1622 g52193 gene-HOLleu_37631
ortholog_1623 g52199 gene-HOLleu_22420
ortholog_1624 g52207 gene-HOLleu_11345
ortholog_1625 g52220 gene-HOLleu_28513
ortholog_1626 g52265 gene-HOLleu_22287
ortholog_1627 g52272 gene-HOLleu_21931
ortholog_1628 g52326 gene-HOLleu_21930
ortholog_1629 g52349 gene-HOLleu_02509
ortholog_1630 g52369 gene-HOLleu_06383
ortholog_1631 g52509 gene-HOLleu_21944
ortholog_1632 g52517 gene-HOLleu_21943
ortholog_1633 g52540 gene-HOLleu_21732
ortholog_1634 g52705 gene-HOLleu_26621
ortholog_1635 g52707 gene-HOLleu_36762
ortholog_1636 g52800 gene-HOLleu_05348
ortholog_1637 g52861 gene-HOLleu_22665
ortholog_1638 g53036 gene-HOLleu_21780
ortholog_1639 g53209 gene-HOLleu_22461
ortholog_1640 g53217 gene-HOLleu_21748
ortholog_1641 g53257 gene-HOLleu_21952
ortholog_1642 g53328 gene-HOLleu_20748
ortholog_1643 g53364 gene-HOLleu_21655
ortholog_1644 g53412 gene-HOLleu_41722
ortholog_1645 g53413 gene-HOLleu_41723
ortholog_1646 g53420 gene-HOLleu_22464
ortholog_1647 g53489 gene-HOLleu_04144
ortholog_1648 g53562 gene-HOLleu_43467
ortholog_1649 g53563 gene-HOLleu_01262
ortholog_1650 g54238 gene-HOLleu_02593
ortholog_1651 g54316 gene-HOLleu_22445
ortholog_1652 g54338 gene-HOLleu_20883
ortholog_1653 g54375 gene-HOLleu_21319
ortholog_1654 g54382 gene-HOLleu_21318
ortholog_1655 g54397 gene-HOLleu_21317
ortholog_1656 g54437 gene-HOLleu_36967
ortholog_1657 g54452 gene-HOLleu_21512
ortholog_1658 g54480 gene-HOLleu_21816
ortholog_1659 g54605 gene-HOLleu_22528
ortholog_1660 g54645 gene-HOLleu_20238
ortholog_1661 g54747 gene-HOLleu_12400
ortholog_1662 g54791 gene-HOLleu_16602
ortholog_1663 g54851 gene-HOLleu_11941
ortholog_1664 g54869 gene-HOLleu_11360
ortholog_1665 g54968 gene-HOLleu_20940
ortholog_1666 g55067 gene-HOLleu_43056
ortholog_1667 g55081 gene-HOLleu_22654
ortholog_1668 g55100 gene-HOLleu_21850
ortholog_1669 g55103 gene-HOLleu_22653
ortholog_1670 g55140 gene-HOLleu_24227
ortholog_1671 g55571 gene-HOLleu_21831
ortholog_1672 g55696 gene-HOLleu_44625
ortholog_1673 g55697 gene-HOLleu_05054
ortholog_1674 g55725 gene-HOLleu_27559
ortholog_1675 g55804 gene-HOLleu_22753
ortholog_1676 g55812 gene-HOLleu_21659
ortholog_1677 g55819 gene-HOLleu_21529
ortholog_1678 g55820 gene-HOLleu_21853
ortholog_1679 g55861 gene-HOLleu_21095
ortholog_1680 g55867 gene-HOLleu_22504
ortholog_1681 g55871 gene-HOLleu_22551
ortholog_1682 g55876 gene-HOLleu_22422
ortholog_1683 g55896 gene-HOLleu_09065
ortholog_1684 g55990 gene-HOLleu_21026
ortholog_1685 g55993 gene-HOLleu_21873
ortholog_1686 g55994 gene-HOLleu_21857
ortholog_1687 g56005 gene-HOLleu_22443
ortholog_1688 g56128 gene-HOLleu_24923
ortholog_1689 g56132 gene-HOLleu_16803
ortholog_1690 g56136 gene-HOLleu_22457
ortholog_1691 g56152 gene-HOLleu_38623
ortholog_1692 g56159 gene-HOLleu_22020
ortholog_1693 g56170 gene-HOLleu_22361
ortholog_1694 g56173 gene-HOLleu_08433
ortholog_1695 g56176 gene-HOLleu_22360
ortholog_1696 g56190 gene-HOLleu_15177
ortholog_1697 g56205 gene-HOLleu_21793
ortholog_1698 g56231 gene-HOLleu_20429
ortholog_1699 g56278 gene-HOLleu_21036
ortholog_1700 g56355 gene-HOLleu_11622
ortholog_1701 g56367 gene-HOLleu_20428
ortholog_1702 g56391 gene-HOLleu_18485
ortholog_1703 g56439 gene-HOLleu_00100
ortholog_1704 g57058 gene-HOLleu_00552
ortholog_1705 g57160 gene-HOLleu_12616
ortholog_1706 g57182 gene-HOLleu_12083
ortholog_1707 g57194 gene-HOLleu_12756
ortholog_1708 g57210 gene-HOLleu_24963
ortholog_1709 g57224 gene-HOLleu_40339
ortholog_1710 g57375 gene-HOLleu_12234
ortholog_1711 g57378 gene-HOLleu_12236
ortholog_1712 g57421 gene-HOLleu_12484
ortholog_1713 g57472 gene-HOLleu_12679
ortholog_1714 g57499 gene-HOLleu_12087
ortholog_1715 g57547 gene-HOLleu_12877
ortholog_1716 g57553 gene-HOLleu_12728
ortholog_1717 g57566 gene-HOLleu_12729
ortholog_1718 g57577 gene-HOLleu_12932
ortholog_1719 g57582 gene-HOLleu_13573
ortholog_1720 g57588 gene-HOLleu_13291
ortholog_1721 g57641 gene-HOLleu_13096
ortholog_1722 g57662 gene-HOLleu_18086
ortholog_1723 g57704 gene-HOLleu_13522
ortholog_1724 g57758 gene-HOLleu_13497
ortholog_1725 g57762 gene-HOLleu_12870
ortholog_1726 g57767 gene-HOLleu_13499
ortholog_1727 g57777 gene-HOLleu_12169
ortholog_1728 g57787 gene-HOLleu_11951
ortholog_1729 g57821 gene-HOLleu_12426
ortholog_1730 g57870 gene-HOLleu_12147
ortholog_1731 g57883 gene-HOLleu_13224
ortholog_1732 g57918 gene-HOLleu_12232
ortholog_1733 g57931 gene-HOLleu_13262
ortholog_1734 g57944 gene-HOLleu_13547
ortholog_1735 g57945 gene-HOLleu_40248
ortholog_1736 g58003 gene-HOLleu_13298
ortholog_1737 g58005 gene-HOLleu_20399
ortholog_1738 g58059 gene-HOLleu_12546
ortholog_1739 g58073 gene-HOLleu_12548
ortholog_1740 g58081 gene-HOLleu_13296
ortholog_1741 g58087 gene-HOLleu_33035
ortholog_1742 g58105 gene-HOLleu_40907
ortholog_1743 g58177 gene-HOLleu_25398
ortholog_1744 g58246 gene-HOLleu_12542
ortholog_1745 g58285 gene-HOLleu_31980
ortholog_1746 g58296 gene-HOLleu_11924
ortholog_1747 g58303 gene-HOLleu_12666
ortholog_1748 g58317 gene-HOLleu_12668
ortholog_1749 g58324 gene-HOLleu_13128
ortholog_1750 g58358 gene-HOLleu_12009
ortholog_1751 g58374 gene-HOLleu_12439
ortholog_1752 g58398 gene-HOLleu_13250
ortholog_1753 g58402 gene-HOLleu_13249
ortholog_1754 g58442 gene-HOLleu_13555
ortholog_1755 g58463 gene-HOLleu_11934
ortholog_1756 g58490 gene-HOLleu_12947
ortholog_1757 g58493 gene-HOLleu_13492
ortholog_1758 g58514 gene-HOLleu_11876
ortholog_1759 g58530 gene-HOLleu_39279
ortholog_1760 g58536 gene-HOLleu_12774
ortholog_1761 g58545 gene-HOLleu_12564
ortholog_1762 g58550 gene-HOLleu_12285
ortholog_1763 g58614 gene-HOLleu_13069
ortholog_1764 g58629 gene-HOLleu_22646
ortholog_1765 g58684 gene-HOLleu_12653
ortholog_1766 g58714 gene-HOLleu_12919
ortholog_1767 g58727 gene-HOLleu_25044
ortholog_1768 g58757 gene-HOLleu_12006
ortholog_1769 g58769 gene-HOLleu_12506
ortholog_1770 g58781 gene-HOLleu_13136
ortholog_1771 g58835 gene-HOLleu_13541
ortholog_1772 g58882 gene-HOLleu_10459
ortholog_1773 g58939 gene-HOLleu_01680
ortholog_1774 g58956 gene-HOLleu_12555
ortholog_1775 g58962 gene-HOLleu_44522
ortholog_1776 g58968 gene-HOLleu_12608
ortholog_1777 g59100 gene-HOLleu_12684
ortholog_1778 g59119 gene-HOLleu_10659
ortholog_1779 g59123 gene-HOLleu_12968
ortholog_1780 g59206 gene-HOLleu_19721
ortholog_1781 g59218 gene-HOLleu_15312
ortholog_1782 g59273 gene-HOLleu_12714
ortholog_1783 g59338 gene-HOLleu_12959
ortholog_1784 g59341 gene-HOLleu_31112
ortholog_1785 g59350 gene-HOLleu_11895
ortholog_1786 g59380 gene-HOLleu_12768
ortholog_1787 g59384 gene-HOLleu_12413
ortholog_1788 g59386 gene-HOLleu_17492
ortholog_1789 g59417 gene-HOLleu_12949
ortholog_1790 g59437 gene-HOLleu_13503
ortholog_1791 g59489 gene-HOLleu_03120
ortholog_1792 g59555 gene-HOLleu_11321
ortholog_1793 g59621 gene-HOLleu_07635
ortholog_1794 g59626 gene-HOLleu_11753
ortholog_1795 g59650 gene-HOLleu_25507
ortholog_1796 g59665 gene-HOLleu_09643
ortholog_1797 g59670 gene-HOLleu_09518
ortholog_1798 g59716 gene-HOLleu_12837
